"[ 먼저 요약해서 말씀드리자면요기저귀 겉면을 둘러싼 에어통기홀과등 허리 쪽 허리 밴드의 블루 퀵드라이허리 밴드로 습기 없이], 부정 텍스트 확률 : 63.62%"
"[ 아무래도 옆샘방지 밴드가 아기 다리에 잘 핏되어서 새지 않았던거 같아요], 부정 텍스트 확률 : 73.93%"
"[ 마미포코 피부 온기케어팬티 기저귀 는 단계중형 기거나 일어서려는 아기 단계대형 걷기 시작하는 아기 단계특대형아 장아장 걷는아기 한 팩당 각 매], 부정 텍스트 확률 : 72.74%"
"[매로 구성되어있어요. ], 부정 텍스트 확률 : 53.94%"
"[ 바로 저 올록볼록한 시트가 피부 온기케어팬티의 냉기저감시트인데요 소변을 흡수한 기저귀가 차가워지면 성인보다 체온조절능력이 미숙한 아기들은 딸꾹질같은 생리현상이 나타나게 되는데요 마미포코 피부 온기케어팬티는 바로 저 올록볼록한 냉기저감시트로 소변을 흡수한 기저귀에서 배출되는 냉기를 아이피부에 전달되지 않게 가둬서 아이의 급격한 체온저하를 방지해줘요 ], 부정 텍스트 확률 : 91.18%"
"[ 냉기저감시트는 온기케어만 되는게 아니라 되묻어남도 자사제품 대비해서 나 줄어들었어요 덕분에 아기 피부를 보송보송하고 쾌적하게 지켜줄수있어요], 부정 텍스트 확률 : 79.60%"
"[.와우... 오늘은 정말 하루종일 춥다..겨울이 너무 빨리 후다닥 온것 같아 .가을이 어땠는지 기억이 벌써 가물가물 한다...아가랑 제대로 놀러다니지도 못했는데.아쉽지만 이겨울을 또 강인하게 보내보고자.연말에 여행을 또 잡았다...그런데 늘 여행을 가면 고민이 있다...차 이동이 많다는 점..움직임도 많다는 점.기저귀를 자주 갈기는 어렵다는 점.히터를 많이 틀어서 젖은 엉덩이는 발진을 가져온다는점...할말하않.. ], 부정 텍스트 확률 : 88.43%"
"[ .마미포코 골드통기케어도 대형이 몸무게에는 맞지만중형을 사도 워낙 핏감이나 신축성이 좋다고 들었기에조금 고민하다 으로 했다.역시 정답이었다.허벅지], 부정 텍스트 확률 : 95.94%"
"[ 골드라 그런지 패키지가 고급지다.한팩에 매로 넉넉하다.선물용으로도 적당하면서 묵직해서 아기가 있는집 집들이라면 당연 이런선물이 휴지보다 훨씬 더 환영이다.가격대도 괜찮고 후기가 좋은 브랜드라 믿고 주는 선물이 될 것이다. ], 부정 텍스트 확률 : 70.68%"
"[ .팬티기저귀 사이즈는 가지로 중형], 부정 텍스트 확률 : 65.87%"
"[ 허벅지], 부정 텍스트 확률 : 53.29%"
"[허리 모두 쫘악 늘어난다.쉽게 입히고 딱맞게 착용하니여행에도 차에서도 걱정이 없다..골드통기케어팬티만의 장점은전체가 다 에어통기홀이다. ], 부정 텍스트 확률 : 88.53%"
"[ .마미포코의 매력적이 뒤태.골드통기케어팬티 그림은 유니콘이다.은은한 색감이 사랑스럽다.진한 느낌이 아니어서 혹시나 여름에 화이트 레깅스에 입어도 문제없을 것 같다.너무 진한 프린팅은 옷매치할때 비치는 경우도 있었다], 부정 텍스트 확률 : 78.74%"
"[ .팬티기저귀.마미포코 골드통기케어팬티는 도 통기성 밴드는 기본이고 넓은 허리부분이 아이를 편안하게 한다.이제 말도 잘하고 자기 표현도 워낙 서슴없이 해서 이거 별로야 불편해기저귀때문에 아파등 별말을 다하는데이거입고 아무말 없다는건까다로움 아이에게 문제없었다는 뜻. ], 부정 텍스트 확률 : 99.99%"
"[ 팬티기저귀 추천할때 흡수성 테스트 통기성테스트 등 많이 하는데실제로 입혀보고 일상에서 겪는것 만큼 정확한 테스트는 없을 것이다.워낙 바쁜 아빠도 기저귀 보더니딱 봐도 입히기 편해보이네이말을 했다.육아템은 관심없는 사람이 봐도 제대로 잘 만들었구나 싶은가보다. ], 부정 텍스트 확률 : 53.80%"
"[ 마미포코의 허벅지를 둘러싸는 부분이 특히 넓어서 날개세워 곱게 입히지 않고 대충입혀도 밤잠까지 문제없다. ], 부정 텍스트 확률 : 62.75%"
"[ 다니는 거의 개월 즈음에 이미 키로를 찍었거든요 ㅋ허벅지도 통통한 아이라서 개월수 맞는거 사도허벅지가 좀 끼는? 느낌이었어요근데 요즘 감기로 많이 아파서 그런지 아직도 키대로 유지ㅠ여튼], 부정 텍스트 확률 : 57.57%"
"[ 다른건 모르겠고], 부정 텍스트 확률 : 68.65%"
"[등이나 기저귀가 눌리는 딱 저 부분은습기가 많이차서가끔 오돌토돌 땀띠가 날 때도 있거든요때문에 항상 새벽에 가서 체크해준 후쉬아를 안했어도 기저귀를 새걸로 갈아주곤 했었는데이제 그런 걱정은 그만ㅋ신기한게 원래 이 정도면 답답해서칭얼거리고 했어야되는데자면서 덥거나 땀 흘려도 기저귀는 뽀송 하더라구요바로 저 블루 퀵드라이 허리밴드때문에습기를 싸악 흡수시켜 기저귀로인해 생기기쉬운땀띠나 짓무름까지 싸악 없애줘요 ], 부정 텍스트 확률 : 53.05%"
"[ 이래 막 걸어다니고 움직여도마미포코 통기케어팬티 기저귀는우리다니 옹동이에 찹 달라붙어서 제 역할을 충실히 하쥬잉 ㅋ에어 통기홀로 밤새 뽀송 ], 부정 텍스트 확률 : 62.29%"
"[통기성], 부정 텍스트 확률 : 53.29%"
"[뽀송함], 부정 텍스트 확률 : 53.29%"
"[착용감 뭐 하나 빠지는게 없어서이제 다니가 기저귀를 차는 남은 기간동안 쭈욱 쓰고싶을정도로인생기저귀를 찾은 것 같아요], 부정 텍스트 확률 : 77.45%"
"[ 그래서 어디 좋은 기저귀가 없을까 고민을 하던 중에 평소 쿠팡 주문을 자주 하는 저는 통기케어팬티 라는 단어가 눈에 딱 들어옵니다.마미포코 기저귀 인데 이번에 신제품으로마미포코 골드 통기케어팬티 가 쿠팡 전용으로 나왔다고 하더라구요. 기저귀 이름에 떡하니 통기케어팬티 라고 적혀있으니 통기성이 좋은 기저귀인가 보다 싶어 바로 주문 을 했어요.다른 온라인몰에서도 판매하나 한번 찾아봤는데쿠팡 전용 상품 인듯해요. ], 부정 텍스트 확률 : 64.42%"
"[ 마미포코 골드통기케어 팬티기저귀는 아래 사진과 같은 모습입니다.뒤는 뒤라고 글씨가 크게 쓰여있네요. ], 부정 텍스트 확률 : 62.96%"
"[ 기저귀 두께는 두껍지 않고 얇은 편인 것 같아요.요즘 날씨가 추워져 옷도 두꺼운데 기저귀까지 두꺼우면 아기가 많이 답답할 수 있는데], 부정 텍스트 확률 : 62.10%"
"[마미포코 골드통기케어팬티기저귀 는얇아서 그 위에 두꺼운 옷을 입혀도 아가가 답답해하지 않고], 부정 텍스트 확률 : 65.87%"
"[또 기저귀 때문에 엉덩이가 불룩 튀어나오지도 않습니다. ], 부정 텍스트 확률 : 61.52%"
"[ 하루에 평균 시간 내외 잠을 자느라 늘 누워만 지내는 우리 또미], 부정 텍스트 확률 : 86.63%"
"[기저귀를 갈아주려고 봤더니 역시나 허리와 엉덩이가 습한 게 느껴져요.또미야 이제 시원한 통기성 기저귀다 ], 부정 텍스트 확률 : 87.51%"
"[ 허리 부분을 자세히 살펴보면기저귀 겉면 전체에 미세한 구멍 들이 보여요.이게 바로에어 통기홀 마미포코 기저귀의 에어 통기홀 덕분에기저귀 안에 습기와 열기가 맴돌지 않고 밖으로 빠져나간다고해요.아가들은 좀 시원하게 있는 게 좋다고는 하지만... 겨울이라 어쩔 수 없이 난방을 틀게 되고 또 혹시나 감기 걸릴까 조금 따뜻하게 감싸주다 보면 기저귀 안은 금방 뜨뜻해지죠... ㅜㅜ이 열기를 밖으로 배출시켜줘야 기저귀 짓무름도 생기지 않고 습한 것도 없어지는데 마미포코 골드통기케어팬티 기저귀에는 에어통기홀이 기저귀 전체에 있으니 걱정 해결이에요. ], 부정 텍스트 확률 : 98.26%"
"[ 기저귀 뒷면에 파란 부분이 보이는데], 부정 텍스트 확률 : 56.11%"
"[여기는블루 퀵 드라이 허리 밴드 라고 해서 마미포코 골드 통기케어팬티에만 있는 기능 이라고 합니다. 허리에 유독 습기가 많이 발생하는데요], 부정 텍스트 확률 : 81.06%"
"[이습기를 싹 흡수해주는 역할 을 하는 밴드가 있어 오래 눕혀놔도 우리 또미 허리는 뽀송뽀송덕분에 발진이나 짓무름 예방이 확실하게 될듯하네요. ], 부정 텍스트 확률 : 54.92%"
"[ 통기성이 좋은 건 좋더라도 기저귀는 무엇보다도 흡수력이 좋아야 하니 그것도 한번 체크해봤어요.최대 시간 지속되는 흡수력 이라 밤새샘 걱정 없이 안심하고 사용 가능 하다고 해요.액체가 싹 기저귀 속으로 스며들면서 손으로 겉면을 눌러봐도 흡수가 잘 돼서 묻어 나오는 게 없는 게 확인됩니다. ], 부정 텍스트 확률 : 99.88%"
"[ 마미포코 팬티기저귀 앞면에는 노란 물결 표시선이 있는데], 부정 텍스트 확률 : 56.71%"
"[ 소변을 보게 되면 물결 표시선이 사라져 기저귀 교체를 해야 하는 것도 한눈에 파악이 쉬운 것 같습니다. ], 부정 텍스트 확률 : 55.32%"
"[ 뒷면에 테이프가 있어 다 사용한 기저귀는 돌돌 말아 테이프로 마무리 그럼 부피가 훨씬 작아져서 버릴 때도 좋아요 ], 부정 텍스트 확률 : 83.88%"
"[ .?내돈내산내돈내산.?육아템육아템.?출산선물출산선물.?솔직후기솔직후기.?기저귀비교기저귀비교.?기저귀사용후기기저귀사용후기 .?커클랜드기저귀커클랜드기저귀.?코스트코기저귀코스트코기저귀.?커클랜드수프림커클랜드수프림.?하기스기저귀하기스기저귀.?하기스네이처메이드하기스네이처메이드.?킨도기저귀킨도기저귀.?팸퍼스기저귀팸퍼스기저귀.?마미포코기저귀마미포코기저귀저번에 기저귀 사용후기 탄에 이어서 나머지 탄 포스팅이에요.탄 궁금하신 분들은 아래링크 클릭 ], 부정 텍스트 확률 : 98.66%"
"[ 커클랜드 시크니춰 수프림 ], 부정 텍스트 확률 : 63.08%"
"[매짜리로 개 들어있어요 ], 부정 텍스트 확률 : 81.34%"
"[ 타 브랜드 소형기저귀에 비해서 넉넉한 사이즈더라구요허벅지라인도 넉넉한 편이고], 부정 텍스트 확률 : 63.34%"
"[밤에 장시간시간이상 사용하고아침에 갈아줘도 전혀 새지 않았고 ], 부정 텍스트 확률 : 81.77%"
"[가성비 갑 기저귀에요 ], 부정 텍스트 확률 : 77.55%"
"[ 하기스 네이처메이드 ], 부정 텍스트 확률 : 53.29%"
"[ 그 유명한 하기스 네이처메이드사용해 보니 이름값 하더라구요우선 흡수력에 정말 감탄 기저귀 묵직해 지는 것도 타 브랜드에 비하면양호한 편이고], 부정 텍스트 확률 : 51.83%"
"[네이처메이드에서는 그런 냄새가 잘 새어나오지 않았어요.짜식이랑 애기 똥쌌나 긴가민가해서 확인하는데], 부정 텍스트 확률 : 92.86%"
"[ 킨도 프리미엄 기저귀 ], 부정 텍스트 확률 : 61.06%"
"[ 단계 키로 아기한테 사용권장하는데], 부정 텍스트 확률 : 68.60%"
"[전혀 아쉽지 않았어요. ], 부정 텍스트 확률 : 88.33%"
"[ 팸퍼스 스와들러 ], 부정 텍스트 확률 : 62.56%"
"[ 패키지 찍은 사진이 없네요ㅠㅠ기저귀에서 베이비파우더향이 솔솔 나서 좋았던 팸퍼스 기저귀허리밴드가 높은 편이어서 뒤척이는 아가들이 사용해도 안샐거 같아요.도담이도 엄청 뒤척이는데], 부정 텍스트 확률 : 88.96%"
"[샌적은 없네요.팸퍼스는 도담이가 일 되기 전에 사용했었는데], 부정 텍스트 확률 : 74.76%"
"[단계에 비해서기저귀가 타이트하게 나온 편이라], 부정 텍스트 확률 : 70.69%"
"[권장사이즈보다 한단계 업해서 구매하시는 걸 추천해요 단계가 키로], 부정 텍스트 확률 : 67.08%"
"[단계는 키로 권장인데], 부정 텍스트 확률 : 76.56%"
"[당시 키로 가까이 나갔던 도담이한테 단계가 딱 적당했어요 일이 갓 넘은 지금은 키로가 안나가지만 단계는 좀 타이트할거 같네요.흡수력은 괜찮은 편이고], 부정 텍스트 확률 : 94.65%"
"[허벅지라인쪽 샘방지부분이 저희한테는 살짝 꺼실한 느낌을 받았어요. ], 부정 텍스트 확률 : 62.70%"
"[ 마미포코 보송허그 ], 부정 텍스트 확률 : 53.29%"
"[사이즈가 큰 편이어서 대강 키로? 아기 정도까지는 넉넉하게 사용할수 있을거 같아요 허벅지 라인도 넉넉해서 아기가 불편해 하지 않구요.이름처럼 기저귀가 정말 보송한 편이긴 하지만], 부정 텍스트 확률 : 91.48%"
"[위에서 비교한브랜드들에 비해서 월등하진 않았고 흡수력은 나쁘지 않은 정도. 근데 기저귀에서 소변지린내가 잘나요초반에 다른 기저귀 별로 안쓰고 마미포코 썼을 땐], 부정 텍스트 확률 : 79.04%"
"[ 여러 브랜드 써보니 평균 정도였어요.], 부정 텍스트 확률 : 87.02%"
"[ 바로 이 부분이예요. 짓무르지 않게 땀을 흡수시켜주는 땀흡수 밴드가 있다니 괜히 여름기저귀추천 제품으로 회자되는 것이 아니구나 싶었어요 ], 부정 텍스트 확률 : 81.86%"
"[ 기저귀는 주로 아이의 몸무게 기준이 맞춰서 사이즈를 판단해요 우리 아이는 앞엣허 언급해드렸듯이 단계 대형이구요 마미포코 쿨썸머 땀먹는 팬티 같은 경우에는 대형 사이즈 부터 나온다고 하네요 ], 부정 텍스트 확률 : 73.03%"
"[ 기저귀 건네주니 좋아서 가지고 막 도망가고 난리도 아니였어요 ㅋㅋ 뭐], 부정 텍스트 확률 : 76.48%"
"[.. ], 부정 텍스트 확률 : 57.07%"
"[ .팬티기저귀.온기케어 마미포코 겨울기저귀], 부정 텍스트 확률 : 68.39%"
"[밤기저귀로 선택. ], 부정 텍스트 확률 : 84.35%"
"[ ...날씨가 훅 추워진 요즘 떨어진 기온으로 인해 더더욱 신경쓰게 된 팬티기저귀... ], 부정 텍스트 확률 : 55.49%"
"[ ..피부온기케어만의 냉기저감시트가 소변을 흡수한 기저귀에서 나오는 냉기가 피부에 전달되지 않도록 기저귀 안에 가두어 준다고 해요..그렇기 때문에 피부 온기케어는 급격한 온도 저하를 막아주는데 도움이 된다고 하네요..특히 요즘같이 체온이 뚝 떨어진 겨울날씨엔 우리 아이들의 기저귀 선택도 피부온기케어가 되는 팬티기저귀로 해주면 더더욱 좋을 것 같단 생각이 들었어요.... ], 부정 텍스트 확률 : 72.75%"
"[자세상관없이 불편함을 최소화 시킨 디자인같아요.. ], 부정 텍스트 확률 : 92.13%"
"[체중에 따라 선택하면 될 것 같아요저는 거의 용으로 사용했는데활동성 좋고 배가 조금 나온 아이인지라], 부정 텍스트 확률 : 95.09%"
"[ ......본 게시물은 업체로 부터 제품만을 지원을 받아 체험 후 솔직하게 작성된 후기입니다... ], 부정 텍스트 확률 : 68.60%"
"[조금만 더워져도허리부분에 땀차고이번엔 목감기로고열에 좀 시달린 후에 열이 가라앉더니몸전체에 열꽃이 펴서 정말 기저귀를입히기 미안하더라구요그나마 새로만난 마미포코 땀먹는팬티를 입혀서조금 마음이 안심이 되었는데요], 부정 텍스트 확률 : 70.31%"
"[ 기존에 사용하던 기저귀와 다르게 땀먹는팬티는허리밴드부분에 땀 흡수 기능이 있어서땀띠방지에 좋더라고요장시간 입혀두고 바지까지 입고 활동해도벗길 때 땀이 차거나 땀띠가 나지 않고열꽃이 나서 고생했는데허리부분이 다행히 금새 가라앉았어요 신기방기 ], 부정 텍스트 확률 : 62.55%"
"[ 도 허리밴드는 부드러워서 자극이 없고요사이즈가 좀 클까 ? 걱정했는데 흘러내림없이 잘맞아요 ], 부정 텍스트 확률 : 89.16%"
"[ 동영상에서 보이는 것처럼 부드럽게 쭈욱늘어나는여름팬티기저귀 마미포코 우리아들 활동량 어마어마한데 잘 고정되어있고부드럽게 늘어나서 아가가 처음 사용하는데도 편안해서마미포코 여름기저귀 추천하고 싶어요], 부정 텍스트 확률 : 63.17%"
"[아기가 불편함 없이 사용하고새지 않아서 저는 잘 사용하는 중이에요리뉴얼 전처럼 샘방지 되니 안심이 되네용 ], 부정 텍스트 확률 : 63.01%"
"[ 땀먹는팬티라서 허리부분이 습하지 않아 좋은데흡수력도 어마어마해서 엉덩이도 축축하지 않더라고요기존에 사용중이던 팬티기저귀는 아침이면엉덩이랑 소중한 부분이 축축해서 좀 열어둔 후에기저귀를 채워주곤했는데 마미포코 땀먹는기저귀는흡수력이 상당해서 기다리지 않아도 되니 만족스러워요 ], 부정 텍스트 확률 : 92.24%"
"[ 우리아들이 마시는 음료수로흡수력테스트를 해보았어용뿌리는 즉시 슈욱하고 스며들고축축하지 않아 만족쓰여름기저귀추천 ], 부정 텍스트 확률 : 81.73%"
"[ 소변을 보고나면 이 노란색 소변줄이 사라져서너무 오랫동안 팬티기저귀를 안갈아주는 일은 없고요올록볼록한 에어물결커버 사이로 공기가 순환되어강력한 통기성으로 뽀송뽀송함을 유지해준답니당 ], 부정 텍스트 확률 : 90.23%"
"[ 여름이면 기저귀채우는게 항상 미안했는데마미포코 땀먹는팬티 제품사용하고 부터는 안심이에용얼른 배변훈련성공해서 기저귀 빠이빠이 하고싶지만요런 여름기저귀라면 좀 더 사용해도 되겠어용정착하지 못한 육아맘들께 추천합니당♥♥업체로부터 제품과 소정의 원고료를 제공받아 작성된 후기입니다 ], 부정 텍스트 확률 : 85.37%"
"[요즘 날씨가 많이 추워져서 기저귀에 소변을 싸게 되면 아기들은 민감해서 더 추위를 느끼는것 같아요특히 외출했을때는 정말 더 신경이 쓰이는것 같아요저희 아기도 집에 있는데도 갑자기 딸꾹질을 할때가 종종 있어요아기가 갑자기 딸꾹질을 하면 난감하더라고요울릴수도 없고 매번 힘든것 같아요어른들이 아기가 갑자기 딸꾹질을 하면 기저귀 확인해 보라고 하더라고요아기들은 소변이 차가워져서 민감하게 느껴지는것 같아요기저귀 갈아주면 덜 하는것 같더라고요외출했을때가 최고 문제인것 같아요그래서 그런지 이번에 마미포코에서 제 고민을 어떡해 알고 신제품을 출시했네요원래 저희아기는 마미포코를 사용하고 있었거든요신생아때는 기저귀 선물이 많이 들어와서 사실 조리원에서는 사용을 못했어요그러다가 기저귀 제가 구입해야 하는 상황이 와서 마미포코로 구입을 했는데 저희 아기와 딱 맞더라고요그때부터 지금까지 마미포코만 사용하고 있거든요아마 다들 아기가 태어나면 들어오는 선물이 기저귀 선물일거예요그래서 엄마들은 한동안 기저귀를 구입 안하시는것 같아요저도 한동안 다양한 브랜드를 사용했거든요기저귀 선물하시는 분들을 보면 다들 아기가 있는 집에서 기저귀 선물을 하시더라고요저는 초보 엄마라서 기저귀를 금방 사용했어요심지어 싸지도 않았는데 모르고 갈았던적도 많았어요......... ..?....... 본문 이미지 마미포코 온기케어 팬티기저귀는 피부 온기를 케어해 준다고해요소변 후 기저귀에서 나오는 냉기가 피부에 전달되는것을 줄여 줘서 쾌적하다고 하네요사실 저희 아기도 시댁에서 한참 놀고 있는데 딸꾹질을 할때가 종종 있었거든요그럴때마다 시어머니께서 기저귀 확인해 보라고 하더라고요처음에는 이해가 안갔는데 주위에서 하시는 말씀을 들어보니 아기들은 기저귀 소변에서 전달되는 냉기가 아이에게 직접적으로 전달이 되어 체온변화가 쉽게 온다고 해요그래서 딸꾹질을 자주 한한다고 하더라고요특히 겨울철에는 좀더 신경을 많이 써야 할것 같아요안그래도 추운데 기저귀 소변으로 인해 체온이 더 떨어지면 아기들은 더 추위를 잘 느껴 감기로 바로 이어질 가능성이 큰것 같아요저는 항상 외출할때 외부에 온도에 정말 민감하게 반응을 하거든요급속히 추워지면 바로 감기로 이어질까봐 매번 노심초사해요뿐만아니라 요즘에 부쩍 딸꾹질이 심해져서 기저귀도 매번 많이 가지고 외출을해요아기가 감기에 걸리면 엄마보다 아이가 더 힘든것 같아서 매번 신경을 많이 쓰게 되네요 ......... ..?....... 본문 이미지 이번에 새롭에 마미포코에서 나온 피부온기케어 팬티 기저귀의 특징을 볼까요], 부정 텍스트 확률 : 100.00%"
"[이중 옆샘 방지 다리 밴드], 부정 텍스트 확률 : 53.29%"
"[최대 시간 흡수력], 부정 텍스트 확률 : 83.08%"
"[간편한 뒤처리 테이프기존 일반 기저귀와 어떤점이 다를까요기존 기저귀는 소변을 보면 아기들의 온기를 바로 뺏어 갔지만 이번 피부온기케어 팬티 기저귀는아기들 체온이 내려가는걸 막아준다고 해요기존 기저귀는 소변을 보면 기저귀에서 흡수해서 바로 아기들에게 냉기가 전달된다고 해요아기들은 온도변화에 민감해서 바로 딸꾹질 하는거 알고 계시죠? ], 부정 텍스트 확률 : 93.68%"
"[ 저는 이번에 사이즈 대형을 선택했어요대형은 매가 들어있어요 이번에 새로나온 마미포코 기저귀는 냉기저감시트를 사용해서 아기들의 온도변화에 신경을 많이 썼다고 해요아기들은 체온 유지가 정말 중요하거든요여름에는 상관이 없지만 겨울철에는 온도 변화가 많이 바뀌기 때문에 체온에 신경을 더 많이 써야 해요], 부정 텍스트 확률 : 99.96%"
"[아기들 체온이 떨어지면 면역력도 떨어지기 쉽거든요아무래도 아기들은 어른들보다 체온조절 능력이 떨어져서 주변 온도에 민감하게 반응해서쉽게 몸이 차가워진다고 해요], 부정 텍스트 확률 : 93.82%"
"[체온 도가 떨어지면 백혈구 활동이저하되고 반대로 체온이 도가 오르면 백혈구 활동이], 부정 텍스트 확률 : 85.84%"
"[배 증가한다고 해요 ......... ..?....... 본문 이미지 ......... ..?....... 본문 이미지팬티 기저귀는 밴드 기저귀와 반대로 신축성이 정말 중요한것 같아요밴드 기저귀는 말그대로 밴드로 조절하면 되지만 팬티는 조절이 안되거든요그래서 엄마들의 선택이 중요한것 같아요......... ..?....... 본문 이미지 이렇게 옆으로 뜯는 부분도 정말 잘뜯겨요아기들 크면 기저귀 가는걸 너무 싫어해서 매번 힘들거든요빠른 속도로 기저귀 갈아야 하는데 옆 부분이 잘 안뜯기면 힘들어요 ], 부정 텍스트 확률 : 98.21%"
"[ 제가 종이컵에 있는 물을 다 붓고 나서 이렇게 반으로 잘라서 사진 찍어봤어요어떡해 흡수가 되는지 조금이라도 도움이 되고 싶어서 이렇게 해봤어요아기들이 소변을 보면 올록볼록 해지는거 알고 계시죠?그게 다 이유가 있네요이번에 제가 테스트 했을때도 그랬는데 이유는 새어나오는 냉기가 올록볼록 구조를 통과하여 피부에 닿는 면적이줄어들어 냉기 걱정은 안심해도 된다고 하네요 ], 부정 텍스트 확률 : 99.17%"
"[......... ..?....... 본문 이미지 옷입혔을때도 전혀 불편함이 없더라고요더 잘 놀아요사실 기저귀 선택할때 기저귀 발진이 생길까봐 염려되시는 분들도 많이 계실텐데이번기회에 마미포코로 한번 사용해 보세요저도 다양한 브랜드 많이 사용해 봤지만 이렇게 좋은 브랜드는 없었던것 같아요저희 아기에게도 딱 맞아서 너무 좋은 기저귀예요그런데 이렇게 피부온도까지 생각하는 신제품까지 나왔으니 저는 올겨울에는 마미포코 피부온기케어 팬티로 아기 케어해야 겠어요 ], 부정 텍스트 확률 : 92.20%"
"[아직 너무 어린 우리딸.그래서 그런지 조금만 더워져도 얼굴이 시뻘개지면서 막 각질이 일어나고 조금만 추워도 딸꾹질을 해대며 하얘지는데], 부정 텍스트 확률 : 99.19%"
"[겨울기저귀 마미포코.여름에는 여름기저귀를 쓰듯겨울엔 겨울용을 써야하는게 맞는 것 같다.], 부정 텍스트 확률 : 97.01%"
"[ 겨울기저귀 답게피부온기케어팬티라는 명칭으로 아기의 체온조절을 도와주는올록볼록 냉기저감시트가 들어있는 아기기저귀였다. 개월 우리딸은 뒤집고 서고 난리가 나서팬티기저귀와 일반기저귀를 혼용해서 쓰고 있는데], 부정 텍스트 확률 : 60.53%"
"[마침 팬티기저귀가 똑 떨어져서 마미포코 팬티기저귀로 택해 받아보게 되었다.], 부정 텍스트 확률 : 90.29%"
"[ 짠보이시는가?올록볼록한 세로선이?이 부분이 바로 우리아기들이 소변을 보고 흡수한기저귀의 냉기가 아기들의 피부에 전달되지 않도록 만들어진냉기저감시트란 말씀기저귀 안커버 전체에 다 들어 있어서어느 한 부분만 쬐끔 살짝이게 아니라 더더욱 마음이 놓였다. 가뜩이나 춥고 체온조절도 미숙한아가들에게 요 마미포코의 시트는큰 도움이 되어줄 것 같은 기대감이 들었다. 또한], 부정 텍스트 확률 : 85.97%"
"[ 키로의 우리딸은마미포코 사이즈를 중형으로 택했고 잘 맞았다.완전 꽉 조이거나 너무 헐렁한게아니라], 부정 텍스트 확률 : 78.11%"
"[ 이제 기저귀 갈아볼시간.아기 피부온기를 지켜줄 시간이다.], 부정 텍스트 확률 : 94.25%"
"[ 우리딸 완전킴카다시안 저리가라인데?너무 앙증맞게 잘 맞은 팬티기저귀배를 잡아주는 부분도 너무 꽉 조이지 않아서 아가가 불편하지 않아보였고], 부정 텍스트 확률 : 99.47%"
"[ 요렇게 무릎꿇고 안거나 이리저리 기어다녀도 아주 편해보였단아기 움직임 ], 부정 텍스트 확률 : 74.87%"
"[ 사진], 부정 텍스트 확률 : 53.29%"
"[글육아하면 바로 생각나는 아이템. 바로 기저귀가 아닐까? 아이가 배변훈련을 마치기 전까지 매일 사용하는 기저귀. 아이의 피부에 닿는 제품으로 일상 생활 속에서 자연스럽게 사용하는 제품이라서 더 중요한 아이템이 아닐까 싶다. 두 아이를 키우면서 아이들이 참 다르다는 것을 느끼고는 하는데 그 중에 하나가 바로 기저귀이다. 첫째 래미의 경우에는 어떤 기저귀를 써도 짓무름 없이 잘 사용했지만 둘째 솔라의 경우에는 피부가 예민해서인건지 유독 짓무름이 잘 생겨났다. 나름 유명한 제품들도 많이 사용했지만 기저귀 바깥까지 느껴지는 눅눅함이나 기저귀 샘으로 인해서 정착하는 것은 쉽지 않았다. 특히나 솔라의 경우에는 굉장히 예민한 성격으로 아직까지도 밤잠을 쭉 자지 못하는 아이이다. 이유는 잠을 자던 중 배변을 하게 되면 느끼게 되는 찝찝함. 따라서 난 아직까지도 아이가 편한 밤잠을 잘 수 있도록 높은 흡수율의 기저귀를 찾고 있다.], 부정 텍스트 확률 : 94.69%"
"[ 두 돌이 다 되어가는 시점에서도 편하게 잠을 못자다 보니 아이도 엄마도 힘든 시간 이제는 밤에 편하게 잠 좀 자보자팬티기저귀로 유명한 마미포코의 로켓 흡수 팬티를 만나보게 되었는데 최대 시간 흡수력으로 아기 밤기저귀 추천하기에 딱 알맞은 제품이었다.], 부정 텍스트 확률 : 99.74%"
"[ 이름을 딱 듣자마자 높은 흡수력이 자연스럽게 떠오르게 되는 로켓흡수팬티. 로켓과 같은 빠른 흡수력을 나타내는 이름이 아닐까? 생각해본다.], 부정 텍스트 확률 : 90.88%"
"[아니 오히려 남자아이보다 더 활발한 아이이다. 그러다보니 흡수력이 좋지 않으면 옆샘이 발생하는 경우가 종종 있었다. 거기다가 밤잠을 잘 때 흡수력이 조금이라도 떨어지면 다음 날 바로 짓무름이 생기다보니 체크할 수밖에 없는 흡수력이다. 로켓과 같이 빠르게 흡수하는 제품이다보니 밤기저귀 추천하기에도 손색이 없을만큼의 흡수력을 자랑하는 마미포코. 덕분에 솔라도 편안하게 사용하고 있다.], 부정 텍스트 확률 : 94.30%"
"[ 기저귀를 꺼내어서 내가 제일 먼저 살펴본 부분은 바로 신축성과 옆샘 방지 밴드 부분이었다. 마미포코 특유의 도 허리 밴드가 신축성있게 허리를 꽉 잡아주면서도 아이의 피부는 부드럽게 감싸주는 것을 볼 수 있다. 허리의 앞뒤양 옆으로 부드럽게 잡아주니 아이가 활발하게 움직여도 부담감이 없을 듯 했다.], 부정 텍스트 확률 : 82.98%"
