"[ 기저귀 선택할 시간도 없이 남편 친구분이 조리원 퇴소 전에 집으로 보내주셔서사용하게 된 하기스 네이처착용시 몸무게사이즈.단계], 긍정 텍스트 확률 : 78.85%"
"[단계하면 좀커서 참 애매하더라구요ㅠㅠ이중간 크기가 있음 좋겠어요...이때까지 밤보네이처], 긍정 텍스트 확률 : 69.73%"
"[몰텍스도 쓰긴했는데 조리원있을때 신생아실로 보내서 제가 직접 만져보고 갈아준게 아니라 잘 모르겠더라구요..이유식 시작하고 탁 털면 떨어지는 응가를 누다보니 아기 ㄸ꼬가 헐고 빨갛게 붓고 발진난것처럼 심해져서 비판텐이랑 보소미연고 매일 발라줬는데도 낫질않았어요. 연고 안바른날이 없네요...기저귀 사야될때가와서 바꿔볼까싶어서 봤다가 몰텍스를 봤어요..제기억엔 몰텍스가 다른기저귀에 비해서 좀 길었던것같아서 단계말고 단계 주문했는데..단계할걸 그랬어요ㅠㅠㅋㅋ.좀 뻣뻣하다보니까 하기스 쓴것처럼 아기 엉덩이에 기저귀 주름자국이 완전..ㅋㅋ 기저귀열때마다 아이구..해요ㅠㅠㅋㅋ.몰텍스 후기에 통풍이 잘되는것같다고해서 주문하고 어제부터 이틀 사용해봤는데 아기 ㄸ꼬 빨간게 진짜 눈에 띄게 확 줄었어요..후기 거짓말인줄 알았는데 눈으로 직접보니 여태 왜 안썼던거지? 하고 후회되더라구요..가격이 좀 있어서 고민했는데. 물론 밤보나 에코제네시스 사용할땐 가격이 좀 나가도 이정도쯤이야 했는데 시간이 지나다보니 기저귀값이 엄청 부담되더라구요...그래서 가성비 따져서 킨도 쓴건데 .. 킨도는 자주갈아줘도 항상 축축해서 더 빨개지는것 같더라구요.. 씻길때 사타구니쪽에 기저귀 펄프같은게 계속 나와서 꼭 때처럼..ㅠㅠ.암튼 몰텍스 며칠안써봤는데도 이런거보면 좋긴좋은것같아요. 좋네요. 몰텍스 만져봤을때 억센 비닐같고 통풍안될것같잖아요. 근데 써보니 통풍 잘되나봐요??? 지금 글쓰고 있으면서도 계속 신기해서 웃음이 나와요ㅋㅋ..아참], 긍정 텍스트 확률 : 87.32%"
"[ 두번째 사진은 왼쪽에서부터 차례대로 킨도 밴드초슬림단계], 긍정 텍스트 확률 : 52.58%"
"[밤보네이처단계 에요..세번째사진은 위에서부터 밑으로 보심돼요....권름 ..몰텍스 네이처 밴드형 기저귀 아동공용 미디 단계], 긍정 텍스트 확률 : 93.09%"
"[ ....발진없어지고 냄새덜하고 얇아서 좋아요.냄새가 거의 안나요. 친환경이라 그런가..가격이 부담되서 박스만 주문했는데...화학냄새도 거의 안나고 소변냄새도 덜하니 더 사고싶어요..베피스중형밴드], 긍정 텍스트 확률 : 75.74%"
"[아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.77%"
"[본 상품은 해외에서 직접 수입된 제품으로 국내에서는 가 불가능합니다. 구입 후 제품에 하자가 있는 경우 내부 기준에 따라 처리해드립니다.], 긍정 텍스트 확률 : 86.84%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매여러가지 핫딜 정보들을 업로드하고 있으니 구독하여 매일매일 받아보세요제휴마케팅 제품 정보는 언제든지 변경될 수 있으니 구매하시기 전 자세히 확인하세요이 포스팅은 일정의 수수료를 지원받고 작성된 글입니다. ], 긍정 텍스트 확률 : 96.69%"
"[♥베스트⬇ ], 긍정 텍스트 확률 : 99.57%"
"[ ♥슈퍼특가 몰텍스 네이처 밴드형 기저귀 아동공용 단계], 긍정 텍스트 확률 : 99.12%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.▷ 베스트 ▷제조년월일 제조국 독일개당 수량 매입수량 팩단계 신생아쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 목요일오전 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.쿠팡에서 구매하기품절임박상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 69.92%"
"[.아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.50%"
"[.본 상품은 해외에서 직접 수입된 제품으로 국내에서는 가 불가능합니다. 구입 후 제품에 하자가 있는 경우 내부 기준에 따라 처리해드립니다.], 긍정 텍스트 확률 : 88.80%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[ .?몰텍스몰텍스.?네이처네이처.?밴드형밴드형.?기저귀기저귀.?아동공용아동공용.?.?.?단계단계 .? 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다. ], 긍정 텍스트 확률 : 62.64%"
"[ 원하단 쿠팡 링크를 클릭해서 최저가로 구매하세요 ], 긍정 텍스트 확률 : 51.70%"
"[아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.77%"
"[본 상품은 해외에서 직접 수입된 제품으로 국내에서는 가 불가능합니다. 구입 후 제품에 하자가 있는 경우 내부 기준에 따라 처리해드립니다.], 긍정 텍스트 확률 : 86.84%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매매일 주기적으로 안내해드리는 핫딜 정보를 구독하세요제품을 구매하시기 전에 공식 사이트에서 정보를 다시 확인하시기바랍니다 ], 긍정 텍스트 확률 : 50.03%"
"[ 원 입니다 .상품후기 알아보기여기저기 다양한 제품 및 상품들을 소개하고 있습니다 판매자에 의해 제품의 정보는 변동이 될 수 있습니다 ↓쿠팡 바로가기 사이트↓], 긍정 텍스트 확률 : 74.71%"
"[ 위에 소개하고 있는 제품의 경우 쿠팡 공식 사이트 내용임을 밝힙니다년 월 일 시 분에 발행하였습니다 ], 긍정 텍스트 확률 : 64.02%"
"[ 원공식 홈페이지를 통해 구매하실 수 있습니다 ], 긍정 텍스트 확률 : 78.52%"
"[아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.77%"
"[본 상품은 해외에서 직접 수입된 제품으로 국내에서는 가 불가능합니다. 구입 후 제품에 하자가 있는 경우 내부 기준에 따라 처리해드립니다.], 긍정 텍스트 확률 : 86.84%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매이웃신청 환영합니다. 서로이웃도 받고 있으니 부담없이 신청주시기 바랍니다시간이 흘러 제품 정보는 상시변동될 수 있으니 사이트에서 확인 후 구매바랍니다 ], 긍정 텍스트 확률 : 94.34%"
"[이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[군 오리지널 팬티형 일회용 기저귀 남아용 ], 긍정 텍스트 확률 : 66.98%"
"[정확한 금액은 방문을 통해 확인해주세요 ], 긍정 텍스트 확률 : 54.47%"
"[ 역시 군기저귀가 최고매달 정기배송애 추가한번씩또시켜쓰고있는중이에용쿠팡이 타 사이트보다 가격이 싸고 배송도 빨라서 항상 애용중입니당 군기저귀는 얇게느껴지지만 실제론 한번도 샌적없는 효자기저귀입니당아기 입원했 ], 긍정 텍스트 확률 : 98.97%"
"[ 빠르게 왔구요흡수 잘 됩니다 통풍도 짱 아가때부터 잘쓰고 있네요♡사진은 라지 찍은건데이제 좀 커서 한단계 크게시켜봤어요이기저귀 덕분에 발진도 없었어여 ], 긍정 텍스트 확률 : 66.78%"
"[ 솔짝히 평이좋아서 오랫만에 다시 기대하고 써봤는데요....지금껏 몰텍스], 긍정 텍스트 확률 : 62.94%"
"[ 불매운동....정말고민많이됩니다화장품이며 몸게걸치는것들은 참쉽게불매가가능하거든요우리나라브렌드들도 좋으니까요하지만 귀저기만큼은 쉽지않네요마미귀저기쓰다가 살아서꿈틀대는 애벌레가기어다니는귀저기를경험하고나니애기발진나는건 ], 긍정 텍스트 확률 : 54.74%"
"[ 원래 군 오래 썼는데 일본제품이라 정말 쓰기싫어졌어요 그래서 다른브랜드 병행해서 쓰고있는데 단점이 꼭 있어요 군은 정말 안새고 짱짱하고 두께도 적당하고아기마다 기저귀는 너무 잘맞는게 다르니까 아무도 기저귀 제품엔 시 ], 긍정 텍스트 확률 : 60.88%"
"[ 군기저귀는 우리아가 개월동안 너무당연하게 계속이용중이네요.간혹 선물들어오는 다른제품이나], 긍정 텍스트 확률 : 63.62%"
"[ 완젼 추천합니다 ❤️개월키로인데 사이즈가 맞아요 부드럽고 발진도 없고 한번도 안세고 밤기저귀로도 좋아요 다른거 다 써봤지만 우리 아기에겐 군이 최고네요 ], 긍정 텍스트 확률 : 90.32%"
"[ 아기가 좀예민한편이라 다른기저귀 개는 발진이나서군으로왔는데 발진이없어서 년넘게쓰는중입니닷 작아보이긴해도 채우면 안작아요 신기하게두 ㅎㅎ아기키로인데 넉넉하니좋아요 밴드표시도안나구요첨쓰시는분들은 기저귀냄새때매], 긍정 텍스트 확률 : 83.70%"
"[시간 경과에 따라 일부 내용에 차이가 있을 수 있습니다.해당 포스팅은 쿠팡 파트너스 활동의 일환으로], 긍정 텍스트 확률 : 65.49%"
"[이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[군 오리지널 팬티형 일회용 기저귀 남아용 ], 긍정 텍스트 확률 : 66.98%"
"[정확한 금액은 방문을 통해 확인해주세요 ], 긍정 텍스트 확률 : 54.47%"
"[ 군기저귀는 우리아가 개월동안 너무당연하게 계속이용중이네요.간혹 선물들어오는 다른제품이나], 긍정 텍스트 확률 : 63.62%"
"[ 사용하다보니 군기저귀만 신생아때부터 지금까지 년간 엄청 오랫동안 사용중이네요.저희아이도 개월. 곧 두돌되는 남자아이로키로초반에 살짝 작은 아이랍니다.신생아때는 허벅지가 토실토실해서 이뻤는데...이제 고 토실 ], 긍정 텍스트 확률 : 68.36%"
"[ 개월 남아엄마입니다최근에 재본적은 없지만 키몸무게 .키로 정도였어요. 한 한달 정도 더 전에 잰거구요 몸무게는 내려갔다 올라갔다하는데 .에서 더 올라가진 않고 지금 정체기인거 같더라구요. 우 ], 긍정 텍스트 확률 : 83.89%"
"[ 역시 군기저귀가 최고매달 정기배송애 추가한번씩또시켜쓰고있는중이에용쿠팡이 타 사이트보다 가격이 싸고 배송도 빨라서 항상 애용중입니당 군기저귀는 얇게느껴지지만 실제론 한번도 샌적없는 효자기저귀입니당아기 입원했 ], 긍정 텍스트 확률 : 98.97%"
"[ 완젼 추천합니다 ❤️개월키로인데 사이즈가 맞아요 부드럽고 발진도 없고 한번도 안세고 밤기저귀로도 좋아요 다른거 다 써봤지만 우리 아기에겐 군이 최고네요 ], 긍정 텍스트 확률 : 90.32%"
"[ 불매운동....정말고민많이됩니다화장품이며 몸게걸치는것들은 참쉽게불매가가능하거든요우리나라브렌드들도 좋으니까요하지만 귀저기만큼은 쉽지않네요마미귀저기쓰다가 살아서꿈틀대는 애벌레가기어다니는귀저기를경험하고나니애기발진나는건 ], 긍정 텍스트 확률 : 54.74%"
"[ 항상 쓰던제품입니다재구매 쭉 하고 있어요가격변동이 심하니 장바구니 담아놓고 비교해서 구입하세여흡수잘하고 셔링이 부드러워 자국 안남고 부들부들해요다른거 쓰다가도 항상 돌아오네요군기저귀 최고에요 밤기저귀로도 너무 좋아요 ], 긍정 텍스트 확률 : 100.00%"
"[ 아기가 좀예민한편이라 다른기저귀 개는 발진이나서군으로왔는데 발진이없어서 년넘게쓰는중입니닷 작아보이긴해도 채우면 안작아요 신기하게두 ㅎㅎ아기키로인데 넉넉하니좋아요 밴드표시도안나구요첨쓰시는분들은 기저귀냄새때매], 긍정 텍스트 확률 : 83.70%"
"[ 솔짝히 평이좋아서 오랫만에 다시 기대하고 써봤는데요....지금껏 몰텍스], 긍정 텍스트 확률 : 62.94%"
"[시간 경과에 따라 일부 내용에 차이가 있을 수 있습니다.쿠팡 파트너스 활동의 일환으로서], 긍정 텍스트 확률 : 80.31%"
"[해당 포스팅을 통해 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 72.24%"
"[ .. ★★★★☆처음에배송때문에문제가있었지만상품은괜찮은거같아요아마쿠팡에서자세한구매후기는처음남기는거같네요제가르메하스토앙킨리베터이번에구매한리베로와기억이안나는타회사몇군데기저], 긍정 텍스트 확률 : 63.27%"
"[.◆ 지금 보고있는 상품 바로보기 ◆ ], 긍정 텍스트 확률 : 80.79%"
"[ 아래는 현재 상품의 구매평입니다. ], 긍정 텍스트 확률 : 64.15%"
"[ .. ★★★★☆처음에배송때문에문제가있었지만상품은괜찮은거같아요아마쿠팡에서자세한구매후기는처음남기는거같네요제가르메하스토앙킨리베터이번에구매한리베로와기억이안나는타회사몇군데기저], 긍정 텍스트 확률 : 63.27%"
"[.▼ 더 많은 구매평 열어보기 ▼ ], 긍정 텍스트 확률 : 55.96%"
"[ 일정한 수수료를 받고 제공되는 정보입니다. 쿠팡 파트너스 ], 긍정 텍스트 확률 : 52.67%"
"[ 기저귀쟁이기밤기저귀로 좋은 몰텍스 기저귀 ], 긍정 텍스트 확률 : 84.15%"
"[뒤집기 시작한 아들밴드가 아직까진 편하긴하지만그래도 팸퍼스 베이비드라이 팬티도쟁여뒀어요일 키로팬티단계 추천받아 팩 쟁여놓기이외에하기스에어솔솔 체험팩 남았던거랑팸퍼스 베이비드라이단계 밴드그리고 친환경 기저귀로 유명하다는 .?몰텍스몰텍스 까지 ], 긍정 텍스트 확률 : 75.27%"
"[보기만해도 뿌듯해짐내가 이런 분류에 행복함을 느낄줄이야모두 제 돈 주고 구매했어요 ], 긍정 텍스트 확률 : 95.87%"
"[직접 구매해서 사용해본 개인적인 후기입니다. ], 긍정 텍스트 확률 : 71.45%"
"[시중에는 정말 많은 기저귀가 있어요. 가격도 천차만별이죠.년정도는 매일 우리 아가의 몸에 밀착되어있고 특히나 여자 아가이기 때문에 고민이 많았어요.사실 기저귀와 친환경 이라는 말이 어울리진 않아요. 천기저귀나 완전 펄프로 만들어진 기저귀가 아닌 이상 인위적인 흡수제가 포함될 수 밖에 없고 환경에 영향을 주게 되어있으니까요.], 긍정 텍스트 확률 : 89.53%"
"[천기저귀 세탁에 큰 부담을 느꼈고 최대한 친환경 재료로 안전한 환경에서 생산된 기저귀를 사용하기로 했어요.이 포스팅에서는 각 기저귀의 재료에 대해서는 언급하지 않을거에요. 아마도 이 포스팅을 찾아 들어온 분들은 이미 해당 기저귀들에 대해서 어느정도 찾아보고 들어오신 분들일 것이고], 긍정 텍스트 확률 : 71.93%"
"[우리아기에게 잘 맞는지 이에요.], 긍정 텍스트 확률 : 71.20%"
"[가격은 매우 만족했어요. 아기도 발진 없이 백일정도 잘 지냈구요.슬슬 여름이 되고 아가가 뒤집기 시작하니 좀 더 얇은 기저귀를 찾아야 해서 기저귀 유목생활이 시작되었지요. ], 긍정 텍스트 확률 : 57.65%"
"[이렇게 보니 정말 두껍긴 하네요. 비오베이비 단점은 두께와 공급처가 많지 않다는것이었구요. 몰텍스두번째로 사용한 기저귀였어요. 두께와 흡수력은 매우 만족 특히 흡수력은 밤새 내내 견뎌도 보송보송할 정도로 만족했어요. 단점은 감촉이 뻣뻣한 편이고 사이즈가 약간 작아요. . 꿀벅지 우리 아가는 사이즈가 지금 약간 작아요. 또 뭉침이 조금 있는 편이라 활동하는 아가에게는 적합하진 않아보여요.결정적으로 사용한지 얼마 되지 않아 발진이 났어요 ㅠㅠ 그래도 한박스를 사서 아까워서 밤기저귀로만 사용하는데 그 뒤로는 발진이 없네요? 그래서 밤기저귀는 현재 몰텍스로 정착했어요. 밤보드림친환경 기저귀중 거의 유일하게 소변줄이 있어요. 사실 어느정도 애가 크니 소변줄은 큰 의미는 없더라구요. 이것은 장점도 단점도 될 수 있는 것이 기저귀 갈 타이밍을 잘 알 수 있지만 그만큼 헤프게 사용이 되어요.장점은 부드럽고 얇아요. 감촉이 정말 좋아서 여름 기저귀로 적합할것 같아요.단점은 흡수력이 다른기저귀에 비해 떨어져요. 약간 역류도 있고 순간 흡수력도 만족하지 못했어요.좀 늦게 갈아주니 축축하고 발진도 살짝 나더라구요.그래도 여름 한철 어찌저찌 잘 나고 또 기저귀 유목 ㅠㅠ 세븐스제너레이션체험팩 판매가 있어서 사용해 보았어요.장점은 아가에게 아주 찰떡같이 잘 맞아요. 밴드가 편하게 되어있어서 크기가 작아보이는데도 잘 맞더라구요. 흡수력도 좋고 두께도 괜찮았어요.단점은 가격 장당 원의 가격이어서 하루에 개 사용하기에는 무리가 있어서 제외했지요. ], 긍정 텍스트 확률 : 89.57%"
"[이상의 기저귀를 정리해보면두께 두꺼운 순서비오베이비 밤보네이쳐 몰텍스 밤보드림세븐스제너레이션부드러움밤보드림세븐스제너레이션 밤보네이쳐 비오베이비 몰텍스흡수력몰텍스 세븐스제너레이션 비오베이비밤보네이쳐 밤보드림가격 때에따라 다르지만 가장 싸게샀을때세븐스제너레이션 밤보드림 밤보네이쳐 비오베이비 몰텍스물론 제가 사용한 것을 바탕으로 지극히 주관적인것임을 알려드려요.현재 개월 . 제 아이는 낮에는 밤보네이처 단계 밤에는 몰텍스 단계를 사용하고 있어요. 몰텍스는 이제 좀 버거워져서 단계 넘어가야 할 것 같고 밤보네이쳐는 단계 좀 더 사용해도 될것 같아요. 물론 가장 좋은 기저귀는 아기에게 잘 맞는 기저귀 이겠지만 제 경험이 조금이라도 도움이 되었으면 좋겠어요. ], 긍정 텍스트 확률 : 93.98%"
"[함박이가 곧 개월이에요태어나서 개월까지는 하기스 네이쳐를 열심히 썼는데어느 날 갑자기 발진이 나더라고요 ㅠ.ㅠ 심하진 않았는데 첫 발진이라 놀라서 바로 기저귀를 바꾸기로 했습니다.저렴한 기저귀를 자주 바꿔주는 것도 좋지만 친환경 기저귀를 써보기로 했어요몰텍스 기저귀 들어보셨나요? ㅎㅎ독일에서 만들어진 친환경 기저귀입니다간단한 장단점 적어볼게요장점친환경 기저귀], 긍정 텍스트 확률 : 88.04%"
"[유럽 기저귀라 믿을만함], 긍정 텍스트 확률 : 54.23%"
"[흡수력이 하기스보다는 좋음단점약간 빳빳함], 긍정 텍스트 확률 : 84.97%"
"[알람 줄이 없어서 발진이 또 났음 ㅠㅠ 저는 알람 줄이 있어야겠더라고요 ㅠㅠ몰텍스 총 박스 사용했고], 긍정 텍스트 확률 : 93.20%"
"[.쿠팡에서 상품후기 보기 본 포스팅은 년 월 일에 작성되었습니다. ], 긍정 텍스트 확률 : 50.47%"
"[인터넷을 보니.? 에서 파는 것 같으나], 긍정 텍스트 확률 : 74.81%"
"[물론 이고요], 긍정 텍스트 확률 : 68.71%"
"[물론하는 일도 교육자이며], 긍정 텍스트 확률 : 58.83%"
"[지금은 아기 행동교육을 배우고 가르치고 있어요. 그 친구가 예전에 추천한 기저귀여서 저도 일찌감치 갈아탄 기저귀가 릴리두에요.], 긍정 텍스트 확률 : 97.91%"
"[설사를 한 적도 없어요신생아의 응아는 원래 묽으니까.. 그건 제외. 그래서 전 팸퍼스를 써도], 긍정 텍스트 확률 : 60.98%"
"[다른 오가닉], 긍정 텍스트 확률 : 54.98%"
"[전 마케팅의 노예거든요.릴리두는 디자인도 이쁘고], 긍정 텍스트 확률 : 81.34%"
"[고객센터도 쉽고 빠르게 연락이 닿고 문제가 있다면 문제 해결도 굉장히 빨라요. 또한 젊은 엄마들 사이에서 릴리두를 쓰면 센스있는 엄마. 이런 느낌이 강해요. 이것도 물론 마케팅의 효과인데], 긍정 텍스트 확률 : 70.09%"
"[액세서리 편집숍에 넣어둬서 패셔너블하고 센스 있는 엄마의 선택이라는 느낌으로 잘 가고 있지요.], 긍정 텍스트 확률 : 52.90%"
"[ 기저귀보다는 훨씬 부드럽고], 긍정 텍스트 확률 : 67.20%"
"[릴리두가 조금 더 저렴하고], 긍정 텍스트 확률 : 59.90%"
"[ .?베이비러브베이비러브 보다는 훨씬 비싸죠.], 긍정 텍스트 확률 : 63.01%"
"[얇기도 엄청 얇아서 여름에는 정말 짱이 있어요. 너무 부드러워서 독일에 가지고 오고 싶었던 기저귀였지요. 근데], 긍정 텍스트 확률 : 88.97%"
"[주 간격으로 배송을 받을 수 있으며], 긍정 텍스트 확률 : 57.92%"
"[구독해지는 물론 가능해요. 배송은 팩박스로 배송이 돼요. 한 박스 안에 배송되는 기저귀 수량은 바꿀 수 없어욧.아래 사진을 보면 기저귀 사이즈], 긍정 텍스트 확률 : 73.54%"
"[기저귀를 정기구독할 때는 . 사이즈를 선택하고], 긍정 텍스트 확률 : 56.01%"
"[. 물티슈 선택 여부릴리두 물티슈는 다른 독일 물티슈와 다르게 조금 두꺼워요], 긍정 텍스트 확률 : 75.27%"
"[물론 친환경 물티슈죠], 긍정 텍스트 확률 : 86.45%"
"[한국 분들], 긍정 텍스트 확률 : 73.42%"
"[말씀하시면 보내드릴게요. 인터넷에서 알아서 주문하셔서 저희 집으로 보내주셔도 되고], 긍정 텍스트 확률 : 90.44%"
"[팸퍼스 외 기저귀에서 유해물질이 나왔다고프랑스 잡지에서 기사를 실은 후오히려 프랑스보다 우리나라가 더 발칵 뒤집힌 것 같아요사실 저는 처음에는 별로 개의치 않았어요천 기저귀가 아닌 일회용 기저귀를 쓰는 한 몸에좋을 순 없다고 짐작해왔었고또 극미량의 유해물질도 기저귀 제조사에서 일부러 집어 넣은 게 아닌 의도치않게 생긴 것이라고 생각했기 때문에요하지만 이번 사태로 기저귀에 대한 관심을 처음으로 가져보면서 점점 기저귀를 바꿔봐야 겠다는 쪽으로 마음이 기울었어요 ], 긍정 텍스트 확률 : 79.28%"
"[ 흡수체는 발진없이 엉덩이를 보송하게 지켜주기위해 꼭 필요한 것이지만 비교적 최근의 화학물질이라 년대 개발 년대중반부터 기저귀에 사용 ], 긍정 텍스트 확률 : 66.93%"
"[밤보네이처예요덴마크프로 생분해성 물질 화학물질 무첨가무염소표백무향밀전분 흡수체미국 테스트 기관 블로그나 웹검색에서가장 많이 언급되고 좋은 평을 받는 게 밤보네이처여서 맘이 끌렸어요그외의 기저귀는 국내에서 구할 술 없는게 많았구요 브루디 칙], 긍정 텍스트 확률 : 51.99%"
"[네이쳐 베이비 케어 등가장 친숙했던 친환경기저귀 네띠는 이번 프랑스잡지에서 팸퍼스와 함께 리스트 되었어요모르시는 분들 많더라구요 그래서 제외세븐스 제너레이션은 화학물질 쓰는 걸 감추려고 로비하다 걸렸다는 기사가 있어요이것 저것 제외하다보니 남는 선택지가 지금으로서는 밤보네이처 뿐이었어요 ], 긍정 텍스트 확률 : 74.70%"
"[밤보네이처 단계팸퍼스 단계와 단계 중간정도의 크기예요일단 기저귀가 부들부들하고 흡수 잘되구요무향제품은 소변냄새가 강해서 싫었는데리베로처럼 소변냄새 심하지 않아요발진 없구요촌스러운 곰돌이가 조금 거슬리지만 눈감아 주려고해요아 한가지 단점이 있다면찍찍이가 잘 떼지지 않을때가 있어요ㅠ지금까지 찾은 유일한 단점이예요 ], 긍정 텍스트 확률 : 50.57%"
"[무산소표백], 긍정 텍스트 확률 : 66.02%"
"[어차피 우리 초보엄마들], 긍정 텍스트 확률 : 66.21%"
"[아기가 쉬 하자마자 갈아줄 수 없잖아요 저처럼 다들 수유할때 갈아주시지 않나요?? 시간에 한번씩...?저만 그런가요시간마다 갈아줌에도 아기의 엉덩이가 뽀송뽀송], 긍정 텍스트 확률 : 67.81%"
"[또한.?흡수체흡수체 가 나오지도 않았구요], 긍정 텍스트 확률 : 51.87%"
"[다리부분의 밴드로 많은 양의 응가에도 새어나오지 않았어요. 백조기저귀는... ], 긍정 텍스트 확률 : 62.98%"
"[요즘 ], 긍정 텍스트 확률 : 85.73%"
"[ 단계는 수급이 어렵다더라구요 ㅠㅠ그래서 가격도 조금 올랐구요. 물론 전 오르기전에 주문해서 잘 사용하고 있습니다만요제가 사용하는 리베로 뉴본], 긍정 텍스트 확률 : 92.12%"
"[단계는 스웨덴에서 만든 밴드형 기저귀입니다. 팬티형은 폴란드에서 만들었다고 해요. 퇴원 당시에도 키로가 채 되지 않았던 우리 아가..단계부터 시작했어요. .키로가 채 되지 않는 아가를 위한 단계도 있으나 수급이 정말 어려운듯 하더라구요. 현재 .키로인 저희 아가 단계 무리 없이 사용하고 있습니다. 단계를 제외한 모든 단계에 스웨덴 디자이너가 손으로 그린 북 유럽풍의 디자인이 되어 있구요], 긍정 텍스트 확률 : 84.45%"
"[저희 아가가 약간.?제대탈장제대탈장 증상이 있어 조심스러운 부분이었는데 요렇게 움푹 패여 있어 안심이 되었어요 국내기저귀 대비 상하가 좀 짧은 편이에요.], 긍정 텍스트 확률 : 98.06%"
"[리베로 뉴본 기저귀 단계는 한팩에 매], 긍정 텍스트 확률 : 57.53%"
"[리베로 기저귀 단계를 뜯어본 모습이에요. 요렇게 빡빡하게 장씩 열로 들어있어요.], 긍정 텍스트 확률 : 81.32%"
"[사이즈는 조금 차이가 있어요. 단계보다 확연히 큰 단계. 단계는 리베로가 ], 긍정 텍스트 확률 : 67.43%"
"[리베로에는 디자인과 더불어 소변 표시줄이 있고], 긍정 텍스트 확률 : 50.64%"
"[몰텍스는 하얀 깔끔함에 밴드에만 디자인을 주었어요. 그리고 두께 차이입니다. 몰텍스가 리베로보다 살짝 크고 두꺼워요.], 긍정 텍스트 확률 : 68.80%"
"[그에 반해 디자인엔 무심한듯 하면서도 밴드에 포인트를 준 깔끔한 몰텍스 디자인입니다.], 긍정 텍스트 확률 : 68.80%"
"[리베로뉴본과 몰텍스의 동일 사이즈 기준으로 비교샷입니다. 두 제품 모두 만족하며 사용하였지만 가성비로 저는 리베로 기저귀를 재구매하여 사용하고 있습니다. 리베로 기저귀는 장시간 미교체시 소량의 흡수체가 새어나오기도 합니다 ㅠㅠ요건 엄마탓이므로 전 감안하고 사용하고 있습니다. 전체적으로 리베로 기저귀가 조금 더 슬림하고 디자인 중심적인 면에서 우위에 있구요], 긍정 텍스트 확률 : 98.66%"
"[ 건복이 기저귀클로즈 천기저귀와 밤보네이처 일회용기저귀의 콜라보 ], 긍정 텍스트 확률 : 68.70%"
"[천기저귀와 친환경기저귀의 콜라보... ], 긍정 텍스트 확률 : 72.05%"
"[건복이 궁딩이와 찰싹 붙어있는 기저귀였다 ], 긍정 텍스트 확률 : 69.25%"
"[우리 아가들은?????????? ], 긍정 텍스트 확률 : 72.44%"
"[생리대는 의약외품이지만], 긍정 텍스트 확률 : 61.82%"
"[마음을 바꿔 하루에 한번이라도 천기저귀를 실천하기로. ], 긍정 텍스트 확률 : 76.14%"
"[건복이 출산전에 베페에 가서], 긍정 텍스트 확률 : 63.56%"
"[ 그리고], 긍정 텍스트 확률 : 70.21%"
"[내가 직접 구입한 클로즈 천기저귀 ], 긍정 텍스트 확률 : 50.85%"
"[이유베베에서 이유식 준비하면서 좋은 상품 체험단으로 경험할수있어 이유베베보베베에 대한 이미지가 넘나 좋은 것 ], 긍정 텍스트 확률 : 85.79%"
"[←실제 사용후기], 긍정 텍스트 확률 : 65.82%"
"[ 하루 장의 천기저귀 소화는 충분히 해내는 클로즈 천기저귀 커버.], 긍정 텍스트 확률 : 67.93%"
"[요즘은 또 햇빛이 좋아서 저녁내 빨고 건조대에 널면], 긍정 텍스트 확률 : 80.84%"
