"[ 우리집 아기는 큰 볼일을 보면 꼭 새 기저귀 한 개 이상은 버리게 되는데 다 끝났다.... 싶어서 새 기저귀를 갖다 대면 또 싸고], 긍정 텍스트 확률 : 76.15%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[단계 일회용 포그니기저귀이웃신청하시면 새글알림으로 많은 정보를 얻어가실 수 있습니다해당 제품의 정보는 제품 게시자에 의해 수정], 긍정 텍스트 확률 : 64.09%"
"[변경될 수 있습니다이 포스팅은 쿠팡 파트너스로부터 일정액의 커미션을 대가를 받고 작성된 광고입니다. ], 긍정 텍스트 확률 : 84.05%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매구독하셔서 새로운 정보를 매일매일 만나보세요제휴마케팅 제품의 가격 및 정보는 변경될 수 있습니다 ], 긍정 텍스트 확률 : 95.93%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매입블로그 이웃신청으로 많은 핫딜], 긍정 텍스트 확률 : 58.41%"
"[특가정보를 얻어가실 수 있습니다변동된 제품에 대한 정보 및 가격정보는 사이트를 확인하시기 바랍니다 ], 긍정 텍스트 확률 : 65.70%"
"[ 원에 판매되고 있습니다. ], 긍정 텍스트 확률 : 64.98%"
"[포스팅시점의 판매금액입니다. ], 긍정 텍스트 확률 : 83.89%"
"[실제 판매금액은 당사홈페이지에서 직접확인해주세요 ], 긍정 텍스트 확률 : 50.86%"
"[기저귀 갈아줄때 순간에도 응가나 쉬를 하길래], 긍정 텍스트 확률 : 59.50%"
"[그 순간에 엉덩이 밑에 까는 용도로 쓰고 있어요월 더울 때 썼는데 기저귀 벗겨놓기에도 유용하게 잘 썼어요 ], 긍정 텍스트 확률 : 54.09%"
"[ 상품후기는 실제 구매자의 사례로 구성되어 있습니다 ], 긍정 텍스트 확률 : 72.59%"
"[ 이 포스팅은 쿠팡 파트너스활동의 일환으로], 긍정 텍스트 확률 : 50.43%"
"[이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[.쿠팡에서 상품후기 보기 본 포스팅은 년 월 일에 작성되었습니다. ], 긍정 텍스트 확률 : 50.47%"
"[할인중인 상품 유아물티슈 ], 긍정 텍스트 확률 : 64.69%"
"[현재 제품 정보는 쿠팡 품목으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 67.30%"
"[이 포스팅은 제휴마케팅이 포함되며 광고로 이에 따른 수수료를 제공받습니다. ], 긍정 텍스트 확률 : 52.32%"
"[병원마다 기본적으로 요구하는 것들이 다르기도 하고 병원에 비치되어 있는 물건 ], 긍정 텍스트 확률 : 86.09%"
"[그리고 출산가방은.. 빨리 싸놓아도 좋은거같아요. 특히 둥이는 막달에 정말 너무 힘들어서 움직이는것조차 얼마나 귀찮고 힘들고 싫던지... 가방싸는것도 미루고미루다 거의 며칠전에 준비했네요엄마용품필수용품. 머리끈모유수유 할 때 머리 묶고 가야하기 때문에 필요해요. 세면도구병실에는 비치되어 있는 손소독제 외에 아무것도 없답니다다인실기준. 그래서 기본적인 개인이 쓰는 세면도구를 꼭 챙겨가셔야해요. 샤워용품도요.. 수면양말산모들에게 꼭 필요하죠. 병실밖이나 엘레베이터 안은 좀 추워서 꼭 챙겨가셔요. 수건갯수는 알아서. 꺽이는 빨대자연분만 산모에게는 해당되지 않을 수도 있지만 제왕절개를 한 산모들에게는 필수품이랍니다. 수술한 당일은 일어나지도 못해서 그 다음날도 힘들기에 누워서도 마실수 있도록 꺽이는 빨대가 꼭 필요해요. 휴대폰충전기. 슬리퍼. 물티슈두루마리휴지. 수유나시수유브라저는 입원해 있을 때는 사용안했어요. 수술일째부터 모유가 나오기 시작해서 옷이 좀 버리긴 했는데 매일 새옷을 주기도 하고 입고 벗고가 더 힘들거 같아서 수술때문에 그냥 안입고 돌아다녔네요 어차피 수유실 갈때는 브라랑 나시 다 벗고 오라고해요. 또 시간 마다 유축을 하니 그냥 저처럼 무던..하신 스타일이시면 선택사항이 될 수도 있겠습니다용], 긍정 텍스트 확률 : 99.54%"
"[ 임신주 마지막임산부정기검진 둘째출산가방 ], 긍정 텍스트 확률 : 75.55%"
"[드디어 마지막 임산부정기검진. ], 긍정 텍스트 확률 : 76.84%"
"[마지막 임산부모습찰칵.이제 배가 많이부르고 또방이가 밑에서 노는지앉아도 누워도 서있어도 불편하다], 긍정 텍스트 확률 : 56.27%"
"[임신주 태동검사분소요시작 태동이 느껴질때마다 누르면돼요이상없으니출산준비물 잘 챙겨서 일월요일 오전시까지 병원으로 오세요. ], 긍정 텍스트 확률 : 82.80%"
"[ 철분제], 긍정 텍스트 확률 : 57.16%"
"[드디어출산가방을준비완료했네요 ㅎㅎ남은요일동안 별일없이 편안하게 즐겨야겠어요 후에 둘째출산후기로 돌아올께요 순산할수있도록 응원해주세요 ], 긍정 텍스트 확률 : 96.64%"
"[역시 밀린일기.에 쓰는 주.?임산부일상임산부일상아기 블랭킷 ], 긍정 텍스트 확률 : 50.33%"
"[드디어 포근이용 아기블랭킷과 침대 매트 완성 ], 긍정 텍스트 확률 : 60.87%"
"[박다보면 혼자 이만큼 원단이 남아서 다시 다 뜯어내고 박고 뜯어내고 박고 하다가 결국 손으로 공구르기 해서 완성했다. 그래도 마지막 부분이 늘어나서], 긍정 텍스트 확률 : 93.95%"
"[ 산부인과 라인파티 주 일기이지만 주때 다녀왔던 행복가득 산부인과 라인파티.대충 블로그 후기 검색해보니], 긍정 텍스트 확률 : 60.86%"
"[자리에 앉았더니 준비 되어있는 점심. 모여있는 산모들중에 내가 제일 맛있게 빨리 먹은것 같다 ........... 식욕 무성 ㅠㅠ 포근이 살쪄서 과일 먹으면 안되는데 과일도 한컵 뚝딱], 긍정 텍스트 확률 : 82.65%"
"[간단한 스트레칭 및 지압법도 배우고 출산시 필요한 몇가지 준비물도 알려주셔서 메모하고 마지막 분 분? 만에 만든 기저귀 케이크 들고 집으로. ], 긍정 텍스트 확률 : 81.31%"
"[남편이 바쁘다 바빠칼국수중 유일하게 좋아하는.?명동교자명동교자 .], 긍정 텍스트 확률 : 88.90%"
"[그간 먹어본 냉면중 최고라고 생각하는 화성.?청학동칡냉면청학동칡냉면 . 그런데 이때는 뭔가 잘못되었는지 다음날 화장실을 번넘게 들락날락 했다. 너무 매웠던건가. 그래도 또 가자고하면 또 가고싶은곳], 긍정 텍스트 확률 : 99.97%"
"[하루 딱 한잔 연하게 또는 디카페인으로 먹는 커피는 세상에서 제일 맛있음 ㅠ ㅠ 달달한 케이쿠랑 함께하면 더 끝내주는 커피.이날은 딸기타르트가 먹고싶었는데], 긍정 텍스트 확률 : 98.24%"
"[진새 추천으로 먹어본 가로수길.?미스터홈즈베이크하우스미스터홈즈베이크하우스 . 가지 샀는데 그중에 제일 맛있었던 페레로로쉐 크로와상그자리에서 두세개도 먹을수 있겠다 싶지만], 긍정 텍스트 확률 : 86.30%"
"[신사동.?한잔의추억한잔의추억 . 이날도 사실 한추 통닭을 먹으러 갔는데 옆테이블에서 먹는 떡볶이 보고 시켜버림 떡 완전 쫄깃쫄깃. 옆테이블 요 떡볶이에 소주 한병씩 걸치고 나가던데 으흐흐 나두 마시고프다.], 긍정 텍스트 확률 : 84.63%"
"[사탕도 먹고 배도 흔들고 했더니 그래도 조금 움직여 주었다. 검사 결과는 정상 모든 검사에서 속썩이는일 없이 다 건강하게 정상정상이라 고마워 귀여마♥ ], 긍정 텍스트 확률 : 99.80%"
"[ 신생아선물 아기내복 아가방 포그니종세트 조으다 ], 긍정 텍스트 확률 : 71.60%"
"[신생아선물 아기내복 아가방 포그니종세트 조으다 ], 긍정 텍스트 확률 : 71.60%"
"[둘째는 이래저래 참 서럽습니다.첫째아이때만큼 축하도 못받고기저귀든 분유든 첫째 형아꺼 만큼 좋은걸 못해주고아기옷도 전부 형아꺼 또는 주위에 얻어서 입히고 있어요 ㅋㅋ저도 둘째여서 우리아이만큼은 둘째여도 첫째랑 똑같이좋은거 해주고 사줘야지 했지만...현실은 미안미안 ㅋㅋ그래도 신생아선물 ], 긍정 텍스트 확률 : 98.07%"
"[아가방 포그니종세트 덕분에우리 괌둥이 이번 겨울은 따뜻하게 보낼 수 있을 것같아요.], 긍정 텍스트 확률 : 98.78%"
"[아기내복 출산선물 세트로 구성이 참좋게 나왔네요.이쁜 아가방 박스에 상의], 긍정 텍스트 확률 : 50.73%"
"[ 그리고 우주복], 긍정 텍스트 확률 : 70.21%"
"[턱받이세트로 구성된아가방 신생아선물 추천], 긍정 텍스트 확률 : 59.08%"
"[난방 따뜻하게 하면아이가 가볍게 입기 좋아요 ], 긍정 텍스트 확률 : 98.00%"
"[아가방 턱받이 앙증맞죠?세트구성에 있어 더 좋다는거우유먹일때 턱받이는 필수필수그리고 사진찍을때 턱받이하면 얼마나 귀여운지 후훗 ], 긍정 텍스트 확률 : 76.49%"
"[미니미네는 벌써 크리스마스 준비?ㅎㅎ아기우주복 입고 턱받이는 필수일 된 괌둥이군], 긍정 텍스트 확률 : 68.45%"
"[누워서 발버둥치기 연습몇개 더 장만하고싶은 아가방 아기내복이번 겨울], 긍정 텍스트 확률 : 75.94%"
"[신생아선물 포그니종세트로따뜻한겨울 보낼것같아요 ], 긍정 텍스트 확률 : 96.44%"
"[본 포스팅은 아컴서포터즈로서 제품만을 제공받아 체험 후 작성한 개인적인 후기입니다. ], 긍정 텍스트 확률 : 62.86%"
"[과거형], 긍정 텍스트 확률 : 56.23%"
"[ 선물 받았어요], 긍정 텍스트 확률 : 50.43%"
"[산후조리원에서 나와 본격적으로 육아헬에 허우적이고 있을 때], 긍정 텍스트 확률 : 80.84%"
"[그 당시엔 시댁과 분 거리에 거주하고 있었기 때문에 가야지], 긍정 텍스트 확률 : 85.84%"
"[는 어머님의 말씀에 감사한 마음과 함께 폭풍 수다.], 긍정 텍스트 확률 : 95.89%"
"[저 혼자 떠들어도], 긍정 텍스트 확률 : 57.68%"
"[기분 좋은 미소를 지으며 들어주시는 어머님이세요. ], 긍정 텍스트 확률 : 75.45%"
"[어머님 짱 ], 긍정 텍스트 확률 : 95.80%"
"[시댁 어른들 성격이 모두 시원 시원], 긍정 텍스트 확률 : 91.15%"
"[포그니 기저귀를 사용 중], 긍정 텍스트 확률 : 54.39%"
"[이었어요. ], 긍정 텍스트 확률 : 56.31%"
"[아무래도 신생아다 보니 자주 갈아줘야 하기 때문에 일부러 저렴한 기저귀를 택했는데], 긍정 텍스트 확률 : 53.70%"
"[보솜이], 긍정 텍스트 확률 : 51.21%"
"[소변 양도 많은 아이인데 착용하고 있으면 금방 새기 일쑤], 긍정 텍스트 확률 : 84.25%"
"[가 들어있고], 긍정 텍스트 확률 : 51.06%"
"[할 수 있어요. ], 긍정 텍스트 확률 : 61.76%"
"[이 뛰어난 ], 긍정 텍스트 확률 : 81.46%"
"[오가닉 코튼이 함유되어 있어], 긍정 텍스트 확률 : 72.69%"
"[해줍니다.], 긍정 텍스트 확률 : 55.41%"
"[오가닉 코튼이란? ], 긍정 텍스트 확률 : 51.89%"
"[생산된 면화입니다.], 긍정 텍스트 확률 : 74.20%"
"[기저귀 속의 ], 긍정 텍스트 확률 : 71.04%"
"[하여 아기 엉덩이가 항상 보송보송합니다. ], 긍정 텍스트 확률 : 50.85%"
"[대한 아토피 협회공식 인증기관의 ], 긍정 텍스트 확률 : 67.22%"
"[으로 더욱 안심하고 사용하세요. ], 긍정 텍스트 확률 : 92.23%"
"[보솜이 디오가닉만의 매력 첫 번 째], 긍정 텍스트 확률 : 61.66%"
"[보솜이 디오가닉의 ], 긍정 텍스트 확률 : 50.36%"
"[샘방지 안심가드와 다리밴드가 이중으로 옆샘을 방지 해줍니다. ], 긍정 텍스트 확률 : 68.10%"
"[낚시터를 운영 하시느라 바쁘신 시부모님임에도 불구하고 ], 긍정 텍스트 확률 : 59.89%"
"[한없이 부족한 며느리지만 항상 딸처럼 예뻐해주는 어머님], 긍정 텍스트 확률 : 94.39%"
"[매번 챙겨주셔서 너무 감사합니다. 앞으로 더 잘 할게요. 사랑합니다. ], 긍정 텍스트 확률 : 96.93%"
"[본리뷰는], 긍정 텍스트 확률 : 51.74%"
"[입니다. ], 긍정 텍스트 확률 : 75.73%"
"[일 새벽 내 똥강아지 탄생♥️후.. 출산후기도 시간되면 써야지 ㅎㅎ내가 내가아니였던 시간...🤦♀️ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ일단 조리원 가격이 매우 저렴의도치 않게 제일 저렴한 방 갔는데 주에 옆 병원은 후반대 정도던데...😱근데 나 그 옆병원 가고싶어서 ㅋㅋㅋ 임신 주에 전화했더니 대기 번이였음😱 그냥 포기하라함...휴 독일에 살고있었던게 죄였다 힝여튼 본론으로 돌아와서 입원 박일 후 조리원입성 건물이 따로인데 이어져있는 구조라 아가 델뀨 엘리베이터만 타면 됨 ☺️하베맘은 이나 정 안되면 특를 원했음뭥미 특 딱 하나 남았다 함.........실망 가득히 입 댓발로 튀어나와서 갔는데뭐 생각보다 괜츈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ나중에 옮겨준다 했는데 그어마어마한 짐들을 다 옮기기 귀찮아서 그냥 지낸다 함 ㅎㅎㅎㅎ신생아실 선생님들 모두 친절하고 좋았으나 다른 산후조리원은 실장님?들이 가슴 마사지 해준다던데여기는 그런건 없음 분유는 아이엠마더고 젖병은 그린맘 기저귀랑 물티슈는 포그니? 기저귀 쓰심수유하는데 수유 쿠션 빠는거 못봤음 ㅠㅠ 어떤 애기 거기 토하던데... 난 그자리 절대 안앉음.머리 묶은 키 크시고 날씬하신 조금 젊은 선생님이랑 약간짧은단발 파마 선생님 공주야 공주야 하는 눈웃음 예쁜 중년 선생님 두분이 젤 친절하시고 아기 진심으로 예뻐해주시는거 같았음 아직 기억에 남을정도😄밑에는 성모여성병원 카페에 급하게 쓴 후기인데 베베숲 물티슈 한박스 보내주셨다너무 감사한데 ㅋㅋㅋ 지마켓으로 주문하셔서 김기홍보냄. 이렇게 와서 ㅋㅋㅋㅋ베베숲 본사에 전화해보고 난리났음짧은순간이였지만 나의 비밀스런 키다리아저씨인줄? ㅋㅋㅋㅋㅋㅋ내가 생각하는 제일 큰 단점은 역시나 밥임.맛없다.................... 솔직히 반찬 밥 손안대고 미역국국물만 억지로 먹은적 번이상임.양은 쓸데없이 많고 메뉴겹치기도 많고 맛도 없음........성모여성병원 입원실 밥은 점 만점에 점 조리원 밥은 점 정도임.그래도 가성비면에서는 좋은거 같음. ㅎㅎㅎㅎ .?대구성모여성병원대구성모여성병원.?성모여성병원산후조리원성모여성병원산후조리원 ], 긍정 텍스트 확률 : 99.90%"
"[ 출산 후 성모여성병원 조리원 이용 했어요 ㅎㅎ출산 후 조리원입실하려는데 제가 낳은 주에 아가가 많았는지 방이 딱 개 특밖에 안남았었어요 ㅠㅠ원래나 특 가고 싶었는데 아쉬웠습니다방이 나오면 옮겨주신다 하셨는데 짐도 많고 귀찮아서 그냥 지냈는데 만족스러웠어요 ㅎㅎ특의 단점은 산모복이랑 빨래 찾으러 좀 걸어야 하구 수유실 가려면 층으로 엘리베이터 타고 가야해요 그리고 복도식? 으로 신발 벗어두고 들어가는 방식인데 누가 제 슬리퍼에 식판을 쏟았는지 음식물이 잔뜩 묻어있어서 굉장히 기분이 나빴어요ㅡㅡ장점은 마사지실이 가깝고 골반교정기랑 반신욕기가 가깝다는 점 입니다빨래는 하루에 한번씩 산모빨래 해주시고 청소도 아침에 여사님이 해주십니다 ㅎㅎ 이불은 일주일에 한 번 교체되고 원하면 더 교체 해 주신대요 ㅎㅎ신생아실 선생님들 모두모두 친절하셨구요 아가 진심으로 이뻐해주시는 모습에 감사했어요수유콜은 언제나 산모 스케줄에 따라 유동적으로 할 수 있구요저는 프로그램은 하나도 듣지 않았어요 은근 바쁘기도 했고 쉴 시간도 별로 없었어요 ㅠㅠㅋㅋㅋㅋ마사지는 저는 마유로 번 받았어요 스톤으로 박박 밀어주시고 랩핑해 주시는데 시원했어요 ㅎㅎ 배도 거의 다 들어갔구요저에게 있어 가장 중요했던 식단 ㅋㅋㅋ일단 방으로 가져다 주신거는 진짜 좋았어요 ㅎㅎ 한상에 잘 모르는 산모님들이랑 같이 먹으면 약간 뻘쭘 할 거 같기도 ㅎㅎ 그리고 생각외로 수유콜 가고 하다보면 밥 시간 못 맞출 때 많더라구요 ㅎㅎ개인적인 의견으로는 양은 조금 줄여도 퀄리티는 조금 높여주셨으면ㅋㅋ 홍합 미역국 비린내 많이 나요ㅠㅠ. 그리고 반찬도 손 안가는것도 꽤 많구 ..제가 초딩입맛에 까탈시러운 사람이라 그럴 수도 있어용ㅋㅋㅋㅋ사진은 제가 마음에 드는날만 찍었어요 ㅋㅋㅋㅋ그치만. 전반적으로 만족스러웠습니당가성비 갑👍👍👍 ㅎㅎㅎ ], 긍정 텍스트 확률 : 92.80%"
"[ 나의 첫 포스팅 ♥ 엘리자벳 산후조리원 후기 ♡ ], 긍정 텍스트 확률 : 99.42%"
"[사랑이다..♡둘째 계획도 있는나 이레맘은 둘째 또한 엘리자벳 산후조리원으로 할것이다 ], 긍정 텍스트 확률 : 97.14%"
"[ 음식이 맛있다 ], 긍정 텍스트 확률 : 51.21%"
"[이레맘은 먹는걸 좋아한다. 제일 중요하게 생각 한다. 몇가지 사진 올려보려한다. 총 끼가 나온다 아침 점심 저녁 점심후 간식 저녁후 간식 산후조리원은 먹다가 모유수유 했다가 맛사지 받다가 하면 끝나는듯 ㅋㅋ ], 긍정 텍스트 확률 : 89.65%"
"[ 시설이 좋다 ], 긍정 텍스트 확률 : 71.84%"
"[이레맘이 꼼꼼하게 포스팅 해보겠다...난실.. 입덧으로 고생하고], 긍정 텍스트 확률 : 71.05%"
"[실내 모습이다. 나름 엔틱으로 꾸며져 있다...], 긍정 텍스트 확률 : 56.75%"
"[ 샤워타올은 기본 제공이다. ], 긍정 텍스트 확률 : 56.86%"
"[ 방으로 들어가기전 복도 내부 모습이다엔틱스퇄이다 역시 복도 바닥 자체도 따끈 따끈하다이또한 세심한 배려], 긍정 텍스트 확률 : 99.43%"
"[ 층 카페 모습이다 청소시간이 될때면 엄마들은 층으로 내려와 따뜻한 결명자차를 마신다 카페 직원분들이 엄청 친절하고], 긍정 텍스트 확률 : 96.68%"
"[텀블러 없을때는 머그컵에 주기도 함. 여긴 만남의 장소기도 하다. 시댁], 긍정 텍스트 확률 : 57.68%"
"[친구 지인들이 올때면 여기서 로 애기도 볼수 있고], 긍정 텍스트 확률 : 60.51%"
"[이야기 할수도 있는 공간이다.지인들과 이야기 할때면 센스 넘치는 직원들이 엄마에게는 무조건 결명자차를 준다 ], 긍정 텍스트 확률 : 95.50%"
"[ 양말 등을 세탁해준다 오늘 왼쪽 통안에 세탁물을 넣으면 그담날 바로 층에서 찾아 갈수있다. 남편 속옷등 옷은 세탁 불가.. ㅋ휴지 수건 수유복 수유원피스 바지 등등 비치되어있다 항상 이렇게 가득 가득 채워져있어서], 긍정 텍스트 확률 : 62.12%"
"[땀범벅으로 힘든 엄마들에게 쾌적하게 해준다 상주하는 남표니 옷들도 비치 되어 있다.. 대에박 세심], 긍정 텍스트 확률 : 85.42%"
"[ 콩이], 긍정 텍스트 확률 : 51.21%"
"[ 대박], 긍정 텍스트 확률 : 89.27%"
"[무조건 싼 기저귀백조], 긍정 텍스트 확률 : 87.99%"
"[포그니를 구입해서 자주 갈아주는게 최고라고 했지만], 긍정 텍스트 확률 : 75.42%"
"[킨도는 신생아용이 있는지 모르겠으나], 긍정 텍스트 확률 : 52.93%"
"[단계여도 몸무게 보고 구입함 ], 긍정 텍스트 확률 : 56.95%"
"[킨도 기저귀 앞면], 긍정 텍스트 확률 : 52.47%"
"[귀여운 캐릭터와 간단한 소변 알림 한 줄. ], 긍정 텍스트 확률 : 79.78%"
"[ 흡수력이 굉장히 좋다. 그 때문에 꽤 오랜 시간 차고 있어도], 긍정 텍스트 확률 : 96.81%"
"[뽀송한 상태를 유지해줘서 그런지 있던 발진도 없어졌다. 신생아가 착용하기엔 다소 큰 느낌이 있으나], 긍정 텍스트 확률 : 78.95%"
"[판매되고 있는데], 긍정 텍스트 확률 : 68.65%"
"[금방 매진이 되서 구하기가 너무 힘들다최고의 단점 한 번 구입할 때], 긍정 텍스트 확률 : 99.06%"
"[하나 남은 것 겨우 사오거나], 긍정 텍스트 확률 : 55.56%"
"[늘 매진되어 있어], 긍정 텍스트 확률 : 84.79%"
"[어쩔 수 없이 다른 기저귀를 살 수 밖에 없는 상황이 온다는.. ], 긍정 텍스트 확률 : 69.89%"
"[자주 갈아주기 좋다고 엄마들 사이에서 유명해서 한 번 구입해봄. ], 긍정 텍스트 확률 : 61.45%"
"[전체적인 재질이 굉장히 부드러워서 놀랬다. 아이의 허벅지에 닿는 직접적인 부분은], 긍정 텍스트 확률 : 60.51%"
"[이 때 몸무게], 긍정 텍스트 확률 : 77.37%"
"[소변 표시 확인줄 . 있을 것은 다 있다.원단이 워낙 부드러워서], 긍정 텍스트 확률 : 55.97%"
"[사진에서 보이는 것과 같이], 긍정 텍스트 확률 : 92.90%"
"[강남 엄마들과 강남 조리원에서 이 기저귀를 사용하고], 긍정 텍스트 확률 : 63.02%"
"[기저귀가 일단이쁘다. ], 긍정 텍스트 확률 : 53.73%"
"[중으로 샘방지 기능이 갖춰져있고], 긍정 텍스트 확률 : 66.51%"
"[프라임 펄프로 아이의 엉덩이를 뽀송하게 해준다고 했다.], 긍정 텍스트 확률 : 67.05%"
"[순면 감촉이라던데], 긍정 텍스트 확률 : 50.47%"
"[만져보면 군 기저기와는 다른 부드러움이 느껴진다. 아이가 변을 봤을 때], 긍정 텍스트 확률 : 72.91%"
"[막상 후기를 적다보니 좋은 기저귀에 속하는구나.. ], 긍정 텍스트 확률 : 83.01%"
"[. 하기스 남자용 ], 긍정 텍스트 확률 : 50.34%"
"[남자여자로 분류되어 있는게 특징.남녀공용도 있음. 공용이 금액적으로 조금 싸다. 다른 기저귀들과 비슷하게 귀여운 캐릭터와 소변 알림줄이 있음. 소변 알림줄이 화려함ㅎㅎ ], 긍정 텍스트 확률 : 99.71%"
"[화려한 알림줄..ㅋㅋ ], 긍정 텍스트 확률 : 67.47%"
"[아이의 중요 부분이 습해져있다. 다시 시작된 발진. 변도 몇 번 샘. 아기 속싸개에 몇 번 묻었음. ], 긍정 텍스트 확률 : 94.47%"
"[개인적으로는 마음에 안든다. 날개 부분에 아이 다리가 쓸리고], 긍정 텍스트 확률 : 63.32%"
"[배도 쓸려서 붉게 자국이 남는다.. 팸퍼스 스와들러 센서티브 ], 긍정 텍스트 확률 : 61.19%"
"[흡수력이 좋아], 긍정 텍스트 확률 : 77.30%"
"[뭔가 흡수력 좋다는 소문에 맞게], 긍정 텍스트 확률 : 81.58%"
"[다른 기저귀들과는 다른 구조다. 망사같은 부분이 있어], 긍정 텍스트 확률 : 75.23%"
"[흡수력이 좋았으나], 긍정 텍스트 확률 : 77.30%"
"[금액대가 비싸다는 흠이.. ], 긍정 텍스트 확률 : 55.30%"
"[킨도랑 크게 다를 바를 못느낌.개인적으로 만족하는 순위를 언급하자면..킨도팸퍼스벨라보솜이 천연코튼군보솜이 디오가닉하기스참 아기 한 달 키우는게 기저귀 많이도 사용했구나...우야둥둥 킨도가 최고인 것 같다.. ], 긍정 텍스트 확률 : 94.12%"
"[ 베베앙 포그니 퍼즐매트 최고에요 ], 긍정 텍스트 확률 : 98.85%"
"[베베앙 포그니 퍼즐매트아주 잘 사용하고 있어요 굿 ], 긍정 텍스트 확률 : 95.83%"
"[뎐이 방을 새로 꾸며주면서베베앙 포그니 퍼즐매트를 들여놓았어요 ▽▽▽ ], 긍정 텍스트 확률 : 74.46%"
"[주정도 사용하고 있는데아주 굿이라서 보여드리고싶어 다시 찾아왔어요 ], 긍정 텍스트 확률 : 98.15%"
"[뎐이는 걸음마보조기가 없어요그런데 어느날 갑자기기저귀함을 잡고 아장아장 한두발 내밀며 스스로 걷더라고요 하지만 금방 철퍼덕 주저앉아요아직은 기어다니는게 더 편한 개월 아기에요 ], 긍정 텍스트 확률 : 58.20%"
"[누군가 앞장서서 기어가면 뎐이는 따라가는 놀이를엄청 좋아하는데한번은 제가 맨바닥에서 뎐이랑 놀아주다가제 무릎 다 까져버리는줄 알았어요ㅠㅠ얼마나 아프던지그때 든 생각이어머], 긍정 텍스트 확률 : 65.20%"
"[뎐이는 얼마나 아플까 ㅠㅠ 였어요베베앙 포그니 퍼즐매트 위에서는 걱정없어요전혀 무릎에 무리가 가지 않아요매트위에서는 기어다니는 속도가빠름빠름빠름], 긍정 텍스트 확률 : 92.44%"
"[얼마전 친언니랑 조카가 놀러왔었는데뎐이랑 둘이 콩닥콩닥 어찌나 잘 놀던지ㅎㅎ조카가 저희집에 와서 제일 먼저 들어간 방이바로 요기 뎐이 방이였는데요와 방바닥에 이쁜거 있어요 이말을 제일 먼저 했어요뿌듯하기도하고조카선물로 챙겨줘야겠다 싶었지요], 긍정 텍스트 확률 : 99.42%"
"[조카는 그새 자기도 컸다고동생 뎐이를 얼마나 잘 돌봐주는지제가 너무 편했어요ㅎㅎ ], 긍정 텍스트 확률 : 79.63%"
"[모든 놀이도 뎐이 눈높이 맞춰뎐이가 원하는대로 놀자고 하는 이쁜 조카♥ ], 긍정 텍스트 확률 : 99.76%"
"[베베앙 포그니 매트 위에서는 아무리 탕탕 내리쳐도 안아프니저러고 있어요 ], 긍정 텍스트 확률 : 62.94%"
"[요건 제가 놋북하고 있는데 갑자기 발라당 누워버렸어요왼쪽 사진보시면 아시겠지만콩 하고 떨어지다싶이 누웠는데 울지않아요무슨일있냐는듯 옹알옹알ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 59.96%"
"[뭐든 잡고 바닥에 탕탕탕맨바닥에 탕탕할때는 뎐이 손에 든걸 뺏기 바빴는데퍼즐매트 위에서는 냅둬요층간소음 베베앙 포그니 퍼즐매트가 잡아줄테니까요], 긍정 텍스트 확률 : 83.41%"
"[개월이 뭘 아냐고 생각할수 있는데요다 알아요. 정말 놀라울정도로.맨바닥에서도 놀기는 하지만철퍼덕 엎드린다거나 발라당 눕고 싶을땐 기가막히게 매트 위로 올라가요깜짝놀랄정도베베앙 포그니 퍼즐매트로화사하게 아기방 인테리어도 되고우리아기 안전하게 보호하기도 하고층간소음도 잡고이건 뭐 꿩먹고 알먹고 도랑치고 가재잡고님도보고 뽕도따고입아프게 여러말 할 필요있나요베베앙 포그니 퍼즐매트 최고에요 ], 긍정 텍스트 확률 : 99.76%"
"[ 본 포스팅은 제품만을 무상으로 제공받아 작성한 솔직한 후기입니다], 긍정 텍스트 확률 : 51.97%"
"[ 마감 마켓 오픈 블랑니트슈트], 긍정 텍스트 확률 : 51.44%"
"[.?오늘오늘 ], 긍정 텍스트 확률 : 86.14%"
"[블로그에서을 처음으로 시작하게 됐어요처음으로 진행하는에서는 아이들의 겨울을 한층 더 따뜻하고 멋스럽게 연출할 수 있는 상품들로 꾸며봤어요다양한 디자인의 니트로], 긍정 텍스트 확률 : 93.09%"
"[따뜻하면서도 실용적이고], 긍정 텍스트 확률 : 96.76%"
"[스타일리쉬하게 코디 가능한 아이템들은 준비했답니다 저는 지금 의류와 관련된 일을 하고 있어요. 그리구 작년 월], 긍정 텍스트 확률 : 79.83%"
