"[쓰고있던 기저귀가 얼마 남지않아 추가주문을 위해 검색하다가 알게 된 기저귀 샘플체험싸이트 써봄여태까지 사용해본 기저귀는하기스 매직핏과 네이쳐메이드], 부정 텍스트 확률 : 74.44%"
"[소식없이 날라온 기저귀 한박스당첨되었다니 아 이런건 연락없이 오기도 하는 구나넘나 반가운 것], 부정 텍스트 확률 : 82.99%"
"[그래서 오자마자 바로 꺼내서이렇게 사진부터 찍어주고 ], 부정 텍스트 확률 : 68.47%"
"[전에는 몰랐던 기저귀를 쟁여놓을때마다 든든한 기분이 드는 건???얘들도 한데 같이 넣어줘야지 기저귀가 넉넉하게 있는 기분이 상당히 든든한 느낌은 왜일까???하핫 얘들은 여름 기저귀로 딱이렸다흡수력 좋고 핏 가벼워서 아가엉덩이가 이뻐보이게 해주고베이비드라이는 다리가 자꾸 긁혀서 미세하게조금 신경쓰이는데 크루저는 아직 그건 모르겠고크루저만 쓸까 아님 페넬로페랑 번갈아 쓸까 고민중이다.이쁜건 페넬로페고밤기저귀는 크루저가 딱이다.슈베스도 잠깐 써봤는데 발진 올라와서 아직 안쓰고 남겨둔것도 있다기저귀 선택시 필수 체크사항은 발진인거 같은데문제없음 발진이 생길리 없으니 ...그렇다고버릴수도 없고....참 그렇다.네이쳐러브메레는 문제없긴한데 안이뻐서 심심하고 ㅎㅎㅎ하기스도 발진이 조금씩 생겨서... 신생아때 써보고 안썼다나비잠은 팬티라인이 자꾸 찢어져서...휴...아니 채우고서 라인정리해주는데왜 자꾸 찢어지냐고 디자인도 별로고 날개가 자꾸 응가처리할때 묻어서 정말 쓰면서 별로라고 생각했다.맘에 들어하는 기저귀가 한박스 공짜로 생기니기분이 업업그래서 머리카락이 자꾸빠지나 보다 ], 부정 텍스트 확률 : 100.00%"
"[베이비앙 무형광 천기저귀안전한 기저귀 ], 부정 텍스트 확률 : 53.29%"
"[피부나 상처에 엄청 예민하잖아요. 보이를 쓰고 나서 울 딸램 기저귀 발진이 났어요], 부정 텍스트 확률 : 65.01%"
"[ 먹이는 분유도 수입품], 부정 텍스트 확률 : 61.06%"
"[베이비앙 순면 땅콩형 천기저귀는 우리 아기의 피부와 건강을 생각한 기술력으로 제작된 기능성 프리미엄 천기저귀라고 합니다. ], 부정 텍스트 확률 : 54.07%"
"[＊중직 원단 아기 피부가 닿는 앞면은 순면중직 소재를 사용하여 부드럽고 폭신해요], 부정 텍스트 확률 : 73.42%"
"[＊튼튼한 마감 처리단단하게 박음질이 되어 있어 잦은 세탁해도 풀리지 않아요], 부정 텍스트 확률 : 64.04%"
"[천 기저귀 사용방법], 부정 텍스트 확률 : 53.29%"
"[ 남매 쌍둥이라 둘을 채워봤지만], 부정 텍스트 확률 : 59.33%"
"[크거나 작거나 하지 않아서 정말 좋았어요 기저귀커버는 옆에 샘 방지를 해주기 때문에 새지 않아서 무척 좋았고], 부정 텍스트 확률 : 83.02%"
"[방수가 되는 재질이어서 두 번 안심하게 되었어요 남자아이가 베이비앙 천기저귀를 했을 때 사진 ▽], 부정 텍스트 확률 : 54.74%"
"[ 기저귀커버가 워낙 방수가 잘 되는 재질이기 때문에 여름에 덥다 싶으면], 부정 텍스트 확률 : 87.22%"
"[딱 맞는 기저귀 커버가 너무만족입니다.주의할 점은 땅콩 기저귀는 삶는 것이 가능하나 섬유에 강한 열이 자주 닿으면 마모되기 쉽고 뻣뻣해지니 끓는 물에서 분 이내로 삶아야 합니다.세탁 후 까지 줄어들 수 있고 면의 줄어듦은 주름이 생겨 흡수력을 높이는 자연스러운 현상으로 줄어드는 길이를 감안하여 제작되었으니 참고하세요.변이 묻어있는 세탁은 애벌 세탁이 꼭 필요하답니다], 부정 텍스트 확률 : 95.37%"
"[베이비앙 사이트는 요기▽... ], 부정 텍스트 확률 : 74.27%"
"[슈퍼대디 오리지널핏 기저귀구입 및 발진후기구입일년 월 일 수요일구입가격매팩 ], 부정 텍스트 확률 : 73.07%"
"[구입처쿠팡 ], 부정 텍스트 확률 : 53.29%"
"[드디어 포스팅이살아났네요 한달만에 살아난 포스팅슈퍼대디측에 의해명예훼손이라고 신고됐던 게시물입니다.애가 살이 짓물러 시뻘개진사진을 보고도 신고버튼을 먼저 누르는], 부정 텍스트 확률 : 68.16%"
"[매에 원이면저렴한 가격인건 맞는 것 같다.슬림핏과 오리지널이 있었는데친구에게 슬림핏 팬티를 얻어써보고괜찮아서 구입하게 되었다.그치만 두부는 슬림한 기저귀가 어울리지않을 것 같아 오리지널핏 밴드형으로 구입했다. ], 부정 텍스트 확률 : 99.84%"
"[유통기한은 년까지. 넉넉하다. ], 부정 텍스트 확률 : 70.79%"
"[재료에도 안감 부직포라고 나와있다. ], 부정 텍스트 확률 : 91.08%"
"[오리지널핏이라 그런지넓직한 기저귀. ], 부정 텍스트 확률 : 66.01%"
"[그리고 밴드가 약함.처음붙일때부터 덜붙는다.사진에 보이는 사진은한번 붙이고 떨어진 사진.총평.밤기저귀로 시간가량심지어 중간에 한번 갈았음사용해보니], 부정 텍스트 확률 : 78.59%"
"[물감으로라도테스트해서 다시 올릴거임.흡수 안되고 손에 다 묻어나오는거.솔직한 사용후기 장점. 가격이 저렴하다. 소포장으로 외박이나 여행시 편리개입 단점. 부직포재질 호불호갈릴수있음. 통잠시 밤기저귀 사용시 흡수가 좋지않음. 밖으로 축축하진 않으나아기가 느끼는 안쪽은 흡수가 덜되는느낌.두부는 시간 자는편. 밴드가 덜 붙음. 발진 후기 실제 발진이 난 사진을 첨부하여발진에 대한 부분에는 주관적 의견 포함.그리고 결국 우리 두부는 발진이 났다. ㅠㅠㅠ발진 사진을 올려야 하나 고민하다가 가리고 올려봄.근데 발진 지대로 난 부분이생식기 부분이라 ㅠㅠ참...잘 가린 사진은 맨 아래에 있으니보기싫은 사람들은 안내려도 됨.], 부정 텍스트 확률 : 95.78%"
"[발진 안나는사람도 많으니이 기저귀가 인기도 많고가성비 좋다는 소리를 듣겠지만기저귀 한두개 써본것도 아니고왜 이것만 이렇게 발진이 났을까...지금까지 신생아때부터 ], 부정 텍스트 확률 : 96.88%"
"[군소프트], 부정 텍스트 확률 : 53.29%"
"[군슬림앤드라이], 부정 텍스트 확률 : 53.29%"
"[하기스네이쳐메이드], 부정 텍스트 확률 : 66.90%"
"[하기스매직기저귀], 부정 텍스트 확률 : 66.90%"
"[하기스보송보송소프트], 부정 텍스트 확률 : 66.90%"
"[팸퍼스], 부정 텍스트 확률 : 53.29%"
"[백조기저귀 까지.], 부정 텍스트 확률 : 54.73%"
"[이렇게 여러종류를], 부정 텍스트 확률 : 82.53%"
"[얻은것도 있어 많이 써봤지만], 부정 텍스트 확률 : 63.96%"
"[여태까지 기저귀 발진이 난적이], 부정 텍스트 확률 : 64.44%"
"[둔한 엄마가 응가한걸], 부정 텍스트 확률 : 75.78%"
"[오랫동안 몰랐다가 갈아줘도], 부정 텍스트 확률 : 82.59%"
"[이런일이 단 한번도 없었는데.], 부정 텍스트 확률 : 50.86%"
"[그리고 내가 뭐 기저귀를], 부정 텍스트 확률 : 90.12%"
"[특별하게 안갈아준것도 아니고], 부정 텍스트 확률 : 86.95%"
"[평소랑 똑같은 기준으로 갈았고], 부정 텍스트 확률 : 82.68%"
"[나는 소변알림줄에 파란줄이], 부정 텍스트 확률 : 52.42%"
"[반만 보여도 바로 갈아주는편임.], 부정 텍스트 확률 : 83.37%"
"[발진이 난 이유는], 부정 텍스트 확률 : 73.89%"
"[소변을 제대로 흡수를 못해서], 부정 텍스트 확률 : 70.46%"
"[그게 정체되다보니], 부정 텍스트 확률 : 92.97%"
"[아마 통잠 후 아침에 내가 기저귀 안쪽을], 부정 텍스트 확률 : 54.46%"
"[안만져 봤다면 몰랐을테지.], 부정 텍스트 확률 : 86.92%"
"[그 축축함을 ㅡ.ㅡ], 부정 텍스트 확률 : 78.17%"
"[오빠도 기저귀 안쪽 만져보더니], 부정 텍스트 확률 : 63.95%"
"[천이 이래가 흡수가 되겠나?], 부정 텍스트 확률 : 82.67%"
"[무형광 ], 부정 텍스트 확률 : 53.29%"
"[무독성 ], 부정 텍스트 확률 : 74.36%"
"[가지 안심테스트로부터 모두 합격점을 받았다고 하네요 유해물질 걱정으로부터 안심할 수 있겠죠 ? ], 부정 텍스트 확률 : 55.26%"
"[ 선율이는 이제 중형 사이즈를 한답니다 아가들을 위한 중형 사이즈 곧 개월 예방접종하러 병원 방문할 예정인데몸무게 얼만큼 늘었나 봐야 겠어요개월 예방접종 때 몸무게가 이었거든요 지금예상해봅니다], 부정 텍스트 확률 : 61.24%"
"[ 보솜이 소프트 슬림과 보솜이 소프트 슬림팬티 두 종류가 있네요 선율이도 아장아장 걷기 시작하면소프트슬림팬티로 갈아타면 되겠어요], 부정 텍스트 확률 : 53.91%"
"[허리밴드가 배가 쭈욱 늘어나서 ], 부정 텍스트 확률 : 87.83%"
"[ 아기들이 편안해하는 건 물론엄마들이 기저귀 채울때도 편리해요옆으로 새는걸 막아주는사이드 안심가드 ], 부정 텍스트 확률 : 63.44%"
"[ 피부를 쾌적하게 지켜주는 에어커버 ], 부정 텍스트 확률 : 58.51%"
"[ 부드러운 순면감촉안커버까지 보솜이 기저귀 가격도 착하면서기능도 아주 우수하네요], 부정 텍스트 확률 : 88.69%"
"[배로 늘어나는 밴드라더니 정말 쭈욱 쭈욱 잘 늘어났어요 허리 부분이 꽉 쪼이는 일은 없겠네요], 부정 텍스트 확률 : 82.60%"
"[ 중형사이즈 딱 맞았구요 옆부분 보이시나요 ?새지 않도록 사이드 안심가드가두번 감싸줘서 활동적인 아가들에게 좋아요 요즘 뒤집기도 열심히 하려고 하고다리 들고 열심히 운동하는데옆으로 새지 않으니 안심되겠죠 ? ], 부정 텍스트 확률 : 84.80%"
"[ 밴드 부분도 잘 늘어나서쪼이지 않고 편안하게 착용했답니다], 부정 텍스트 확률 : 60.18%"
"[ 주 일태교교실부천삼성미래산부인과기저귀케이크만들기 후기], 부정 텍스트 확률 : 82.42%"
"[방토태교삼성미래산부인과 기저귀케이크 만들기후기 제가 다니고 있는 삼성미래 산부인과에서 주 이상 산모를 대상으로 명을 추첨하여 진행하는 기저귀케이크 만들기 프로그램을 다녀왔어요층 데스크에서 검진 하러 간날 신청했는데 바로 가능하다고 해서 신났던 방토맘. ], 부정 텍스트 확률 : 98.49%"
"[이등으로 도착해서 잠시 화장실도 다녀오고 옆에 산모들과 이야기도 나누었어요 ], 부정 텍스트 확률 : 85.16%"
"[각각 편하게 사용할 수 있도록 지퍼백에 따로따로 준비해주신 센스군기저귀 개고무줄꼬치나무젓가락케이크바닥양면테이프볼펜가위저는 아무래도 케이크 가게를 운영하다보니이런 포장에 너무너무 익숙한데요임신 중후반에 접어들면서 손으로 만드는 관련된일을 너무 오래간만에 해서 그런지 정말 반가운 기분이더라고요 ], 부정 텍스트 확률 : 63.59%"
"[포장하던 버릇이 남아있어서 그런지 일단 착착 기저귀를 넣고 ], 부정 텍스트 확률 : 95.09%"
"[똘똘 예쁘게 말은 기저귀를고무줄에 각각 개], 부정 텍스트 확률 : 58.77%"
"[케이크 바닥에 양면테이프를 붙이고 개 기저귀 묶음을 단단히 붙여주고 나무젓가락을 꽂아줘요. ], 부정 텍스트 확률 : 65.21%"
"[개 기저귀 묶음을 꽂아 흔들리지 않게 만들어 준답니다보기에 어려워 보일 수 있지만 차근차근 설명해 주셔서 여기까지 어렵지 않게 하실 수 있어요선생님들께서 돌아다니시면서 도와주시기도 하더라고요. ], 부정 텍스트 확률 : 83.28%"
"[원하는 위치에 준비되어있는 리본을 붙여주었어요.장식은 꼬치에 붙여주거나 기저귀케이크에ㅡ자유롭게 붙여주면 된답니다나름 창의력이 필요했던 순간 ], 부정 텍스트 확률 : 65.24%"
"[ 쿠잉기저귀 대형 밴드형], 부정 텍스트 확률 : 53.29%"
"[팬티형내 돈 주고 구입 후기 ], 부정 텍스트 확률 : 92.60%"
"[ 친정으로 팬티형 한 팩을 주문했어요 ], 부정 텍스트 확률 : 82.25%"
"[커스텀핏 대형 팬티형은 개입이구요], 부정 텍스트 확률 : 53.13%"
"[쿠잉기저귀를 구입한 이유는팩의 개수가 적당했고제조국이 한국이어서였어요이것저것 써보다 보니유럽산 기저귀보다도 기저귀 선호자 ㅋㅋ공장은 경기도 안성에 있네요], 부정 텍스트 확률 : 97.43%"
"[당시 갖고 있던 로로떼떼 팬티형 기저귀와 비교사실 기저귀에 그림 보고최근에 쓰던 것들에 비해 화려해서그 점은 개인적으로 좀 별로였는데...], 부정 텍스트 확률 : 95.06%"
"[ 쉬하고 어느 정도 지난 뒤면습기 하나도 없이 뽀송뽀송 맨살], 부정 텍스트 확률 : 82.31%"
"[항상 팩 아니면 팩 단위로 샀는데팩이라니 ㅋㅋㅋㅋ], 부정 텍스트 확률 : 71.57%"
"[밴드형은 팩에 든 개수가 더 많아요개], 부정 텍스트 확률 : 59.69%"
"[킨도 밴드형과 두께 비교킨도는 제가 최근 썼던 기저귀 중가장 두꺼웠어요], 부정 텍스트 확률 : 68.13%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[ 도트무늬 기저귀는 슈베스 부제영역은 지식백과에서만 사용되지만 포스트 엔드에 마크업은 잔존하게 됩니다 기본적으로요소는 입니다 ], 부정 텍스트 확률 : 94.20%"
"[돌전부터 그녀의 단짝인 슈베스기저귀 개월쯤부터 사용했으니 거의 일년 가까이 써온 듯 하다.도트무늬가 예사롭지 않아 호기심에 사봤는데], 부정 텍스트 확률 : 66.92%"
"[마미포코를 주로 썼었는데], 부정 텍스트 확률 : 80.95%"
"[ 쓰다보니 단점들이 조금씩 보여서 이것저것 닥치는 대로 기저귀를 바꿔보기 시작했다. 우연히 샘플세일하는 걸 보고 도트무늬가 예뻐보여 주문했는데], 부정 텍스트 확률 : 93.59%"
"[흡수체가 튀어나와 아기 피부에 묻지 않는다는 점이 좋았다. ], 부정 텍스트 확률 : 50.27%"
"[허리 깊숙이 올라와 응아가 차올라도 등쪽으로 샌적이 없었는데], 부정 텍스트 확률 : 71.20%"
"[ 지난 겨울 외출시에는 밴드형을 썼었고], 부정 텍스트 확률 : 90.05%"
"[내복이랑 바지 벗기고 다시 입히는게 일이라 집에서는 팬티형을 입었었다.겨울에는 다이나믹팬티형으로 따뜻하게.ㅋㅋ 여름에는 슈퍼슬림으로 덥지 않게 최대한 얇은 기저귀를 사용. ], 부정 텍스트 확률 : 54.44%"
"[ 슈퍼슬림팬티형은 .두께의 초박형 흡수시트라고 되어있는데], 부정 텍스트 확률 : 58.43%"
"[확실히 다른 기저귀 슬림형보다 얇다.흡수력은 말할 것도 없고. ], 부정 텍스트 확률 : 90.28%"
"[노란색으로 소변알림줄도 두줄있고], 부정 텍스트 확률 : 66.67%"
"[쉬를 하면 파란색으로 변하는데], 부정 텍스트 확률 : 75.79%"
"[나는 주로 만져보고 갈아주는 편. 간혹 쉬를 하면 처짐이 심하다고 하는 사람도 있는데], 부정 텍스트 확률 : 90.47%"
"[배부분이 길게올라와서 좋았다.사용해보니 흡수체 뭉침 현상이 없다.흡수체가 튀어나온 적이 도 없었다. 팸퍼스 쓰다가 짜증난 부분이 이 부분. 흡수체가 계속 튀어나와서], 부정 텍스트 확률 : 94.93%"
"[ 여자아긴데], 부정 텍스트 확률 : 77.14%"
"[이 기저귀가 안 맞으면 안 쓰시면 됩니다. ], 부정 텍스트 확률 : 93.96%"
"[완전 꼼꼼...하시네여아기들 체형도 다르고 ㅠ 기저귀 회사 별로 보면사이즈 키로수도 조금씩 차이 나더라구요 보솜이는 엉덩이 보일 정도였음 아마 사이즈가 작아서샜나봐여 담에 사이즈 업 해서 사심 그럴 일 없을듯여], 부정 텍스트 확률 : 99.24%"
"[저도 다양하게 쓰다가 최근에 밤보네이처 썼는데 요거 만족해요 ], 부정 텍스트 확률 : 64.14%"
"[그쵸그쵸 디자인이 너무 이뻐요♡], 부정 텍스트 확률 : 50.54%"
"[그쵸귀염귀염하더라고요ㅎㅎ], 부정 텍스트 확률 : 53.55%"
"[ 우리 까페 후기게시판에 글등록시 제목설정은.. .. 위 링크 글 참조하시어 가이드 라인에 기준에 맞게 변경 부탁드려요], 부정 텍스트 확률 : 87.11%"
"[... ... .. .. ...? ...?], 부정 텍스트 확률 : 70.62%"
"[네친환경 맞아용], 부정 텍스트 확률 : 83.17%"
"[켈리그레이스오혹시 지금 다 밴드만 쓰신거죠?], 부정 텍스트 확률 : 92.65%"
"[켈리그레이스답변 감사드려요혹시 여름 친환경 팬티기저귀 찾으시는 분들을 위해 살짝켈리님 써보신것 밤보드림이랑 벨라빼고는 팬티형을 다 써봤어요.그런데 기본적으로 친환경 기저귀는 두껍고 뻣뻣해요.말씀대로 에코 참 좋은데 너무 두꺼워요.어쩔수없이 씬씬씬과 나비잠 팬티형을 쓰고 있어요.씬씬씬보다 나비잠 팬티형이 더 발진없고 순하네요.켈리님 후기보고 벨라 팬티 구매하러갑니다👍], 부정 텍스트 확률 : 90.57%"
"[밤보드림], 부정 텍스트 확률 : 53.29%"
"[아 글에 써주신거 거의 다 써봤는데 진짜 정착하기 힘드네요 ㅠㅠ 기저귀 유목민입니다.에코는 좋은데 진짜 두껍긴 해요.저희 아가는 벨라 좋았는데 좀 쓰다보니 발진 생겨서 뭘로 가야할지 고민이예요.], 부정 텍스트 확률 : 78.72%"
"[저도 벨라 잘쓰고는 있는데 금방 사이즈가 작아져서...그리고 갑자기 느꼈는데 소변냄새가 나더라구요...저도 친환경 팬티 기저귀 땜시 골머리가 아파요], 부정 텍스트 확률 : 67.14%"
"[켈리그레이스에효저도 벨라빼곤 다 써봤눈데ㅠㅜ 냄새 아님 알겡이...키즈디조이영국 친환경은 아니지만 밤기저귀론 정말 좋던데..더 얇고 낮에쓸수있는 친환경고르기 정말 어렵네요 이후에 또 써보신것있어요?], 부정 텍스트 확률 : 56.27%"
"[좀 늦었지만 이 글을 보고 밤보네이처 기저귀로 결정한 예비맘입니다 혹시 조리원에서 몇단계 사용하셨나요??저희 조리원은 하기스라 가늠이 안되네요ㅜㅜ], 부정 텍스트 확률 : 72.49%"
"[원피스 밑으로 순정이가 빛을 발하네요...], 부정 텍스트 확률 : 74.44%"
"[화려한 원피스 밑에 순정이가 찰떡이더라구요..😉😚😍], 부정 텍스트 확률 : 58.72%"
"[보솜이 디오가닉 써봤는뎅 재질이 좀 까끌거리긴 하더라구용..], 부정 텍스트 확률 : 93.06%"
"[.. ..], 부정 텍스트 확률 : 59.13%"
"[후기 잘 읽엇습니다], 부정 텍스트 확률 : 63.16%"
"[아가 배 너무너무 귀욤요], 부정 텍스트 확률 : 61.52%"
"[오로라스킨핏 완전 홀릭이네영], 부정 텍스트 확률 : 92.16%"
"[ 도움 많이됩니당], 부정 텍스트 확률 : 66.75%"
"[밤보계열은 비슷한데 나머지는 훨씬 두꺼워요], 부정 텍스트 확률 : 88.20%"
"[정리 감사합니다 밤보 네이쳐 저는 자꾸 엉덩이에 고분자 흡수겔이 붙어요 ㅜㅜ 안그런가요?몰텍스는 두꺼워서 그런지 발진 생기구여 ㅜㅜ 어렵네요 ㅜ], 부정 텍스트 확률 : 58.37%"
"[밤보네이쳐 가끔 많이 싸면 묻어요전 그부분은 신경안썼어요 몸에 해롭지도 않다하구몰텍스는 요즘같은땐 하기 안좋아요], 부정 텍스트 확률 : 93.59%"
"[... ...], 부정 텍스트 확률 : 79.57%"
"[ 저희 아기 어렸을때 밤부베베만 썼었어요. 물론 처음부터 건조기도 돌렸어요. 저는 가스 건조기라 온도 저고까지 있는데 저로 분 말렸는데 저렇게 많이 나오지는 않았.. 그래도 다른 손수건보다 훨씬 부드러워요. 지금 년이 지났는고 큰 수건은 여름에 목욕시에만 사용해주고 있는데 하나도 해지지않았어요], 부정 텍스트 확률 : 72.04%"
"[건조기 돌리면 안된다고 나오지 않았나요? ㅠㅠ 저는 세탁할때 세탁자연건조 과정 번했는데 저렇게 헤지거나 하진않았어요 먼지가 많아서 세탁전], 부정 텍스트 확률 : 56.15%"
"[널기전 각각 번씩 번 세탁마다 탁탁 털었더니 팔에 근육통이 ..😂😂], 부정 텍스트 확률 : 68.37%"
"[제가 놓친건지 건조기 돌리면 안된다고는 못본것같아요ㅠㅠ 근데 만삭되어가니 가만히 있어도 팔다리 근육통에 아파서 탁탁 털어서 자연건조는 엄두도 못내겠더라구요 ㅋㅋㅋ 그래도 달콤코미님 손수건은 멀쩡해서 다행이에용 ㅎㅎ], 부정 텍스트 확률 : 76.62%"
"[다랭밤부베베살때 물어보니 건조기돌리는거 아니래요ㅜㅜ], 부정 텍스트 확률 : 95.04%"
"[....? ....?], 부정 텍스트 확률 : 53.29%"
"[추카추카], 부정 텍스트 확률 : 53.29%"
"[저희는 투담임이요오늘 오후보조교사도 일찍 출근하셔서 애들명에 교사 명이었어요혼자일땐 도움요청하셔야죠교실비울땐 원장님이나 보조교사나손씻어야하는데 교실 좀 부탁드려요애들이나 저나 오늘 손씻기 수도없이 했네요그놈에 콧물때문에], 부정 텍스트 확률 : 82.88%"
"[ 관찰일지], 부정 텍스트 확률 : 53.29%"
"[ 상호 ㅡ 교사의 주도적 절대로 들어가면 안됨해보자], 부정 텍스트 확률 : 93.53%"
"[ 제공하고고], 부정 텍스트 확률 : 66.90%"
"[ 제시한다 등 교사주도 안됨죄송하지만 요부분. . 아이들에게서 어떻게 활동을 이끌어내셨는지 여쭤봐도 될까요?너무 어려워요ㅠㅠ], 부정 텍스트 확률 : 88.19%"
"[애들 결과물 만들어 가져오면 이게뭘까?? 뭐만든거야?이거하고싶었구나자유놀이시 교사가 놀잇감을제공하거나 주도하면 안되고 놀이하는거 써포트만 하면되요감정읽어주고저는 컨설팅에서 관찰일지 바깥에서 영아들에게 뛰어보자했다고 지적 받았어요 교사가 왜 뛰자고 주도하냐며 그래서 일지], 부정 텍스트 확률 : 99.97%"
"[바깥놀이는 교사가 언어로 이야기 해주는거 외에는 다른건 영아들이 자유롭게 하도록 놔두기], 부정 텍스트 확률 : 76.71%"
"[둥이모친댓글감사드려요], 부정 텍스트 확률 : 75.16%"
"[.. ..], 부정 텍스트 확률 : 59.13%"
"[.. ..], 부정 텍스트 확률 : 59.13%"
"[체크완료], 부정 텍스트 확률 : 53.29%"
"[새지않아서 좋은거같아요], 부정 텍스트 확률 : 74.63%"
"[ ... ...], 부정 텍스트 확률 : 79.57%"
"[저는 감인데 딸기네요 귀여워라], 부정 텍스트 확률 : 62.69%"
"[.. ..], 부정 텍스트 확률 : 59.13%"
"[후기 잘 읽었어요글 중간 중간 웃음포인트 덕에 재미나게 봤네요], 부정 텍스트 확률 : 93.04%"
"[ㅋㅋㅋ 중간중간 효과음이 감질나네요 잘읽었습니다], 부정 텍스트 확률 : 70.60%"
"[ 기저귀 이벤트했었나요? 다들 후기를 올리시길래...], 부정 텍스트 확률 : 80.56%"
"[아니요 저는 요기서 추천받아서 써본건데 좋아서요 이거 써보고 후기 올려달라 하신분이 계셔서요], 부정 텍스트 확률 : 83.29%"
"[그렇죠??ㅎㅎ 오늘은 밤보??범보?? 의자에 앉아서 응가해서 옷이 응가로 범벅됨요 ㅋ], 부정 텍스트 확률 : 89.39%"
"[.. ..], 부정 텍스트 확률 : 59.13%"
"[ 블로그 .. ..], 부정 텍스트 확률 : 59.13%"
"[확인했어요], 부정 텍스트 확률 : 66.90%"
"[아기에게 입혀주고 싶어지네요], 부정 텍스트 확률 : 69.32%"
"[네 일 촬영도 잘 부탁드립니다 🎶], 부정 텍스트 확률 : 64.71%"
"[쓰고있던 기저귀가 얼마 남지않아 추가주문을 위해 검색하다가 알게 된 기저귀 샘플체험싸이트 써봄여태까지 사용해본 기저귀는하기스 매직핏과 네이쳐메이드], 부정 텍스트 확률 : 74.44%"
"[군기저귀이렇게 종류인데 하기스는 허벅지에 자국이 남고군기저귀는 빨갛게 기저귀 발진이 생겨서다른 기저귀를 알아보는데기저귀종류가 너무 많아서 결정하기가 어렵더라고요상품후기만 보고 덜컥 여러팩 구입했다가 아이와 안맞으면 처치곤란이니까요그러던 중 알게 된 써봄이라는 싸이트에서는 기저귀를 체험해볼수있도록세장씩 소분판매하고 있더라구요. ], 부정 텍스트 확률 : 92.58%"
"[ 그래서 평소 궁금했던 기저귀를 모두 주문해봤어요.주문한 기저귀는], 부정 텍스트 확률 : 83.98%"
"[ 페넬로페 실키슬림밴드킨도 프리미엄슈퍼대디 리얼소프트보솜이 프리미엄디오가닉보솜이 리얼코튼나비잠 울트라씬하기스 맥스드라이팸퍼스 베이비드라이 향이렇게 총 종류입니다.각 종류별로 장씩 들어있어요. ], 부정 텍스트 확률 : 92.17%"
"[.?팸퍼스베이비드라이팸퍼스베이비드라이 향 단계공용밤기저귀 알아보다가 추천이 많아 주문해봤어요.사이즈는 다른 단계 기저귀에 비해 작은 편.파우더향이 진해서 오줌냄새는 거의 가려져요.허리부분도 짱짱하고 디자인은 가장 마음에 들지만향이 너무 진하기도 하고], 부정 텍스트 확률 : 88.11%"
"[.?나비잠울트라씬나비잠울트라씬 단계공용두께가 얇은 데 비해 흡수성은 좋은 편이고발진도 없고 전체적으로 괜찮다느껴졌어요.소변알림선이 줄이라 눈에 금방 띄어요. ], 부정 텍스트 확률 : 65.61%"
"[.?슈퍼대디리얼소프트슈퍼대디리얼소프트 단계공용리얼소프트라는 이름처럼 촉감은 부드러워요.근데 이걸로 채워놓으면 약간만 축축해져도 아기가 금방 울더라구요.보송함이 오래 유지되지는 않는거같아요. ], 부정 텍스트 확률 : 51.33%"
"[.?킨도프리미엄킨도프리미엄 단계공용흡수력은 무난한 듯 했지만알갱이도 계속 묻어나오고저 말발굽 무늬가 그냥 마음에 안듦.... ], 부정 텍스트 확률 : 82.56%"
"[.?페넬로페실키슬림페넬로페실키슬림 밴드 단계공용장 사용 중 장이 샜네요..이거쓰고 발진도 약간 올라오고써본 기저귀들 중에선 가장 별로였어요. ], 부정 텍스트 확률 : 51.08%"
"[.?하기스맥스드라이하기스맥스드라이 단계공용밤기저귀용으로 주문해봤어요.결론부터 말하자면 밤기저귀는 전 이걸로 정착했네요.흡수도 잘 되고 오래 채워놔도 발진 없고 새지도 않구요.가격도 무난한 편. ], 부정 텍스트 확률 : 77.51%"
"[ 위 기저귀 종류 다 써본 결과], 부정 텍스트 확률 : 79.95%"
"[ 발진여부나 하얀알갱이여부 등미리 검색해봤던 블로그 후기나 카페 후기랑은 차이가 좀 있더라구요.은근히 신경쓰이던 기저귀자국은 써본 기저귀가 모두 다 남았구요.종합해서 어떤 기저귀가 월등하게 좋았다던가 이런 건 딱히 없었어요.기저귀는 역시 직접 써보는 게 답인 걸로...이 글 역시 개인적인 경험에 의한 글로 아기마다 차이는 있을 수 있다는 점 감안해주세요], 부정 텍스트 확률 : 94.43%"
"[.하기스 네이처메이드 오가닉 코튼 커버 ], 부정 텍스트 확률 : 62.92%"
"[ .하기스 네이처메이드 오가닉 코튼 커버는순면 프리미엄 기저귀라고 하는데요..시간 기저귀를 착용하고 있는 아이들에게 기저귀는 정말 중요한 것 같아요...오가닉 함유가 아니라리얼 오가닉 순면커버라니 ], 부정 텍스트 확률 : 53.85%"
"[ .디테일하게 한 컷 더..국제 공인인증까지 완료.통기성 강화로 아기의 엉덩이가 숨 쉴 수 있게.안심 샘 방지 커버 기능으로 아기도 엄마도 편한.안심할 수 있는 흡수 소재 사용까지 ], 부정 텍스트 확률 : 90.31%"
"[ .우리 동동이는 단계..기저귀 신청할 때만 해도 였는데 그사이 ....아주 폭풍 성장 중이랍니다 하하.. ], 부정 텍스트 확률 : 64.29%"
