"[팬티기저귀에이메르네이쳐··글·사진멍젤라 ⓒ멍젤라.], 부정 텍스트 확률 : 78.86%"
"[라라 사용감도 모두 만족스런 에이메르네이쳐 밴드기저귀추천제돈주고 구입하여 사용후 지극히 개인적인 포스팅 ...... ], 부정 텍스트 확률 : 60.13%"
"[ 처음 천안베이비페어에 방문했을 때 기저귀에 ㄱ 도 모르는 시절..ㅋㅋㅋㅋㅋ.?에이메르네이쳐에이메르네이쳐 기저귀부스에서 샘플을 가득 주시길래 신생아기저귀로 선택 두팩을 아낌없이 부드럽게 사용했던 기저귀 지금은 기저귀 유목민이 되어 떠돌아다니는 저에게사이즈로 팬티기저귀를 사용해봤어요 ㅋㅋ ], 부정 텍스트 확률 : 71.16%"
"[ 우리 아기는 이제 일], 부정 텍스트 확률 : 51.96%"
"[그런데 조금 다른아이들보다큰 것 같아요 ㅋㅋ 그래서 살짝 크게 나오거나 조이지 않는 기저귀는 ], 부정 텍스트 확률 : 57.10%"
"[작게 나온 기저귀는.?에이메르네이쳐팬티기저귀에이메르네이쳐팬티기저귀 사용하니 딱이네요], 부정 텍스트 확률 : 72.01%"
"[ 우리 아기도 편한지 뒹굴뒹굴 꺄르르 기분이 좋은가봐요기저귀 잘못사면 발진도 올라오고속상한데 워낙 부드럽고 소재도 좋다보니 발진없고아기 기분까지 좋아지게 되는 기저귀라 행복], 부정 텍스트 확률 : 89.74%"
"[ 부드럽기만 하고 밴디기저귀 밴딩이 불편하면어쩌지 생각하실까 동영상도 살짝 찍어봤어요 ㅋ쭉쭉 늘어나고 부드러운 면모습이 보이실꺼예요 ], 부정 텍스트 확률 : 94.81%"
"[ ...제가 사용해본 기저귀는 에이메르네이쳐 입니다. . 사이즈로사용을 권장하지만.저희아이는 키로가 살짝넘는데알맞게 딱 맞더라구요 .꼭 저 몸무게에 들어가지 않아도 될듯해요 .한단계 아래걸로 입혔으면 작았을것 같기도 합니다. .. ], 부정 텍스트 확률 : 94.17%"
"[ ...이제 다 커서 점보사이즈로 입혀야해요.밴드기저귀는사이즈였는데 확실히 팬티가 더 작은느낌은 있네요 .슬림 팬티 기저귀 점보형으로 활동하기 편해요.돌지나고 부터 팬티형으로 바꿔볼까 고민만 하다가 늘 쓰던거에 익숙해서 못바꿨었는데 .안바꾸고 뭐했나싶더라는 ㅋㅋㅋㅋ. ], 부정 텍스트 확률 : 98.50%"
"[ ...중형 사이즈부터 있어서아이가 어려도 사이즈에 맞게 선택해보실수 있어요.슬림 라인이라서 군더더기 없는 깔끔함 .피부에 자극이 없을것같은 순면감촉이라서 부들부들 합니다... ], 부정 텍스트 확률 : 63.93%"
"[ ..소변이 새지 않도록 안에서 한번 잡아주어요 .아이가 중이염이와서 주넘게 안낫다보니 항생제를 바꿨거든요 .그랬더니 설사 줄줄 이에요 ㅠㅠㅠ.다행히 이 기저귀 덕분에 새거나 하는일은 없어서 다행이긴한데 .예전에 외출했을때 설사테러 당한적이있어서 설사할때면 긴장상태거든요 . ], 부정 텍스트 확률 : 83.91%"
"[ ...사용후에는 처리하기 쉽도록 테이프도있네요.돌돌 말아서 쓰레기통에 넣으면 끝이라서 .깔끔한 뒷마무리를 책임져 줍니다.. ], 부정 텍스트 확률 : 94.50%"
"[ ..가장 마음에 드는 부분이 바로 포근하게 감싸주는 허리밴드입니다. .도 허리밴드로 아이체형과 상관없이 불편함없이 사용할수 있어요 .그리고 밴드기저귀는 불편한지 언제부터 자꾸 잡아뜯더라구요 .팬티는 벗으려나요?ㅋㅋㅋ], 부정 텍스트 확률 : 64.24%"
"[ .이렇게 중으로 확실하게 잡아줍니다. .많은양을 흡수해도 뭉침이 없어요.뽀송하면서 편안한 착용감으로기저귀 사용해보세요 . ], 부정 텍스트 확률 : 59.81%"
"[ .이렇게 푸른계열로 색상이 바뀐걸 볼수가 있습니다.편하게 배와 허리를 감싸주는허리밴드로 걸리는 부분없이 .활동하기 편해요], 부정 텍스트 확률 : 68.25%"
"[ ...뜯을때는 양옆 봉제선을 살짝만 힘줘서 뜯으면 바로 뜯어집니다.그렇다고 착용중에 뜯어지거나 그럴일은 절대없구요.걸음마를 시작하는 아기부터 뛰어다니면서 움직임이 많은 아기까지 .중형부터 특대형으로 선택해볼수 있습니다. . ], 부정 텍스트 확률 : 60.98%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[ . ], 부정 텍스트 확률 : 62.92%"
"[매번 보이], 부정 텍스트 확률 : 53.29%"
"[ 에이메르네이쳐 기저귀는 밴드형], 부정 텍스트 확률 : 66.26%"
"[팬티형 두가지가 있고 둘다 성별 나뉘지 않고 공용 ], 부정 텍스트 확률 : 61.46%"
"[ 한 팩에 개가 들어있는 에이메르네이쳐 ], 부정 텍스트 확률 : 59.77%"
"[ 기저귀에도 사이즈표가 적혀있지만 더 자세한건 여기 참고 ], 부정 텍스트 확률 : 93.45%"
"[ ∨ 순면감촉 커버부드러운 시트 커버로 연약한 아기 피부에 자극을 최소화한다∨ 뛰어난 통기성 미세한 유니크 홀 패드가 공기 순환을 원활하게 해주어 피부에 발진이 없도록 도와주며], 부정 텍스트 확률 : 54.80%"
"[고정 테이프아이 체형에 맞게 허리부분을 감싸주고], 부정 텍스트 확률 : 74.13%"
"[ 역시나 소변줄 필수요즘엔 소변줄 없이 나오는 기저귀들도 꽤나 있던데.. 난 너무 불편 ㅠㅠ첨부터 소변줄 있는걸 썼더니.. 한번은 킨 기저귀를 사서 써봤는데 소변줄이 없어서 당황...ㅋㅋㅋㅋㅋㅋ감이 안와.. 만져보면 대충 알긴 하곘지만.. 그래도 소변줄이 있어야 편함 ], 부정 텍스트 확률 : 65.17%"
"[ 소변누면 노란줄이 이렇게 파랗게 변한다 ], 부정 텍스트 확률 : 80.41%"
"[ 원래 기존에 보이 기저귀사이즈를 썼는데 최근들어서 작은 느낌이 많이 들어가지고 사이즈 업해야겠다 생각했는데 에이메르는사이즈라서 엄청 널널하다 펼쳐보니 시윤이 궁뎅이를 완전 다 감싸고도 남을 정도의 크기다옆에 샘 방지도 높게 올라와있어서 응가를 많이 해도 물응가를 해도 전혀 샐 일이 없을거같다 ], 부정 텍스트 확률 : 96.87%"
"[ 안쪽 아기들 엉덩이가 닿이는 부분은 순면으로 되어있어서 보들보들한 감촉이다순면이라 피부에 닿여도 자극이 없다내가 써본 기저귀 중에 어떤 기저귀는 저 부분이 약간 보풀처럼 일어나는 경우가 있었다그래서 아기 엉덩이나 생식기에 먼지 같은게 붙어있었는데.. 진짜 별로요거는 써봤는데 전혀 그런 문제는 없었음 ], 부정 텍스트 확률 : 99.96%"
"[ 허리부분을 감싸는 밴드 부분을 체크해봤는데 짱짱하고 좋다주름이 쫙 잡혀있어서 아기 허리부분을 잘 잡아줄거 같았다 ], 부정 텍스트 확률 : 67.23%"
"[ 이제 흡수력 테스트를 해봤는데 이거보고 밤 기저귀로 써도 되겠다 싶었음 ], 부정 텍스트 확률 : 84.45%"
"[ 금방 부운 부분과 한 분정도 지난 부분을 비교해봤는데], 부정 텍스트 확률 : 59.39%"
"[ 점점 시간이 갈 수록 더더 흡수가 되어서 별로 티가 안난다 ], 부정 텍스트 확률 : 99.50%"
"[ 잘라서 표면을 봤더니 흡수 대박 완전 쏘옥 흡수해 버렸다기저귀 안에는 저렇게 알갱이가 있는데], 부정 텍스트 확률 : 55.89%"
"[저 알갱이가 고분자 흡수체 소재로식약청에서 인정한 안전한 원료라서 간혹 시트 밖으로 묻어 나올 수 있다 피부에 무해한 성분이니깐 걱정 안하셔도 됩니다용 ], 부정 텍스트 확률 : 54.72%"
"[ 꽉 짰을때 혹여나 물기가 나올까봐 한번 테스트 해봤는데 완전 잘 흡수가 됬는지 전혀 그런게 없었다 ㅋㅋ 흡수력 하나는 진짜 대박이래서 밤 기저귀로 정말 좋을 거 같은 에이메르네이쳐 ], 부정 텍스트 확률 : 69.57%"
"[ 시윤이 기저귀 장착저 통실한 허벅지를 보라ㅋㅋㅋㅋㅋㅋ요즘 살이 통실통실 올라서.. 허벅지가 굵은 편은 아닌거 같은데.. 지금 쓰는사이즈는 이제 작아지고 있다..ㅋㅋㅋㅋㅋ점점 크는게 기저귀 찰떄도 느껴지네 사이즈가 이젠 정 사이즈 인듯허벅지 쫑김도 전혀 없다 ], 부정 텍스트 확률 : 84.74%"
"[ 구매하러가기▼ ], 부정 텍스트 확률 : 66.90%"
"[ .?팬티기저귀팬티기저귀 이젠 에이메르하자 ], 부정 텍스트 확률 : 64.91%"
"[ 여짓 만나봤던 팬티기저귀들이랑은 차원이다른 친환경적인 올해의 육아히트템한번도 안 써 본 엄마는 있어도 한번만 써 본 엄마는 없다는 국제표준규격 인증 받아 제작된제품기술력을 우리 아이에게 착용시켜 줄 생각에 엄마는 엉덩이 들썩들썩 설렘한가득남녀성별 나눔이 없는 남여공용으로 사용가능해 구매시 결정불편함고 싹 다운시켜줬네욥ㅎ 라인업만 너무많은 허세기저귀들은 사요나라], 부정 텍스트 확률 : 99.82%"
"[ 특히나 에이메르네이쳐 팬티형은 활동력 갑오브갑 아이들 입고 뛰고 기고 날라도 생활에 불편함이 없도록 기저귀 전문가들이 모여서 연구한 끝에 탄생된 걸작템이니 만큼 그 특별함은 착용해보면 알아요엄마 생리대도 이렇게 좀 만들어주시면 안되요 ? 뿌잉뿌잉 ㅋㅋ ], 부정 텍스트 확률 : 52.76%"
"[ 에이메르 팬티는 까지 마련되어있구요우리 아이 신체사이즈에 맞게 엄마가 초이스 똬악 해주시면 됩니다. 사이즈 권장표는 표준 권장일뿐이니 우리 아이에게 맞는 체중을 보고 개월수가 다르더라도 알맞게 선택해주세욥살이지만 몸무게가 ㅠㅠ 밖에 안되는 우리 안군이는 로 데려왔습니다. 어서 많이 먹고 부지런히 체중 키워서 로 갈아타즈아], 부정 텍스트 확률 : 53.96%"
"[ 에이메르네이쳐 앞뒤 푸른푸른한것이내츄럴함 뽐뿌 진짜 우리아가들 기저귀 교체 안할려고 발버둥치기 시작하면 진땀 뻘뻘 밴드로는 답없어지죠 그러니 팬티는 걷기 시작한 아이들부터 착용한다는 편견은 넣어둬 넣어둬처음 뒤집기 시작한정도의 아가들부터 활동적인 아가들까지 엄마 진땀빼지말고 팬티로 갈아타자구욥엄마의 가사노동력은 중요하니깐욥], 부정 텍스트 확률 : 91.16%"
"[ 리스팩트는 부드러운 시트 커버로 예민하고 민감한 우리 아가 피부에 자극을 주지않는 다는 것 순면감촉 커버의 부드러움 만져보면 손끝에서 느껴져요계속 기저귀만 만지작 만지작 거리고 있다며 ㅋㅋ 넘나 부드러워 우리 아기 태어났을때 신생아 피부같은 느낌이런 촉감이라니 착용했을때 불편할 수가 없겠지욥 여기다 미세한 유니크 홀 패드가 공기 순환을 슝슝팡팡하게 언제나 쾌적한 기저귀환경을 만들어주니기저귀발진이 뭐예요 ?일 사게절 답답함없는 뽀송촉촉한 우리 아기 엉덩이는 뛰어난 통기성으로 지켜낸답니다. ], 부정 텍스트 확률 : 74.65%"
"[ 허리부터 도 허리밴드팬티기저귀로 어떤 체형이든 문제없이 잡아주고 포근하게 안아주고 어떠한 움직임에도 제한받지 않는 샐걱정없는 우리 아기 믿음직한 에이메르네이쳐소변 알림줄까지 있어서 초보맘], 부정 텍스트 확률 : 57.51%"
"[ 잘만난 에이메르로 우리 안군이 배변훈련 성공갈때까지 쭈욱 기저귀발진 모르는 엉덩이건조함모르는 자면서 쉬야 샐걱정없는 데일리 보내자꾸납], 부정 텍스트 확률 : 86.62%"
"[ 역시 팬티기저귀하나면 기저귀교체시간 분이면 오라이벗길때도 입힐때도 짤없이 좋아요이보다 편리할 수가없다 신축성이 뛰어난 허리밴드라서 입힐때 우리 아이 불편하지 않아서 더욱이 엄지엄지척전에는 불편했는지 기저귀만 교체하자고 하면 요리조리 엄마 피해다니기 바쁜 녀석이였는데 이젠먼저 척하고 바닥에 벌러덩모드네요편하고 좋은건 애들이 먼저 더 잘알아욥], 부정 텍스트 확률 : 86.17%"
"[ 앉고 뛰고 서고 기고 눕고활동력 만렙 안군이팬티기저귀 입히기전엔 늘 혹시나 쉬야가 새면 어쩌나 걱정하고 어린이집에서 또 옷버리고 오면 어쩌지 했는데 이젠그런 세탁물은 정말 일절나오지않고있답니다 ], 부정 텍스트 확률 : 59.87%"
"[년 브랜드대상 관왕 수상 아기용품이더라구요 ], 부정 텍스트 확률 : 76.19%"
"[ 우리쌍둥이가 사용하는.?에이메르네이쳐에이메르네이쳐 팬티기저귀는 단계 까지 사용단계라 체중차이나는 우리 아기둘다 사용이 가능하지요 자기껀줄 기똥차게 아는 우리 아기 ], 부정 텍스트 확률 : 78.97%"
"[ 에이메르네이쳐기저귀는], 부정 텍스트 확률 : 66.26%"
"[ 의 우리아기가 착용한 팬티기저귀모습 아직 체중이 그리많이 나가지않는 아이라서 팬티기저귀가 맞는게 잘 없었는데.. 에이메르는 기저귀 사이즈 와따마 딱 맞구요허리밴딩이 헐겁지않아서 마음에 들었어요 ], 부정 텍스트 확률 : 79.33%"
"[ 팬티기저귀 착용한 우리 아기의 옆모습 포근하게감싸주는 유니트도 허리밴드허리밴딩이 쫀쫀하면서도 부드러워서 우리 아기 전혀 활동하는데 불편함이 없어보이네요 ], 부정 텍스트 확률 : 51.69%"
"[ 통통벅지가 아닌], 부정 텍스트 확률 : 57.30%"
"[슬림한 우리 아기 허벅지도 움직임에 맞게 밀착되기 때문에 소변이 샐걱정], 부정 텍스트 확률 : 74.56%"
"[소변을 가득가득 소변알림줄이 파란색계열로 변했어요 ], 부정 텍스트 확률 : 70.79%"
"[ 귀염둥이씨 바지도 안입고 에이메르기저귀만 착용하고 저렇게..ㅋㅋㅋㅋ 놀고계시네요 ], 부정 텍스트 확률 : 87.77%"
"[ 허리를 잡아주는], 부정 텍스트 확률 : 64.22%"
"[편안한 허리밴딩과.?순면커버순면커버 로], 부정 텍스트 확률 : 65.42%"
"[피부무자극 뭉침없고 흡수력 좋은 안심기저귀 .?아기기저귀아기기저귀.?에이메르네이쳐에이메르네이쳐진짜 에이메르합니다 ], 부정 텍스트 확률 : 65.71%"
"[ ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ◇ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ에이메르네이쳐 기저귀아기기저귀ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ◇ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ .?에이메르네이처에이메르네이처.?에이메르네이처기저귀에이메르네이처기저귀.?아기기저귀아기기저귀 .?부드러운기저귀부드러운기저귀.?에이메르기저귀에이메르기저귀 ], 부정 텍스트 확률 : 81.87%"
"[ 이제는 우리아이들 개월에 접어든 개월 아기 랍니다 진짜진짜... 폭풍성장 정말 많이 컷어요 대 쪼꼬미 신생아라 신생아용기저귀 사용하던게 엊그제 같은데 이제 사용하는 기저귀는 벌써 단계 사이즈가 되어있네요 ], 부정 텍스트 확률 : 90.12%"
"[ 아기들은 같은 개월수 라고 하더라도 성별], 부정 텍스트 확률 : 53.85%"
"[ 체형], 부정 텍스트 확률 : 53.29%"
"[ 바로 개봉해본 에이메르네이쳐 기저귀.기저귀 봉투 겉면의 다자인과 유사한 초록색을 바탕으로 심플하게 디자인된 기저귀로 중앙에는 사이즈를 표시해 주는 표시가 들어가 있구요. ], 부정 텍스트 확률 : 93.74%"
"[ 에이메르 기저귀를 꺼내어 본 첫인상은 부드럽다 인데요. 앞뒷면 겉부분만 만져보아도 너무나 보들보들 해서 엄마가 느끼기기에도 정말 착용감이 참 좋겠다 라는 생각이 들었구요. 겉면 자체가 뛰어난 통기성의 미세한 유니크 홀 패드로 공기순환을 원활하게 해 주어 피부발진이 없도록 도와주며 답답함 없이 시원하게 착용할수 있는 기저귀 라고 해요], 부정 텍스트 확률 : 70.14%"
"[ 사이즈 조절은 허리 뒷부분의 유니크 허리밴드로 아기 배둘레에 맞춰 조절하고 편안하게 감싸줄수있구요. ], 부정 텍스트 확률 : 63.32%"
"[ 우리아들 잠자리에 들기전 깨끗하게 목욕 후 에이메르네이쳐 기저귀로 갈아주고 잠자리에 들 준비를 하는데요. ], 부정 텍스트 확률 : 81.49%"
"[ 아기가 착용하는 사이즈 기저귀인데 우리아들에게 사이즈도 잘 맞더라구요 ], 부정 텍스트 확률 : 72.84%"
"[ 앞부터 뒤까지 허벅지 둘레를 감싸주는 밀착커브 샘가드는 활동적인 아이도 쏠림현상 없게 해주며 뒤척이는 움직임이 있더라도 옆샘걱정 없이 지켜주니 활동성 많은 아이라도 걱정 없어요. ], 부정 텍스트 확률 : 92.76%"
"[ 피부가 민감하고 연약한 아기가 사용하는 기저귀 인 만큼 철저한 테스트를 거쳐 안심하고 사용할수 있도록 한 기저귀로 피부자극테스트 결과 비자극성 판정], 부정 텍스트 확률 : 61.99%"
"[유해물질 테스트 결과 안정성 판정으로 아이에게 유해하다고 알려진 그 어떤 성분도 들어가 있지 않으며친환경 로하스 인증까지 받아 더욱 신뢰하고 사용할 수 있는 기저귀로 기저귀발진이나 피부가 연약한 아기이게 추천하구요. ], 부정 텍스트 확률 : 66.62%"
"[ 친환경기저귀로 몸무게가 적은 신생아에게도 잘 맞아서 갖 태어난 우리 아기들도 잘 사용을 했었기 때문에 신생아에게도 잘 맞는 신생아기저귀로 좋은 에이메르네이쳐 기저귀는 아래 링크로 좀 더 자세하게 만나보세요 ], 부정 텍스트 확률 : 92.04%"
"[ 기저귀발진이 생기면서 처음으로 주문해본팬티기저귀를 꺼냈어요팬티기저귀 입히려면 옷을 벗겨야 하니불편할꺼란 생각에 그동안 팬티기저귀 절대 안쓸꺼야 했는데이거 추천받아서 한박스만 주문해보고언젠가 쓰겠지 하며 뜯지도 않고 두다가오늘 써보고 대박신세계를 경험했답니다제가 주문한 기저귀는 에이메르네이쳐에요요즘 떠오르고 있는 신상기저귀바로 그 에이메르네이쳐랍니다 ], 부정 텍스트 확률 : 76.88%"
"[ 처음 뒤집기 시작한 아이도 착용이 가능한데요이 에이메르네이쳐 기저귀는키로 아이들도 사용할 수 있도록 만들어져있어요그만큼 부드러운 밴드가 잘 잡아준다는 거지요포근하게 감싸주는 유니크 도 밴드가아이에 체형에 문제없이 허리부분을 감싸줘서전혀불편함이 없도록 도와준데요그래서 저희 보꾸도 완전 편하게 잘 입나봐요 ], 부정 텍스트 확률 : 88.76%"
"[ 에이메르네이쳐 팬티기저귀는 이렇게 생겼어요저도 팬티는 처음 사용해봐서 불편하지 않을까벗길때는 어떻게 하지? 허리밴드가 고무줄로 되어있어 아기가 불편하진 않을까? 새지않게 잘 잡아줄까?키로까지 쓸 수 있는 사이즈인데사이즈가 크지 않을까? 많은 고민을 하며 꺼냈어요 ], 부정 텍스트 확률 : 99.30%"
"[ 처음엔 입구가 이렇게 작아서 당황요게 다 고무줄이에요 완전 신기하더라구요밴드만 하다가 팬티를 입히니 요런게 있네밴드보다 아기들 배에 허리에 이게 훨씬 좋을 것 같아요밴드기저귀는 사실 바지를 안벗겨도 되서제가 편해서 좋았던건데요즘은 뒤집으니 바지 잠깐 벗기고 뒤집어도 한방에 입히니 너무 좋더라구요 ], 부정 텍스트 확률 : 70.17%"
"[ 양 옆 밴드가 이렇게 충분히 늘어나요양쪽 다리에 한쪽손씩 넣고 양 발을잡고 올려주기만 하면 끝완전 간편하더라구요기저귀 갈 때 뒤집겠다고 징징못뒤집게하면 못뒤집게한다고 징징소리도 지르고 버둥거리고 하는데요걸로 아주 편하게 사용했어요오늘같이 발진 많은 날은 진짜 한시간에 서너번도 갈거든요이럴 때 너무 편했어요 ], 부정 텍스트 확률 : 99.11%"
"[ 아직 사이즈가 아랫부분이 많이 커요저는 지금 발진땜에 그래서 더 좋았어요바람이 통할 것 같아서에이메르네이쳐 유니크 슬림 팬티기저귀 자체가원래 통기성이 많은 기저귀라 발진있는 아기들 많이 쓴다고 했었거든요그래도 한번 더 크니까 더 안심 되더라구요 ], 부정 텍스트 확률 : 81.49%"
"[ 저 팬티기저귀는 처음 갈아봤는데요팬티도 밴드처럼 갈더라구요그냥 벗기는거 아니고 양 옆을 선따라 찢어주면 쉽게 찢겨요그래서 밴드처럼 벗겨주면 되요 ], 부정 텍스트 확률 : 57.41%"
"[ 밴드기저귀처럼 돌돌말아 뒤에 테이프 때서양 옆 밴드를 붙여주면 끝팬티기저귀도 정리하기 쉽네요동생한테 나는 팬티 불편해서 안쓸것같아팬티 바지 벗겨야하니 싫어 했었는데동생이 안그럴껄? 팬티가 훨씬 편할껄?했었어요 근데 왠걸 제가 지금 너무 편했어요 ], 부정 텍스트 확률 : 75.94%"
"[이앓이], 부정 텍스트 확률 : 64.91%"
"[ 잠이 없는 편이라 그렇지 그래도 배만 부르면 잘 노는 아이인데 요즘은 하루종일 칭얼칭얼 짜증대왕. 초대박예민보스가 되었는데요. 그나마 데리고 밖에 나오면 좋아하는데 요즘 또 미세먼지 때문에 한동안 데리고 못나왔더니 진짜 너무 힘들더라구요 ㅜㅜ 막 나가고 싶다고 창밖을 보면서 흐느끼는데 진짜 공기때문에 이런날이 오는구나싶은게 너무 속상한 거있죠 ㅠㅠ 그러다가며칠전 겨우 미세먼지 보통으로 돌아왔길래 데리고 나왔는데 세상 좋아하더라구요. ], 부정 텍스트 확률 : 68.45%"
"[ 아기 키우면서 육아필수품이 몇가지 있는데요. 그중에서 단 하루라도 없어서는 안될 기저귀. 첫째 둘째 같은 경우는 두돌 좀 지나서 배변훈련을 시작해서 뗐구요. 셋째는 거의 개월부터 팬티형으로 쭉 쓰고 있는데요. 사실 기저귀같은 경우 딱히 브랜드를 고집하지 않고 발진 안나고 무난하다 싶으면 핫딜 뜨는대로 구입해서 사용하고 있어요. ], 부정 텍스트 확률 : 92.61%"
"[ 파랑파랑한 패키지가 참 시원해보이는데요. 특대형 사이즈로 한팩에 가 들어있어요. 보통 돌 전후가 되면 걸음마를 시작하면서 움직임이 많아지고 밴드형이 불편한 시점이 오는데요. 우리 율이같은 경우 개월정도쯤되니 활동성이 많아지면서 바지를 입어도 핏이 안예쁘고 밑이 축 처지는 현상이 생기더라구요. 그래서 자연스레 팬티타입으로 바꾸게 되었는데요.], 부정 텍스트 확률 : 76.83%"
"[ 에이메르 팬티기저귀같은 경우 중형부터 팬티형으로 나오기 때문에 편하게 선택할 수 있을 듯해요. 장이 들어있지만 패키지가 슬림하더라구요. 두꺼우면 아무래도 답답하고 옷을 입었을때도 핏이 안 예뻐서 얇은 걸 선호하게 되는데요. 두껍지 않으면서 밤에도 버틸수 있을 정도로 흡수력도 괜찮아서 가격 따져봤을때 가격대비 성능이 참 괜찮다고 생각이 드는 제품이에요.], 부정 텍스트 확률 : 67.01%"
"[ 우리 율이는 약 을 달리고 있는 개월 아기인데요. 평소 단계사이즈를 대부분 사용하는데 이것 또한 엑스라지 사이즈하니까 딱 괜찮더라구요.], 부정 텍스트 확률 : 51.44%"
"[ 허리나 다리쪽 밴드 신축성이 엄청 좋아서 약간 슬림하거나 배가 나온 아기들도 부담없이 편안하게 핏되는 느낌으로 착용할 수 있을듯한데요. 두껍지 않으면서도 소재 자체가 뻣뻣함 도 없이 부들부들해서 피부 예민한 우리 율이도 긁거나 불편해하는 느낌 없이 잘 입고 있더라구요.], 부정 텍스트 확률 : 85.15%"
"[허리밴드가 사실 제일 만족스럽더라구요. 율이가 피부가 민감하다보니 많이 긁는 아이라 평소 허리라인이나 사타구니 쪽을 신경써서 잘 봐야하는데요. 전에 쓰던 것중에 몇가지는 허리밴드쪽이 너무 조였는지 자국도 남고 애가 자꾸 긁더라구요. 그래서 다시 밴드형으로 돌아갔던 적이 있었는데 이건 딱 피부에 부담되지 않을 정도로만 부드럽게 핏되어서 자국이 전혀 남지도 않고 활동하기에도 불편함 하나 없이 편안해보이더라구요.], 부정 텍스트 확률 : 97.14%"
"[ 돌 지나서는 웬만하면 밤에 쉬해도 그냥 재우는 편인데요. 그러다보니 양이 너무 많을때면 아무래도 슬림 팬티형이라 흡수를 잘 못해서 샐수도 있기에 이건 어떨까싶었는데 밤기저귀로 써도 괜찮을 정도로 흡수력도 빵빵해요. ], 부정 텍스트 확률 : 91.42%"
"[아침에 일어나자마자 갈면서 찍어봤는데 헉 ㅋㅋㅋ 완전 가득 찬 거있죠.ㅋㅋㅋ 일부러 꾹 누르지 않는다면 축축함 또한 거의 느껴지지 않아서 밤에 굳이 따로 밴드로 채우지 않아도 되겠다싶어 요즘 잘 때도 열일하고 있어요. ], 부정 텍스트 확률 : 74.99%"
"[ 밤잠에서는 슬림밴드기저귀로답답하지 않으면서도 충분한흡수력으로 커버가 가능하고요. ], 부정 텍스트 확률 : 72.62%"
"[ 유니크슬림밴드기저귀는 아직 걷지못하거나움직임이 많지 않은 아이에게 적합하지만밤잠에 쓰면 좋은것 같아요. ], 부정 텍스트 확률 : 70.85%"
"[.?에이메르하다에이메르하다], 부정 텍스트 확률 : 80.19%"
"[ .?에이메르에이메르], 부정 텍스트 확률 : 53.29%"
"[ .?기저귀기저귀], 부정 텍스트 확률 : 53.29%"
"[ .?아기기저귀아기기저귀 .?에이메르네이쳐에이메르네이쳐], 부정 텍스트 확률 : 69.00%"
"[ 제가 집에서 쓰고있는 팬티형기저귀기어다니기 시작하고 움직임이 많아지면팬티형기저귀가 딱 좋아요.갈아입히기도 그나마 편하고요.팬티형은 부터 사용가능한데저는 인 저희아가가 키대비통통한 편이여서 부터 쓸수있는기저귀를낮동안 착용하게 해줘요 ], 부정 텍스트 확률 : 97.94%"
"[ 에이메르네이쳐기저귀는물류창고에 세스코를 설치하여서해충이 침입하지 못하도록 하여 좀더안전한 물류관리를 하고 있고요.그렇게 하여 배송된 에이메르네이쳐 기저귀입니다 ], 부정 텍스트 확률 : 60.51%"
"[ 아기 키로수에 맞게 채워야기저귀가 새는거섮이 잘 흡수합니다에 막게 선택하는게 중요해요 ], 부정 텍스트 확률 : 65.79%"
"[ 이 뒷쪽 밴딩부분이 쫀쫀하면서너무 꽉 쪼이지 않는 부드러운 허리밴드라서 움직이거나 배가 불러도불편함이 없어요. ], 부정 텍스트 확률 : 59.47%"
"[ 슬림하고 보면 구멍이 숑숑 뚫려있는데공기순환을 원활하게 해주어서답답함없이 보송보송하게 피부를 유지시켜줘요. ], 부정 텍스트 확률 : 95.43%"
"[ 부드러운 시트부분하며쫀쫀한 밴딩부분이 좋다구요.이렇게 영상으로 바로 확인이 가능한 ], 부정 텍스트 확률 : 56.56%"
"[ 소재가 부드럽고 자극이 없기에저는 다른친구 기저귀발진났다고해서바로 에이메르기저귀를 추천해주고다른 친구에게도 이 기저귀를 선물로 해줬어요.근데 진짜 부드럽고 좋다고 하더라구요.간혹 소셜에서 특가뜰때 더 싸게 구입이가능해서 쟁여놓는것 같아요. ], 부정 텍스트 확률 : 80.22%"
"[ 에이메르네이쳐 관왕수상하고친환경 유아용품 부분 대상을 받았어요.이외에도 년 브랜드파워대상], 부정 텍스트 확률 : 57.57%"
"[.안녕하세요 조촵매력녀예요.아가 키우기 전에는 사실 기저귀브랜드하면.하기스?보솜이 이정도 밖에 몰랐던 것 같아요..라미 키우면서 다양한 기저귀 브랜드를 알게되고. 접하게 되더라고요오늘은 에이메르네이쳐 유니크 슬림 기저귀를소개해보려고해요 ], 부정 텍스트 확률 : 61.53%"
"[ 에이메르네이쳐 팬티기저귀는 ], 부정 텍스트 확률 : 66.26%"
"[로 사이즈가 분류가 되어있어요라미는 이여서 로 선택을 하였고한 팩에 개가 들어있어요 ], 부정 텍스트 확률 : 83.49%"
"[ 자기가 쓰는 건 줄 알고 기저귀 들고다니면서 신나게 놀고 있는 라미예요요즘 자꾸 힘자랑 하는 것을 좋아해서 이것저것 다 들어보는 개월입니다ㅋㅋ ], 부정 텍스트 확률 : 69.18%"
