"[친환경기저귀 밤보네이처 ], 부정 텍스트 확률 : 53.29%"
"[아스마 알러지 블루라벨], 부정 텍스트 확률 : 53.29%"
"[북유럽 친환경인증 노르딕 에코라벨], 부정 텍스트 확률 : 53.29%"
"[스완라벨 등 인증받은 진짜 친환경 기저귀랍니다 ], 부정 텍스트 확률 : 61.09%"
"[ 밤보네이처 기저귀의 허리 밴드를 보면 주름이 없어요주름이 없어 피부 접촉자극도 없고 발암물질 발생이 없는 무염소표백펄프공법으로 생산되어아토피 피부염의 발생원인인 형광물질이 없다네요그러니 신생아 기저귀로 좋겠지요? ], 부정 텍스트 확률 : 85.53%"
"[ 안에서 한번 밖에서 한번 중 샘방지 구조로 샐 염려없고통기 통풍이 잘되는밤보네이처 기저귀 여름 기저귀로 추천할만 하지요?또 밴드도 쭉쭉 늘어나는 탄력밴드라 울 아기 같은 뱃살 통통 아기들이 착용하기도 편안하답니다 ], 부정 텍스트 확률 : 68.10%"
"[ 신생아 여름기저귀로 추천하는 밤보네이처 친환경 기저귀년대부터 덴마크정부에서 자국의 아기들에게 친환경 기저귀를 공급하기 위해 만들어진 기저귀인 만큼 안전에 믿음이 가네요 ], 부정 텍스트 확률 : 82.81%"
"[...... ], 부정 텍스트 확률 : 70.13%"
"[ 아이를 키우면서 제일 많이 소비하는 것 중 하나가 바로 기저귀인데요.아기가 딱히 발진도 없고], 부정 텍스트 확률 : 82.69%"
"[ 덴마크에서 온 친환경기저귀 밤보기저귀청정지역 덴마크에서 원단부터 직접 만들어 믿고 사용할 수 있어 신생아기저귀추천 해요.현재 정도 되는 울 아기는아기들이 사용하는 단계 에스 사이즈를 착용하면 되더라고요], 부정 텍스트 확률 : 72.27%"
"[ 밤보서커스 에스 사이즈는 팩에 개의 기저귀가 들어있어요.개봉한 뒤 제일 먼저 눈에 띄었던 건 두께였어요밤보의 모든 제품군 중 가장 얇은 두께를 자랑하는 서커스얇지만 흡수체가 배 흡수력을 자랑해요.강력한 흡수 시스템으로 대량의 수분도 꽉 잡아 아기 엉덩이를 항상 보송하게 해줘요.덕분에 여름기저귀], 부정 텍스트 확률 : 60.87%"
"[활동성 많은 아기들도 불편함 없을 것 같아요. ], 부정 텍스트 확률 : 55.37%"
"[통기성 능력 최대 가 향상 되었다고 하는데요.신속하게 흡수하고 고르게 확산이 되어 뭉침 현상 또는 되묻어남 현상 없이 아기 엉덩이를 보송보송하게 해줘요.신생아들도 기저귀 척척하면 갈아달라고 우는거 아시죠? 파워흡수... 진짜 중요합니다 ㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 56.03%"
"[ 빠른 흡수력과 빠른 건조 시스템으로 언제나 뽀송뽀송하고 상쾌하게저는 딱히 밤기저귀나 낮기저귀 구분 없이 하나로 사용하고 있는데요. 어떻게 사용하던지 만족스러워요.ㅎㅎㅎㅎㅎ ], 부정 텍스트 확률 : 56.62%"
"[가끔 느슨하게 채우면 용변이 허리 위로 나오는 경우도 있는데요.이런 불상사를 막아주기도 하죠. 아], 부정 텍스트 확률 : 79.70%"
"[기저귀 자체가 길다고 해야할까요? 허리 위까지 올라오기때문에 좋았어요.안그래도 오늘 아기가 응가를 해서 갈아줘야지 하면서 보는데요 진짜 허리 위까지 올라왔더라고요.다행히 기저귀가 길어서 제대로 커버했어요 ㅋㅋㅋ 짧았다면 진작 다 새어나왔을수도........... ], 부정 텍스트 확률 : 97.51%"
"[ 몇시간 지났을 때 기저귀를 교체해줘서 그런지 돌돌말아 깔끔하게 정리를 했을 때 크기가 좀 크더라고요 ㅋㅋ밴드형 기저귀는 버릴 때 돌돌말아서 양 옆의 날개 부분을 당겨 붙여주면 깔끔하게 정리해 버릴 수 있답니다.뭐 이건 아기 케어하는 분들이라면 누구나 다 아실만한 부분이니................ㅋ ], 부정 텍스트 확률 : 98.69%"
"[ 처음 기저귀 개봉하면서 영상도 남겨봤어요.나름 신생아기저귀추천 해보겠다며 좋은 점들을 보실 수 있게 찍어본건데 참고바랄게요 이렇게 체험을 해보고 나니 괜찮은 것 같아서 가격 검색을 해봤는데 가격이 비싸긴 하네요 ㅋㅋ핫딜 없나요? 이용해볼 의향이 있습니다만...?사용해보고 만족한 밤보서커스 밴드형 단계 우리 아기 기저귀 뭐 써볼까 하시는 분들은 꼭 써보세요], 부정 텍스트 확률 : 90.61%"
"[ 밤보네이처는 덴마크 기저귀로친환경 기저귀이다유럽인증을 받았다니...일단 믿고 써보기로함 ], 부정 텍스트 확률 : 97.06%"
"[ 팬티형과 밴드형 중 밴드형으로 선택사이즈는 단계로 나눠져있는데그 중 로 아가들이 사용할 수 있는 단계로 사용중이다. ], 부정 텍스트 확률 : 60.83%"
"[ 밤보네이처 기저귀는 밤기저귀로 많은 엄마들이 쓰는 만큼흡수력이 좋은데 기저귀 자체가 두껍지 않아서 좋다.사용후기는 아래에더 자세히 쓸 예정 ], 부정 텍스트 확률 : 97.37%"
"[ 밤보네이처를 밤기저귀 용도로 구입한 만큼흡수력이 좋았으면 했는데낮기저귀보다 확실히 좋다내부에 샘을 방지하기 위한 중구조 덕분에밤새하고 자도 한번도 샌 적이 없다.특히 사이즈도 큰 편이라 더 좋다. ], 부정 텍스트 확률 : 93.19%"
"[ 두께가 얇아서 과연...흡수력이 좋을까 의심이 됐는데좋다꿀보가 보통사이에 자고새벽사이에 일어나기에시간 이상을 하고 있어도샌 적이 한번도 없고 흡수력이 좋아서아이가 중간에 기저귀때문에 일어나지 않는 편이다.확실히 밤기저귀를 하고 나서부터는밤에 잠자는 시간이 늘어나더니통잠을 자기 시작했다.사실...밤기저귀때문인지는 확실치 않으나소변때문에 찝찝해서 뒤척이거나 깨는 경우가줄면서 잠을 깊이 자는건 맞는듯하다흡수력이 좋다보니외출할때는 이 기저귀로 채워서 가는 편이고], 부정 텍스트 확률 : 99.80%"
"[ 무엇보다 기저귀 발진이 없다.사용해본 결과 아쉬운 점이라면가격이 낮기저귀보다는 조금 더 비싼편이고친환경기저귀라서 그런지 기저귀를 갈때면특유의 소변 냄새가 난다.처음엔 이게 무슨 냄새지? 했는데...점점 적응하긴했다ㅋㅋㅋ그리고 소변줄이 없는 기저귀라간혹 잠자기 직전에 발버둥칠때...기저귀때문에 그런건지 뭔지 구분이 안갈때가 있다.하지만 주로 밤기저귀용도로 많이 사용하기에소변줄이 없어도 크게 불편하진 않다. ], 부정 텍스트 확률 : 55.22%"
"[ 벌써 개월 일차에 접어든 꿀보수유텀은사이로 하고 있고수유량은사이 인데아이 컨디션에 따라대이기도 하고], 부정 텍스트 확률 : 64.89%"
"[은 넘지 않으려고 한다.수유횟수는 보통 회정도이며첫수는사이로], 부정 텍스트 확률 : 73.10%"
"[ 나머지 회는 로 맞추려고 하나꿀보가 먹고 싶은대로 먹는중ㅋㅋ앞으로는 양을 더 늘리고 수유텀을 시간으로잡아서 하루 회 수유를 하려고 한다.개월에서 개월로 넘어가는 사이꿀보에게 정말 많이 신체발달과 변화들이 생겼다.. 자기 손을 보면서 놀기. 손가락을 이용해서 물건잡기. 배냇짓이 아닌 진짜 웃음ㅋㅋㅋㅋㅋ. 목가누기.엄마 인식하기. 낮잠 누워서 혼자자기등등정말 많은 변화가 생겨서 볼 때마다 너무너무 신기하고 예쁘다ㅎㅎ그리고 육아하면서 정말 크게 깨달은게 있다맘카페나 육아서적을 보다보면평균적으로 아이들에게 이루어지는 신체발달 시기가 있는데처음에는 왜 다른애들은 이맘때 이걸한다는데우리 꿀보는 안하지? 혹시 뭔가 문제가 있나?어떻게 연습시키지?등의 생각들이 들면서 다급하게연습시키고 괜히 불안해했다.근데 일정도 꿀보랑 지내고보니우리아이의 발달을 평균치나 다른아이들과비교하는 자체가 무의미한것 같다는 생각이 들었다.아이가 본인 역량이 될 때], 부정 텍스트 확률 : 96.34%"
"[ 곧 다가올 크리스마스를 위해트리를 꺼내줬는데신기한지 가만히 보기도 하고웃기도 하는 꿀보ㅋㅋㅋ넣어두었던 인형도 꺼내주니꼼지락꼼지락 거리며 가지고 논다.꿀보야], 부정 텍스트 확률 : 80.65%"
"[ 이름만 유럽산이고 실제 생산은 중국에서 되거나 하는 기저귀들도 많은데], 부정 텍스트 확률 : 94.52%"
"[일단밤보네이처 기저귀는덴마크산 이라는 것에 신뢰를 가졌어요.그리고 저희 아가는 유난히 열과 땀이 많은 편이라 통기성 좋고 얇은 기저귀를 선호했는데슬림하면서도 흡수력이 뛰어난 기저귀라서 밤보드림 을 오랫동안 정착하여 사용하게 되었습니다.그리고 무엇보다 디자인이 예뻐요.개인적으로 아주 깔끔한 스타일을 선호하는데요. 제가 사용하지 않았던 국내브랜드 기저귀들은 대부분 디자인이 예쁜 편이었으나유럽산 기저귀 대부분의 디자인은 뭔가 안타까운 부분이 있어요. ㅎㅎ하지만 밤보드림은 저의 아쉬움도 잠재워주는 심플하고 예쁜 디자인으로 요즘 엄마들 마음에 쏙 들 것 같아요. ], 부정 텍스트 확률 : 99.93%"
"[뒤쪽에는 허리 고무줄은 없지만 밴드부분 스트레치가 강해서 사이즈 조절에 용이해요.요 밴드로도 활동하기에 무리가 없어서따로 팬티형을 꺼내지 않아도 될 만큼 아기가 편안해하고], 부정 텍스트 확률 : 89.77%"
"[ 통기성을 극대화한 커버를 적용했다고 해요.그래서인지], 부정 텍스트 확률 : 71.30%"
"[밤보기저귀로 발진난 적은 한번도 없었어요 겹 흡수층과 통기성의 조화로 저는 밤보드림을 밤기저귀로 쓰고 있는데요], 부정 텍스트 확률 : 60.99%"
"[얇지만 흡수엔 전혀 문제가 없었습니다.], 부정 텍스트 확률 : 94.83%"
"[덜 부드럽고], 부정 텍스트 확률 : 53.29%"
"[ 그래서 조금이라도 더 안전한 성분으로 만들어진 걸 선택하려고 노력했습니다.유럽 친환경 인증서로 노르딕 에코라벨 인증더마 피부테스트덴마크 아스마 알러지협회 인증 등을 확인 할 수 있었구요], 부정 텍스트 확률 : 99.19%"
"[저는 내 아기가 쓸 거니까 가격은 두 번째로 생각하기로 했어요?위메프나 쿠팡 등에서 하는 베이비위크 행사를 통해 쿠폰으로 할인받아 구입하거나], 부정 텍스트 확률 : 76.15%"
"[.. ], 부정 텍스트 확률 : 57.07%"
"[ 네츄럴블라썸], 부정 텍스트 확률 : 51.42%"
"[ 슈퍼대디], 부정 텍스트 확률 : 53.29%"
"[ 애플크럼비], 부정 텍스트 확률 : 90.02%"
"[하기스네이쳐썼는데밤기저귀는 애플크럼비로쓸거구용..낮에부담없이쓰려구하는위메프킨도세일해서사려했더니난리가난거같아서빌로기나비잠네띠리베로밤보어떤가요? ], 부정 텍스트 확률 : 97.80%"
"[착용감도 좋아서 그런지 쭈니의 꿀잠을 도와준밤보네이처 기저귀 직접 사용해본 리얼 후기], 부정 텍스트 확률 : 67.71%"
"[들려드릴게요 ], 부정 텍스트 확률 : 70.04%"
"[ 밤보네이처 기저귀가 도착했어요 밴드형은 사용해보았는데팬티형은 처음이었는데요 주변 맘들 사이에서신축성이 좋다고 소문이 난 기저귀더라구요 ], 부정 텍스트 확률 : 64.42%"
"[피부자극이 좋지 않은 기저귀를 사용하면 바로 나타나더라구요밤보네이처는 천식 및 알레르기 협회에서 주는 라벨인 아스마 알러지 블루라벨 인증을 받아피부자극이나 습기], 부정 텍스트 확률 : 85.37%"
"[ 저희아들이 이번에 예방접종을 맞으러 갔는데 와우.ㅎㅎㅎ.을 찍었더라구요.ㅎㅎㅎ키도 그만큼 커서 사실 상관은 없는데 다른 아이들보다는 사이즈가 큰 편이라단계 주니어용 팬티 기저귀를 착용하게 되었어요. ], 부정 텍스트 확률 : 88.92%"
"[ 뒷쪽에는 밤보네이처 기저귀의 장점에 대한 내용이그림으로 나와이어요 겹 흡수층], 부정 텍스트 확률 : 64.62%"
"[이중샘 방지 구소], 부정 텍스트 확률 : 53.29%"
"[허리밴드], 부정 텍스트 확률 : 53.29%"
"[주름제로 밴드 등아이의 편안한 잠자리], 부정 텍스트 확률 : 62.18%"
"[활동을 위해 디자인 되었다는 생각이 들더라구요 ], 부정 텍스트 확률 : 51.50%"
"[ 패키지 자체에 이렇게 손잡이가 있기 때문에 선물하기에도 좋고윗쪽은 깔끔하게 잘릴 수 있게 처리가 되어있어서하나씩 꺼내기에도 좋고], 부정 텍스트 확률 : 52.87%"
"[ 뒷쪽은 고탄력 매직 테이핑 기술로 깔끔하게뒷처리가 가능해요 ], 부정 텍스트 확률 : 73.38%"
"[ 편리한 소변 표시줄은 색깔이 변하기 때문에언제 갈아줘야할지 판단하기 좋더라구요.특히 밤보네이처의 소변표시줄은 중금속이 배제된꿀 성분 추출을 통한 소변표시줄이라더욱 안심이랍니다. ], 부정 텍스트 확률 : 53.97%"
"[ 허리 부분은 신축성이 정말 좋은데요활동이 많은 아이의 움직임에 따라 주름없는 주름 재로 허리밴드로 되어있어서아기 등과 허리에 꼭 맞는 퍼펙트 핏을 만들어주니짓눌리는 자극도 최소화 되고 피부도 보호해주어요.특히 저희아들 요즘 활동성이 대박인데허리밴드가 너무 조이지 않고 신축성이 있으니쭈니도 편안한 착용감을 느낄 수 있겠더라구요. ], 부정 텍스트 확률 : 80.81%"
"[화학세제], 부정 텍스트 확률 : 53.29%"
"[형광증백제], 부정 텍스트 확률 : 53.29%"
"[제품 폐기에 이르기까지제품의 환경영향을 평가하는 인증제도라고 하니], 부정 텍스트 확률 : 76.06%"
"[친환경 기저귀라는 이름이 괜히 붙은게아닌 것 같아요. ], 부정 텍스트 확률 : 88.11%"
"[ 기저귀 리뷰를 할 때 빠질 수 없는 것이 바로 흡수성 테스트인데요간장물을 만들어서 얼마나 흡수가 잘되는지확인해보았어요. ], 부정 텍스트 확률 : 74.47%"
"[ 소변줄의 색깔도 점점 변하고 있는거 보이시죠? ], 부정 텍스트 확률 : 84.34%"
"[냄새도 덜 나고], 부정 텍스트 확률 : 63.38%"
"[공간도 덜차지해서편리해요. ], 부정 텍스트 확률 : 58.48%"
"[ 확실히 딱 맞는 느낌이 들어요어떤 기저귀는 너무 크고], 부정 텍스트 확률 : 91.49%"
"[ 옆부분은 샘방지 처리가 되어있기 때문에다리를 한번 더 감싸주네요 ], 부정 텍스트 확률 : 56.20%"
"[ 피부가 예민한 편이라 기저귀를 사용하고 나면 피부를 꼭 살펴보는데요.확실히 독일 최고의 권위를 자랑하는 피부과학연구소인 더마테스트피부과학연구소의임상피부실험분석테스트를 통과한 제품이라아이가 기저귀를 착용했을 때 발생하는 알레르기 등을 방지하고연약한 아기 피부 건강을 지켜주는 느낌이에요. ], 부정 텍스트 확률 : 58.65%"
"[ 이전 기저귀는 잠자다가 간지러운지 긁기도 하고움직이다가 불편해서 엥하고 울기도 했는데이렇게 꿀잠자니 왜 진작 바꿔주지 않았나 하는 생각이 들어요. ], 부정 텍스트 확률 : 74.09%"
"[ 쭈니의 밤기저귀로 선택한 덴마크 친환경 기저귀 밤보네이처편안한 착용감], 부정 텍스트 확률 : 66.45%"
"[.... .. ], 부정 텍스트 확률 : 74.44%"
"[더운 여름에 저희도 이렇게 더운데 매일 기저귀 하고 있어야 하는 개월 아기는 어찌나 덥고 답답할 지게다가 잘 사용하던 것도 조금 크고 계절이나 온도에 따라엉덩이에 발진이 생기니 불편해해서 바꿔줘야 해요.이래서 맘카페에서 기저귀유목민이야기가 나오나봐요 ], 부정 텍스트 확률 : 96.48%"
"[ 개월 아기 지금 몸무게가 약정도인데 사이즈 사용하니너무 딱 맞는 느낌이여서 여유있게까지 사용 할 수 있는 사이즈 밤보서커스 사용 중이에요. 아이들마다 발육상태가 다르니까 참고 해서 고르면 될 것 같아요.오십육페이지 개인적으로는 더운 날씨라서여름기저귀 조금 넉넉하게 사용해도 될 것 같아요. 물론 새지 않을 정도로 ], 부정 텍스트 확률 : 92.60%"
"[ 그냥 보고 만졌을 땐 아 부드럽구나 정도 였다면 햇빛에 비춰보니까 다른 아기기저귀와 달리 선이 들어가 있어요. ], 부정 텍스트 확률 : 95.10%"
"[ 보통은 허리 부분에 밴드가 있어서 쭉늘어나서 신축성이 좋은데 밤보서커스는 허리부분에없어요. 그래서 불편해 하면 어떡하지 ?걱정했는데 사이즈가 좀 넉넉한 편이고 스트레치 밴드가 쭉쭉 잘 늘어나기 때문에 몸에 편안히감싸주어 편안하게 활동 할 수 있어요개월 아기 요즘 정말 빨리 ], 부정 텍스트 확률 : 89.16%"
"[열심히 기어다니는데 샐까봐 걱정하지 않아도 괜찮았어요.], 부정 텍스트 확률 : 55.03%"
"[ 전에 밤보네이처 사용 했을 때 숫자가 저혀있어서 이게 뭔가 ? 하고 궁금했는데밤보서커스 뿐 아니라 모든 제품에이렇게 제품코드 시리얼번호 적혀 있대요. ], 부정 텍스트 확률 : 80.52%"
"[안심하고 착용해요얇아서 돌돌 말아서 기저귀 접으니까부피도 많이 줄어서 쓰레기 버릴 때 용량 많이 늘지 않아서 좋아요. ], 부정 텍스트 확률 : 95.20%"
"[ 친환경기저귀 라고해서 기대를 많이했는데 밤보네이처는 오십육페이지 쪼꼬미조카랑 안 맞아서 아쉬웠거든요 ㅜ 근데 이번 밤보서커스는 얇고 부드러워서 그런 지 잘 사용하고 있어요. ], 부정 텍스트 확률 : 87.84%"
"[.... ], 부정 텍스트 확률 : 70.23%"
"[ 제 기억이 더 사라지기 전에 남겨놓는 후기에요.저랑 제 딸은 그다지 기저귀에 예민하지 않은 편인 듯해요.기저귀 밴드는중에 주로사이나 에 채우고 쫄리면 단계 넘어갑니다.여기 쓴 기저귀들 중에 알갱이 본 적은 없어요.사람마다 느끼는 건 다를 수 있으니 태클은 사절합니당.. 군 오리지널조리원에서 써봤는데], 부정 텍스트 확률 : 75.19%"
"[단계조리원에서 밥 먹으면서 물어봤더니], 부정 텍스트 확률 : 52.97%"
"[이거 많이 쓴다 그래서 사본 네이쳐메이드.부드럽고], 부정 텍스트 확률 : 84.49%"
"[사이즈가 작게 나와요. 단계는 네이쳐메이드만 썼는데요], 부정 텍스트 확률 : 96.40%"
"[ 진작 기저귀 바꿨으면 통잠을 더 일찍 잤을 거에요ㅠㅠㅠ 기저귀 바꾸니 통잠...그 이후 맥스드라이는 낮에 막 갈아주게 됩니다.근데 팩당 천원대의 싼 가격으로 구입한 게 아니었다면 속 쓰렸겠죠??뭐 것도 다 못 쓰고 단계 네이쳐메이드맥스드라이 팩씩은 유한킴벌리 고객센터를 통해사이즈 교환을받았습니다. 매직팬티], 부정 텍스트 확률 : 85.54%"
"[거슬릴 정도는 아니에요.길이 넉넉하고 두껍지 않고 괜찮았어요. 근데 소변 냄새가 너무 나요ㅠㅠ 우리 딸 안 씻기는 거 같잖아요...팩 다 쓰고 재구매는 안 했어요..빌로기 미디], 부정 텍스트 확률 : 54.22%"
"[맥시맥스드라이 넘치는 것 때문에 분노하고 검색해서 산 빌로기.하기스 단계가 딱 맞는 시기여서 약간 클 걸 감안하고 미디움으로 샀어요.디자인 깔끔하구요], 부정 텍스트 확률 : 68.35%"
"[두께는 지금까지 사용한 기저귀 중에 제일 두꺼워요.아침에 기저귀 보면 세상 빵빵하고 두꺼워요.엄청 부드럽냐? 그렇지도 않아요. 소변줄 없는 기저귄데 친환경은 아니에요.근데 소변을 그렇게 많이 봐도 피부는 축축하지 않더라구요. 한번도 넘친 적 없어요.외출용으로는 옷핏을 망가뜨리는 빵빵기저귀인데요], 부정 텍스트 확률 : 99.55%"
"[이라 맥시사이즈 쓰고 있어요. 주니어사이즈까지 계속 쓸 거에요.딜이 자주 안 뜨는 게 아쉬워요.. 뉴메리즈 에아스루 중형 킨도 보라 다음 타자로 선택한 메리즈. 일 지나 킬로 정도여서 중형으로 구입했죠.워낙 부드럽다 그러고 호평이 많아서 딜도 아닌데 팩을 구입해보았습니다.사이즈는 킨도보다는 약간 작지만 킬로수에 적당했어요.근데 뭐... 장점을 잘 모르겠어요. 이정도 부드러운 기저귀는 많아요...재구매를 할 것인가 말 것인가 긴가민가 했는데], 부정 텍스트 확률 : 73.70%"
"[딸내미라 일제기저귀 쓰기가 마음 한구석에 찜찜했는데 장점도 딱히 모르겠어서요.귀찮아서 제조사 홈페이지는 안 들어가봤는데], 부정 텍스트 확률 : 51.02%"
"[포장에는 국산일본산이라고만 적혀 있고], 부정 텍스트 확률 : 91.44%"
"[ 제조지주소 같은 건 안 나와있더라구요.. 나비잠 매직소프트 중형], 부정 텍스트 확률 : 84.42%"
"[소변냄새가 많이 나는 것도 아니고], 부정 텍스트 확률 : 85.63%"
"[겉이 축축하지도 않구요.이유식 시작하고 응가양이 늘어서 가끔 샌 적이 있는데], 부정 텍스트 확률 : 63.33%"
"[이건 지금 좀 많이 크네요.매직소프트보다 얇아서 지금 같은 날씨에 만족스러워요. 둘 중 하나 산다면 저는 울트라씬을 사겠어요.근데 제 주변에는 울트라씬에 발진 난 아가들이 몇 있어요.현재 울트라씬 팩을 다 써가는 중입니다. 그러니까 또 새로 주문해야 하지 않겠어요?. 모모래빗 에코씽씽 이건 밴드팬티 둘다 체험팩을 구입했어요.아직 팬티는 안 써봤는데], 부정 텍스트 확률 : 68.08%"
"[밴드는 얇고 좋아요. 디자인도 모노톤으로 깔끔하구요.무난해서 저렴하게 딜이 뜬다면 본품을 구입해보고 싶네요.. 슈퍼대디 미스터펭대형원래 있던 매직슬림??인가 그게 리뉴얼 돼서 미스터펭으로 나왔다네요.매직슬림을 안 써봐서 차이는 모르구요], 부정 텍스트 확률 : 99.67%"
"[ 오늘택배 받아서 두 장 써봤는데], 부정 텍스트 확률 : 55.29%"
"[ 얇긴 되게얇아요.다리쪽에 샘방지밴드 높이를 높였다는데 실제로 보니 높긴 높더라구요.대형이 이라 대형 주문했는데아기에겐 좀 커요. 사이즈는 기재된 대로인 듯해요.발진이나 똥샘이 있는지 요런 건 좀 더 써보고 수정할게요.. 하기스 매직팬티 빨간색단계 사이즈교환을 맥스드라이랑 빨갠색 이거 팬티로 받았는데오늘 팬티꺼내써보니 와.... 좋네요ㅋㅋㅋ 신세계 교체할 때 옆에 밴드도 부드럽게 잘 뜯기구요.당연히 밴드보다 훨씬 안정적이에요. 활발한 아가라 단계 밴드 종종 써야겠어요.사이즈가 단계인데 샐 만큼 크지는 않아요. 맥스드라이 팬티는 좀 크다는데? 이것도 써보고 수정할게요.. 마미포코 리프가닉], 부정 텍스트 확률 : 96.73%"
"[밤보네이쳐], 부정 텍스트 확률 : 53.29%"
"[팸퍼스요것들은 몇 개받아서 써봤는데 당장 이걸 주문해야겠다는 생각이들진 않았어요.밤보는 되게 부들부들한데], 부정 텍스트 확률 : 72.29%"
"[앙블랑아기 신생아일 때 써봄에서킨도랑 나비잠이랑 같이주문해봤어요.하지만 저의 선택은 킨도였어요. 그 다음은 나비잠이었구요.앙블랑은두꺼운 편이라 안 살 거 같고], 부정 텍스트 확률 : 67.22%"
"[ 아기 엉덩이 발진 때문에 팸퍼스 쭉 써왔어요.이번 생리대 파동도 있고 해서..기저귀 친환경으로 쓰고 싶어 작은 단위로 구매해서 사용해 보고 있어요안전하지는 모르지만 ㅠㅠ 그렇다 하니리베로], 부정 텍스트 확률 : 68.02%"
"[에코제네시스 써보고 있는데 리베로는 가격은 나름 가장 합리적인데 발진이...밤보는 약간 저가형 밤보서커스랑 밤보네이처랑 두개 쓰는데 서커스는 아이 오줌냄새가 아주 신경써서 자주 갈아주지 않는 한 역하게 많이 나더라구요.. 그 윗단계 네이처는 못느끼구요가격차이는 거의 두배 ㅠ 둘다 발진 없고 뽀송뽀송해요. 낮에는 서커스], 부정 텍스트 확률 : 93.18%"
"[밤보 기저귀는 팩씩 샀고네띠는 팩만 구입하려니 구하기가 쉽지 않네요.이번에 외국기저귀들 구입해보면서 이렇게 사는게 힘든데국내기저귀로 그냥 써야하나 걱정도 되고...네띠는 좀 종이느낌이라 아기가 불편할수도 있다는데여튼 다 써보려구요.후기 좀 남겨주심 도움되겠습니다.그리고 신생아용 팩만 파실분도 연락주세요], 부정 텍스트 확률 : 99.93%"
"[맑은 고딕 나눔고딕], 부정 텍스트 확률 : 53.29%"
"[ 돋움급해서 주문하려고 가니 이벤트해서 올레하고 박스로 구입했네요. 맑은 고딕맑은 고딕 나눔고딕], 부정 텍스트 확률 : 85.21%"
"[ 둘째인데요개월이예요.근데 허벅지가 좀 두꺼워서 왠만한 점보사이즈는 전부 꽉 끼어요.유목민도 이런 유목민이아전까진 비싸도 그냥 하기스 썻었는데 애가 어느 순간부터 쉬를 하던 안하던 잡아 뜯어서 벗어버리고 도망가요.ㅠㅠ ...], 부정 텍스트 확률 : 89.78%"
"[...? 초특급으로 비싼거 아닌이상은 왠만한 브랜드는 다 써본거 같네요.하.....올리브 부터 쿠잉.바바랩.베피스.네이쳐러브메레.베베몬.킨도.페넬로페.나비잠.마미포코.하기스.팸퍼스사이즈 업해도 응가 다샘.보솜이쉬하면 아프다고 난리남.군쉬하면 무겁다고 안입음.슈퍼대디 등등등많이 써봤는데 아이가 싫어하거나 아니면 작아서 똥꼬에 껴요.ㅋㅋㅋㅋㅋ가격이 사악해도 리베로나 밤보네이쳐가 까지라길래 보고있는데 후기 보니 알갱이가 나온다기에 망설여져서 못사고 있어요.아키로 이상인 애기들 어뭉님들 기저귀 어떤거 쓰셔요???추천좀 해주세요.정착하고 싶어요.흑흑흐], 부정 텍스트 확률 : 96.80%"
"[ .?밤기저귀밤기저귀.?기저귀기저귀.?신생아기저귀신생아기저귀.?밤보네이처밤보네이처.?개월기저귀개월기저귀.?단계단계.?팬티형팬티형.?지척이지척이 ], 부정 텍스트 확률 : 50.82%"
"[ 안녕하세요 펭수 덕 좀 보고싶은지척애미 흥오리에요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ지척이의 기저귀밤보네이처아마 밤보네이처 후기는 많이들 보셨을텐데기저귀후기가 대부분 그렇듯신생아와 돌전 아기의 사이즈 후기는 많은데큰 사이즈들 후기는 많이 부족하더라고요 ], 부정 텍스트 확률 : 82.33%"
"[ 요즘 사진찍자고 하면 장난부터 치고싶은개월 별님반 친구우측 사진 보세요.이 기저귀 팩으로 어떻게 장난칠까생각하는게 보이시죠?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 99.25%"
"[ 좌측부터 밤보드림 단계 팬티형밤보네이처 단계 팬티형밤보네이처 단계 밴드형 입니다. 지척이는 기저귀를 어떻게 사용중이냐면요낮에는 밤보드림 단계 팬티형밤에는 밤보네이처 단계 밴드형을사용중이에요그리고 외출할 때는 바지를 안벗기고기저귀를 교환할 수 있도록밴드형으로 가지고 다니고 있습니다. ], 부정 텍스트 확률 : 51.88%"
"[ 좌측과 가운데 사진은 .?밤보드림밤보드림 단계 팬티형 사진이고요우측 사진은 .?밤보네이처밤보네이처 단계 밴드형 사진이에요지척이에게 딱 핏이 좋게 잘맞죠? ], 부정 텍스트 확률 : 90.76%"
"[ 단계 팬티형의 결론부터 말씀드리자면], 부정 텍스트 확률 : 66.38%"
"[ 아직 지척이에게는 커요ㅋㅋㅋㅋㅋㅋㅋㅋ다시 단계 구입하러 가야겠어요자세한 내용은 퐐로팔로 ], 부정 텍스트 확률 : 66.07%"
"[ 단계 기저귀도 역시나호랑이 모양의 기저귀인데요단계에 비해 호랑이가순해진거 같은건 저만의 느낌인가요?ㅋㅋㅋㅋㅋㅋㅋㅋ호랑이 모양도 중금속이 배제된수용성 잉크로 제작된 제품이랍니다. ], 부정 텍스트 확률 : 89.53%"
"[ 북유럽 개국 공통 친환경 인증노르딕 에코라벨은 밤보네이처가세계최초로 인증을 받았답니다. ], 부정 텍스트 확률 : 78.71%"
"[ 이제부터 기저귀 지척이가 갈래?라고 말하니 뭐가 재미있는지까르르까르르 넘어가는.?까르르머신까르르머신ㅋㅋㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 72.31%"
