"[...우리 춘삼이는 일 이후부터 밤에 통잠을 잔다..그전에 몇번 시간 자더니], 긍정 텍스트 확률 : 65.96%"
"[ 라이트 로즈개인적으로 가장 마음에 들었던느낌의 핑크 로즈 ♥단독으로 바르면 누디하면서 우아한 색감이고], 긍정 텍스트 확률 : 99.91%"
"[ 빈티지 로즈겨울과 아주 잘 어울리는 고혹적인 분위기죠말린장미에 버건디와 플럼을 살짝 섞은오묘하고 딥한 컬러예요. ], 긍정 텍스트 확률 : 99.35%"
"[ 플라밍고 푸치아푸시아 계열 중에서도 보라빛 쨍쨍한 컬러예요특히 우리 나라 브랜드에서는정말 보기 드문 색감이죠 ㅎㅎ존재감이 어마어마해서포인트 립으로 좋을 것 같아요 . ], 긍정 텍스트 확률 : 99.93%"
"[ 레드 팝생기 넘치는 비비드한 톤으로사계절 언제나 데일리로 바르기 좋은밝고 화사한 레드 컬러예요 ], 긍정 텍스트 확률 : 83.65%"
"[ 키스 미 레드 고혹적인 분위기의 톤 다운된레드그윽그윽 차분하면서도 너무 딥하지 않아부담 없이 바르기 좋았고겨울에 블랙 아우터에 완벽하게 어울리는 색이에요. ], 긍정 텍스트 확률 : 99.80%"
"[ 뿌빠 아이엠 러브프루프 여섯 가지 컬러 중에서가장 마음에 들었던 호와 호를그라데이션해보았어요두 컬러의 조합도 너무 예쁘고입술이 더 도톰하고 입체적으로 보여요], 긍정 텍스트 확률 : 75.35%"
"[ 지속력 좋은 매트 틴트 추천템뿌빠 아이엠 러브프루프한국 브랜드에선 보기 드문 색감도 많고각질 부각 없이 착 붙는 밀착력], 긍정 텍스트 확률 : 99.01%"
"[.우리 루비다야가 요즘 분유 먹고 나면 배앓이에 설사에.묽은 변을 보는 게 걱정돼서 분유를 바꿔보려고 서치해보니...워낙 많은데 뭘 고를지 고민이기도 하고 이전에 직구해서.먹이던 수입분유는 물에 잘 안 녹아서 아무래도 바꾸려던 찰나..미세먼지 없는 초록빛 드넓은 초원의 뉴질랜드 방목 젖소 원유로.안전한 성분에 합리적인 가격까지 딱 좋다는 생각이 들어 저는.프리바이오틱스가 포함된 수입분유 아이엠뉴질랜드로 ... ], 긍정 텍스트 확률 : 64.60%"
"[ ....아기에게 좋은 것만 주고 싶은 게 엄마의 마음], 긍정 텍스트 확률 : 80.09%"
"[ ..특히 태어나자마자 접하게 되는 분유는.아이의 성장과 건강에 직결되는지라.정말 좋은 걸로 만 먹이고 싶은 마음 아시죠?... ], 긍정 텍스트 확률 : 98.03%"
"[ ....아이 성장발달과 면역력에 도움을 주는 영양성분 포함.미네랄], 긍정 텍스트 확률 : 68.66%"
"[유산균 함유.따로 영양제를 먹일 필요 없고..특히], 긍정 텍스트 확률 : 71.14%"
"[비타민 함량이 분유 중 최고로.면역력을 높여주어 선택하게 되었어요... ], 긍정 텍스트 확률 : 98.40%"
"[ ....그동안 직구 제품은 딱히 안전성보다는.네이밍을 보고 선택했었는데 공식 수입으로.안전하게 먹일 수 있으니 안심되더라고요... ], 긍정 텍스트 확률 : 89.33%"
"[ ....전에 먹이던 독일 직구 수입분유는 가루가 굵어.물에 잘 녹지 않아서 그런지 소화를 잘 못해서 울고 보챘는데..입자가 고운 가루라서 ℃ 온도의 물에도 금세 잘 녹아요.. . ], 긍정 텍스트 확률 : 92.46%"
"[ ....분유에 들어있는계량스푼 외. 스푼도 제공되어 수시로 변하는.아이의 분유량을 계량하기 쉬워졌답니다... ], 긍정 텍스트 확률 : 62.19%"
"[ ....외출 시 간편하게 분유를 보관할 수 있는 분유저장팩... ], 긍정 텍스트 확률 : 58.66%"
"[ ....쉽고 간편하게 그리고 안전하게.위생적으로 사용할 수 있어.외출할 때 느므 편리해... ], 긍정 텍스트 확률 : 66.59%"
"[ ....무거운 기저귀 가방에 짐을 조금이나마 줄여줄.분유저장팩으로 편안하게... ], 긍정 텍스트 확률 : 53.05%"
"[ ....외출해서도 우리 아가 맘마는 잘 챙겨줘야겠지요?..성장에 필요한 필수 성분으로.우리 다야 쑥쑥 크자... ], 긍정 텍스트 확률 : 88.27%"
"[안녕하세요 출산임박 임산부 나나짱입니다 ㅎ오늘은 포장부터 완벽한 아이엠트루 출산선물박스를 해드릴께요 ], 긍정 텍스트 확률 : 96.52%"
"[ 아이엠트루는 년 한국소비자 만족지수 위를 한 곳으로국내 최최 품질 자부심이 대단해요 프리미엄 보증제와 가성비 보증제를 시행한 곳으로유아업계에서는 알아주는 곳이라고 하네요아기껄 만드는 회사라 아무래도 믿고 사용할 수 있는 곳이어야하는데여러 국제 인증을 받은 제품이 있는 안심이 되는 아이엠트루네요 ], 긍정 텍스트 확률 : 93.42%"
"[ 출산선물박스에 들어있는 아기블랭킷은그냥 블랭킷이 아닌 엠보블랭킷이랍니다대나무 오가닉 섬유로 아기가 물고 빨아도 안심하고 쓸 수 있는 제품이며유기농 원료를 사용했기때문에 신생아부터 사용할 수가 있어요출산선물이다보니 신생아때부터 사용할 수 있어야 좋은데요엠보블랭킷은 톡톡하니 두께감도 있어서신생아 외출 시 아이를 감싸고 나가도 될 것 같아요그리고 속싸개로도 사용이 가능하니 실용만점 출산선물이네요 ], 긍정 텍스트 확률 : 67.39%"
"[ 남자아기 여자아기 누구나 사용 할 수 있는 디자인이라서뱃속에 있을때 임신축하선물로도 좋을 것 같다는 생각이 들었어요저는 보자마자 색상이 너무나 맘에 들더라구요뭔가 은은하면서도 포인트 색상이 한두개씩 들어가 있어서더더욱 마음에 들었답니다블랭킷 뒷면은 엠보로 되어있었는데 감촉이 엄청 부드럽더라구요보들보들하니 아기피부에 닿아도 자극 없이 폭 감싸줄 것 같았어요 ], 긍정 텍스트 확률 : 99.78%"
"[ 우리집 귀염둥이 은짱입니다 ㅎ오늘도 찰떡이 물건에 관심을 보이더라구요근데 이 엠보블랭킷은 찰떡이 뿐만 아니라우리 은짱이 어디 놀러갈때 가지고 다녀도 되겠어요외출할때 이런 블랭킷 하나 챙겨다니면밤에 쌀쌀할때 몸을 감싸주면 좋더라구요저번에 축제때 공연을 한번 보러 갔었는데이모네 딸래미는 블랭킷을 챙겨와서 꽁꽁 싸매고 보는데우리 은짱은 챙겨온게 없어서 덜덜 떨었던 기억이 나네요ㅎ이제는 외출할때 꼭 챙겨야겠어요 ], 긍정 텍스트 확률 : 97.85%"
"[ 블랭킷으로 찰떡이 태어나면 감싸주는 거라고설명을 해주었더니 단짝친구 토토에게 해주네요나중에 찰떡이도 태어나면 이렇게 해줄꺼래요 ㅋ나이차이가 좀 나는 남매라서 그런지자기 동생이라고 엄청 챙기네요 물론.. 뱃속에서 나오면 어떨진 모르겠지만.. ㅋ아마 질투도 폭팔잘해주는것도 폭팔둘 다 폭팔할듯 합니다 ㅋㅋ ], 긍정 텍스트 확률 : 96.52%"
"[ ㅋㅋㅋ 하는 짓이 어찌나 귀여운지.. ㅋㅋㅋ아가야 쭈쭈먹자 하면서 역할놀이를 하고 있는 중이예요블랭킷으로 저렇게 감싸주니까 아기가 따뜻해서좋아할것 같데요 ㅋㅋ자기도 아기때 이렇게 해줬었냐며 저한테 물어보네요 ], 긍정 텍스트 확률 : 98.98%"
"[ 출산하신 분들께 정말 필요한 선물 찾으신다면아이엠트루의 출산선물박스 추천해드릴께요아마 정말 센스있는 선물이 될거랍니다주는 사람도 받는 사람도 너무나도 기분 좋을 선물이죠저도 출산할때 내복말고 요거 하나 더 받았으면 좋겠네요 ..?. ], 긍정 텍스트 확률 : 98.79%"
"[..둘째출산을 맞이하여 가재손수건을 새롭게 주문했어요.혼자 막 검색해보다가 알게 된 브랜드인데요.착한 가격에 질도 좋다고 광고하는 걸 보고.한번 시켜보자 하고 구매를 하게 되었어요.. ], 긍정 텍스트 확률 : 52.48%"
"[ ..그렇게 제가 구매한 상품은.소프트 순면 아기 손수건 매거즈엠보 인데요.원배송비원신규 원 적립금. 총 원 지출했어요.. ], 긍정 텍스트 확률 : 61.24%"
"[ ..콩닥이때 사용하던 손수건이 장 정도 남아있어서.그건 수유패드 대신으로 사용할 생각이에요ㅎㅎ.아기손수건 고민하고 계신다면 아이엠트루 추천해요.. ], 긍정 텍스트 확률 : 98.98%"
"[ .. .?아이엠트루아이엠트루. .?아기손수건아기손수건. .?가재손수건가재손수건. .?아기손수건추천아기손수건추천. .?출산준비물출산준비물 ], 긍정 텍스트 확률 : 65.69%"
"[..반가워요 찌니왔습니다...복이 출산 후 병원에서부터 조리원까지 .열심히 모유 수유 중인 복이맘...뭐 물론 안 먹을 때나 밤엔 분유 수유로 대신하긴 하지만..ㅋㅋ..처음엔 모유가 잘 안 나와도 마냥 아기 보는게 좋아서.오래 안아있고 잠들어도 팔베개해주며 같이 있었는데.조리원 생활 일차쯤 되니 그간 자세가 불편했는지...어깨부터 목], 긍정 텍스트 확률 : 75.94%"
"[ ..인터넷상에 여러 가지 수유베개가 많았지만 제가 선택한 제품은.아이엠트루의 수유토시베개 에요... ], 긍정 텍스트 확률 : 86.97%"
"[ ..나중에 조리원 퇴소 후 복이 목욕시킬 때 .필요한 수건도 이미 준비해뒀지만.아이템트루의 대나무 소재 목욕 수건도 같이 준비해봤어요.... ], 긍정 텍스트 확률 : 69.11%"
"[ ..포장은 다른 제품들과 달리 막 거창하게 오진 않아요..개봉하면 버려질 고가의 제품포장을 비닐포장으로 심플하게 바꿨고.유통마진을 없애 소비자의 부담을 줄이고.본사의 프리미엄 영업이익을 대폭 줄여.타사 제품과 같은 원단을 사용했지만 좀 더 저렴하고 .착한 가격에 만나 볼 수 있는 아이엠트루 제품이에요... ], 긍정 텍스트 확률 : 85.84%"
"[ ..색상은옐로우 파크 와파스텔두가지가 있는데 .전 알록달록 동물 그림이 그려진 파스텔로 골랐어요.... ], 긍정 텍스트 확률 : 56.00%"
"[ ..아이엠트루 수유베개 토시베개는 .수유 시 땀을 뻘뻘 흘리며 먹는 아가를 위해.매쉬의 그물 구조 구멍 사이로 빠르게. 땀 배출을 도와 쾌적하게 사용 할 수 있고.원단 사이로 엄마의 팔에서 올라오는 온기를 잡아주어.겨울철에도 아주 유용하게 사용이 가능한 제품이에요.... ], 긍정 텍스트 확률 : 86.61%"
"[ ..그리고 사용 후엔 이렇게 다시 접어서 가방에 쏙.가볍고 자리도 크게 차지 않아 어디든 들고 다니기 좋은.아이엠트루 수유베개 토시베개... ], 긍정 텍스트 확률 : 94.43%"
"[ ..알록달록 동물이 그려진 그림도 귀엽고... ], 긍정 텍스트 확률 : 74.49%"
"[무화학비료], 긍정 텍스트 확률 : 51.42%"
"[무농약 대나무 섬유를이용해.아기 피부에 안전하며 유럽 오코텍스로부터 .인증받은 제품만 사용을 하고 있답니다.... ], 긍정 텍스트 확률 : 65.59%"
"[ ..수유 후에 기분 좋아진 복이.눕혀 놓을 땐 이렇게 또 베개로 사용도 가능하고 ㅎㅎ.. ], 긍정 텍스트 확률 : 85.04%"
"[ ..그리고 수유가 끝난 후엔 넓게 펼쳐서... ], 긍정 텍스트 확률 : 52.44%"
"[트림 어깨받이 및 기저귀 갈이대까지.무한 변신 가능한 아이엠트루 수유베개.외출 시 꼭 챙겨 다닐 필수템이 될 것 같아요..... ], 긍정 텍스트 확률 : 63.81%"
"[ .다음 소개해드릴 제품은 아기 목욕 수건..전 아기목욕수건 대신 대나무 소재의 아기 기저귀를 몇 장 준비해뒀는데.기저귀는 물을 빠르게 흡수해 빨리 닦아 낼 수 있는 장점이 있지만.포근하게 감싸주지 못해 아이엠트루 아기목욕수건도 준비해봤어요.... ], 긍정 텍스트 확률 : 83.32%"
"[ ..아이엠트루 아기목욕수건 역시 .무형광], 긍정 텍스트 확률 : 88.49%"
"[무화학비료], 긍정 텍스트 확률 : 51.42%"
"[ ..기존 바스타올 보다 더 도톰해진 두께감 으로.폭신한 느낌과 흡수력이 좋은 제품 이에요.... ], 긍정 텍스트 확률 : 98.23%"
"[ ..그리고 아이엠트루의 타올 및 목욕제품류에는 .아기에게 자극이 될 수 있는 화학염색을 하지 않아.소중한 우리 아기 피부를 지켜준답니다... ], 긍정 텍스트 확률 : 91.29%"
"[ ..아이엠트루 아기목욕수건은 대나무 섬유라 그런지 .확실히 촉감이 부들부들 좋았고.특히 겨울철이라 목욕 후체온 유지에 더 신경 써줘야 하는데.사이즈도 크고 여유가 있어서.목욕 후 아기를 포근하게 감싸줄 수 있어 정말 좋았어요.... ], 긍정 텍스트 확률 : 94.33%"
"[ ..복이도 포근해서 좋은지 싱글벙글 웃는 배냇짓도 하고.아이엠트루 아기목욕수건에 푹 쌓여 꿀잠 잤다는 ㅎㅎ..아기를 생각한 브랜드 아이엠트루의 수유베개와 아기목욕수건.모두 추천 추천..... ], 긍정 텍스트 확률 : 99.70%"
"[임신을 하고 출산을 앞둔 엄마라면 항상출산선물리스트 혹은 출산준비물리스트를검색하지 않을까 싶다.나 또한 물론 그랬으니까 ㅋㅋㅋ아무래도 초반부터 준비하게 되는 것이아기수건], 긍정 텍스트 확률 : 89.13%"
"[물티슈 등이 있었는데사실 유명 브랜드가 있었지만 개인적으로비용이 탐탁지 않더라.뭐 그 외에도 귀여운 프린팅이 되어 있는 것도있었고 다양한 제품들이 있었는데그중에 내가 마음에 들었던 제품이 있었으니바로 아이엠트루였다.그래서 다양하게 구매를 했는데 그동안사용했던 제품들을 나열해보자면 ], 긍정 텍스트 확률 : 99.54%"
"[ 그 외에도 아기 이불은 준비하지 않았던 내가방수요도 준비했다 ㅎㅎ지금까지 아이를 키우면서 기저귀를 잘못 채워쉬가 샌 적이 두세 번 있었던 듯이런 걸 생각해서 난 출산선물리스트에방수요도 나쁘지 않다고 생각한다.지금은 사용을 하지 않지만 아이가 크는 동안침대에서 이불 대신 잘 사용했다 ㅎ ], 긍정 텍스트 확률 : 99.55%"
"[ 배냇저고리를 졸업하고 아기 실내복도아이엠트루와 함께했다 ㅎ일단 다른 제품과 비교를 하자면 오가닉이니까확실히 더 깨끗하고 부드럽다.아쉬웠던 점이 있다면 내가 배냇저고리를졸업하고 입히려고 사이즈를 작게 샀는데팔], 긍정 텍스트 확률 : 61.73%"
"[다리는 길지만 품이 넉넉하지 않았다는 점둘째가 생기면 또 입혀야지 ㅋㅋㅋ ], 긍정 텍스트 확률 : 62.27%"
"[ 아기 수면조끼는 벌 정도가 있는데정말 다양한 디자인으로 가지고 있다.그중에서 아무래도 가장 편한 건옆부분], 긍정 텍스트 확률 : 56.88%"
"[윗부분 똑딱이 단추인 제품단추가 많아서 번거롭다고 생각할 수 있으나일단 위], 긍정 텍스트 확률 : 91.79%"
"[ 진짜 아기 용품은 단추는 정말 별로똑딱이 스냅 단추가 최고다. ], 긍정 텍스트 확률 : 97.72%"
"[ 사진에서 알 수 있듯이 시원한 원단이다.곧 여름인데 수면조끼가 필요한가 싶은생각이 들 수도 있지만 정말 필요하다.아기들이 생각보다 열이 많다.그래서 더위를 많이 타기 때문에 나도 월에출산을 하고 다음 해 여름에 에어컨을 엄청켜고 살았다. 아니면 아이가 바로 오돌토돌태열이 올라왔으니까...그런데 잘 때는 아무래도 이불도 잘 덮지않다 보니 걱정이 되더라..그럴 땐 배까지 덮어주는 수면조끼가 최고다.물론 통풍 잘 되는 시원한 원단으로 ], 긍정 텍스트 확률 : 99.85%"
"[ 지금 우리 아이가 개월], 긍정 텍스트 확률 : 85.39%"
"[ 난 지금까지도 아이에게 어른 수건을 사용해본 적이 없다.. 아무래도 사용감이 있는빳빳하고 원단의 질이 떨어지니까 민감한아기 피부에는 사용하고 싶지 않더라.난 아기 수건도 사이즈별로 가지고 있다.일반 수건 크기는 아이가 커서도아이용으로 따로 사용할 생각이고 ㅎ턱턱한 사이즈의 목욕 수건은 아이 몸을한 번에 감쌀 수 있어서 참 좋더라. ], 긍정 텍스트 확률 : 90.97%"
"[ 아이가 물놀이를 좋아한다.그런데 감기도 잘 걸린다...이번에도 어김없이 감기가 옮아서 ㅠㅠ이럴 땐 목욕시키는 것도 부담스럽더라.물기를 닦고 로션을 바르고 옷을 입히는 동안아기 수건이 몸을 충분히 감싸 너무 유용하다.아직까지도 천기저귀를 수건 대용으로잘 사용하고 있지만 날이 춥거나감기에 걸렸을 때는 두툼한 게 역시 최고다아이가 생기고 나면 참 별별 육아용품들이 많다.사실 다 구매할 필요는 없지만 필요하다면혹은 선물을 한다면 좋은 제품], 긍정 텍스트 확률 : 99.71%"
"[유용한 제품을잘 고르는 게 중요한 것 같다.사실 가격도 천차만별이라 고민이 되더라.그러던 중 가성비 제품 좋은 아이엠트루를알게 되어 몇 가지 육아용품을 준비했는데지금도 굉장히 잘 사용하고 있다.출산선물리스트 고민하지 말고 사이트에서하나하나 보고 골라보는 것도 참 좋을 듯다양한 육아용품들이 있으니까 ], 긍정 텍스트 확률 : 93.90%"
"[ 아기와 함께 생활하면서 꼭 필요하다고 느꼈던 육아템 중 하나바로 방수요 생각보다 활용도가 정말 높아서 좋은 방수요를 구입해야겠다고 생각했어요.아무래도 아기 피부가 바로 닿는 요이기 때문에 소재를 꼼꼼하게 따지게되는데아이엠트루 아기 방수요는 대나무와 오가닉 재질이여서 믿고 사용할 수 있는 방수요랍니다. ], 긍정 텍스트 확률 : 99.79%"
"[ 아기 기저귀를 갈 때도 방수요는 꼭 필요하지만아기와 함께 생활하다보면 토를 하거나 분유를 엎지르는 등의 오염이 발생 할 일이 많기 때문에침대], 긍정 텍스트 확률 : 51.96%"
"[ 아기의 피부가 직접 닿는 표면은 대나무순면 로 믿고 사용할 수 있어요엠보퀄팅이여서 장시간 접촉해도 문제가 없는데다가아기가 누워있을 때 쾌적함을 느낄 수 있는 재질입니다. ], 긍정 텍스트 확률 : 85.52%"
"[아기방수요 추천], 긍정 텍스트 확률 : 85.61%"
"[프리미엄 아기 방수요 아이엠트루 .?프리미엄프리미엄 아기 방수요.?아이엠트루아이엠트루 아기 방수요.?대나무대나무.?오가닉오가닉 양면 방수요.?부드러운부드러운 방수요.?아기방수요추천아기방수요추천.?방수요추천방수요추천.?신생아방수패드신생아방수패드 ], 긍정 텍스트 확률 : 77.81%"
"[ 그리고 무형광], 긍정 텍스트 확률 : 70.21%"
"[ 우리 집에 도착한아이엠트루 양면방수요접으면 기저귀가방안에 쏙 들어가서외출용으로 쓰기도 좋을 것 같아요 ], 긍정 텍스트 확률 : 58.49%"
"[ 양면 방수요라 두꺼운 엠보싱이 있고뒷면까지 보송보송한 양면방수요충만이가 크면서점점 기저귀를 넘어서는..심지어는 방수요를 넘어서게젖을 때가 있는데요 ㅎㅎ흡수력과 방수력이 좋은아이엠트루 방수요는걱정없이 사용할 수 있어요 ], 긍정 텍스트 확률 : 81.75%"
"[ 우리 충만이 신났네 ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 83.12%"
"[ 아이가 편안하게 사용할 수 있는프리미엄 양면방수요아이엠트루 ], 긍정 텍스트 확률 : 77.49%"
"[년간 농약], 긍정 텍스트 확률 : 60.33%"
"[ 이 토시베개 하나로 세가지 역할을 해낸다. ], 긍정 텍스트 확률 : 84.96%"
"[ 겨울 가리지 않고 굿템인게 확실함. ], 긍정 텍스트 확률 : 57.95%"
"[ 우리 심콩이 분유먹을때], 긍정 텍스트 확률 : 90.61%"
"[피부가 약한 아기는 먹을때마다 엄마와 닿이면서뒷목쪽에 땀이나고], 긍정 텍스트 확률 : 75.11%"
"[ 그리고 아이엠트루의 두번째 소개할 제품은 바스타올흡수력과 부드러움이 뛰어난대나무 타올로자극이 될 수 있는 나염화학염색 사용하지 않음대나무 섬유로 부드러움과 여유있는 사이즈 우리아가 씻고 나서 포근하게 감싸줄 바스타올이다. ], 긍정 텍스트 확률 : 76.26%"
"[ 우리아기 씻자 까꿍아이 부끄러], 긍정 텍스트 확률 : 74.20%"
"[ 출산하기 전에 그래도 나름 벼락치기로 많이 준비했다고 생각했는데 출산하고나니 필요한 게 한두개가 아니에요. 사도 사도 뭐가 계속 필요해서 요즘 틈만 나면 택배로 주문하고 있는데요], 긍정 텍스트 확률 : 82.16%"
"[ 요즘 저의 최애템거즈로 된 시원한 블랭킷인데가을], 긍정 텍스트 확률 : 75.92%"
"[ 크기도 엄청 커서 여러번 접으면 조금 따뜻하게], 긍정 텍스트 확률 : 98.09%"
"[ 이렇게 얇고 하늘하늘 거리는 부드러운 느낌거즈블랭킷 하나 정도는 꼭 있어야 할 듯 해요. 출산선물로 아기옷도 너무 좋지만필요한 게 뭔지 물어봐주고 선물해주면 센스 최고 ], 긍정 텍스트 확률 : 98.49%"
"[몇 번 접어서 탁 놓으면 크기가 어쩜 딱 맞더라고요 정말 여러모로 쓰임이 많은 필수템이에요.], 긍정 텍스트 확률 : 70.81%"
"[ 이 목욕핸드타올 역시 초보 엄마빠에게 필수템아기 피부에 바로 닿는 거니까아무거나 쉽게 사용할 수 없잖아요.대나무라서 얼마나 부드러운지남편도 만져보더니 바로 인정했어요 ], 긍정 텍스트 확률 : 58.15%"
"[ 사용하면 사용할수록 맘에 드는 아이템이에요. ], 긍정 텍스트 확률 : 92.52%"
"[ 아직 외출을 해보진 않았지만 똑딱이를 풀러서 외출시엔 작게 접어 휴대할 수 있고 기저귀 갈이대로도 사용할 수 있다고 해요.], 긍정 텍스트 확률 : 77.92%"
"[ 수유할 때 수유토시로 사용하면 폭신한에어매쉬 덕분에 팔목도 보호되는데다가 아기 머리를 부드럽게 받쳐주니 좋아요 봄], 긍정 텍스트 확률 : 82.94%"
"[여름엔 땀을 배출할 수 있도록 돕고 가을], 긍정 텍스트 확률 : 66.75%"
"[ 꿀팁인 게 수유할 때 수유토시로 사용하다가 수유 후 아기가 잠들면 수유토시베개 끝을 잡고 엄마 팔만 쏙 빼주면 바로 베개가 되는거예요. 잠든 아기를 깨우지 않고 수유할 때의 그 편안함 그대로 재울 수 있으니 굿이죠], 긍정 텍스트 확률 : 97.25%"
"[ 끝으로 방수베개커버 역시 대나무오가닉 원단이라 우리 아가들 피부에 맘 놓고 사용할 수 있어요. 사용중인 어느 베개에 씌여주기만 하면 방수베개로 변신 침 흘리고], 긍정 텍스트 확률 : 56.89%"
"[ 이미 출산해서 필요한 게 많은 초보 엄마들최고의 퀄리티를 거품 없는 가격에 만날 수 있는아이엠트루 구경해보세요 .. ], 긍정 텍스트 확률 : 98.76%"
"[땀도 많이 흘리는 거나오빠라서여름엔 진짜 얇고도 얇은 이불로 자야해요 안그러면 아침에 일어나서 온몸이 축축하고 베개에서 그 꼬리꼬리하고도 쿱쿱한 냄시가 계속 남 ... 겨울에 출산한 아기라도 꼭이런 여름블랭킷은 꼭 있어야해요아가들은 우리가 생각했던것보다 상상이상으로 열이 많기 때문에겨울에도 꼭 엄청 따뜻해야한다 그렇진 않거든요거나오빠는 워낙 시원하게 자란편이심. ], 긍정 텍스트 확률 : 99.48%"
"[ 오빠라면꼭 하나 있어야할 베개커버이건 진짜 핵인싸템이에여없으면 후회할지도모름쿱쿱한 냄새도 적어지도 아가들도 찝찝하지 않게 잘 수 있어서 오히려 더 쾌적한 여름을 보낼 수 있게 도와준답니다 ], 긍정 텍스트 확률 : 99.16%"
"[ 이러고 있다가 조용하길래 봤더니 잠드심세상 꿀잠자길래 그냥 불꺼줬어요 ㅋ.ㅋ얇기때문에 빨래해도 금방마르고 급할땐 손빨래까지도 할 수 있고 여름에 유모차 타고 어디갈때엔덮개로 사용할 수 있고 얇아서 들고다니기 편하기때문에 혹시나 하는 비소식과 쌀쌀함에 대비해서 하나쯤 가지고 있어도 좋은 얇은 거즈블랭킷 ], 긍정 텍스트 확률 : 97.41%"
"[출산선물브랜드로도 괜찮을 것 같아서 진짜 좋아용 ], 긍정 텍스트 확률 : 94.04%"
"[엄마가 되고나서 이렇게 많은 육아용품이 있는지 세상 처음 알았던 저였지요. 이제는 둘째맘이 되고나서 드는 생각은 역시 육아는 아이템덕을 톡톡히 본다는 것과 마음에 들고 필요한 것 같은데], 긍정 텍스트 확률 : 99.42%"
"[하는 생각이 들면 바로 마련해야지 본전을 뽑을 정도로 쭈욱 쓴다는 점이예요.아끼지 말고 망설임없이 겟 물론 개인차에 따라 다를 수 있어요.오늘은 그 중에엄마아빠가 착용하는 아기턱받이와 신생아타월로 만족스러웠던 아이엠트루제품을 소개해볼께요.], 긍정 텍스트 확률 : 94.91%"
"[가격적인 부분도 무척이나 합리적인 것 같아서즐겨찾는 베이비브랜드 중 한 곳으로 뱃속에 아기를 생각하며 출산용품을 준비중이라면 한번 둘러보는 것도 추천드려요.], 긍정 텍스트 확률 : 97.15%"
"[ 우리 쪼꼬미들의 목에 걸어주기에는 무척 큰 듯한 사이즈예요. 가로와 높이는 약 정도되는 크기로], 긍정 텍스트 확률 : 62.56%"
"[ 그렇지 못한 옷들을 입을 때 사용하면 딱이예요. 아기띠하고 조금이라도 까칠한 옷을 입고있을 때 울 애기는 어찌나 더 비비는지 금새 턱 주위가 울긋불긋하게 올라와요. ㅠ 신생아때는 분유 등을 잘 개우거나 할 때도 양육자들 옷을 버리기 쉬운데], 긍정 텍스트 확률 : 68.25%"
"[ 대나무와 오가닉원단으로 만들어져서 예민한 베이비들이 입으로 물고 비비적거려도 걱정이 없어요. 충전재도 있어서 살짝 폭신한 느낌도 들어요. 앞과 뒷면의 모양이 달라서 나뉘어 있는 것 같지만 직접 만져보면 보드랍고 포근한 것 같아서 양쪽 구분 없이 쓰고 있어요.], 긍정 텍스트 확률 : 83.90%"
"[더욱 믿음이 가요. ], 긍정 텍스트 확률 : 84.09%"
"[ 당당이는 이 끝부분을 어찌나 입으로 가져던지요. 은색이 아닌 소프트단추처리가 되어있어서 참 다행이예요. 목 둘레에 맞춰 단계로 되어있고약 ], 긍정 텍스트 확률 : 63.13%"
"[ 조절뻑뻑하지 않고 쉽게 똑딱이를 채울 수 있어요.], 긍정 텍스트 확률 : 79.91%"
"[ 문화센터 가는 날], 긍정 텍스트 확률 : 73.57%"
"[아기띠에서 잠든 울 둘찌공주님이예요. 바람이 차가운 추운 겨울이라 따뜻하게 입고 싶어서 옷을 꺼냈는데 어찌나 까끌하던지], 긍정 텍스트 확률 : 91.77%"
"[ 그리고 육아용품추천템 하나 더], 긍정 텍스트 확률 : 85.93%"
"[ 고급스럽고 깔끔한 호텔수건 느낌으로중량도으로 나뉘어져있고 참 두툼해요. 약한 피부에 자극이 될 수 있는 나염화학염색을 사용하지 않아서 마음 편히 씁니다.], 긍정 텍스트 확률 : 72.42%"
"[ 지난해 한국 소비자 만족지수 위에 빛나게 대나무 섬유로 유럽 오코텍스 인증도 받고 년간 농약과 화학비료를 사용하지 않은 목화로 만들어진 오가닉 섬유도 인증받은 제품이라 든든한데프리미엄과 가성비 보증제도 시행하고 있으니 더욱 만족스러운 것 같아요.], 긍정 텍스트 확률 : 64.65%"
"[주변에서 많은 사람들이 임신을 하고 출산을 하게 되는데그때마다 무엇을 선물해야할지 모르겠다면 신생아용품사이트 아이엠트루에서 골라보세요. 한국소비자 만족지수가 위이기도 하면서유아업계 최초로 프리미엄보증제와 함께 가성비보증제를 하고 있는 곳이라 아주 좋더라고요.신생아용품사이트에 들어가면 정말 좋은 것들이 많이 있는데전 목욕핸드타월], 긍정 텍스트 확률 : 76.52%"
"[방수베개커버를 사용하고 있어요. ], 긍정 텍스트 확률 : 59.00%"
"[ 스마트컨슈마더가 되는 길은 바로 잘 알아보고 사는 것인데 신생아용품사이트인 이곳은 대나무섬유], 긍정 텍스트 확률 : 96.14%"
"[오가닉섬유를 사용하고원단부터 봉제까지 로국내생산을 하고 있는 곳이에요.그렇다보니 대나무섬유는 유럽 오코텍스 인증을 받은 제품이기도 하면서오가닉섬유는 국제인증까지 받은 제품이더라고요 ], 긍정 텍스트 확률 : 83.69%"
"[방수베개커버에요.수유베개가 있다는 건 또 신생아용품사이트를 통해서 처음 알게 되었어요. ], 긍정 텍스트 확률 : 87.68%"
