"[☈항상 상대방을 배려하는 마음을 가졌으면 합니다. 본의아니게 상대방을 상쳐주는 일들이 많아요. ], 긍정 텍스트 확률 : 93.66%"
"[대표님의 로앤코코 소개 시간이 이어졌다.진정성 있는 이야기를 들었다. ], 긍정 텍스트 확률 : 52.73%"
"[산모교실이 어떻게 운영되는 지도 설명해주셨음.그 수많은 산모교실 다니면서도 잘 몰랐는데...ㅎㅎㅎ역시 제휴], 긍정 텍스트 확률 : 85.34%"
"[로앤코코와 함께하는 보험상담이 있는데], 긍정 텍스트 확률 : 66.73%"
"[세 가지 전부 너무 퀄리티 좋고], 긍정 텍스트 확률 : 68.17%"
"[쇼핑도 하는 신나는 시간이었다.이쁘고 저렴한 옷], 긍정 텍스트 확률 : 70.50%"
"[물품들 골고루 구경하면서 쇼핑할 수 있어서 좋았다 ], 긍정 텍스트 확률 : 84.07%"
"[로앤코코는 거의 원가에 판매되는 건지 진짜 저렴함..저번에 산 거 좀 후회해서 이번엔 사진 않았음로앤코코 빨리 널리 널리 퍼져서 베이비페어 등 여러 곳에서 만날 수 있기를 ], 긍정 텍스트 확률 : 76.81%"
"[부스. 맘 산모케어 ], 긍정 텍스트 확률 : 64.29%"
"[산후 조리의 기본원칙 ], 긍정 텍스트 확률 : 52.07%"
"[부는 맘 산모케어에서 산후조리의 기본원칙에 대한 제목으로 강의를 해주셨다.강의 시작 전에 아이가 자라는 과정부터출산까지의 영상을 보여주셨는데곧 출산을 앞두고 있어서 그런가.두번짼데도 눈길이 감 ], 긍정 텍스트 확률 : 93.73%"
"[좋았다나처럼 곧 출산 앞두고 있는 산모들에게는 정말 매우 매우 유익할 강의였던 것 같다 ], 긍정 텍스트 확률 : 97.46%"
"[부에는 레크레이션 및 게임 시간이 이어졌다.초성 게임. 화면 숫자 보고 말하기 게임 등 재밌는 팀 게임을 많이 했는데조용하던 우리 팀이 엄청난 선전을ㅋ 점점 맞히니까 다들 더 의욕이 넘쳐서 갈수록 더 많이 맞혔다.등인 줄 알고], 긍정 텍스트 확률 : 57.17%"
"[진짜 재밌었다 ], 긍정 텍스트 확률 : 94.08%"
"[경품보다 훨씬 좋은 기본 선물이 있었기에경품 당첨된 것 같은 든든한 마음으로 집으로 돌아갔음ㅋㅋ ], 긍정 텍스트 확률 : 97.89%"
"[ 오가닉 배게그리고], 긍정 텍스트 확률 : 70.21%"
"[요 내복바지ㅋㅋ특이하게 구멍이 뚫려있는데통풍 잘 되라고 뚫려있다고 한다.한두 개 정도 이런 바지 가지고 있으면], 긍정 텍스트 확률 : 58.04%"
"[도움 많이 된다고아기 땀띠 나거나 기저귀 발진 있을 때], 긍정 텍스트 확률 : 73.98%"
"[유용하게 쓸 것 같다그래도 되도록이면 땀띠 없이 잘 지나가길...ㅜㅜㅜ ], 긍정 텍스트 확률 : 56.86%"
"[우리 아가는 딸랑규지만.. 파란 붕붕이 양말딸은 역시 파랑이죠양말 디자인 너무 귀엽구 이쁘다ㅋㅋㅋ꼬물거릴 발에 빨리 신겨보고 싶다ᄒᄒ ], 긍정 텍스트 확률 : 64.92%"
"[이건 전기 이벤트 선물로 받은 타올 앞면 뒷면 모습.부들부들 촉감 너무 좋고 앞뒷면 디자인도 너무 귀엽단 씐남 ], 긍정 텍스트 확률 : 95.74%"
"[ 팬티를 입힌 후에는 아이를 계속 관찰하면서바로바로 갈아입혀주는 엄마의 센스가 필요해요수시로 쉬야할까? 라고 묻고 쉬야를 할 수 있도록 유도해주세요갤에 배변훈련 실패해서 개월 후갤때 다시 시도.이틀 내내 팬티에 쉬야응가 반복하더니이제는 밖에 나가서도 쉬야할거야라며 변기 찾고자기 전에 기저귀를 채워도 참고아침에 일어나서 변기에 눈답니다.아가들 모두모두 배변훈련 성공하길 바래요개월 자꾸 기저귀 풀어헤치고도망다녀 배변훈련 하려 구매했어요구매함과 동시에 설사하고 있어 시도 못햇는데재질도 타올? 같은 재질이구 일반 팬티보다 많이두껍네요..기저귀 팸퍼스 쿠르저 쓰는데 기저귀 보다 더 두꺼워요ㅠㅠ허벅지랑은 여유 있는데배부분이 많이 타이트하네요..키 에 키로 보통 체격 아이에요평소입네요 ㅎㅎ개월 된 딸이 배변훈련 시작할때가 된것같아 검색하다 구매했어요.근데 받고 나서 뭔가 좀 다른것 같아 비교를 해봤더니 사진에 표시한대로 방수원단이 많게 들어간것과 적게 들어간 차이였어요.. 면은 오리가 더 좋던데], 긍정 텍스트 확률 : 99.09%"
"[센치 여아 에요설사를 한참 하더니 엉덩이와 소중이가모두 헐어서 기저귀 채우는것 조차아기에게 아픈거 같아 대신 입하려고 샀어요.허리와 허벅지밴드 가 생각보다 쫀쫀해요.얇은밴드가 아니라 두꺼운 밴드여서쪼이더라도 덜 불편해 할거 같아요성인 생리팬티위생팬티 같아요하지만 아기껀 엉덩이랑 소중이 닿는 부분이조금 더 부드러워요.기저귀 보다는 통풍이 잘될테니 만족스럽고], 긍정 텍스트 확률 : 97.32%"
"[로앤코코 리틀페어에 대해서 들어보셨나요?참석만해도 ], 긍정 텍스트 확률 : 80.59%"
"[기본선물로 제공되는 곳으로 유명해요제가 참석한 날은홍록기파티하우스 분당점에서 진행이 되었어요 ], 긍정 텍스트 확률 : 79.75%"
"[주차 지원이 시간 되는 곳이라홍록기파티하우스 분당점에서 진행되는 산모교실은꼭 참석하려고 합니닷주차 지원 되는 곳정말 좋아용♡우선 전체적인 후기리뷰 영상으로 보고 가시겠습니다 ], 긍정 텍스트 확률 : 94.32%"
"[엠케이님께서 진행해 주십니다너무너무 재밌는 시간인데요꿀팁을 드리자면등장 하실 때], 긍정 텍스트 확률 : 68.43%"
"[열렬히 호응을 하시면 선물을 받으실 수 있다는 점 ], 긍정 텍스트 확률 : 62.94%"
"[전기이벤트라고해서산모교실이 진행되는 동안현장 이벤트가 진행돼요제한 시간이 있으니 꼭 지켜서 도전해보세요엠케이님이 포토타임으로 한바퀴 촤르륵 돌아주시거든요그럼 그때 사진을 예쁘게 찍으셔서], 긍정 텍스트 확률 : 75.27%"
"[부 로앤코코 회사소개 및 워밍업 ], 긍정 텍스트 확률 : 56.44%"
"[본격적인 부에는 대표님께서 진솔한 이야기를 해주십니다로앤코코 리틀페어가 왜 리틀페어란 용어를 붙이는지 아시나요?작은 박람회처럼 생각하면 쉬운데요로앤코코에 훌륭한 아기옷들이 참 많아요그것들을 박람회 입점하기 전로앤코코 리틀페어에서 만날 수 있어요그렇기 때문에 대표님께서], 긍정 텍스트 확률 : 94.00%"
"[ 아기 바지가 왜 뚫려 있는지에 대한 설명이런 것들을 새롭게 알게 된 시간이었어요그리고산모교실에 관련된 이야기도 해주셨는데요어떻게산모교실들이 수익을 내고있고로앤코코 리틀페어는 무엇이 다른지정말 잘 이해되게 알려주셨답니다궁금하시다면꼭 참석해 보세요♡ ], 긍정 텍스트 확률 : 99.45%"
"[이날 저는 조 테이블에 앉게 되었어요그런데 너무나 행운이었던게같은조 예비맘님들이 엄청 활발하고 참여율이 높은 분들이셨어요그래서 저도 열심히 참여하고 호응하고 즐길 수 있었습니다오예 ], 긍정 텍스트 확률 : 99.08%"
"[정말 필요한 분만 상담을 받으면 되기 때문에], 긍정 텍스트 확률 : 82.76%"
"[그런 훌륭한 시스템이었습니다만약 당일에 계약을 하게 되면사진에 보이는 ], 긍정 텍스트 확률 : 82.20%"
"[대형 아기 담요를 받을 수 있었어요범퍼침대가 참 매력적이더라구요그것도 아기옷 종 세트와 같이 받을 수 있는 구성이라니... 엄청나요이날 참석하셔서 계약하신 분들은어마어마한 채움 하시고 가시더라구요 ], 긍정 텍스트 확률 : 91.75%"
"[부 산모교육 강의 ], 긍정 텍스트 확률 : 56.44%"
"[부는 모유수유에 관련된 강의가 진행되었어요딱 봐도경력이 어마어마하실 것 같은 강사님께서알려주셨는데요정말 유익했고새롭게 많은 것을 알게 되었답니닷 ], 긍정 텍스트 확률 : 98.79%"
"[너무나 훌륭한 내용이 많았지만우선 사진에 보이듯이 모유수유가 엄마에게 좋은 이유부터살펴보시는 게 좋을 것 같아요그 밖에 알게된 것들쭈욱정리해보겠습니닷 ], 긍정 텍스트 확률 : 99.26%"
"[ 분 정도 모유를 먹는 것이 식사이고 그 외에는 목춤임이다], 긍정 텍스트 확률 : 62.89%"
"[ 모유 수유 중 반대쪽도 모유가 흐르면 잘 먹고 있다고 생각하면 된다 ], 긍정 텍스트 확률 : 91.24%"
"[강의가 끝나고 나면즐거운 레크레이션이아주 재밌게 진행됩니다], 긍정 텍스트 확률 : 91.74%"
"[아주아주아주 재밌어요 ], 긍정 텍스트 확률 : 91.39%"
"[값진 양말을 챙겨갈 수 있었어용], 긍정 텍스트 확률 : 54.11%"
"[비싼 양말이랍니다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 59.37%"
"[엄청난 기본선물], 긍정 텍스트 확률 : 88.20%"
"[너무나 행복했던 날이었습니다♡♡♡♡♡마지막엔엠케이님께서 환상적인 댄스도 보여주시니까많은 예비맘님들도놓치지 말고 꼭 끝까지 행복한 시간 보내세요마무리로 로앤코코 리틀페어신청 링크 첨부하겠습니닷♡.. .. ], 긍정 텍스트 확률 : 99.94%"
"[킨텍스 모두 방문했어요. 그래서 두 가지 세제 모두 가지고 있는데..둘 다 성분도 좋고 세정력도 좋아서 만족 대 만족중입니다.이번 코엑스에서도 얼리버드 이벤트 받으려 아침부터 출격하려고요. ], 긍정 텍스트 확률 : 100.00%"
"[ 신상 유모차와 카시트를 한 자리에서 볼 수 있을 뿐만 아니라 코베 쿠폰으로 저렴하게 구매할 수 있어서 핵이득 ], 긍정 텍스트 확률 : 80.92%"
"[유모차와 같은 고가의 제품 뿐만 아니라 루솔 등과 같이 소소한 제품도 쿠폰을 사용할 수 있어서 그야말로 알뜰 구매의 끝판왕이 될 수 있어요. ], 긍정 텍스트 확률 : 71.10%"
"[코베 쿠폰 사용으로 알뜰 구매한 뒤 쿠폰 사용 후기 올리면 전동차가 내손에이번 코엑스 코베에서 저도 코베쿠폰 사용하고 후기 이벤트에 도전해 볼 예정입니다.], 긍정 텍스트 확률 : 86.16%"
"[코엑스코베에서는 지금까지 베이비페어에서 만나볼 수 없었던 신규 브랜드를 만날 수 있어요. 마이포레], 긍정 텍스트 확률 : 82.67%"
"[아르나라 등등 어떤 제품들이 입점될지 기대가 큽니다.이렇게 다양한 이벤트가 있는 코베이번에도 달려갑니다. ], 긍정 텍스트 확률 : 92.62%"
"[● 이벤트 안내 응모기간월 일월 일 당첨자 발표월 일업체사정으로 변경될 수 있습니다. 당첨상품베베프람웨건명], 긍정 텍스트 확률 : 61.88%"
"[ 원 사전등록시 원맘스홀릭베이비 회원혜택 본 이벤트 참여시 무료입장], 긍정 텍스트 확률 : 80.02%"
"[★ 코베 현장 이벤트 ★ 골라 받는 즐거움 밤부베베 포밍 세제 목], 긍정 텍스트 확률 : 50.43%"
"[● 이벤트 안내 응모기간월 일월 일 당첨자 발표월 일업체사정으로 변경될 수 있습니다. 당첨상품베베프람웨건명], 긍정 텍스트 확률 : 61.88%"
"[ 원 사전등록시 원맘스홀릭베이비 회원혜택 본 이벤트 참여시 무료입장], 긍정 텍스트 확률 : 80.02%"
"[★ 코베 현장 이벤트 ★ 골라 받는 즐거움 밤부베베 포밍 세제 목], 긍정 텍스트 확률 : 50.43%"
"[에 판매되고 있습니다.], 긍정 텍스트 확률 : 64.98%"
"[ 엠케이 여아용 앙증 조이멀티 순면 배변훈련팬티 종세트], 긍정 텍스트 확률 : 57.95%"
"[에 판매되고 있습니다.], 긍정 텍스트 확률 : 64.98%"
"[ 포스팅 시점의 할인가 입니다. 상품페이지에서 실제금액을 확인 하세요. ], 긍정 텍스트 확률 : 79.78%"
"[팬티안에 중앙 부분이 수건 재질로 되어 있어서 첨에는 좀 별로라고 생각을 했어요 피부에 닿이면 촉감이 별로지 않을까 생각했는데 다른 배변팬티와 다르게 이건 애기가 실수를 해도 잘 세지가 않더라구요. 확 싸면 세기는 해요. 근데 엄마 쉬라고 할때 애기는 이미 팬티에 약간씩 쉬를 하고 있고 저는 얼른 변기로 데리고 가야하는 그 몇초 동안 세지 않는걸 경험해서 좋았던것 같아요. ㅎㅎ 약간 아쉬운건 애기가 허벅지가 굵은편이 아닌데 허벅지가 좀 끼네요 여튼 배변훈련중 실수에 잘 대처 할수 있어서 이 팬티를 가장 잘 입히게 되어요 ], 긍정 텍스트 확률 : 90.94%"
"[ 구매한 고객님들이 작성한 상품평 입니다. ], 긍정 텍스트 확률 : 55.79%"
"[이 포스팅은 쿠팡 파트너스 활동의 일환으로], 긍정 텍스트 확률 : 50.43%"
"[ 이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[ 현제 할인율할인 ], 긍정 텍스트 확률 : 57.16%"
"[ 본 블로그의 모든 상품은공식 홈페이지를 통해 진행 되는 안전한 제품입니다. ], 긍정 텍스트 확률 : 67.93%"
"[ 엠케이 여아용 앙증 조이멀티 순면 배변훈련팬티 종세트 ], 긍정 텍스트 확률 : 57.95%"
"[여아배변팬티 엠케이 여아용 앙증 조이멀티 순면 배변훈련팬티 종세트], 긍정 텍스트 확률 : 55.49%"
"[팬티안에 중앙 부분이 수건 재질로 되어 있어서 첨에는 좀 별로라고 생각을 했어요 피부에 닿이면 촉감이 별로지 않을까 생각했는데 다른 배변팬티와 다르게 이건 애기가 실수를 해도 잘 세지가 않더라구요.확 싸면 세기는 해요. 근데 엄마 쉬라고 할때 애기는 이미 팬티에 약간씩 쉬를 하고 있고 저는 얼른 변기로 데리고 가야하는 그 몇초 동안세지 않는걸 경험해서 좋았던것 같아요. 약간 아쉬운건 애기가 허벅지가 굵은편이 아닌데 허벅지가 좀 끼네요 여튼 배변훈련중 실수에 잘 대처 할수 있어서 이 팬티를 가장 잘 입히게 되어요 ], 긍정 텍스트 확률 : 61.67%"
"[귀엽다.핑크 노랑 각 두개씩 왔는데 느므 귀엽다 궁디 팡팡소변을 봐도 어느정도 흡수가 되고 아기가 잘 적응해서 다행사이즈는 한치수 크게 구매하니까 넉넉하기 괜찮은듯 ], 긍정 텍스트 확률 : 66.87%"
"[수족구가 엉덩이 허벅지 기저귀라인으로 퍼졌어요.급하게 구매했구요.입히고 바로 쉬 한번 다른분들은 안샌다고 하셨는데 전 새네여그래도 기저귀라인 수포올라온거 이걸로 갈아입히고 많이 가라앉았어요. 아이도 편안해하요몇 장 더 주문하려구요 ], 긍정 텍스트 확률 : 68.96%"
"[제가 워킹맘이라 얼집다니는 딸아이가 개월인데 아직도 기저귀를 차고있어서ㅜㅜ요즘들어 날이 많이 더워져서 엉덩이에 땀이 차더라구요ㅜ내년에 유치원 가려면 걱정되서.올여름에 시도해보려구요ㅋ팬티는 핑크두장 노랑이 두장 왔네요ㅋ색상도 이쁘고 안쪽이 타올처럼 되어있네요ㅋ올여름 기저귀떼기 성공했음 좋겠네요딸아이 키로 허벅지 통통이에요적당히 맞아서 괜찮네요 ], 긍정 텍스트 확률 : 93.36%"
"[뭐랄까 허벅지가 쫌 끼네요 우리 애기 마른편인데 일반 팬티 한세트 살걸 그랬어요 생각보다 잘 안입어지네요 가끔 토끼팬티라고 자기가 골라서 입을때도 있는데 어차피 젖는건 똑같고 후회중이에요 이쁜 캐릭터 팬티 사세요 아기가 골라입는 재미가 있으니 좀더 빨리 기저귀 뗀거 같아요 ], 긍정 텍스트 확률 : 95.15%"
"[허벅지와.배둘레.체구가 작은아이라스몰사이즈샀는데딱맞아요 배변훈련팬티라 일반팬티보다 확실히 스며드는게있어서 소변보고 뚝뚝흐르듯 새진않아 좀더편한것같아요그런데.조금 두꺼운감이잇어서 한여름엔더울것같아욥 ], 긍정 텍스트 확률 : 89.21%"
"[아이 살에 흰색 가루? 같은 것이 많이 묻는다는 상품평보고받자마자 털어내고 빨았어요입혀보진 않았지만 개월. 센치. .키로 아이가 입기에 잘 맞을 듯 해요.그림 귀여워서 아이도 관심 가지네요 ], 긍정 텍스트 확률 : 66.22%"
"[한여름엔 좀 두꺼운 감이 있긴하지만 살아이 배변훈련용으로 사이즈로 구입해서 잘쓰고있습니다 엉덩이에 있는 딸기랑 토끼때문에 팬티입는걸 신나해요 ㅋㅋ ], 긍정 텍스트 확률 : 77.92%"
"[이 포스팅은 쿠팡 파트너스 활동의 일환으로], 긍정 텍스트 확률 : 50.43%"
"[이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[.?여아배변팬티여아배변팬티 ], 긍정 텍스트 확률 : 61.11%"
"[ 엠케이 남아용 앙증 조이멀티 순면 배변훈련팬티 종세트 ], 긍정 텍스트 확률 : 56.51%"
"[남아배변팬티 엠케이 남아용 앙증 조이멀티 순면 배변훈련팬티 종세트], 긍정 텍스트 확률 : 56.51%"
"[ . 사이즈 주문했어요. 배변훈련팬티이다보니 쉬가 흐르면 안되니깐 허벅지가 조이는 느낌이있어요 보통 허벅지인데도 아프진 않을까 살짝 걱정되기도 하는데], 긍정 텍스트 확률 : 91.26%"
"[개월 아기 배변훈련 하려고 샀어요남아라서 자동차 호랑이 그려져있는거보고좋아하네요아기가 팬티에 소변눴는데 잘 안새네요괜찮은거같아요지금 날씨에도 입기 괜찮은거같아요 ], 긍정 텍스트 확률 : 56.76%"
"[감촉도 좋고 아기도 입기 편해해요개월. 남자아가. .인데 적당한 사이즈에요 ], 긍정 텍스트 확률 : 98.08%"
"[키 입니다얼집에서랑 집에서 배변훈련하려고 구매함.기저귀 처럼 엉덩이에 잘 맞는듯해여. ], 긍정 텍스트 확률 : 60.09%"
"[개월 .키로 아이에요팬티입는걸 좋아해서 배변훈련팬티 입혔는데핏도 잘맞고 좋아하네요놀다가 쉬야를 했는지 팬티를 잡길래살짝 벗겨보니 패드있는쪽만 방수라 세어나오진 않네요벗기다카 살짝 기울여졌는데 그때부터 쥘쥘 새어나왔어요가격이 착해서 여러장사서 매일 입힐까 싶어요 ], 긍정 텍스트 확률 : 97.47%"
"[아이가 넘나 좋아해요 경찰차 특히좋아하는데 오자마자 입겠대서 입혔다가 바로 발진올라왔어요꼭 세탁필수입니다. ], 긍정 텍스트 확률 : 99.87%"
"[여자아이 입힐려고 구입했답니다두툼하니좋네요가격도 싼편입니다 ], 긍정 텍스트 확률 : 86.69%"
"[타요를 보더니 팬티그림에 경찰차보고 패트라며 좋아하네요 ], 긍정 텍스트 확률 : 65.47%"
"[실사이즈와같아요 ], 긍정 텍스트 확률 : 51.19%"
"[이 포스팅은 쿠팡 파트너스 활동의 일환으로], 긍정 텍스트 확률 : 50.43%"
"[이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[ 엠케이 남아용 앙증 조이멀티 순면 배변훈련팬티 종세트 할인 ], 긍정 텍스트 확률 : 56.51%"
"[ 엠케이 남아용 앙증 조이멀티 순면 배변훈련팬티 종세트 ], 긍정 텍스트 확률 : 56.51%"
"[ 금액은 글작성 당시 가격입니다. 꼭 다시한번 확인해주세요 ], 긍정 텍스트 확률 : 86.06%"
"[ 현제 할인율할인 ], 긍정 텍스트 확률 : 57.16%"
"[ . 사이즈 주문했어요. 배변훈련팬티이다보니 쉬가 흐르면 안되니깐 허벅지가 조이는 느낌이있어요 보통 허벅지인데도 아프진 않을까 살짝 걱정되기도 하는데], 긍정 텍스트 확률 : 91.26%"
"[완전방수는아니지만 그래도 일반팬티보단덜세네요대소변훈련이안되서 힘들던찰라에 집에서 기져귀도안차려하고 누드로다녀서 고민하다가 팬티찾다가 사게됬네요 하루입혔는데 쉬아마렵다고처음으로말해주네요 ㅎㅎㅎ 조금만노력하면금발뗄수있기를..후기 기져귀를못땟습니다 ㅋㅋㅋㅋㅋㅋ어린이집환경이바뀌는바람에 찌리고다녀서 다시기져귀찼는데 주말마다한번씩입혀보는데 확실히 싸고바로벗기지않으면 새지않고 수건면으로되있는부분이싹흡수해서 축축하게만들어주니까 쉬했다고말해주네요 그래도분이상은쉬안싸고팬티입고다녀요 ㅎㅎ여름에꼭성공했으면좋겠어요 ㅎㅎ크기도 생각한 대로 왔구요 허벅지도 적당히 잘 맞아서 안 샐것같아요 다만 안쪽 면에서 하얀 보풀 많이 나오네요개월 아기 배변훈련 하려고 샀어요 남아라서 자동차 호랑이 그려져있는거보고 좋아하네요 아기가 팬티에 소변눴는데 잘 안새네요 괜찮은거같아요 지금 날씨에도 입기 괜찮은거같아요감촉도 좋고 아기도 입기 편해해요 개월. 남자아가. .인데 적당한 사이즈에요갤 남자아이. 몸무게], 긍정 텍스트 확률 : 97.69%"
"[키 입니다얼집에서랑 집에서 배변훈련하려고 구매함. 기저귀 처럼 엉덩이에 잘 맞는듯해여.개월 .키로 아이에요 팬티입는걸 좋아해서 배변훈련팬티 입혔는데 핏도 잘맞고 좋아하네요놀다가 쉬야를 했는지 팬티를 잡길래 살짝 벗겨보니 패드있는쪽만 방수라 세어나오진 않네요 벗기다카 살짝 기울여졌는데 그때부터 쥘쥘 새어나왔어요가격이 착해서 여러장사서 매일 입힐까 싶어요아직 입혀보질 못했는데 받자마자 냄새가 많이나서 세탁을하니 보풀과 실빱이 많이 떨어져 나오네요 그거말곤 괜찮은것 같습니다. ], 긍정 텍스트 확률 : 89.79%"
"[ 금액은 글작성 당시 가격입니다.구매전 꼭다시한번 확인해주세요 ], 긍정 텍스트 확률 : 83.52%"
"[ 본 블로그의 모든 상품은공식 홈페이지를 통해 진행 되는 안전한 제품입니다. ], 긍정 텍스트 확률 : 67.93%"
"[이 포스팅은 쿠팡 파트너스 정책에 의거 판매금액의 일부를 제공받고 있습니다 ], 긍정 텍스트 확률 : 61.64%"
"[제조국 한국], 긍정 텍스트 확률 : 58.31%"
"[ 귀엽네요 알림이 비평창작이론 이벤트쿠폰 만원쿠페이 반 ], 긍정 텍스트 확률 : 87.14%"
"[ 멀티메이크업 수면등수유등 상품이미지 음악 머플러스카프숄 실바니안패밀리 쿠팡에서 일간 최대추가캐시적립중이에요. 꼭 받아가세요특가상품은 조기 품점이 되니 유의바랍니다. ], 긍정 텍스트 확률 : 96.82%"
"[ 시니어 부여됩니다 키튼 쿠팡 나침반망원경 방범잠금장치 상품 상세정보와 구매후기를 확인하시려면아래 링크를 클릭하세요. ], 긍정 텍스트 확률 : 57.26%"
"[ ↓아래 내용는 실제 구매고객이 작성한 리뷰입니다↓ ], 긍정 텍스트 확률 : 84.95%"
"[ 게시일. 포스팅 시기에 따라 제품의 가격 및 재고의 변동이 있을수 있습니다. 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다. ], 긍정 텍스트 확률 : 86.49%"
