"[ ...요즘 눈에 띄는 기저귀가 있어서 사용해본..애플크럼비 기저귀예요....지금 홈페이지에서 친구추가이벤트중이라], 긍정 텍스트 확률 : 89.18%"
"[밤둥이들 부천울트라씬팬티요], 긍정 텍스트 확률 : 81.11%"
"[ 나비잠 부드럽고 낮기저귀로 좋았어요 팬티 쓰심 쿠잉도 괜찮더라구요], 긍정 텍스트 확률 : 99.29%"
"[괜찮앗고 윗분말씀하신 쿠잉밴드얼마전까지밤기저귀로사용햇는데 새는거없이가격대비좋아요], 긍정 텍스트 확률 : 69.89%"
"[나비잠 좋아요 쟁겨두고 사용중이에요], 긍정 텍스트 확률 : 97.31%"
"[비싸지만 리베로요 ㅎ 밴드 탄성 좋고 흡수력 좋아요], 긍정 텍스트 확률 : 99.08%"
"[리베로터치써봤어요ㅠㅎㅎ리베로도괜찮긴하드라구용], 긍정 텍스트 확률 : 69.83%"
"[애플크럼비 강추용 ㅋㅋㅋ 전 리베로랑 애플크럼비 번갈아 쓰는데 두개 쓰면서 발진 한번도 안 났어요 엄마가 보시고는 요즘 기저귀 너무 잘 나온다고 하시더라구요 ㅋㅋㅋ 리베로도 좋지만 애플크럼비가 확실히 더 좋아요], 긍정 텍스트 확률 : 54.62%"
"[ 아기가 넘 귀엽네요 ], 긍정 텍스트 확률 : 91.28%"
"[이쁘게봐주셔서 감사합니다ㅎ], 긍정 텍스트 확률 : 97.90%"
"[ 킨도 올데이밴드 강추요], 긍정 텍스트 확률 : 95.70%"
"[역시하기스는 ㅠㅠ발진 ㅠㅠ..속상하네요], 긍정 텍스트 확률 : 94.07%"
"[방코기맘울애기 비판텐발라줘도 하기스쓰면 올라갔다가 팸퍼스나 나비잠쓰면 좀 연해졌다가 무한반복이네요..하기스는 선물받은거라 지금 뜯은거만쓰고 하기스 처분하려구요ㅠ], 긍정 텍스트 확률 : 58.93%"
"[방코기맘맞아요 ㅋㅋㅋㅋ 저는 왠만한거 다써본거같아요...그중에 팸퍼스랑 나비잠이 짱 ..👍👍보솜이 나비잠울트라씬팸퍼스 스와들러], 긍정 텍스트 확률 : 70.02%"
"[ 저는 퓨어팸퍼스쓰다가애플크럼비로 사용중이에요 매우 만족중이에요], 긍정 텍스트 확률 : 97.15%"
"[ 내일 기저귀 도착할거 같은데 기대되네요후기 잘보고가요 ㅎ], 긍정 텍스트 확률 : 98.06%"
"[네 저처럼 만족하심 좋겠어요], 긍정 텍스트 확률 : 89.31%"
"[우와 팩ㄷㄷㄷ저는 팩..이번에 써보고 좋으면 더 쟁여야겠어요ㅎㅎ], 긍정 텍스트 확률 : 86.24%"
"[여보이거있던거야핫딜이라구 한팩에 만원 하길래 쟁였드니...이번에 위메프서 넘 싸게 팔아서 팩ㅠ 총 팩 됐네요ㅠ로맘스도 아직 팩있어요ㅋㅋ..으아아], 긍정 텍스트 확률 : 96.51%"
"[봄이좋다저 처럼 기저귀부자시네요 저도 애플 메리즈 하기스 페넬로페 등등 ㅜㅜ다 못쓰고 있는데 또 주문했어요ㅋㅋ앗 그러고보니예전에 거즈턱받이 후기 쓰셨던 맘님이네요ㅎㅎ 예쁘고 저렴해서 따라샀었어요 ㅎㅎ], 긍정 텍스트 확률 : 99.91%"
"[여보이거있던거야앗 진짜요?ㅋㅋㅋ 전 후기 잘 안남기는데 괜찮으니 공유 하구 싶어서요동네 맘까페는 너무 상업적여져서 좋은것두 공유가 힘드네요ㅋㅋ메리즈랑 애플은 좋긴 한데 여름에 쓰긴 넘 두꺼워요ㅜㅋㅋ], 긍정 텍스트 확률 : 66.34%"
"[저듀 낼 오는데 후기가 다 좋아서 안심중이에요ㅠㅋㅋㅋ키로 날씬아가 라지엑스라지일케 시켰어요], 긍정 텍스트 확률 : 92.55%"
"[ ...요즘 눈에 띄는 기저귀가 있어서 사용해본..애플크럼비 기저귀예요....지금 홈페이지에서 친구추가이벤트중이라], 긍정 텍스트 확률 : 89.18%"
"[ ..원 할인 받을 수 있어요....아기도 밤낮으로 봐야하는데 기저귀 ..핫딜 기다리느랴 핸드폰 잡고 있는거 스트레스인데..이 김에 할인받아서 샀지용 ㅎㅎ ...육아해보니까 기저귀는 정가주고 사는게 ..아니더라구요....ㅎㅎㅎ. ], 긍정 텍스트 확률 : 84.09%"
"[ ...패키지 디자인이 고급져서 완전 제 스타일 ㅎㅎ..너무 깔끔하고 사이즈도 정사각형이라..신생아 선물로도 들고가기 딱 일거 같아요..... ], 긍정 텍스트 확률 : 75.91%"
"[ ...기저귀를 옆에서 열어보면 ..이중으로 샘 방지선이 되어있어서], 긍정 텍스트 확률 : 86.90%"
"[ ..기저귀를 벗기고 돌돌말아 휴지통에 넣으면 ..너무 깔끔하게 정리가 되요. ...전 사실 기저귀 버리기 전에..저 테이프 부분으로..바닥에 빠진 머리카락도 제거해 준답니다 ㅋㅋ..출산하면 머리카락이 많이 빠지더라구요...ㅎㅎ.... ], 긍정 텍스트 확률 : 94.50%"
"[ ....기저귀 안쪽 부분은 애플크럼비만의..벌집모양으로 엠보싱이 나있어서 ..엉덩이를 시원하게 유지해줘요. ....기저귀는 중요한게 흡수성..그리고 통기성이예요. ...흡수력이 좋아도 통기성이 낮으면..축축해지고 피부가 짖무르니까..하루종일 기저귀를 차고 있는 아기들에겐..통기성이 정말 중요해요. ....애플크럼비는 밤 새 사용 후에 ..손으로 만져봐도 수분기가 없고 ..뽀송하게 유지되어 안심되었어요. ........... ], 긍정 텍스트 확률 : 76.27%"
"[ 방향제], 긍정 텍스트 확률 : 57.16%"
"[ 화장수], 긍정 텍스트 확률 : 68.64%"
"[ 프탈레이트 결합제 등 기저귀에 안좋다는 성분들은 모조리 빼고 만들어진 친환경 프리미엄 오가닉기저귀 랍니다그리고 애플크럼비는 자체 실험을 하고 동물실험을 반대는 착한브랜드 랍니다우리아기를 출산하고 생명의 소중함을 느끼면서 착한 브랜드에 더 관심이 많이가고 더 신뢰가 많이 가더라구요 ], 긍정 텍스트 확률 : 85.52%"
"[ 벌써 우리아가는 라지 사이즈에요사이즈표는 인터넷 들어가면 확인하실수 있는데 생후개월 우리아가는 이라서 라지 사이즈 랍니다팩에있으니깐 참고하세요 ], 긍정 텍스트 확률 : 95.38%"
"[ 화이트 코튼이랑 너무 잘어울리는 화이트 컬러의 디자인의 기저귀랍니다깔끔한게 기저귀 디자인까지 제맘을 사로잡더라구요그리고 애플 기저귀는 밤기저귀로도 유명하더라구요 밤새 기저귀 하나로도 사용할수 있답니다사실 자면서 오랫동안 기저귀를 착용해도 될까 새지는 안을까 그렇다고 너무 두꺼운 기저귀를 사용할려니깐 땀띠가 나지 안을까 걱정도 되고 그렇다고 얇은 기저귀 하면 흡수력이 딸려서 발진 날까봐 걱정이되더라구요두께감도 적당해서 외출시 들고다니기에도 너무 좋아요 ], 긍정 텍스트 확률 : 67.94%"
"[ 미국 와이어하우저 기업의 염화물 없는 펄프를 사용하여 만든 기저귀로써자연스럽게 얻어진 식물 기반의 식물성에 지속 가능한 재료로 만들어진 기저귀랍니다총기성있는 부드러운 배면시트로 연약한 아기 피부에 순하고 매끄러운 면이라 소중한 우리아기 피부를 보호 해주고 공기의 흐름을 원할할수 이게 만들어 주었어요 인증받은 천연 목재 펄프를 사용하였다고해요그래서 그런지 몰라도 엄청 소재가 부드러워요 우리 성인 생리대도 순면 생리대 보면 부드럽다고 생각했는데애플크럼비 기저귀 순면을 만져보면 정말 부드러움이 달라서 왜 프리미엄 오가닉 기저귀라고 하는지 이해가 가더라구요 ], 긍정 텍스트 확률 : 88.21%"
"[ 넓고 편안하게 늘어나는 신축성있는 허리밴드로 되어있고우리아이의 소중이가 닿는 기저귀 면은 자연스러운 통기성으로써 입체 벌짚 패턴 앰보싱이라최적의 공기 순환을 시킬수 있고 아기의 엉덩이를 시원하게 유지 시킬수 있답니다습기 방지 테두리가 있어 꼭맞는 착용감을 보장하고 무염료로 피부자극과 기저귀 발진을 최소화 하여서 여름철 우리아기 기저귀로 사용하기에 너무 좋은거 같아요여름철에 우리아가들 기저귀 얼마나 찝찝할까요 자주 갈아 주고 싶은데 자주 갈아 줄려니깐 경제적으로 부담되고 그렇다고 그냥 둘려니깐 발진날까봐 걱정되잖아요그래서 흡수력 좋은 기저귀 소재가 좋은 기저귀를 찾다가 찾은 기저귀가 바로 애플크럼비 오가닉기저귀랍니다 ], 긍정 텍스트 확률 : 65.78%"
"[ 밴딩 늘어나는거 보이시나요유난히 엄마 닮아서 그런지 허벅지가 발달한 우리아가 사실 옷을 살때도 길에 맞추면 다리가 꽉 끼이고 다리에 맞추면 바지가 허리가 너무 커요그래서 사이즈에 맞춰 기저귀를 사면밴딩이 너무 쪼일까봐 걱정이되더라구요그래서 밴딩이 부드럽게 늘어나면서 소변이 새지않게 막아주는 그런 디자인의 기저귀를 찾고 있었거든요옆밴딩 고무가 엄청 부드럽게 잘늘어나고 우리아가 몸에 맞게 딱 맞춰주더라구요 ], 긍정 텍스트 확률 : 98.57%"
"[ 저는 무엇보다 기저귀 표면이 정말 왠만한 부드럽다고 유명한 브랜드 다 사용해봤는데이렇게 부드러운 기저귀는 애플크럼비가 처음인거 같아요촉감은 정말 최고 제가 생각해도 마치 실크 속옷처럼 부드러운 그런 촉감의 기저귀랍니다오가닉기저귀라서 더 그런거 같아요 ], 긍정 텍스트 확률 : 98.31%"
"[ 기저귀 옆부분뿐만 아니라 뒷부분에도 밴딩처리가 되어있어서 빈틈이 없고 편안하게 움직일수 있답니다밴드는 구멍이 뚫린 접착씩 탭이라 딱맞는 핏을 만들수 있고 우리아기 기저귀에 통기성을 좋게 만들어졌어요유난히 밥을 많이 먹어서 밥먹기 전이랑 밥먹은후 배사이즈가 다른 우리아가밴딩이 너무 쪼이는거보다 편안하게 착용하면 좋겠다고 생각이 들더라구요밴딩이 편안하게 늘어나는거 보이시나요 ], 긍정 텍스트 확률 : 76.36%"
"[ 착용한 모습의 우리아가 랍니다허벅지가 정말 통실통실해요 그래서 옆라인을 굉장히 중요하게 느껴지더라구요옆라인을 꽉 잡아주고 물을 먹으면서 쉬야도 자주 하더라구요한겹이 아니라 무려 세겹으로 기저귀 샘방지가 되어있어서 기저귀가 새거나 구멍이 생기지 않도록 하여 매우 빠르게 습기 흡수력이 있답니다일본 기술력으로 만든 고흡수성 흡수페로 습기를 빠르고 효율적으로 흡수 시켜서우리아기가 착용하면서 최고의 편안함을 줄수 있다니다 ], 긍정 텍스트 확률 : 83.56%"
"[ 애플크럼비 착용한 우리아가입니다씻고 나와서 기분이 좋아보여요 우리아가 통통 한데 생각보다 몸무게는 많이 안나가요 ㅋㅋㅋㅋㅋ통통한 우리아가 여름철 우리아가 피부는 소중하니깐 아무 기저귀나 사용할수 없잖아요 ], 긍정 텍스트 확률 : 92.52%"
"[ 엄마 오가닉기저귀라서 너무 부드러워요 가격대는 비싸지만 그만큼 너무 좋은거 같아요사랑스러운 우리아가 프리미엄 오가닉기저귀 애플크럼비 추천드려요 ], 긍정 텍스트 확률 : 99.97%"
"[ 친환경이라 자는동안에도 안심되는애플크럼비 팬티 밤기저귀 ], 긍정 텍스트 확률 : 70.01%"
"[ 막내 기저귀 아직 차고있어요.하하 첫째때에는 정말빨리 뗐었는데], 긍정 텍스트 확률 : 54.09%"
"[ 갈수록 늦어지네요 일단 배변훈련은하고 있는데 변기가 아직은 부담이 되나봐요아기가 큰 만큼 소변량도 많아져서 한번에 많이 몰아싸다보니 금방 축축해지고], 긍정 텍스트 확률 : 80.10%"
"[ 그래서 아침부터 밤 기저귀로 계속 사용 할 수 있는 흡수력이 최대한 좋고 아기엉덩이도 지켜줄밤 기저귀를 알아보았는데요흡수력과 친환경 기저귀로 에서 입소문이 핫한제품을 보게되었지요 ], 긍정 텍스트 확률 : 95.05%"
"[ 피부 자극이 덜하다는후기가 많았어요.최고급 코튼으로 제작된 애플크럼비는화학첨가물이 들어가지 않아서부드럽고 밤기저귀로 사용해도 통기성이좋기때문에 밤새 아이가 보송보송하게 잘잘수있겠더라구요.얇고 가벼운 애플크럼비는 흡수력이좋기로 소문이 나있었어요], 긍정 텍스트 확률 : 95.41%"
"[ 간혹 물종류를 많이 마시고 자는 날에는번정도 싸더라구요. 이럴땐 아침에 축축하고 무거움이남다른걸 느끼죠 ㅋㅋ바로 이불에가서새진않았는지 확인해보고 ㅜㅜ 안도의 한숨을ㅋ ], 긍정 텍스트 확률 : 84.82%"
"[ 그래서 흡수좋은 기저귀를 찾고있었지요소변줄도 표시가 되어 있어서 눈으로쉽게 확인이 가능하고], 긍정 텍스트 확률 : 80.04%"
"[ 흡수가 그렇게도 좋다는 패드부분을 살펴보니뽀송한 쾌적함이 왜 남다른지를 볼 수 있었어요.벌집레이어 패턴으로 자세히 보면 엠보싱을 볼 수 있는데요이 입체모양의 벌짚 엠보싱은공기순환이 최적화로 되어 아기의 엉덩이를시원하고 통기성좋게 쾌적함을 유지하는비결이더라구요그리고 특히 흡수제가 한국제조라서신뢰가 갔는데요 흡수체가 핵심이라고 할 수 있어요.해외기술력을 바탕으로 한 한국제조 흡수체 였어요], 긍정 텍스트 확률 : 86.16%"
"[ 기능성 밴드와 레이어가 움직임 많은아이들의 활동에도 편안함을 주니], 긍정 텍스트 확률 : 54.49%"
"[ 도 탄력밴드의 완벽한 핏감도 볼 수 있었어요옆으로 찢기 쉬워서 갈아줄때도 편리함이있더라구요 ], 긍정 텍스트 확률 : 90.46%"
"[ 한참 뛰어다니고 돌아다니는 활동성 시기인데기저귀 만큼은 편안함과 흡수력이 신경쓰이더라구요.장시간 차고 있다가 몰아서 누니까오랜시간에도 통기성이 좋아야했고], 긍정 텍스트 확률 : 87.57%"
"[ 닿는 패드부분도 친환겨적이었으면 좋겠다 생각 했는데 염화물 없는 목재펄프를 사용한다고 하니 발진걱정도 덜 수 있었어요. 그리고 인스타에서도 밤기저귀로 후기가많이 보여서 사용해보고싶었거든요.육아맘들이 많이 사용하면 왠지모르게나도 꼭 써봐야할것같잖아요ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.59%"
"[ 엄청 축축함이 남아서 빨갛게 된 피부를 보면마음이 짠했거든요 ㅠㅠ사용해보니 괜찮아서 친구한테도 추천해서ㅋㄷ에서 갈아탔어요ㅋㅋㅋ만족한데요 친구애기는 이제 개월이거든요흡수력이랑 부드러운 촉감이 너무 좋다고 하네요. 발진도 다행히 없구요.육아맘은 더 좋은걸 찾기위해 끝없는 육아템에 이렇게 도전한답니다 ], 긍정 텍스트 확률 : 70.78%"
"[ 구매는 천원 적리급 사용해서 조금더저렴하게 샀는데], 긍정 텍스트 확률 : 68.47%"
"[아래 홈페이지에서친구 추천 이벤트로 가입하고 추천 아이디적으면 천원 적립금 줘용이렇게 하면 조금 더 알뜰하게 가능하답니당 ㅎ ], 긍정 텍스트 확률 : 97.87%"
"[ 친환경기저귀엔 소변줄 없는 기저귀도 있는데애플크럼비엔 있어요 ㅋ.ㅋ ], 긍정 텍스트 확률 : 60.60%"
"[ 가볍고 얇으면서도 흡수력과 통기성이 좋아 밤새 안심하고 쓸 수 있어요흡수력 진짜 짱짱 ㅋ.ㅋ], 긍정 텍스트 확률 : 70.70%"
"[ 진짜 얇고 매우 부들부들 ], 긍정 텍스트 확률 : 69.92%"
"[ 친환경기저귀 애플크럼비와 함께 꿀잠 중인 떠누오늘 밤도 잘 부탁해 . ], 긍정 텍스트 확률 : 58.09%"
"[ 이제 태어난지 일 정도된신생아우리 여름이가 쓰고 있는신생아기저귀인프리미엄 천연 유기농오가닉 기저귀애플크럼비 기저귀 를 소개해드릴게요지인을 통해서 알게 된 신생아기저귀프리미엄 천연 오가닉유기농 기저귀애플크럼비 를 사용해보니 정말 괜찮더라구요❁우리아이가 사용하는프리미엄 천연 유기농오가닉 기저귀애플크럼비 기저귀 사용후기를 소개 해볼게요◡ ], 긍정 텍스트 확률 : 94.66%"
"[ 우리 여름이가 쓰고 있는 신생아기저귀인프리미엄 천연 오가닉유기농 기저귀애플크럼비 기저귀는천연 유기농 성분 으로염소는 물론 여러화학물이 무첨가되었고친환경 천연 유래성분을 사용해서자연분해가되어 환경도 보호 한다니더 믿음이 가는신생아기저귀였어요쿠팡], 긍정 텍스트 확률 : 57.37%"
"[ 우리 여름이는 산후조리원에서는 하기스를 쓰고], 긍정 텍스트 확률 : 65.50%"
"[ 우리 여름이가 쓰고 있는 신생아기저귀인프리미엄 천연 오가닉유기농 기저귀애플크럼비 기저귀 패키지 겉에기저귀 사용방법이 그림으로 나와있어서초보맘도 손쉽게 사용 할 수 있어요 ], 긍정 텍스트 확률 : 83.52%"
"[ 신생아가 사용하기 좋은프리미엄 천연 오가닉유기농 기저귀애플크럼비 기저귀는목마모양이 정말 귀엽고 이뻐요 ], 긍정 텍스트 확률 : 54.95%"
"[ 매끄러운 코튼 면을 사용해서 만들어서흡수력이 좋아 밤새 한장으로 괜찮아요 ], 긍정 텍스트 확률 : 80.56%"
"[ 애플크럼비 기저귀 파우치 도 함께 왔는데너무 이뻐서 나중에 나갈때기저귀 넣어서 들고다니려구요 ], 긍정 텍스트 확률 : 94.16%"
"[ 애플크럼비가 맘에들어 쓰는데가격대가 부담스러워요ㅜ자주자주갈아주는데 가격이 ..찾다보니 내추럴블라썸], 긍정 텍스트 확률 : 76.93%"
"[ 그래서 기저귀를 선택할때 소재를 안따져볼수가 없는데요 애플크럼비 프리미엄 기저귀는천연 소재로만 제작된 프리미엄 친환경 기저귀이면서미국에서 온 염화물없는 목재 펄프를 사용해서더욱 안전하게 사용할 수 있었어요], 긍정 텍스트 확률 : 93.26%"
"[ 내 엉덩이를 잘 부탁해], 긍정 텍스트 확률 : 54.10%"
"[ 처음 기저귀를 개봉했을때일단 깔끔하고 고급스러운 디자인에 마음을 쏙 뺏겨버렸어요 배라인에 인쇄되어있는 애플크럼비 로고가고급스러워보이더라구요 게다가 염소처리 및 다른 화학첨가물이전혀 들어가있지 않다고하니 더욱 마음에 드는거 있죠 ], 긍정 텍스트 확률 : 99.57%"
"[ 기저귀 표면은 최고급 코튼면을 사용해서 그 부드러움이 정말 마음에 들었어요], 긍정 텍스트 확률 : 66.85%"
"[ 애플크럼비의 기저귀 내부는 벌집레이어로 되어있어공기순환이 잘되어 통기성이 매우 우수하다고해요가볍고 얇은데 흡수력도 좋아서 밤기저귀로 유명하다는 애플크럼비 프리미엄기저귀 ], 긍정 텍스트 확률 : 76.83%"
"[ 밤기저귀 애플크럼비 기저귀는 가운데에 소변줄이 있어서 기저귀상태를 수시로 체크할 수 있는데요 소변이 찬부분은 저렇게 푸른색으로 변한답니다 오구오구 쉬야해쪄여?허벅지 튼실한거보소 ], 긍정 텍스트 확률 : 56.55%"
"[ 기저귀에 프릴이 달린듯 옆 날개가 너무 귀여운애플크럼비 프리미엄 기저귀], 긍정 텍스트 확률 : 57.14%"
"[ 발진걱정없는 친환경기저귀 아직까지 발진없이 잘 사용하고 있쑴당 ], 긍정 텍스트 확률 : 64.43%"
"[ 보돌보돌한 코튼면 기저귀라 더욱 마음에 드는애플크럼비 프리미엄 기저귀 후기였습니다 ], 긍정 텍스트 확률 : 94.43%"
"[개월된 여자 아이 키우고 있어요 ㅎ우량우량해서... 다들 개월은 된지 아시더라구요 ㅎ임신전에 기저귀 이것저것 알아보다.. 아무거나 쓰면 어떤가하고.. 경제적 형편 껏 하는거지... 쉽게 생각했었죠. 근데 조리원에서 아기 엉덩이를 보는데 이런.. 빨간거에요 ㅠㅠㅠ 마음 찢어지는...하.. 조리원에서 나눠준 기저귀도 좋은거였는데... 신생아는 피부가 연약해서 그런지 발진이 ㅠㅠ하.. 어쨌든.. 사 놓은거 쓰자], 긍정 텍스트 확률 : 85.93%"
"[이벤트 당첨되서.. 실제로 사용해 보게 되었어요..], 긍정 텍스트 확률 : 87.70%"
"[ 다솜이], 긍정 텍스트 확률 : 51.21%"
"[체험팩으로 받은 기저귀가 있었는데.. 그거는 파란색 알갱이가 엉덩이에 묻어 나오는 것도 있었었어요..하여튼.. 빨개져도.. 원래 그러려니하고... 무신경하게 있었네요..ㅠㅠㅠ 그래도 열심히 열어서 시원하게 해주거나], 긍정 텍스트 확률 : 79.96%"
"[밤기저귀 구분해서 쓰려구요 ㅎ ], 긍정 텍스트 확률 : 80.47%"
"[.월 중순부터 하루에 번정도 끙아를 했던 울 열매쿤. 장염이라고 하기엔 열도 없고 컨디션도 괜찮아 한 이틀 지켜봤는데], 긍정 텍스트 확률 : 92.68%"
"[아이들이 성장 하는 과정에서 종종 보일 수 있는 모습이라며 열이 나거나 아이가 많이 힘들어하면 그때 다시 병원에 내원하라고 하시더라구요. ..통통했던 볼살은 며칠새 홀쭉해 지고 뽈록했던 배도 쏙 들어가서 안쓰럽기만.. ㅜㅜㅜ 지금은 많이 좋아져서 하루에 번 정도로 잦아 들어 정상적인 패턴으로 돌아가고 있긴 한데.. 분유 먹으면서 싸고 기저귀 갈고 나서 얼마 안있다가 또 싸고 이렇게 주 가량 반복되다보니 엉덩이 발진이 생겼어요. . ], 긍정 텍스트 확률 : 99.09%"
"[ ..청담동 기저귀라는 별명을 가지고 있는 오가닉 기저귀 애플크럼비는 일반 기저귀에 비해 가격이 조금 높은 편이긴 한데 열매쿤 엉덩이발진이 좋아질 수 있다면 엄마가 커피를 덜 마시면 되는거니깐 . ], 긍정 텍스트 확률 : 53.70%"
"[ ..앞 뒤 표시가 되어 있어 입히는 방향을 헤깔리지 않고 입힐 수 있으며 뒷 처리를 깔끔히 할 수 있게 테이핑이 되어 있는 점 역시 매력적이나 오가닉 기저귀 애플크럼비는 이번에 구입한 팩만 사용하기로 하고 다시 기저귀 유랑민이 되었어요.], 긍정 텍스트 확률 : 97.00%"
"[오랜만에 기저귀 리뷰입니다.오랜만이라기보단 두 번째예요.기존에 사용하던 기저귀는 체험단 당첨으로 만나 지금까지 쭉 사용하고 있었는데요. 그 동안 문제없었기에 새로 나온 오가닉 라인을 구매해서 입혔다가 발진이 생겨서.. 뜨악.발진 한번 없던 시윤이가 발진이라니... 때마침 타사기저귀와 함께 두 종류의 기저귀를 입혔는데 두 개다 긁고 엉덩이가 빨개지고. 처음 접해보는 기저귀 발진에 정신없던 맘비는 새로운 기저귀를 찾아 떠납니다. ], 긍정 텍스트 확률 : 99.73%"
"[ 설명서가 다 영어로 되어있어서.... 청담동 엄마들이라면 다 읽을 줄 아는 거죠? 에잇그래서 맘비가 친절하게 설명해드려요. ], 긍정 텍스트 확률 : 55.55%"
"[ 아드님은 현제 키로가 조금 안됩니다.맘비가 선택한 사이즈는사이즈 일반적으로 대형이라고도 하죠. 까지 가능합니다. ], 긍정 텍스트 확률 : 51.17%"
"[ 팬티형밴드형 두 종류가 있지만 뒤집기 시작하면 밴드형 힘들다는 건 엄마들이 다 아는 사실이죠. 팬티형이 조금 더 가격이 나간다는 사실도요.애플크럼비도 그러합니다. 계산해보니 팬티형은 개당 원이고], 긍정 텍스트 확률 : 92.78%"
"[밴드형은 원이네요.필요해 따라 선택해주세요. 맘비는 팬티기저귀의 편리함에 빠진지 오래입니다. ], 긍정 텍스트 확률 : 95.19%"
"[ 시윤이 어디갔지수십번그래도... 바지 입어주겠니??? ], 긍정 텍스트 확률 : 61.87%"
"[ 보통 체격인 시윤이는 살짝 큰느낌이 드는데 밤에 뒤척여도 샘없이 잘 사용 중입니다.새 귀저기 대만족신이 났습니다. 엄마가 다 뿌듯하네. ], 긍정 텍스트 확률 : 96.83%"
"[ 폼 제대로 굿굿 ], 긍정 텍스트 확률 : 50.89%"
"[ 원 적립금을 지급해준답니다. 오호추천인 아이디 ], 긍정 텍스트 확률 : 64.59%"
"[ 추천인 아이디 ], 긍정 텍스트 확률 : 74.89%"
"[.안녕하세요 혜원맘꼬미입니다.요즘 부쩍 더운 날이 많아서 걱정이 많아요.한 번씩 에어컨도 틀게되고... .혜원이는 엄마아빠가 모두 더위를 많이타서 그런지.땀도 많고 더위를 잘 타는 것 같아요 ㅠ.월지나고나서는 기저귀를 갈때 보면 ], 긍정 텍스트 확률 : 99.99%"
"[ .자꾸 짓무르듯이 응꼬부분의 살성이 안좋아지고 쭈글쭈글하더라구요ㅜㅜ..비판텐을 달고살았다는....엉덩이 발진도 잘 생겨서 여러번 기저귀를 바꿔보고 그래...이정도면 괜찮은 것 같아.하는 나비 기저귀로 정착했었어요. ..그래도 완전한 정착은 하지못하고 계속 유목민 생활을 해왔었는데 애플크럼비를 알고나선 .처음으로 발진없는 기저귀도 있다는 것을 알게 되었어요..혜원이가 써본 모든 기저귀랑 비교하진 못하지만ㅋㅋ.지금 현재 쓰고있었던 기저귀들과 비교해서 .보여드리려고 합니다. ], 긍정 텍스트 확률 : 86.52%"
"[ 처음엔 엉덩이부분 흡수부분이 짧아보여서 아쉬웠는데 흡수부분이 아래로 길어서 등쪽라인으로 쉬야가 흘러도이미 다 흡수해 등이 축축해지거나 하는 일은 없더라구요.오히려 등쪽 땀띠가 많이 좋아졌어요허리 감는 부분이 얇아 땀차지않아 여름에도 문제없이 사용할 수 있어요.착용 후 혜원이 모습이에요 ], 긍정 텍스트 확률 : 58.72%"
"[ .기저귀는 통기성 있고 적당한 두께지만 .착용 후 이렇게 충분한 볼륨감을 가지고있어 .소변 대변 모두 피부에 직접닿지않아요.. ], 긍정 텍스트 확률 : 64.88%"
"[ 착용전 오른쪽 발진이 빨갛게 올라와 있었어요전반적으로 빨갛고 부분적으로 모기물린듯하게 부어오른부분도 있었어요.착용후 원래 이렇게 뽀얗구나...할정도로 하얘졌다는 ㅠㅠ엄마는 아가엉덩이가 원래 좀 빨간건가 싶었어요.. ], 긍정 텍스트 확률 : 60.22%"
"[ 허리밴드부분 눌림 비교사진이에요허리 샘방지를위해 주름이 촘촘했는데 애플크럼비도 아예눌림이 없는 건 아니였지만이전엔 좀 빨갛게 눌리고 그 주변으로 땀띠가 조금 올라왔었다면 애플크럼비는 주름자국만 있을뿐빨간자국은 없고 땀띠개선된 걸 볼 수 있었어요 ], 긍정 텍스트 확률 : 83.29%"
"[ .토실토실 살오른 모습이 너무이뻐 혜원이 사진을 .열심히 찍어댄 혜원맘.퐈이아 ], 긍정 텍스트 확률 : 73.27%"
"[ 혜원이의 친구 너부리를 자꾸쳐다봐서 옆에놔줬는데밀어버리다니 ㅋㅋㅋㅋㅋㅋㅋ미는힘에 혜원이도 기우뚱 ], 긍정 텍스트 확률 : 79.36%"
"[ 엄청난 움직임에도 허리밴딩 들뜸없이 착 감겨있네요기존 등 부분 땀띠 ㅠㅡㅠ 엄마맴찢 ], 긍정 텍스트 확률 : 86.39%"
"[ 오구오구 보들보들 천 위에서 마냥신난 혜원이에요ㅋㅋ ], 긍정 텍스트 확률 : 93.16%"
"[ 잠시 애플크럼비 아기모델과 아이컨택ㅋㅋㅋ저자리에 계속 두었더니 자꾸 쳐다보더라구요ㅋㅋ혜원이 친구야? ], 긍정 텍스트 확률 : 57.12%"
"[ 어쭈 요뇨석보게요 ㅋㅋㅋ배밀이하더니 앞으로 조금씩 기어가길래 가까이 뒀더니손뻗고 신남ㅋㅋ그래], 긍정 텍스트 확률 : 55.66%"
"[ 한참 놀다 또 다시 애플크럼비 친구소환ㅋㅋ낮잠도 잘자고난 이후라 더 신난 혜원이방긋방긋 잘도 웃어주네요.♡ ], 긍정 텍스트 확률 : 53.47%"
"[ 기운넘치는 혜원이 ㅋㅋ엄마], 긍정 텍스트 확률 : 88.50%"
