"[땀과 열이 정말 많은 우리 둘째 소다미. 요즘 굉장히 잘먹고 살이 더 포동포동하게 올라오고], 긍정 텍스트 확률 : 99.69%"
"[보완된다면 너무 좋을 것 같아요 ], 긍정 텍스트 확률 : 70.60%"
"[ 진짜 왠만한 기저귀는 다 사용해본거 같아요그 중에서배통통허벅지 통통이 소람이에게너무 적합한그리고 엄마 지갑도 지키면서제품또한 믿음직스러운 팬티 기저귀추천 해볼까 합니다 ], 긍정 텍스트 확률 : 85.70%"
"[ 슈퍼대디 리얼소프트핫딜도 종종 있기도 하고슈퍼맨이 돌아왔다 윌리엄벤틀리 형제가사용하는 슈퍼대디 기저귀는왠만한 엄마들 다 알고 있더라구요 ], 긍정 텍스트 확률 : 53.85%"
"[ 슈퍼대디 리얼소프트는무려 년동안 연구하고 또 연구해서새롭게 등장한 기저귀에요 ], 긍정 텍스트 확률 : 92.47%"
"[ 활동성이 많아지는생후 개월 이후 부터는기저귀 중 샘방지가 너무나 소중해져요뒤집기 되집기 앉기 기어다니기 잡고일어나기걷기], 긍정 텍스트 확률 : 59.49%"
"[그리고 뛰기 시작하면 더더욱 ㅎㅎㅎㅎ슈퍼대디 리얼소프트는탄성도 물론 좋지만샘방지 가드가 이중으로 되어있는데소람이같은 튼튼이 허벅지 아기들에게도잘 맞게 설계되어있어샘 걱정도 ], 긍정 텍스트 확률 : 98.24%"
"[아기들 피부에도 자극적이지 않아요 ], 긍정 텍스트 확률 : 52.29%"
"[ 안감 리얼소프트 답게 굉장히 부들부들아기들의 소중한 피부가 닿는곳은 더더욱 그 재질이 신경쓰이는데요만져보고], 긍정 텍스트 확률 : 99.60%"
"[겉감 모두 부드럽네요], 긍정 텍스트 확률 : 70.96%"
"[걸리적거리지 않게자유롭게 활동 할 수 있게 도와준다 하네요 ], 긍정 텍스트 확률 : 53.93%"
"[ 잠시에 찰라도 안주네요 ㅎㅎㅎ그새 어디로 휘리릭 떠나는 그녀...지금 소람이가 입고있는게슈퍼대디 리얼소프트 입니다.엄청 클거 같은데 막상 안그러죠??키체중 . 배허벅지 튼튼아기그건 기저귀가 작게나온게 아니라밴딩이신축성 있어서 잘 맞게 보이는 거에요 ㅎㅎ아랫부분은 살짝 큰감도 있지만허리허벅지 부분 밴딩이잘 잡아줘서 샘 현상은 한번도 없었어요오히려 딱 맞게 입히는것보단전 이게 통풍도 되고 좋을 것 같더라구요물론 샘 현상이 있으면 비추 인데], 긍정 텍스트 확률 : 99.08%"
"[아직 한번도 안샜어용 ], 긍정 텍스트 확률 : 65.92%"
"[ 심장아파................... ], 긍정 텍스트 확률 : 55.18%"
"[ 밴딩이 신축성이 좋아서왠만큼 늘어나기도 하고조여주기도 하고하지만 그 와중에 샘 방지는 또 확실하게 하니통통 아기들은 사이즈업도 괜찮을 것 같네용제 생각입니다 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 65.37%"
"[ 그리고밴딩만큼 마음에드는 흡수력처음엔밤귀저귀낮기저귀를 구분했었는데사실 따로따로 구분해서 구매하고], 긍정 텍스트 확률 : 92.56%"
"[기저귀 갈기너무 귀찮고 번거롭더라구요....근데 다행히도 슈퍼대디 리얼소프트가흡수력이 장난아니에요 ㅋㅋㅋㅋㅋㅋ그래서 그냥 슈퍼대디 팬티기저귀로밤낮 동시에 가기로 ㅋㅋㅋㅋㅋㅋ위에 사진이 전날 밤 시에 착용하고다음날 아침 시에 교환한건데요꽤 묵직한데도 겉이 뽀송해요....특히나 여름엔 겉이 축축해지기 쉬운데그런게 없어요흡수하고도 뽀송뽀송 하다고 들었는데진짜 흡수율은 끝내주네용 ], 긍정 텍스트 확률 : 88.89%"
"[ 다행히 핫딜도 간간히 있어서부담없는 가격으로 우리아기들 엉덩이 지켜줄 수 있을 것 같습니다 ], 긍정 텍스트 확률 : 80.96%"
"[ 슈퍼대디 팬티 기저귀추천 완전 강추 ㅎㅎ], 긍정 텍스트 확률 : 99.38%"
"[ 슈퍼대디 뿐만 아니라다양한 생필품이 준비되어 있네요다양한 혜택 이벤트. 할인 등등이 있으니한번 방문해 보세용 ], 긍정 텍스트 확률 : 61.13%"
"[ 각종 에서도 이벤트소식 받을 수 있으니참고하세용], 긍정 텍스트 확률 : 58.75%"
"[개월 벼락이 이제 기저귀를 뗄때가 슬 다가 오고 있어요.올 여름 아마 기저귀와 작별할 것 같은데잘 할 수 있을지 벌써부터 걱정이에요일단 어린이집 선생님과 상담해서기저귀를 뗄 시기를 정해보기로 했답니다.그 전까지 벼락이가 어린이집에서 쭉 사용할밴드기저귀는 바로 부드러움이 남다른슈퍼대디 리얼소프트 기저귀에요.기존에 사용하고 있던 밴드기저귀도정말 만족하며 사용중이었는데슈더대디 리얼소프트도 같은 브랜드 제품이라서고민없이 바로 준비해보았어요 .저는 이 제품 사용전에 아시는 분이슈퍼대디 기저귀추천 하시면서부드럽고 정말 좋아해주셨는데직접 사용해보니 기저귀추천 이유를바로 알겠더라구요], 긍정 텍스트 확률 : 99.89%"
"[ 슈퍼대디 브랜드는 안전브랜드 대상을 받을만큼안심하고 사용할 수 있는 기저귀에요.우리 아이 피부에 직접적으로 닿는 제품이다보니기저귀 고를 때 정말 꼼꼼하게 따져보고 믿을 수 있는 제품을 선택하게 되는데슈퍼대디가 바로 그런 제품인거 같아요 ], 긍정 텍스트 확률 : 99.77%"
"[ 슈퍼대디 기저귀 자체가 원래도 부드러움이남달랐지만 리얼소프트 라인은 년동안 준비한만큼정말 상상 이상의 부드러움을 느낄 수 있는 기저귀라고해요. ], 긍정 텍스트 확률 : 90.40%"
"[부드러움 그리고 흡수력까지모든것을 담은 진짜 기저귀.저도 직접 만져보기전이라 정말 정말 궁금하더라구요.호다닥 꺼내보기 전에 제품 패키지부터 살펴봤어요.슈퍼대디는 매직스림], 긍정 텍스트 확률 : 90.85%"
"[ 손잡이가 달린 패키지라서기저귀 선물할 때도 참 좋구요어린이집에서 기저귀 팩씩 가져다드릴 때도따로 종이가방을 준비하지 않아도 되서 정말 편하더라구요 어린이집에서는 밴드기저귀를 준비해달라고해서집에 밴드기저귀를 쟁여놓는데 슈퍼대디로 쭉 쟁여놓을 것 같아요 ], 긍정 텍스트 확률 : 85.58%"
"[ 아까도 잠깐 말씀드렸드이 슈퍼대디 제품은 최근에 안전성 이슈로 문제가 있을 때에도문제점 하나 없이 안전한 브랜드라는 이미지로자리매김한 안전브랜드 대상 수상 브랜드에요그만큼 고객이 신뢰하는 브랜드가 된 것이죠이렇게 믿을 수 있는 브랜드로 자리매김하는데는수많은 안전성 검사가 기초가 되었기때문인거 같아요.식품의약품안전처국민청원안전검사제결과형광증백제], 긍정 텍스트 확률 : 69.48%"
"[염소화페놀류 등 개 항목 모두적합 판정 을 받았다고해요.유해성분이 불검출된 기저귀거기에 피부 자극 테스트까지 완료했기때문에약한 아이피부에도 문제없이 사용할 수 있다죠또], 긍정 텍스트 확률 : 50.52%"
"[국내뿐만 아니라 국제적으로도 안전성을 인증받았어요. 국가통합인증마크 인증 국제 인증소중한 우리 아기가 건강하게 자랄 수 있도록안전을 최우선으로 생각하는 육아용품 전문브랜드.그래서 저도 슈퍼대디 믿고 사용하고 있어요기저귀추천 ...잘 안하는데 슈퍼대디는 무조건 추천해용 ], 긍정 텍스트 확률 : 99.00%"
"[ 기저귀 팩 뒷면에는 슈퍼대디 리얼소프트의장점들을 가득 설명해두었네요.백마디 설명보다 사실 실제로 만져보고사용해보는게 중요하지만이런 장점들을 잘 알고 사용하면 훨씬 좋아요 ], 긍정 텍스트 확률 : 78.76%"
"[ 리얼소프트 시스템을 적용해서아기의 신체 움직임에 최적화 시킨 밴드기저귀엉덩이뿐만 아니라 피부에 닿는 모든 면이부드럽기때문에 피부가 예민한 아이들에겐최적의 기저귀가 아닐까 싶어요 ], 긍정 텍스트 확률 : 57.13%"
"[ 밴드의 손잡이 부분쪽을 반으로 뜯어주면보이는 슈퍼대디 리얼소프트 밴드기저귀들 ], 긍정 텍스트 확률 : 55.56%"
"[초보엄마는 앞뒤를 구분하는 것도어려움을 느낄 수 있을거라 생각해요.슈퍼대디 리얼소프트 밴드기저귀에는앞], 긍정 텍스트 확률 : 88.30%"
"[뒤 한글로 정확하게 표시가 되어있어서어려움없이 기저귀를 해줄 수 있겠네요 ], 긍정 텍스트 확률 : 80.84%"
"[ 기저귀 모양이 딱 잡혀질만큼 샘방지 부분도탄탄하게 잘 잡혀있어요 ], 긍정 텍스트 확률 : 85.76%"
"[ 부드러운 시트는 아이의 중요한 부분이 닿는 부분만적용된 것이 아니라 아이의 피부가 닿을 수 있는모든 부분에 적용되어서 민감한 아이도 피부트러블 없이 사용이 가능해요.앞쪽에 배부분 끝까지 올라와있는 앱솔루트 소프트시트.꼭 팬티를 입은듯한 부드러움때문에벼락이가 벗으려고 하지 않는다는 것정말 슈퍼대디 기저귀추천해유 ], 긍정 텍스트 확률 : 90.76%"
"[ 기저귀가 얇고 흡수력이 좋아서만져보지 않으면 아이가 소변을 많이 봤는지알수가 없을때가 많은데 소변알림줄이 있어서바로바로 기저귀를 갈아주기도 좋아요.특히 여름에는 제때 갈아주지 않으면아이 피부에 발진이 생길 수 있는데 알림줄이 있으니 바로바로 확인이 가능해서 좋더라구요 ], 긍정 텍스트 확률 : 88.94%"
"[ 부드러운 시트에 완벽한 흡수력까지 겸비한완벽한 밴드기저귀 슈퍼대디는 를 흡수하고도뽀송함을 느낄 수 있는기저귀에요제가 직접 집에서 흡수력테스트를 해봤는데물을 부어주는 그 순간 바로 흡수하는 걸확인할 수 있었어요 소변을 보고난 후 아이들이 찜찜해서보채고 울고 뒤척이게 되는 경우가 많은데소변이 닿기전 슈퍼소닉 드라이가 빠른 흡수를 도와서 보송함을 느낄 수 있게 해줘요. ], 긍정 텍스트 확률 : 99.98%"
"[ 꽤 많은 양의 물을 부었음에도 불구하고 모두 흡수하고 난 후 보송함이 느껴지는 시트. ], 긍정 텍스트 확률 : 95.97%"
"[ 몇 분 지나서 건티슈로 콕콕 눌러봤더니묻어나는거 거의 없이 보송보송밤잠자는 시간동안에는 아이들이 소변을 많이 보는데그 때도 불편함없이 착용이 가능할 것 같아요그래서 전 요즘 밤기저귀로 선택해서 사용중이에요 ], 긍정 텍스트 확률 : 80.31%"
"[ 밴드기저귀라서 뒤처리도 아주 깔끔하게 가능해요.매직테이프로 말아주면 귀여움 하마가 나오면서깔끔하게 정리가 되네요 기저귀를 쓰레기통에 버려주는 것 까지도와주려니 울 벼락이에겐귀여움 하마 모양의 기저귀가 인기만점이에요 ], 긍정 텍스트 확률 : 99.38%"
"[ 슬림핏이라서 착용한 후에도엉덩이가 불룩 튀어나오거나 하지 않고핏도 딱 예뻐요 귀여운 하마도 보여서 뒷태보면 깨물어주고 싶어지네요 ㅋ ], 긍정 텍스트 확률 : 96.43%"
"[ 갑자기 드러누운 벼락이 ㅋㅋㅋ이때다 싶어 담아본 기저귀 착샷벼락이는 허벅지가 통통한 아이였는데최근에 많이 아프고 허벅지 살도 쏘옥 빠졌어요.흑......샘방지 레그밴드부분이 허벅지에 맞게잘 늘어나기도해서 샘은 걱정이 없을뿐더러아이는 편안하게 기저귀를 착용할 수 있어요.밤잠잘 때 엄청 뒤척임이 심한데도아직 샌 적이 한번도 없답니다 . ], 긍정 텍스트 확률 : 81.84%"
"[ 오늘 아침 등원전 찍어본 귀염뽀짝 뒤태에요하마 기저귀 가져오길래 갈아줬는데 ㅋㅋ넘넘 귀엽죠?이제 날이 더워서 두껍고 답답한 기저귀는 사용하기 어려운데 슈퍼대디 리얼 소프트 밴드기저귀는흡수력이 좋아 아이가 찜찜함을 느낄 시간을 주지 않아서정말 만족하고 사용하고 있어요], 긍정 텍스트 확률 : 86.13%"
"[ 피부가 민감한 아이소변 본 후 찜찜함을 많이 느끼는 예민한 아이라면부드럽고 흡수력 좋은 밴드기저귀 슈퍼대디 리얼소프트 선택해보세요 ], 긍정 텍스트 확률 : 86.68%"
"[요즘 밴드기저귀 홀릭이라 진짜 열심히 사용 중인 밴드기저귀. 팬티기저귀가 훨씬 더 편하다고 생각해서 팬티기저귀를 착용할 수 있는 월령대부터돌 지나서까지 밴드는 쳐다도 보지 않았었는데], 긍정 텍스트 확률 : 94.83%"
"[요즘은 그 편리함과 뒷처리의 깔끔함], 긍정 텍스트 확률 : 85.50%"
"[요즘 너무 추운 날씨에 기저귀 입고], 긍정 텍스트 확률 : 82.68%"
"[ 슈퍼대디 기저귀는 특대형이대의 아가들이 입기 좋다. 까꿍이는 키로 정도? 되는 듯 한데 좀 낙낙하게 잘 맞았음. 허리도 밴드라서 잘 맞고 한 팩에 장이 들어있다. 나는 예전엔 왜 사이즈가 올라갈수록 갯수가 적게 들었지? 했는데 크기와 사용횟수에 따라 다른 거였다. ㅋㅋㅋㅋㅋ멍청한 나....ㅋㅋㅋ ], 긍정 텍스트 확률 : 83.79%"
"[ 슈퍼대디 기저귀는 옆 면을 보면 요렇게 포인트를 모을 수 있는 하트포인트 쿠폰이 인쇄되어 있다. 요거 잘라서 열심히 모으면 사이트에서 제품 교환이 가능하다이번에 기저귀를 사용해보니 정말 괜찮은 듯 해서 앞으로 자주 사용하면서 포인트를 모을 예정 슈퍼대디 기저귀는 라인도 다양해서 고르기가 좋다], 긍정 텍스트 확률 : 90.43%"
"[ 반대쪽에 적혀있는 기저귀 특징들과 좋은 글귀. 나 요즘 뭔가 겨울타나봨ㅋㅋㅋㅋㅋ이런 글귀 읽으면 왜 자꾸 울컥하는 지 모르겠다. 뭔가 주책맞은 느낌임 ㅋㅋㅋ슈퍼대디 기저귀 는 원래도 얇았지만 더더욱 얇아진매직슬림핏 으로 ], 긍정 텍스트 확률 : 99.14%"
"[ 기저귀들마다 다른 절취선 때문에 슈퍼대디도 오픈할 때 절취선이 어디있나 찾아봤다 ㅋㅋㅋㅋㅋ 윗부분의 절반만큼 뜯어지는 절취선. 기저귀 꺼내기 편함 ], 긍정 텍스트 확률 : 89.39%"
"[앞 면에 그려진 세련된 무늬. 군더더기 없는 스타일이라 깔끔해서 좋다 특대형 답게 꽤 넓은데], 긍정 텍스트 확률 : 88.59%"
"[진짜 매직슬림핏이라 많이 얇아서 놀랐다. 다른 슬림핏 기저귀들보다 더 얇은 느낌? 이런데 흡수력은 짱짱하다니 신기할 따름. ], 긍정 텍스트 확률 : 82.33%"
"[촘촘한 매직홀들이 있어 많은 양의 소변도 축축함 없이 흡수해준다까꿍이는 우유든], 긍정 텍스트 확률 : 93.57%"
"[피부가 예민해 조금만 거친 걸 입어도 엉덩이며 허벅지가 다 벌개지는 까꿍이에게도 딱 좋았다그리고 요 부분이 다른 기저귀들에 비해 굉장히 넓어서 허벅지가 꽤 튼실한 까꿍이 다리도 충분히 가리고도 남을 정도였다. 디테일에 신경 많이 쓴 듯], 긍정 텍스트 확률 : 96.06%"
"[몽글몽글 뭉치는 것도 없이 흡수력도 좋아 정말 만족스럽당 ], 긍정 텍스트 확률 : 88.24%"
"[우수한 품질이라는 게 증명된 셈이라 좀 더 안심하고 사용할 수가 있다. 그리고 제일 중요한친환경 인증 로하스 인증요것도 취득한 슈퍼대디친환경적인 부분과 제품력], 긍정 텍스트 확률 : 93.11%"
"[안전성 등을 모두 인정받은 기저귀라 그런 지 피부에 닿는 느낌도 부드럽고], 긍정 텍스트 확률 : 62.54%"
"[그 흔한 발진도 한 번 일어난 적 없다. 좋아좋아 ], 긍정 텍스트 확률 : 79.94%"
"[ 기저귀 입히고 나면 요런 모습 넓직하게 엉덩이와 배 부분을 감싸주는 기저귀 덕에 까꿍이는 무척 편하게 누워서 뒹굴기도 하고], 긍정 텍스트 확률 : 84.26%"
"[뛰어다니기도 한다. ], 긍정 텍스트 확률 : 70.69%"
"[ 위에서 얘기했던 부드러운 옆면 부분. 요 부분이 넓어 허벅지를 덮어주어 좀 더 포근해보인다. 울 까꿍이 꿀벅지 보호해주는 소듕한 옆면...ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 94.73%"
"[ 참 슈퍼대디엔 요렇게 노랗게소변선 이 있어서 ], 긍정 텍스트 확률 : 64.77%"
"[ 티비 보는 사이에 쩍벌남이 된 까꿍이. ㅋㅋㅋㅋㅋㅋㅋ 외할무니가 다리 마사지 해 주는 동안 속 편하게 누워서 티비를 보고 있는 중이다. 세상 부럽네 팅그야.. ], 긍정 텍스트 확률 : 76.76%"
"[ 뒷태도 이쁜슈퍼대디 기저귀 . 뒷면 밴드가 짱짱하면서도 탄력있게 아기 허리를 감싸주어서 아기도 편하게 움직이는 게 눈에 보인다. 부드럽기도 하공얼마 전에 기저귀가 떨어져서 그냥 흡수력 좋다는 밤기저귀를 팬티형으로 샀었는데], 긍정 텍스트 확률 : 58.60%"
"[슈퍼대디는 그런 점에서 완전 합격점이라 좋다], 긍정 텍스트 확률 : 62.91%"
"[ 꿍이 외할머니의 도움으로 귀여운 뒷태를 한 컷에 담을 수 있었다 ㅋㅋㅋ 뭔가 슈퍼대디의 엉덩이 모델 느낌을 내 보려 노력함 ㅋㅋㅋㅋㅋㅋ 성공인가 실패인가.슈돌에 나오는 윌벤져스], 긍정 텍스트 확률 : 61.60%"
"[윌리엄과 벤틀리가 슈퍼대디 모델인지라 더욱 더 궁금했던 밴드기저귀], 긍정 텍스트 확률 : 76.83%"
"[슈퍼대디. 사용해보니 생각보다 훨씬 좋은 점들이 많아서앞으로도 쭉 사용할 수 있을 것 같다. 슬림하면서도 통기성 좋고], 긍정 텍스트 확률 : 96.97%"
"[ .?기저귀추천기저귀추천], 긍정 텍스트 확률 : 87.93%"
"[ .?팬티기저귀추천팬티기저귀추천], 긍정 텍스트 확률 : 87.93%"
"[.?슈퍼대디리얼슬림슈퍼대디리얼슬림 기저귀는 .?슈퍼맨이돌아왔다슈퍼맨이돌아왔다.?벤틀리기저귀벤틀리기저귀 로 유명하죠눈여겨보고 있었더랬죠 ㅎㅎ아빠를 닮아 땀이 엄청 많은 아들내미 때문에기저귀는 무조건 슬림형으로 입히고 있거든요ㅎ겨울이든], 긍정 텍스트 확률 : 94.44%"
"[ 리얼 슬림 라인은 팬티형만 있어요활동량이 많아지는 시기부터 입힐 수 있을 거 같아요저희 호야는 개월인데아직 배변 훈련이 안 돼서 기저귀 차요 ㅎ또래보다 작아서 특대형이면 충분하고요 ㅎ입혀보니 딱 맞네요 ], 긍정 텍스트 확률 : 94.95%"
"[.?슈퍼대디리얼슬림팬티기저귀슈퍼대디리얼슬림팬티기저귀가장 좋았던 건정말 엄청 슬림하다는 거예요. ], 긍정 텍스트 확률 : 63.20%"
"[오른쪽 사진이 뒷모습이에요사실 기존에 쓰던 게 뻣뻣하진 않지만부드럽지도 않았거든요그런데 이 건 정말 순면 감촉처럼 부드러워요리얼 소프트의 기술력을 그대로 가져와서 엉덩이가 닿는 패드뿐 아니라레그 밴딩과 팔이 스치는 겉면까지 부드럽게 만들었다고 해요 ], 긍정 텍스트 확률 : 56.63%"
"[ 한창 활동량이 많아지는 아기들에게 좋을 것 같아요슬림해서 넉넉하게 가지고 다니기 편하고요 .?슬림기저귀추천슬림기저귀추천 ], 긍정 텍스트 확률 : 58.22%"
"[ 슈퍼대디리얼슬림 기저귀는 활동량이 많은 아기들에 맞춰 설계된 것 같아요그 시기 아기들은 한창 소변량도 많아지는 시기잖아요저희 호야는 한시도 가만히 있지 않거든요 ㅎ계속 왔다 갔다 올라갔다 내려갔다 ㅎ ], 긍정 텍스트 확률 : 62.21%"
"[ 바로 뜯어서 흡수력을 체크해 봤어요그래봤자 손에 얼마나 묻어나는지 보는 정도지만사실은 그게 가장 중요한 것 같아요.얼마나 빠르게 흡수하는지.흡수 속도가 늦으면기저귀 발진 등이 생길 수 있으니까요오오 해보니 바로 흡수되네요묻어 나는 게 없네요소변량에 따라 다를 수 있겠지만요 ㅎ저희 아들 소변량은 적지 않아요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.58%"
"[ 마지막으로 뒤처리는 돌돌돌 말아서 쓰레기통에 톡 ], 긍정 텍스트 확률 : 61.15%"
"[저희 아들처럼 땀 많은 아기에게는 사계절용으로 좋은 것 같아요 ], 긍정 텍스트 확률 : 81.71%"
"[오늘은 요즘 우리 봉봉이가 사용하고 있는슈퍼대디 매직슬림 밴드기저귀포스팅이에요슈퍼대디 기저귀는 사실 산모교실 다니면서샘플로 몇개 받아 사용해봤는데], 긍정 텍스트 확률 : 94.86%"
"[알고보니윌리엄벤틀리기저귀 로 유명하더라구요 ], 긍정 텍스트 확률 : 65.86%"
"[ 주변맘들도 슈퍼대디기저귀추천많이들하시더라구요얇은데 흡수 잘되서 넘 좋다구요그래서 우리 봉봉이도 사용해봤는데요봉봉이는 지금 대라서중형을 사용했어요 ], 긍정 텍스트 확률 : 99.22%"
"[ 중형은 한팩에 개씩들어 있는데요박 일 여행갈때 그냥 이거 한팩 들고가면딱이겠더라구요 손잡이도 있구 ], 긍정 텍스트 확률 : 78.32%"
"[ 앞면 윗쪽에는 이라고 사이즈 표시가 되어있구요 가운데는노란색 소변줄 이 있어요소변줄은 소변을 보면 색이 노란색에서 파란색으로 바뀌는데요 이따 우리 봉봉이 기저귀 착용샷에서 색상 바뀐 기저귀 소변줄 보여드릴께요 ], 긍정 텍스트 확률 : 69.43%"
"[ 본격적으로 슈퍼대디 기저귀 파해쳐보기안쪽은 이렇게 하얗게엠보 에어젯 패드 로올록볼록한 엠보 사이로 바람이 통하는 구조로아기가 소변을 본 뒤에도 습하지 않을 것 같아요얇은데통기성까지 좋네요굿 ], 긍정 텍스트 확률 : 50.08%"
"[ 그리고파워흡수 매직홀 로 많은 양의 소변도축축함을 느끼지 않게 빠르게 흡수해준다고하니이보다 더 좋을 수 있을까요? ], 긍정 텍스트 확률 : 88.76%"
"[ 날개부분 접착면도 고정이 잘되요 ], 긍정 텍스트 확률 : 54.97%"
"[ 정말 슬림한 슈퍼대디 매직슬림 밴드기저귀겹을 겹쳐서 눌러봤는데요 엄마가 느끼는체감 두께가 다른기저귀는 슈퍼대디 매직슬림 기저귀의 .배에서 배정도 두께인것 같아요], 긍정 텍스트 확률 : 64.92%"
"[ 많은 샘플 기저귀를 사용해봤는데], 긍정 텍스트 확률 : 55.19%"
"[왜 슈퍼대디 기저귀추천 하는지 사용해보니 알 것 같아요 ], 긍정 텍스트 확률 : 66.71%"
"[ 우리 아드님 소세지 다리 등장정말 기저귀 착용시키면서 느낀 건데얇아서 엄마인 제가 더 좋았어요우리 봉봉이는 요즘 이렇게 뒤집기 시도하려고몸을 많이 움직이는데], 긍정 텍스트 확률 : 93.47%"
"[ 발을 잡으려는지 한시도 가만히 있지 않는우리 아드님 손과 다리 진짜 눕혀놓으면다리를 이렇게 들고 있는데], 긍정 텍스트 확률 : 83.41%"
"[새 기저귀 차서신이 난건지 계속 이러고 있더라는ㅋㅋㅋ ], 긍정 텍스트 확률 : 63.29%"
"[프로그램 속윌리엄벤틀리기저귀처럼 팬티형으로도 사용해봐야겠어요 아래 슈퍼대디 기저귀공식몰 사이트 링크 공유합니다], 긍정 텍스트 확률 : 50.91%"
"[여자아이를 둘 키우는 엄마다 보니 피부에 닿는 모든 것의 촉감에 민감해지더군요. 몸에 닿는 옷], 긍정 텍스트 확률 : 87.96%"
"[심지어 로션 제형까지도 아이들 피부가 조금이라도 민감하게 반응하는지를 유심히 보는 편입니다. 저희 아이는 피부가 매우 예민한 아이거든요..그래서 평소에 무딘 제 남편까지도 아이 용품에 대해서는 이게 부드럽구나 아니구나라고 얘기할 정도로 민감하게 반응한답니다 ㅎ이번에 새로 만난 기저귀는 아주 부드럽다고 이거 뭐야?라고 되묻는 우리 남편님을 보면서 나만 느끼는 게 아니었구나 싶었습니다.아이들도 편안해 하고 남편도 부드럽다고 놀랐던 기저귀에 대해서 알려드릴게요. ], 긍정 텍스트 확률 : 54.54%"
"[ 요즘 관심 많은 하마가 그려져있다고 계속 요리보고 조리보고 너무 즐거워하는 우리 집 콩순이 입니다.기저귀에 예쁜 그림이 그려져 있어야만 입겠다고 고집하는 아이라서 기저귀 디자인이 매우 중요해졌습니다 ㅠㅠ슈퍼대디 팬티기저귀에는 모든 기저귀에 하마가 그려져 있어요. ], 긍정 텍스트 확률 : 99.96%"
"[ 아이들이 팬티기저귀를 입는 나이가 되면 활동량이 커질 때 일 거예요. 엄청나게 뒤집는다든지 아니면 마구 뛰어다니고 뒹굴뒹굴하던지요. 개월 아기는 말을 할 줄 알기 때문에 기저귀가 불편하면 자꾸 만지면서 불편하다고 한답니다.그럼 제가 보면 허리가 빨개져 있다거나 허벅지 부분이 빨개져있더라고요.그래서 팬티기저귀를 살 때는 늘 허리밴드와 허벅지 라인을 보게 돼요. ], 긍정 텍스트 확률 : 69.29%"
"[ 슈퍼대디 리얼소프트 팬티 기저귀는 신기술 초음파 가공 방식으로 플랫 허리 밴딩을 만들었대요. 말이 좀 어렵지만제가 만져 봤을 때 부드러우면서도 잘 늘어나서 아이들이 여러 방면으로 움직여도 잘 잡아주고 불편하지 않게 해주더라고요. 그래서 이 기저귀를 입으면 아이가 편안해 하더군요. ], 긍정 텍스트 확률 : 94.37%"
"[ 라지와 엑스라지의 차이는 이 정도입니다.아래 초록색이 라지고 보라색이 엑스라지에요.지금 킬로 아기와 킬로 아기가 엑스라지를 함께 써도 아무 문제가 없었어요. ], 긍정 텍스트 확률 : 92.98%"
"[ 사이즈는 위로 새면 기저귀가 작은 거고 옆으로 새면 기저귀가 큰 거라고 하더군요.아이 배의 통통함과 허벅지가 통통함을 잘 보고 결정하시면 돼요. ], 긍정 텍스트 확률 : 81.79%"
"[ 제가 선택한 슈퍼대디 리얼 소프트 팬티 기저귀는 어떤 한 면만 부드러운 게 아니라 전체적으로 부드러워요.아기의 신체와 움직임에 최적 설계가 됐다는 리얼 소프트 시스템이 피부에 닿는 모든 면을 부드럽게 감싸준대요.이게 제일 만족하는 부분이에요. 우리 아이가 사용하는 건데 좋은 거 써야 하는 거잖아요.시간이 흐르면서 자꾸자꾸 더 좋은 제품이 나오네요시간 하고 있는 건데 좋은 제품만 사용해주자고요 ], 긍정 텍스트 확률 : 68.03%"
"[ 제가 사용하는 이 제품은요], 긍정 텍스트 확률 : 86.08%"
"[ .?기저귀추천기저귀추천], 긍정 텍스트 확률 : 87.93%"
"[슈퍼대디 물티슈를 잘 쓰고 있는데], 긍정 텍스트 확률 : 51.36%"
"[이번에슈퍼대디 리얼소프트가출시 되었네요 슈퍼대디 리얼소프트는 년 동안 준비한 제품으로 뛰어난 품질력을 자랑하는데요], 긍정 텍스트 확률 : 81.58%"
"[흡수력 그리고 부드러움 진짜프리미엄 기저귀 리얼소프트 를 사용해봤어요 ], 긍정 텍스트 확률 : 57.07%"
"[흡수력 정말 꼼꼼하게 따져보게 되는데요슈퍼대디 리얼소프트 밴드 기저귀만의 특별함], 긍정 텍스트 확률 : 85.70%"
"[✔리얼소프트 시스템아기의 신체와 움직임에 최적 설계된 기저귀로 엉덩이뿐만 아니라 피부에 닿는 모든 면을 부드럽게 감싸줘요 ✔슈퍼소닉 드라이 를 빠르게 흡수하고 보송보송함을 유지해요✔중 샘방지탄성이 좋게 늘어나고 줄어드는 샘 방지 가드가 이중으로 되어 있어 옆 샘 차단 뿐 아니라 튼튼한 허벅지에도 잘 맞게 설계되어 있어요 ✔소프트 매직테이프매직테이프 부분까지도 아이피부에 닿으니까부드럽고 섬세하게 만들어졌어요 ], 긍정 텍스트 확률 : 91.66%"
"[ 형광증백제 염소화페놀류 등 개 항목 모두 적합판정을 받아 안심하고 사용할 수 있구요피부 자극 테스트 완료], 긍정 텍스트 확률 : 84.07%"
"[매 주 자체 위생안전 검사를 시행하고 있어 믿음이 가요 ], 긍정 텍스트 확률 : 50.21%"
