"[ 브레이크는 요렇게 생겨서 발에 힘주지 않아도 가볍게 사용할 수 있구요], 긍정 텍스트 확률 : 89.83%"
"[ 가장 마음에 들었던 또 하나썬 쉐이드가 이만큼이나 내려와요 ], 긍정 텍스트 확률 : 91.36%"
"[ 뒷면에는 보이시는 지퍼의 포켓과큰 지퍼를 여시면 통풍이 잘 되도록 오픈이 됩니다 ], 긍정 텍스트 확률 : 59.18%"
"[ 폴딩 했을 때의 모습입니다. ], 긍정 텍스트 확률 : 86.41%"
"[ .유모차 구입하면서 추가로 구입한 가방걸이와 방풍커버도 함께 배송되었당 .... ], 긍정 텍스트 확률 : 67.95%"
"[ .위사진과 같이 처음엔 폴딩 레버가 부드럽지 못할 수 있다고 되어 있었지만 이게 왠걸 너무나 부드럽게 폴딩이 잘되는걸 우왕 굳.ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.42%"
"[ ...폴딩된 모습 스스로 서있는 것도 가능 .쓰러지지 않고 잘 서있당 ㅋㅋㅋㅋ 어디 가서 접어놔야 하는경우가 많을텐데 아주 특 장점ㅋ.그리고 옆에 사진은 차양막을 내린 모습 아가가 햇빛을.완벽하게 차단할 수 있당 .특히 유모차에서 낮잠 잘때 너무나 좋당ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.91%"
"[ .....아기가 잘 있나 확인할 수 있도록 아래와 같이 잘 뚫려 있당 자다가 깬 아가와 눈 마주치면 화들짝 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 73.76%"
"[ .......같이 오는 컵걸이도 디게 쎄련되고 큼찍해서 좋당.와이업 올뉴지니 맘에 든당❤️👏🏻👏🏻 ], 긍정 텍스트 확률 : 96.29%"
"[ .....아기가 앉는 등받이 뒤쪽에도 짐을 싣을 수 있어서 좋당 ], 긍정 텍스트 확률 : 89.66%"
"[ .....잠금과 풀림 장치가 간단하게 잘 구분되어 있어서 좋았다 ], 긍정 텍스트 확률 : 86.51%"
"[ .....유모차걸이도 와이업 로고와 함께 심플하고 괜찮다😁 ], 긍정 텍스트 확률 : 95.90%"
"[ ...뒤쪽 포켓도 있어서 간단히 동네 나갈때 가방 없이 수납할 수 있어서 매우 좋다👍🏻👍🏻 ], 긍정 텍스트 확률 : 94.46%"
"[ ...점식 벨트라서 더더 안전하고 맘에 들었당ㅎㅎ ], 긍정 텍스트 확률 : 92.48%"
"[ ....이제 건튼이 첫 탑승 ㅋㅋㅋㅋㅋ 꽃미소 맘껏 보여주는 우리 건튼이 보소 ㅋㅋㅋㅋㅋ 아주 맘에 드는 눈치다 ], 긍정 텍스트 확률 : 76.72%"
"[ ....바가 일단 안정감 있고 아가도 좋아하는 것 같다 다리.올리시기도 좋고 가죽이라 차갑지도 않고 .그리고 도부터 아예 누울 수 있는 다양한 각도 조절.잠들었을때 아예 눕힐 수 있는것 넘나 좋앗당ㅎㅎ ], 긍정 텍스트 확률 : 99.84%"
"[ .엄마랑 멋지게 사진도 찍었당ㅋㅋㅋㅋㅋ✌🏻 ], 긍정 텍스트 확률 : 88.45%"
"[ .에코랜드에서도 열심히 타고다닌 유모차 ㅋㅋㅋㅋㅋ.에코랜드가 그렇게 넓은줄 몰랐다 ㅋㅋㅋㅋㅋ.유모차 안가져갔으면 죽었을거야 ㅜㅜㅋㅋㅋㅋㅋ.. ], 긍정 텍스트 확률 : 66.11%"
"[ .사려니 숲길도 거뜬히 잘 다닌 .와이업올뉴지니 휴대용유모차 .....제주도 다녀오고나서도 요즘 문센갈때도 더 애용하게 되는 편리함ㅋㅋㅋㅋㅋㅋ ..혹시 와이업올뉴지니 살까말까 고민하시는 분 있다면.강추하고싶다 .가격대비 진짜 기능 디자인 뭐하나 빠지지 않는다], 긍정 텍스트 확률 : 69.09%"
"[ 저는 오프라인 매장에서 직접 끌어보고 구매하였어요.저도 직접 끌어보고 아가도 타보았는데.저희 아가는 바를 좋아하더라고요.몇몇 아들맘들은 바가 남아의 소중한 부분을압박한다해서 꺼려한다는데 전 기저귀가 완충역할을한다고 개인적인 생각이 들어요.저희 꿈이는 와이업 올뉴지니를 태우니 바를 잡고더 태워다라고 흔들흔들 하더라고요.근래에 들어서는 엄마품에 안겨있는 걸 더 좋아해요.개월이 엄마껌딱지가 심어지는 시기라는데..그것 때문인것 같기도 하고요...ㅜㅜ와이업은 차양이 그래도 풀차양에 속한다고 해요다음에 집에 있는 리안 디럭스 제품과 비교컷도 찍어봐야겠어요.. ], 긍정 텍스트 확률 : 62.02%"
"[ 왼쪽이 가장 많이 올렸을 때오른쪽이 가장 많이 내렸을 때요요였나 타보였나 아무튼 그 제품은발 거치대를 정품엔 안나오고 사재로 구매하여별도로 부착해야한다해서 발거치대가 나중에 필요없으려나??라고 생각했는데.저는 아직도 기차나 우등고속버스에 있는 발거치대가좋아요♡ 제 취향대로 발거치대 있는 것으로그리고 거치대가 있는 것이 아기가 앞으로 쏠림을더 방지해줄 것 같다는 생각도 들고], 긍정 텍스트 확률 : 92.25%"
"[ 아기가 앉아 있으면 저는 아직 찾기가 힘들어요 ], 긍정 텍스트 확률 : 51.53%"
"[ 폴딩할 때는 작은 거 누르고], 긍정 텍스트 확률 : 51.64%"
"[큰 버튼 누르고총 개의 버튼을 누르면 폴딩이 가능해요.다른 경량형 유모차 대부분 그렇더라고요. 처음에는 어려웠는데 익숙해지니 좀 쉽더라고요. ], 긍정 텍스트 확률 : 56.12%"
"[잠들면 살짝 눕혀주는 용도..그리고 아기안타고 짐실을 때..이 때 말고는 특별히 각도조절을 하지 않아레버식이 편하다고 생각해요. ], 긍정 텍스트 확률 : 83.02%"
"[ 머리 윗쪽에 가벼운 짐을살짝쿵 놓을 수 있어서유모차정리함이 필요없겠더라고요.디럭스는 이런 공간이 없어서 유모차정리함이 필수였어요.그물처럼 비치도록 할 수도 있고], 긍정 텍스트 확률 : 78.21%"
"[비치지 않도록도 가능해요.여름에는 저렇게 하면 되지만], 긍정 텍스트 확률 : 54.25%"
"[ 뒷부분을 막은 모습인데], 긍정 텍스트 확률 : 55.88%"
"[ 차양을 최대한 내렸을 때], 긍정 텍스트 확률 : 58.67%"
"[ 가장 중요한 것은 역시 무게..와이업 올뉴지니는 . 으로 가벼운 편이예요.리안 디럭스는 .이였던터라 훨가볍다고느껴지더라고요. 신생아때는 다행이지만], 긍정 텍스트 확률 : 62.90%"
"[ 컬러는 가지인데 저는 소프트블랙으로 선택했어요.우리가 흔히아는 차콜보다는 어두운컬러예요. ], 긍정 텍스트 확률 : 79.10%"
"[ 하이포지션으로 다른 유모차보다 시트가 높아요.그래서엄마가 허리를 덜 굽혀도 된다는 장점 이 있어요저는 와이업도 사실 시트가 높다는 느낌이 안드는데이것보다 시트가 낮다면 아마 사용하기 더 힘들지않았을까하는 생각이 들어요 ], 긍정 텍스트 확률 : 56.55%"
"[ 요즘 차타기를 싫어하는 울애기..내일은 카시트를 앞보기로 바꿔야겠어요..ㅜㅜ차에서 울어서 눈물이 그렁그렁.. ], 긍정 텍스트 확률 : 96.94%"
"[우리 댕이의 첫 유모차는리안솔로 절충형 유모차였더랬다.워낙 잘돌아다니는 엄마덕에ㅋㅋㅋ약 년만에 만키로 넘게 탄 자동차 느낌.뽕을 이미 뽑을만큼 뽑은 늬낌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그만큼 없어서는 안될 최애템이었더랬다.그러다 어느날 부터 문제발생..여행가거나 명절 할머니댁 방문할 때가볍게 들고 갈 수 가 없다는 점...시트 따로 몸체 따로 접어서 트렁크에 넣게 되면트렁크가 꽉 차버려서], 긍정 텍스트 확률 : 64.08%"
"[ 탄탄한 가죽핸들그립감 좋구요 ], 긍정 텍스트 확률 : 99.38%"
"[ 댕이가 사용하는 용품은무조건 한달 폭풍검색이 붙는군...어쨋든 이번 구입도 성공적제돈으로 구입한 실제 구입 및 이용 후기입니다.흐흐흐흐 식판 사은품 신청하러 가야지 ], 긍정 텍스트 확률 : 88.16%"
"[ . 높이가 높다.이건 부모도 그렇고 아기도 그렇고 높은게 편할것 같더라구요. ], 긍정 텍스트 확률 : 56.47%"
"[ . 바가 있다. 아기들이 좀 크면 바 잡고 다니는걸 좋아한다고도 하고 왠지 바가 더 안전해보이더라구요. 아무리 벨트 해도 미끄러져 내려오거나 앞으로 확 쏠리는걸 막아줄수 있을것 같아서요 ㅋ. 등받이 조절을 레버로 한다. 저도 사용해본건 아닌데 후기들 찾아보니 등받이 조절을 벨트?끈?으로 하는게 생각보다 불편하다더라구요. 꼭 양손을 이용해야 해서요. 실제로 와이업 올뉴지니 사용해보니 레버는 한손으로도 가볍게 조절할수 있어서 편해요 ], 긍정 텍스트 확률 : 87.92%"
"[접는버튼이 있는 손잡이], 긍정 텍스트 확률 : 58.25%"
"[발걸이?는 이렇답니다. ], 긍정 텍스트 확률 : 52.32%"
"[ .요렇게 딱 팩 되어 있다 ], 긍정 텍스트 확률 : 61.45%"
"[ .부품 챙겨서 조립 도와주는 우리 효자님 ㅋㅋㅋ ], 긍정 텍스트 확률 : 67.07%"
"[ .바퀴 두 개 쓱 끼우고 .설명서대로 쓱 펼쳤더니 완성..우와......이것은.... 큰 디럭스 유모차만 쓰던 나에게는 ....완전 신세계 되신다 ㅋㅋㅋㅋㅋ..울 꽁냥이 태워놨더니 ㅋㅋ.티 바 잡고 씐났다 ㅋㅋㅋㅋㅋㅋ.나는 저 옆에 컵 홀더 있는게 넘나 맘에 들고😍.더 맘에 드는 건 .아래부분 넉넉한 장바구니 부분과😘.센스있게 지퍼로 되어있는.핸드폰과 카드지갑 넣을 수 있는 부분.👍👍👍👍👍👍👍👍👍.이건 정말 엄마의 마음으로 만들었다.엄지척 ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 83.48%"
"[ .머리 위 등 부분에도 약간 수납 가능하여.절충형인데 수납공간 가득..요놈 타고 소아과도 가고.하아... 울 꽁냥이 열감기중이염으로.돌 지나자마자 고생고생 개고생을... 일에 번 씩.강제 소아과 나들이 하고 계시다 ㅜㅜ ], 긍정 텍스트 확률 : 93.00%"
"[ .문센도 가고 ㅋㅋㅋㅋㅋ.엄마랑 이모들 만나러 마실도 가고😘..경차인 꽁냥애비차에도 턱 하고 접어서.탁 하고 쉽게 넣을 수 있어서.넘나 좋으다 좋아 ], 긍정 텍스트 확률 : 88.28%"
"[ 뒷바퀴만 분리되어 오고 나머지는 다 조립되어 온다뒷바퀴도 끼워주기만 하면 바로 탑승가능가볍다 잘나간다냄새가 좀 나긴하지만 새뺑이자나 ㅠㅠㅠㅠ우리애기도 드뎌 새뺑 유모차 탄다엄마가 스토케는 못태워줬지만 통장에 모아줬잖니??나중에 쌍커풀 수술할때 보내줄께 내새끼 ], 긍정 텍스트 확률 : 89.56%"
"[.안녕하세요.서하맘이에요 ], 긍정 텍스트 확률 : 94.32%"
"[ . .?소프트블랙소프트블랙 이 제일 무난하고 마음에 들더라구요.오프라인 매장에서 현금가에 구매했는데.소프트블랙은 대기가 길더라구요.일 정도 기다려서 드디어 유모차를 받았어요. ], 긍정 텍스트 확률 : 84.17%"
"[ .유모차 받은 날 바로 나들이 나갔어요.근데 핸들링이 진짜 너무 좋더라구요.또 바구니도 엄청 넓어서 장볼때에도 따로.장바구니 필요없을 정도라니깐요..장보러갔을때 진짜 유모차에 다 싣었어요ㅋ.아이도 좋아하는 와이업지니 유모차.강추합니다..요즘 또 세일하더라구요. ], 긍정 텍스트 확률 : 99.94%"
"[ ..관심있으신 맘님들 유모차 스펙도 확인하셔요. ], 긍정 텍스트 확률 : 85.08%"
"[ 브레이크 도 굿뜨 ], 긍정 텍스트 확률 : 95.06%"
"[ 집에잇던 유모차라이너를 깔앗어요유모차라이너는 보니숑제품이구요 .?유모차라이너유모차라이너 .?보니숑보니숑 .?짱구베게짱구베게 ], 긍정 텍스트 확률 : 56.80%"
"[ 쎄컨카 생긴 기념으로다가잘자고 잇던아들강제승차 시켜보기 ㅋㅋㅋㅋㅋ각도도 단계로 조절이 가능해요상판이 높은 편이라 기저귀 갈기도 편하구요앞에 바는 접으면 접혀요바를 식판대로 교체도 가능하구요], 긍정 텍스트 확률 : 70.37%"
"[ 접는법도 간단해서유모차 손잡이쪽에 있는 버클하나 누르면금새 접힌답니다어깨에 둘러메는 끈이있어서제어깨에도 걸쳐지구요 가벼워요 카시트와 휴대용유모차와 함께라면외출준비 끄읕아들아 엄마랑둘이일단 마트라도 다녀보자 ㅋㅋㅋ ], 긍정 텍스트 확률 : 89.91%"
"[유모차가방 그리고 식판까지식판 저거저거 요물ㅎㅎ ], 긍정 텍스트 확률 : 73.43%"
"[ 짜자잔한번에 펴지는 기술ㅎ유식한 말로 원폴딩ㅋㅋ ], 긍정 텍스트 확률 : 93.84%"
"[ 최대한 눕혀보고 풀차양막까지아기가 윰차서 잘때 저게 가장 필요한데차양막이 넓고 끝까지 펴줘서 땡큐그리고 움직임이 많은 아가들에게옆 부분이 막혀 있어서안전성에도 으뜸 ], 긍정 텍스트 확률 : 72.53%"
"[ 장바구니는 펼치면 충분한 공간이 생김 ], 긍정 텍스트 확률 : 68.06%"
"[ 그리고 차양막휴대용 유모차임에도 불구하고 와이업 올뉴지니의 차양막은 끝까지 내려온다.유모차타면 딥슬립하는 우리아이에게 역시 꼭 필요한 부분이다. ], 긍정 텍스트 확률 : 98.14%"
"[ 그리고 무엇보다 휴대용 유모차다운 컴팩트한 사이즈와이업 올뉴지니는 기내반입이 가능한 기내반입 유모차다.폴딩 후 바로 끌수도 있고], 긍정 텍스트 확률 : 96.72%"
"[어깨끈으로 멜수도 있다.여행 좋아하는 우리 가족에게이런 세심함은 꼭 필요한 부분 ], 긍정 텍스트 확률 : 98.00%"
"[ 총평은 섬세하고 섬세하다. 참 잘 만들었다. 사장님감사합니다.], 긍정 텍스트 확률 : 89.21%"
"[ ...아이가 유모차를 타는것도 좋아하지만 요즘 유모차를 끄는 재미에 들렸는데 한손으로 살짝 잡아당겨도 부드럽게 끌릴만큼 부드럽네요 . ], 긍정 텍스트 확률 : 78.93%"
"[ .과연 어느게 나을까 하던 중에.맘카페에 물어보았어요...맘카페분들이 장단점을 잘 알려 주실것 같아서 올렸더니.와이업 올뉴지니 휴대용 유모차를 가장 많이 추천 해주셨어요. ..맘님들 글 적어주신 소중한 시간.이 자리를 빌어 감사드립니다.. ], 긍정 텍스트 확률 : 99.94%"
"[ 지퍼가 보이죠?? 이 부분을 열면 차양막이 저렇게 밑에까지 내려 와요. ], 긍정 텍스트 확률 : 56.89%"
"[ 지퍼를 열어서 차양막을 더 내리면 이렇게 내부를 볼수 있게 되어 있더라구요.이 부분으로 아이 상태 확인이 가능 하지만 빛이 들어와서 아이가 자는데 방해가 된다면 덮개로 덮어주면 되요 좌석으로 되어 있어서 덮개가 고정되게 되어 있어요.이런 부분은 정말 세심하게 잘 되어있다고 생각했어요. ], 긍정 텍스트 확률 : 98.90%"
"[.휴대용 유모차가 있는데 등받이 조절이 안되는 모델이라.다른 휴대용유모차로 알아보던 중에 .맘카페에서 핫딜로 뜬와이업 올뉴지니로 추천받아서.찾아보니 장점도 많고 가격도 괜찮아서 .고민할거 없이 바로 구매했어요 .다른 휴대용 유모차보다 와이업 올뉴지니가 .폴딩도 쉽고 등받이 조절도 쉬워서 더 자주 쓰네요.다만 폴딩할때 버튼이 아직까지는 좀 잘 안눌러지네요.몇번 하면 괜찮아 진다고 해서 더 써봐야할거 같네요.어쨌든와이업 올뉴지니 휴대용 유모차 추천합니다. 한달가량 사용해보니 버튼은 많이 부드러워졌구요등받이 각도가 제일 마음에 듭니다 잠들었을땐 완전히 눕히고 또 차양막도 완전히 내려와서아기가 푹 잠들수 있어서 더 좋아요그리구바가 있어서 안정감도 있고아기도 잡고 잘 놀아요다만 남자 아이라 나중에 커서 조금 좁다라는의견이 있던데 아직까지는 넉넉하구요 개월나중엔 바 를 내리고 태울까 생각중입니다결론은 최근들어서 구매한 제품중에제일 잘산거 같아서 좋습니다.제가 실제로 구매하고 쓰는 후기 입니다. ], 긍정 텍스트 확률 : 99.52%"
"[맘카페], 긍정 텍스트 확률 : 73.88%"
"[각종 를 검색했습니다. 다른 브랜드 하나와 와이업올뉴지니가 제가 원하는 조건들에 맞아서 마지막까지 고민하다가 와이업올뉴지니 휴대용유모차를 구매했습니다. 박스를 뜯고 꺼내는데 세상에나...유모차가 이렇게 가벼운 것이었나요.], 긍정 텍스트 확률 : 61.79%"
"[ 휴대용 유모차치고는 약간 무겁다고 하시는 분들도 있는데 저는 약간 오버해서 깃털같이 느껴져요ㅋㅋㅋ우리 아기 유모차 싫어하는데 집에서 태우고 티바 세운 후에 밀어줬더니 저에게 미소를 보여줬습니다. 너무나 잘 샀다는 생각이 들고 기내반입 가능한 유모차니 이제 기내반입도 해보러 떠나야겠지요? 와이업올뉴지니 휴대용유모차 주변에도 마구마구 추천할 예정입니다. 살면서 쓴 리뷰중에 가장 길게 썼네요. 그만큼 너무 마음에 들어요 ], 긍정 텍스트 확률 : 99.57%"
"[ ...인터넷 검색중 좋은평도 많고], 긍정 텍스트 확률 : 96.09%"
"[ .생각보다 너무 잘 앉아있어서 진작살껄 싶고?.후기에서 본것처럼 진짜 티바좋아하네? ], 긍정 텍스트 확률 : 74.09%"
"[ .티바간격좁나? 싶긴한데.통통아기면 고민했겠지만 봄이는충분.휴대용유모차답게 가볍고.남편도 핸들링좋다고 난리ㅎㅎ.폴딩이 초반이라 좀 뻑뻑하긴한데.번정도하면 괜찮아진다고 적혀있네 ], 긍정 텍스트 확률 : 69.60%"
"[쌍둥이 유모차원래 지인으로부터 얻은 일체형 쌍둥이 유모차가 있었지만 복도식 아파트에 살다보니 현관에서 아이를 태우고 밖으로 나갈때 공간이 여의치않아 유모차를 먼저 복도로 꺼내고 아이를 태웠어야했다. 백일남짓한 아이를], 긍정 텍스트 확률 : 72.87%"
"[돌이 지나고 나니 디럭스 유모차 거부가 심해져서 휴대용 유모차를 찾아보다 와이업 올뉴지니 알게 되었네요.바 있으면 좋아할거 같아서 구매 고고 ], 긍정 텍스트 확률 : 97.99%"
"[ 다행히 완전 좋아하네요기념으로 와이업 올뉴지니 타고 지하주차장 한바퀴 하고 왔어요 ], 긍정 텍스트 확률 : 70.33%"
"[.여러가지 휴대용 유모차 중에 고민하다가 .실물로 보고 바로 와이업 올뉴지니로 결정했어요.디자인도 세련됐고많이들 하시는 요는 생각보다 디자인이... 별로였어요 개취.무엇보다 등받이 각도를 많이 올릴 수 있어서 아기가 너무 좋아해요 .기내반입 유모차 인 부분도 너무 맘에 들고 물론 비행기 기종마다 조금씩 다르겠지만.스스로 서있는 스탱딩도 잘 되는 것도 장점이에요 스탠딩시 천이 쓸릴 수 있으니 커버 들고 다니다가 커버로 싸주려구요.아기가 유모차 거부 안하는게 최고에요진짜 ㅠ ㅠ.휴대용 유모차는 가볍고 폴딩 언폴딩이 편한게 최고인데 그런 것도 거슬리는 부분 없이 마음에 들고 처음 사용시 뻑뻑하다고 하는데 저는 뽑기 운이 좋은지 잘 못 느꼈어요.그리고 다른 휴대용 유모차에 비해서 장바구니 랑 유모차 사이가 높아서 강아지도 태울 수 있어서.개모차도 돼요], 긍정 텍스트 확률 : 100.00%"
"[진짜 완벽], 긍정 텍스트 확률 : 54.06%"
"[.핸들링도 생각보다 만족스럽구요.와이업 올뉴지니로 나오면서 티바랑 아기 앉는부분이 좁아졌다는데 아직 아기가 어리기도 하고 아기가 마른 여자아기라서 전혀 부담없이 태울 수 있고 티바도 눕혀서 태울 수 있어서 앉히고 뺄 때 너무 편해요 .와이업 올뉴지니는 가성비 최고가 아니라 그냥 최고의 휴대용 유모차에요], 긍정 텍스트 확률 : 99.84%"
"[ 제 기준 왜냐면 ], 긍정 텍스트 확률 : 57.16%"
"[아기가 유모차 거부를 안 하니까요 식판 사세요 꼭 사세요 조금 부실해보여도 아기가 정말 사랑해요 식판 . .?아기랑개랑아기랑개랑.?개모차개모차.?휴대용유모차휴대용유모차.?와이업올뉴지니와이업올뉴지니.?기내반입유모차기내반입유모차.?개도타는유모차개도타는유모차.?아기랑개랑함께사는집아기랑개랑함께사는집 ], 긍정 텍스트 확률 : 93.82%"
"[ ..준명이가 태어나서부터 줄곧 써오던 절충형 유모차가 있어 유모차 살 생각은 하지 않았는데어린이집 엄마들이 다 휴대용유모차를 끌고다니는거보니.. 사고싶은 마음이 굴뚝.. 그중 와이업올뉴지니가 많았다 한번 끌어보니 가볍고 디자인도 마음에 들었는데 마침 현대몰에서 핫딜이 뙇바로 구매ㄱㄱ 배송일이 지정되어있어서 날짜를 알고 기다리다 받아서 좋았다우선 가벼워야하고 택시나 버스등에 들고타도 부담없는 휴대용유모차를 원했다와이업 올뉴지니는 원래쓰던 절충형유모차에 비해 들고다니기에도 부담없고 엘리베이터가 없는 우리집계단에서도 내리고 올리기 편했다폴딩도 상당히 간편하고 우선 짐칸에 많이 실을수있어서 좋았음ㅎㅎ.. ], 긍정 텍스트 확률 : 76.30%"
"[ ..기내반입도 가능해서 나중에 여행갈땐 꼭꼭 가져가야겠음준명이는 이제 개월이라 좀늦게 휴대용유모차를 구매한편이지만사용해보니 늦었다 생각이 들지않는다 더일찍살걸 하는 후회는있음..그동안 쓰던 절충형이 너무 무거웠기때문 ㅠㅠ암튼 바로 되어있어서 준명이도 매우좋아하고 매일 빠방타자며 졸라댄다ㅎㅎ.. ], 긍정 텍스트 확률 : 61.79%"
"[ ..유모차 놀공간이 없었는데 접었을때 사이즈가 작아서 좁은 세탁실에 쏙 들어간다매우 맘에듬ㅎㅎ ], 긍정 텍스트 확률 : 73.95%"
"[ 내리지도 않고 엄청 좋아해요ㅎㅎㅎ디럭스보다 더 좋은가봐요.낮잠도 와이업 올 뉴지니 휴대용유모차에서 자네요ㅎㅎㅎ좀더 따뜻할때 외출하려고 했는데], 긍정 텍스트 확률 : 99.20%"
"[.육아용품 살때마다 고민의 연속...키로가 넘는 울 아가 덕분에.갤차에.?휴대용유모차휴대용유모차 를 알아봤어요. .?와이업올뉴지니와이업올뉴지니.와 박빙을 다투는 타 제품과 고민고민.또 요요도 생각했지만 요요는 넘 비싸구요.이미 스토케트립트랩 질럿...ㅠ..월에 예정된 해외여행도 있었기에.어차피 살꺼 빨리사자는 마음도 있었어요 ㅎ..그러다가 유튜브에서 본.?휴대용유모차휴대용유모차..?기내반입유모차기내반입유모차 리뷰 영상.이거 본뒤로.맘속에. .?와이업올뉴지니와이업올뉴지니 로 결정..근디 타보에서 신제품이 나옴ㅋㅋㅋ.아놔 또 고민....결국은 지니로 결정했어요..그럼 후기 올려볼게요. ], 긍정 텍스트 확률 : 86.79%"
"[ .아시죠 아기들 갤쯤 되면.눕기싫어하고 앉으려고 하는...거의 도?? 가깝게.앉을수있어요.등받이 각도 조절하는게 쉬워서.요걸로 구입한 이유도 있어요.끈으로 하는건 번거로울거 같고.또 안쪽에 있으면 귀찮기도 할거같아.. ], 긍정 텍스트 확률 : 89.70%"
"[ .와이업올뉴지니.핫딜이떳어요ㅋㅋㅋㅋㅋ..그래서 지름지름..현재 판매되는.와이업올뉴지니는 버전이라서.그것도고민했습니다.와이업올뉴지니를사자.라고ㅋㅋㅋ.그렇지만], 긍정 텍스트 확률 : 54.21%"
"[ ..개봉하자마자.너무 아름답게 박스속에 포장된 요녀석ㅎㅎㅎ.울아가의 안전을 부탁행❤. ], 긍정 텍스트 확률 : 95.95%"
"[ ..주의사항이라고해야할까요?.사실 디럭스유모차좋지만.전], 긍정 텍스트 확률 : 95.33%"
"[ .와이업올뉴지니는 사랑입니다 ..빨리.밖으로.태워서놀러가고픈 심정..춥다 애미야🥰.. ], 긍정 텍스트 확률 : 77.30%"
"[.우리 설이가 태어난지 어느새 년...돌이 지나고나니 무게가 장난이 아니다..절충형 유모차로도 감당이 안되어 휴대용유모차를 알아보게 되었다..타×], 긍정 텍스트 확률 : 83.73%"
"[등등.수많은 후기의 휴대용 유모차들 중...맘카페에서 항상 댓글이 개이상 달리는 .와이업지니를 알게 되었다..이번에 업그레이드 되었다는 와이업올뉴지니.항상 눈여겨보고 있던 찰나에 핫딜로 득템 ], 긍정 텍스트 확률 : 98.47%"
"[ 차양막이 길어서 진짜 해가 충분히 가려지고 핸들링이 진짜 예술..맘카페에서 왜그리들 극찬했는지 알겠더라능...휴대용유모차라 그런지 접고펴기도 너무너무 쉽다♡진작 살걸ㅋ왜 이제산거니ㅋ ], 긍정 텍스트 확률 : 97.59%"
"[ 처음 태운 휴대용유모차인데도 낯설어하지않고 너무 잘타고 있는 우리딸ㅎ기내용반입도 된다고하니나중에 여행갈때 꼭 가져가야겠다. ], 긍정 텍스트 확률 : 98.66%"
"[ 휴대용유모차 고민하는 맘님들 와이업올뉴지니 적극 추천해용♡ ], 긍정 텍스트 확률 : 83.11%"
"[일단제가들기에완전가벼운건아니지만무게가많이무겁지않아서좋아요경차를운전하는데트렁크에여유있게들어가요전에디럭스유모차실어놓으면문열자마자쓰러지는경우가허다해서🤦🏻♀️고생이었는데..운전해서마트를주로가는편인데휴대용유모차로짐이가벼워졌네요디자인도올블랙으로맘에들어요ㅎㅎ구성품을보면바가가죽소재로바뀌고위치가좀더안쪽으로이동했네요차양막지퍼를열면확장이되어완벽하게햇빛차단이된다는점이마음에들었어요등받이각도조절도완전눕히는것과도가까이앉게할수있어요아기가아직개월이라바로만해놓는게불안한데점식벨트라서안심할수있을거같아요조립하고서핸들링테스트해보니흔들림없이바퀴가부드럽게움직여요ㅎㅎ ], 긍정 텍스트 확률 : 86.38%"
"[다음달에 해외여행일정이있어서기내반입유모차가필요했는데수화물실을때크기도적당한것같아요 ], 긍정 텍스트 확률 : 53.74%"
"[유모차 가방걸이도 들어있네요👍🏻보관가방은없어서따로구매했는데같은패키지였음더좋았을거같아요유모차시트는집에있는것사용하려고세탁해놓는상태입니다ㅎㅎ혹시필요하면홈페이지에도구입가능하더라구요주변에서휴대용유모차고민중이라고하면와이업올뉴지니추천해줘야겠어요신제품 출시 이벤트로 후기 남기면 와이업올뉴지니 전용 방풍커버 증정하고 있어요 ], 긍정 텍스트 확률 : 96.97%"
"[그래서 휴대용 유모차를 찾아보다가 매장가서 몇가지 구경하고 타보와 와이업 유모차중 고민을 하다가 가격대비 사은품도 빵빵하고 발받침이 있다는점이 매력이라서 구매했다 ], 긍정 텍스트 확률 : 63.38%"
"[풀차양막이라서 너무 좋다 아들이 잠들면 햇볕에 보호해줄수 있어서 짱 좋다 지퍼를 열어줘서 단 풀차양막이 완성되는데 지금은 지퍼른 잠궈놓은 상태 ], 긍정 텍스트 확률 : 92.27%"
"[오늘 처음으로 저녁먹으러 외출하는데 와이업유모차에 아드님을 태웠다확실히 와이업지니유모차의 매력중 하나인 핸들링은 짱 좋음ㅋㅋ엄청 부드럽고 좋아좋아 ], 긍정 텍스트 확률 : 98.82%"
"[다시봐도 이쁜 가죽커버 핸들그리고 접을때는 한방에 되서 편하다 저기 가운데를 밀고 밑에 버튼을 함께 누르면서 밑으로 접으면 끝초 폴딩이 현실화된다ㅋㅋ ], 긍정 텍스트 확률 : 83.58%"
"[그리고 아이들이 티바를 좋아한다는데 정말 좋아한다자전거 타는 기분인지 꼭 잡고 잘 타주니 너무 좋다는아들 고맙다ㅋㅋㅋㅋ 돈주고 산 보람이 있구나 ], 긍정 텍스트 확률 : 99.77%"
"[폴대가 가볍게 느껴지긴 하지만 이게 휴대용유모차의 매력이니ㅋㅋ아쉬우면서도 당연한것ㅋ ], 긍정 텍스트 확률 : 94.27%"
"[고래가방등등 풍부하게 주니 따로 살게 없어서 좋다기내반입이 가능한 와이업지니 휴대용 유모차내년부터 여행가서 잘 사용해야지딥그레이 색상 강추♡♡♡♡♡♡♡♡♡♡♡ ], 긍정 텍스트 확률 : 61.41%"
