"[ 쌍둥이유모차 즉시할인역대가특가 엄선해 보았습니다 인기상품은 조기 품절되니 유의하시구요.특가 추천 상품중에 득템해 보세요 품 구매리뷰후기는 아래 링크로 들어가세요 ▼.. ], 긍정 텍스트 확률 : 78.15%"
"[개인적으로는 주차장이 넓은것도 마음에 들었데], 긍정 텍스트 확률 : 74.65%"
"[지하층은 거의 비어있더라구요. 지하층에도 자리가 많았지만 저는 여유롭게 한층 더 아래에 주차를 했답니다. 지난번에 여기 타워 왔다가 헤맸던 기억이 있는터라 위치를 전화로 여쭤봤는데 친절하게 알려주셨어요. 판매동쪽에 주차를 하시고 이라는 시그널을 따라위한 엘레베이터를 이용하시면 내리자마자 바로 찾으실 수 있으실꺼예요.일잔치는 가족들리 단촐하게 하기로 했는데 오랜만에 가족들 얼굴 볼 생각하니 기다지네요.], 긍정 텍스트 확률 : 98.84%"
"[육아용품출산용품이 필요하시다면 송도 베이러스에 한번 들러보세요. 다양한 제품들을 합리적인 가격에 구매할 수 있고 덤으로 자세한 후기까지 들을 수 있으니 실패 없이 만족스러운 제품을 선택하실 수 있을 것 같아요. ], 긍정 텍스트 확률 : 70.66%"
"[이웃님 피드를 보다가홈앤테이블데코페어 후기가 있어서 가야지 홈앤테이블데코페어 입장권이 만원 무료나눔하시는분을 찾아내어 금요일 오후시 만나서 표를 받아들고나눔은 사랑입니다일된 꼬미를 데리고 간거라일단 코엑스 유모차 대여실로 가서 윰차대여하고우리 꼬미 수유 빵빵하게 한 뒤에 입장 역시 모든 박람회], 긍정 텍스트 확률 : 82.32%"
"[ 색감이 넘나 신기했던 텀블러], 긍정 텍스트 확률 : 50.82%"
"[ 내가 구입해온크리스마스용 가랜더 오예 득템 예뻐서 크리스마스랑 눈결정 가랜더 두개 다 겟 ], 긍정 텍스트 확률 : 68.44%"
"[ 확실히 박람회라 그런가 생각보다 저렴했다 ], 긍정 텍스트 확률 : 59.22%"
"[ 코튼볼 자석 요것도 완전 아이디어 상품 넘 따스한게 동글동글 귀여운데 마그넷으로 변신하니냉장고에 붙이면 넘 이뿔거 같았다], 긍정 텍스트 확률 : 98.09%"
"[ 우리 꼬미가 좀 많이 크면 사줬을것 같은 토끼소파], 긍정 텍스트 확률 : 50.18%"
"[ 요즘 액자에 관심이 많아서액자도 많이 보고], 긍정 텍스트 확률 : 83.51%"
"[ 내가 아기가 없고열정이 넘쳤다면 아마 핸드메이드로공방가서 만들었을 우드스피커도예뿌다 요즘 참 다양하게 잘나온다], 긍정 텍스트 확률 : 77.88%"
"[ 요즘 핫한 이끼 인테리어 우리집에도 있는데], 긍정 텍스트 확률 : 96.32%"
"[ 색감이 너무 예뻐서베이비핑크를 담아보았는데 카메라가 현실을 왜곡함 ], 긍정 텍스트 확률 : 58.68%"
"[ 플레이팅도 담아보고 ], 긍정 텍스트 확률 : 60.14%"
"[ 중간에 휴대폰 충전도 할 수 있도휴식도 할 수 있는 공간이 마련되어 있어서꽤나 쾌적하게 관람이 가능했는데 주말에는 헬 예상..ㅎㄷㄷㄷ], 긍정 텍스트 확률 : 90.38%"
"[ 관람장 중앙에는 요런 쉼터가 있어서테이블과 의자가 있고 카페가 있으니밖에서 안먹고 안쪽에서 먹어도 됨 카페도 두곳이나 있고아메리카는 원 정도니까 비싸지 않음 ], 긍정 텍스트 확률 : 75.77%"
"[ 마지막으로 액자찍고 퇴장 시간 분동안 꼬미랑전시장 곳곳 다 구경을 했는데 보는 재미가 쏠쏠했던 홈앤테이블데코페어 내년에도 또 와야지 ㅋㅋ 애기보느냐고 사진은 발로 찍고중간에 찍고 싶었는데 못찍은 사진이 더 많다인테리어에 관심있는분들에겐 꽤나 재미있는 박람회일것이고소품을 저렴하게 겟 하는 재미가 쏠쏠하니홈앤테이블데코페어 관람 추천], 긍정 텍스트 확률 : 96.59%"
"[출구를 찾을 수 없는 매력을 뽐내는최강베페가 꽃피는 춘삼월 드디어 돌아왔다. ], 긍정 텍스트 확률 : 61.04%"
"[ 벡스코라 좋다. ], 긍정 텍스트 확률 : 85.62%"
"[ 입장 한시간전 상황 입소문은 인파를 타고이 열기 좀 보소 부산베페 이미 포텐 터졌다.육아용품에 모든것 부모라면 빠질 수 밖에 없는부울경 최대 육아박람회 윤형제맘이 턴다 따라와], 긍정 텍스트 확률 : 85.73%"
"[베페역대급 이벤트데일리 선착순 천명에게 육아필수템을 준다니이래서 부산베이비페어가 좋다], 긍정 텍스트 확률 : 94.44%"
"[ 대여소 오픈 드넓은 박람회장에서 엄마의 든든한 두다리가 되어 줄 유모차 디럭스유모차로 우리아이에겐 편안함을 엄마에겐 환상 핸들링을 선물 준비물은 신분증과 연락처기재가 끝], 긍정 텍스트 확률 : 57.95%"
"[육아꽃길 조력자 벡스코베이비페어 제대로 털려면 입장전 참가 업체와 업체 배치도 ], 긍정 텍스트 확률 : 62.87%"
"[문뜩 궁금했다 .일년 중 단 한번만 만나 볼 수 있는 부산베이비페어 과연 년동안 준비한 알찬 결과물띄엄 띄엄 본다면 예의가 아니다. 부터 까지 렛츠고우우리아기를 위한 첫걸음 부스 배치도와 업체리스트부터 우선 다운로드 완료 박람회 현장에서 팜플렛 챙기는 것 잊으면 아니아니아니대오], 긍정 텍스트 확률 : 81.42%"
"[예비엄마아빠님들은 우리아가를 위한 첫 걸음을 육아부부님들은 우리아가를 위한 첫 장난감들을 할무니], 긍정 텍스트 확률 : 86.33%"
"[ 할부지는 우리손주를 위한 첫 교육들을 ], 긍정 텍스트 확률 : 77.17%"
"[푸드케어인증 친환경 유기농 이유식 현장에서만 받을 수 있는 최대일 무료워킹맘이였던 윤형제맘 첫째는 푸드케어로 완뽕 엄마가 먹어도 맛있어서 늘 뺏어 먹고 싶었다.ㅎㅎ ], 긍정 텍스트 확률 : 96.93%"
"[방수네임스티커어린이집 신학기 필수템우리아기이름 뿜뿜 네임스티커 예비맘들에겐 성장달력으로 인생사진 샤샤샤돌잔치 성장동영상에 사진 겁니 필요하니 태어나자 말자 우리아기 찍사로 취직 ㅋㅋ성장달력 배경으로 부지런히 찍어줍시다. ], 긍정 텍스트 확률 : 99.86%"
"[오브엔부드러운 촉감과 꼼꼼한 봉제로 오래도록 함께하는 우리아기 간지템 ], 긍정 텍스트 확률 : 94.60%"
"[안군이 밥 거부 사태때 마다 늘 출동해주시는 푸른들 어디든 솔솔 뿌려만 주니 요리고자엄마도 이젠 주부단이다. ], 긍정 텍스트 확률 : 84.04%"
"[스펙트라첫째때 스펙트라 유축기로 다키웠는데 ㅎ이번에 새로나온 신상 스펙트라 소독기 완벽한 기능과 모던한 디자인 아주칭찬해 ], 긍정 텍스트 확률 : 98.74%"
"[드로잉베이비엄마 껌딱지는 옛말요즘은 다들 공룡 껌딱지 ㅋㅋ우리아이 애착인형], 긍정 텍스트 확률 : 95.13%"
"[블레싱포유국민기저귀가방부산베페에선 패키지로 더 착하게 만나 볼 수 있다. ], 긍정 텍스트 확률 : 64.91%"
"[토미토미꼼꼼한 엄마들의 선택은 친환경 대나무 섬유 보들보들 한번 만지면 손땔 수 없다. ], 긍정 텍스트 확률 : 87.62%"
"[꼬까참새 패셔니맘들의 탁월한 산택 북유럽감성 뿜뿜 ], 긍정 텍스트 확률 : 90.33%"
"[ 젖병소독기현장에서만 대박할인 ], 긍정 텍스트 확률 : 89.27%"
"[휴비딕 체온계초보 엄마아빠들이 가장 많이 하는 실수 ], 긍정 텍스트 확률 : 73.92%"
"[아기화상 신생아 목욕시 가장 중요한 물온도 디지털 탕온도계 꼭 사야대 사야대], 긍정 텍스트 확률 : 66.24%"
"[외식할때 뒷정리 걱정없이 편하고 즐겁게 육아한다. ], 긍정 텍스트 확률 : 66.34%"
"[ 유아용품 퍼 국내순수제작있으면 진짜 좋은 개이득템들 싸고 많은 곳 ], 긍정 텍스트 확률 : 95.66%"
"[마음드림아이 발길 딱 멈추게하는 리얼 장난감들 가득 특히 인기쟁이는 물놀이 테엽장난감 안군이 사줬는데 년이 지난 지금도 잘가지고 논다며 ㅋㅋ ], 긍정 텍스트 확률 : 53.17%"
"[아이뽀송일단 핸드메이드 육아템임 이 하나만으로도 말다한 좋은 친구 ], 긍정 텍스트 확률 : 99.71%"
"[앙뽀모유수유에서 혼합수유로 갈아탈때 젖꼭지 거부사태를 일으켰던 첫째 그 사태를 잠재워준 아기가 잘무는 젖병 엄마 찌찌를 닮은 젖꼭지 앙뽀 ], 긍정 텍스트 확률 : 87.82%"
"[맘스데이우리아기를 생각한다면 엄마몸도 소중히 지켜내요조임없는 임산부속옷 ], 긍정 텍스트 확률 : 69.36%"
"[무루땅콩기저귀밤부베베의 양대산맥출산준비물 필요한건 무루에와서 다 물으면 준비 끝 ㅋ ], 긍정 텍스트 확률 : 62.59%"
"[모니아기에게 필요한 모든것 흡착 식판우유클립 없으면 아쉬울껄], 긍정 텍스트 확률 : 53.16%"
"[앙즐레신생아 아무곳에나 눕힐 수 없죠 우리베이비의 첫 보금자리 휴대용 범퍼침대], 긍정 텍스트 확률 : 87.26%"
"[부산베이비페어의 좋은 점 정확한 설명을 들을 수 있다.인터넷상에서 떠도는 사용법 백만번 보는 것 보다 한번 듣고 보는 것이 실해 열정가득한 스텝아저씨의 설명 그뤠잇 ], 긍정 텍스트 확률 : 86.49%"
"[버드시아본베베가 최고인줄 알았는데 가성비는 버드시아 점보의자가 칭찬해 다양한 아기도움템들도 재미솔솔 ], 긍정 텍스트 확률 : 90.77%"
"[헬로베베착용하는 순간 우리아이 시선강탈우리아이 귀여운거 못본사람 없게 해주때요], 긍정 텍스트 확률 : 76.31%"
"[유호랑 오늘 부산베페 주인공은 나야나 세상 깜찍함 다 찜꽁한 우리아이 옷], 긍정 텍스트 확률 : 89.52%"
"[루솔좋은 것만 주고싶은 엄마의마음베이비 이유식이 박람회특가정가 원 짜리를 원에 준다니 베페 특혜논란 ㅋㅋㅋ ], 긍정 텍스트 확률 : 63.08%"
"[롤리베베매쉬매트 지금 착하게 겟하고베개까지 가져가잡 ], 긍정 텍스트 확률 : 75.68%"
"[밍크엘레팡딸랑구엄마라면 세상심쿵씌우는 순간 사랑스러움대폭발 보넷 ♡십이간지 띠별 애착인형도 템 ], 긍정 텍스트 확률 : 99.88%"
"[발디딜틈이 없는 핫한 현장 역시부산베이비페어가 하드캐리 하지만 ㅋㅋ 윤형제맘은 아직 목마르다 털잇업 털잇업], 긍정 텍스트 확률 : 81.53%"
"[엘빈즈 친환경 우리아기 먹거리엄마들한테 가장 인기 있는 부스였다.이유식도 까리하지만 엘빈즈 과자는 가히 완판수준 늦기전에 겟하라], 긍정 텍스트 확률 : 77.24%"
"[드림맘 임신했다고 패션 포기하지마세요 드림맘이 있으니깐요 입는 순간 내가 선미다 왜 예쁜 날 두고 가시나 ㅋㅋ ], 긍정 텍스트 확률 : 98.61%"
"[와 ..... 시간은 구경한거 같은데 아직도 라인임 이것이 명불허전 부울경 최대규모의 베페 인증각], 긍정 텍스트 확률 : 63.53%"
"[화모베이비친환경 아기용품템 어린이집 필수 낮잠이불을 가장 저렴하게 겟할 수 있는 부스이기도 하다. ], 긍정 텍스트 확률 : 71.19%"
"[드디어 라인으로 갈아탄다.베이비페어 털러왔다가 내가 털리는 이기분 모지 ㅋㅋ? ], 긍정 텍스트 확률 : 52.57%"
"[아토팜예민하고 민감한 우리아기 피부곁엔 늘 아토팜], 긍정 텍스트 확률 : 81.75%"
"[마마치 젖병계의 샤넬 마마치 빠지면 헤어나올 수 없다 신생아 젖병으로 아주 칭찬해], 긍정 텍스트 확률 : 68.36%"
"[프리즘베베깜찍한 우리아기 악세사리 인스타 퐐뤄퐐뤄만 해도 헤어핀을 준다니 딸랑구맘들이여 일어나라], 긍정 텍스트 확률 : 74.98%"
"[알로앙베이비출산유아용품 전문양말 뭉탱이 고르는 재미가 있다. ], 긍정 텍스트 확률 : 80.66%"
"[포그내 특허받은 무소음 허리벨트로 우리아이 깨울일 없지롱 아기띠힙시트힙시트캐리어 까지 올인원 하나로 해결 아기띠 따로 사면 당한거임], 긍정 텍스트 확률 : 68.71%"
"[위드베베우리아이가 태어나 처음느끼는 감촉 오래동안 부드럽다.매일 낮 예비맘 선착순 엠봅 손수건 증정 배불러도 우리 아이를 위해서 뜁시다], 긍정 텍스트 확률 : 93.98%"
"[레드루트유기농 아토피 안심세제 진짜 잔향도 오래하고 세탁도 깨끗히 잘되서 쭈욱 쓰고 싶은데 가격이 조금 사악해서 포기 ㅠㅋ], 긍정 텍스트 확률 : 81.62%"
"[보니타베베더 업그레이드 되서 돌아왔다 온가족이 함께 사용할수 있는 인생사이즈 확장형 범퍼침대 신템 나왔다고 특가찬스 진행중 ], 긍정 텍스트 확률 : 80.89%"
"[타이니러브진짜 타이니러브 없는 육아집 없다. 아이가 좋아한다. 더 이유가 필요할까 ㅋㅋ? ], 긍정 텍스트 확률 : 61.02%"
"[실버크로스절충형 유모차의 끝판대장고급짐으로 엄마 마음 훔쳐갔다. ], 긍정 텍스트 확률 : 95.51%"
"[풀무원 건강생활 녹즙 녹즙녹즙 한잔 호로록으로 챙기는 온가족 건강 우리아이 유산균은], 긍정 텍스트 확률 : 60.95%"
"[ 키즈베베아이들의 밝은 웃음위에 더 밝은 이미지 입히기 매력만점 유아의류 사고싶은거 천지때까지 ㅠㅠ 여기서 지갑 봉인완벽 해제 당할뻔 ㅋㅋ ], 긍정 텍스트 확률 : 99.51%"
"[해적 스튜디오부산 만산촬영 잘하는 곳 느낌 있는 곳 여기다 베페맞춤가격으로썹수까지 챙겨가자], 긍정 텍스트 확률 : 96.26%"
"[농협생명저축해서 광명찾자 평생플랜 가즈아 베페에서 우리집 가계의 미래까지도 점 쳐 볼 수 있다], 긍정 텍스트 확률 : 92.42%"
"[엔젤비닷깜찍한 우리아이에게 지금 필요한 건 뭐다 ?깨물어주고싶은 비쥬얼의 유아의류 엔젤비닷], 긍정 텍스트 확률 : 79.41%"
"[마더스베이비행복한 임신을 마더스베이비가 함께 축하해요 엄마마음 그대로의 임산부속옷 ], 긍정 텍스트 확률 : 99.40%"
"[정말 ㅋㅋ 재미있음요], 긍정 텍스트 확률 : 98.55%"
"[월 부산베이비페어가 좋은이유 매년 신상템들을 먼저 박람회에서 만나 볼 수 있다는 점 남보다 트랜드를 앞서간다는 것 만큼 즐거운 것이 없다윤형제맘 왈 ], 긍정 텍스트 확률 : 62.79%"
"[개 브랜드가 한자리에 잇으니 관람하는 재미도 배 ㅋㅋ ], 긍정 텍스트 확률 : 79.63%"
"[미우베베베페에서만 전 품목 무려 반값 세일 또 달립시다 ㅋㅋ ], 긍정 텍스트 확률 : 90.84%"
"[로소베이비먹이는 것보다 중요한 씻기는 것 엄마허리 아프지않은 독일 아기욕조로 매일매일 깨끗방긋 ], 긍정 텍스트 확률 : 75.91%"
"[아토몽드 우리아기 꿀피부 사계절 내도록 건조할틈없는 완벽한 피부방어벽], 긍정 텍스트 확률 : 88.99%"
"[영유아도서의 메인 ], 긍정 텍스트 확률 : 63.91%"
"[숨가쁘게 달려온 라인 정말 오젓다리 오젓다리 ㅋㅋ ♡한템포 쉬었다가 가즈아], 긍정 텍스트 확률 : 91.44%"
"[외출해서 엄마들이 가장 신경쓰는 곳 수유실 그 속이 궁금하다. ], 긍정 텍스트 확률 : 87.14%"
"[아빠도 ], 긍정 텍스트 확률 : 64.70%"
"[할배도 함께 할 수 있는 가족 수유실 진정 온가족이 즐길 수 있는 즐거운 박람회 옳다커니 ♡ ], 긍정 텍스트 확률 : 99.47%"
"[이 사진을 본 당신 동전을 챙기고 싶다], 긍정 텍스트 확률 : 70.12%"
"[ 동전을 챙기고 싶다 ㅎㅎ ], 긍정 텍스트 확률 : 88.13%"
"[월 진정한 가족 피크닉장소 인증쾅쾅 에어바운스 놀이터 ♡엄마가 인생쇼핑 즐기는 동안 우리아이들은 인생놀이 즐깁니다. 그럼 우리아빠는 어디로 갈깝쇼 ? ], 긍정 텍스트 확률 : 97.70%"
"[금강산도 식후땡 아빠님들아오늘 식후땡은 신선한 정통 프리미엄 우유 아이스크림 사주때요 사주때요 ♡ ], 긍정 텍스트 확률 : 97.05%"
"[잘 먹고 잘 쉬었다 체력만빵 충전 스킬을 습득하였습니다. 베페고랩 다시 출동이다. ], 긍정 텍스트 확률 : 83.70%"
"[뉴나엄마의 휴식시간 확보는 뉴나가 한다.태우면 잠드는 저 바운스 탐난다. ], 긍정 텍스트 확률 : 83.94%"
"[싸이벡스 안전과 기능에 디자인을 더한 카시트 보는 순간 찜꽁 ], 긍정 텍스트 확률 : 78.86%"
"[지오필로우 언제나 동글동글 예쁜 우리아이 두상 태열걱정도 놉], 긍정 텍스트 확률 : 95.21%"
"[모카목화엄마마음 그대로 깜찍함의 대향연], 긍정 텍스트 확률 : 95.65%"
"[매직솔트 좌훈기 찜질팩 진짜 앉아보고 싶었다.다만 자신감이 없었을뿐 ㅋㅋ주말에 남편이랑 갈때 꼭 커플로 앉아야지 ㅋ ], 긍정 텍스트 확률 : 57.51%"
"[동양생명 내아이는 소중하니깐 태아보험부터 어린이보험], 긍정 텍스트 확률 : 58.01%"
"[아이넷조물락조물락 완구 하나도 우리아이가 좋아하도록 만들었다악기세트가 히트네 히트], 긍정 텍스트 확률 : 68.20%"
"[엘레니어절충형 유모차 대세출현 삐용삐용 하트뿅뿅자동남발이다. ], 긍정 텍스트 확률 : 50.50%"
"[깜유모차요람 카시트 유모차유모차 완벽한 기능에 완벽한 맵시 디럭스 유모차는 너다. ], 긍정 텍스트 확률 : 95.04%"
"[베비언스 외출이 즐겁다면 당신에겐 액상분유 베비언스가 있다는 사실외출이 편리한 액상분유 와따], 긍정 텍스트 확률 : 97.13%"
"[베이비유 우리아기 성장앨범만큼 소중한게 없다 성장앨범 선택도 베페에서 무한비교 고고싱 ], 긍정 텍스트 확률 : 73.08%"
"[부산아쿠아리움 아쿠아리움에서 만드는 추억은 아직도 세상행복그 행복 다시 누려볼테다 회원권 이리온], 긍정 텍스트 확률 : 95.11%"
"[시크 윌리엄 카시트 윌리엄이 탔다니 애정듬뿍 뿅뿅 ], 긍정 텍스트 확률 : 50.61%"
"[부산베이비페어가 좋은점 색다르다 .갑자기 짱구친구가 갑툭튀 아이의 상상력뿐만 아니라 엄마의 감성까지 불러일으켜 ㅋㅋ짱구야 같이 사진찍자 ㅋㅋ ], 긍정 텍스트 확률 : 57.60%"
"[코지하나면 우리집도 강남 안부럽다 코지랑 함께라면 우리아기 꿀짬 예약완료], 긍정 텍스트 확률 : 70.62%"
"[마이크라라이트 영국 명품 핸들링의 느낌을 그대로 느낌아니까], 긍정 텍스트 확률 : 66.74%"
"[아가월드 몬테소리원목교구로 만나는 착함 ], 긍정 텍스트 확률 : 61.14%"
"[서연뷰티샵돌잔치 준비 머리아프다 서연뷰티샵이랑 함께 공조하자 예쁜 메이크업도 함께 스마일], 긍정 텍스트 확률 : 96.07%"
"[심재원하이키한의원ㅠㅠㅠ 우리안군이 키안크면 꼭 찾아갈께욥 ], 긍정 텍스트 확률 : 94.30%"
"[베이비무브에티튜드리에또현실육아템 모여랏 이유식만들때 이유식마스터기 하나면 정말 집뜰이도 할 수 있는 자신감이 생김 ㅋㅋ ], 긍정 텍스트 확률 : 89.55%"
"[더블하트 육아맘으로 더블하트 모르면 간첩아기 열날때 열내림패드 붙히면 직방 우리아이 건강까지 챙겨주는 더블하트 사랑헌다. ], 긍정 텍스트 확률 : 90.80%"
"[더마더포포욕조면 초보맘도 신생아 혼자서 씻길 수 있다남편 야근도 무섭지않아 나에겐 포포가 있으니], 긍정 텍스트 확률 : 74.24%"
"[네이처핑거맑은 자연에서 키워낸 신선한 계란 먹어보면 맛이 다름정기배송 주문서를 주세욥], 긍정 텍스트 확률 : 87.86%"
"[분이 초같이 빠른 이곳은 부산베이비페어 아쉽게도 마지막 라인 라인이네 ㅠㅠ ], 긍정 텍스트 확률 : 97.17%"
"[사지않고 구명만해도 묘미다 묘미], 긍정 텍스트 확률 : 72.90%"
"[엄마와 엄마들의 소통창구 어플깔기만 해봐 자동으로 손가락이 자꾸만 들어가고 싶어진다. ], 긍정 텍스트 확률 : 93.46%"
"[몽슈레요즘 요물급으로 칭송받는 몽슈레 아기태열베개 동그란 두상은 물론 태열까지 싹 잡아준다니 엄마가 더 좋아하는 핫템 ], 긍정 텍스트 확률 : 64.11%"
"[러본스킨즈보들보들 촉감부터가 다른 우리아이 내의 예쁨까지 덤이라니 골라잡아잡아. ], 긍정 텍스트 확률 : 89.22%"
"[럭키패밀리 진품이다. 사야한다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ잠깐 고민하는 순간 사이즈 다빠짐 ㅠ ], 긍정 텍스트 확률 : 88.95%"
"[베페고랩 윤형제맘이 둘러보았다. 명불허전 부경울 최대규모 맞습니다 맞고요 ㅋㅋㅋ자유부인이라서 오랫만에 베페 황송하게 즐겼네요 ㅋㅋ문뜩 옛생각도 새록새록나서 더좋았음], 긍정 텍스트 확률 : 54.72%"
"[이렇게 엑셀만들어가꼬 첫째 출산때 설레이던 마음 그대로 년이 지났지만 베페는 언제나 사랑입니다 시즌마다 육아템은 신빵이들이 반겨주니 더 알참 . ], 긍정 텍스트 확률 : 97.86%"
"[베페와 함께한 모든 시간이 눈부셨다.날이 좋아서], 긍정 텍스트 확률 : 93.53%"
"[ 날이 좋지 않아서], 긍정 텍스트 확률 : 63.43%"
"[ 모든 날이 좋았다. ], 긍정 텍스트 확률 : 92.46%"
"[세계최강베페 지대로 한판 털고왔네용웅진 상담받은게 너무 마음에 들어서 지르고 싶은데 다시 남편 꼬셔셔 또가야겠어요 우리아이 교육은 소중하니깐요 베이비페어에만 만날 수 있는 놀라운 특가와 이벤트들 덕분에 구경하는 즐거움은 무한배였다는 후기 ♡이 리얼하고 긴 포스팅을 정독하신 그대는 나와 같은 베페고렙으로 임명합니다 ], 긍정 텍스트 확률 : 98.89%"
"[ 오렌지 가지입니다. ], 긍정 텍스트 확률 : 77.60%"
"[기내반입유모차들이 대세요 요즘엔. . ], 긍정 텍스트 확률 : 66.59%"
"[어보라는 브랜드네임명때문에 많이들 찾으실꺼 같은데요.요즘 트랜드가 때타지않는 블랙이나 그레이 가 대세인데 좀 특이하게 차양막이 칼라풀하게나왔네요.휴대용유모차는 휴대가 편해야하는데 가장먼저 무게가 중요한데요.너무가벼우면 아기가 체형이 커졌을때 잘 안밀리고 너무무거우면 휴대가 어려운게 단점입니다.어보 아크로 휴대용유모차 무게 ], 긍정 텍스트 확률 : 77.25%"
"[어보 아크로 휴대용유모차 가격도 가격이지만 포토후기이벤트가 베이비버드대박 ], 긍정 텍스트 확률 : 85.62%"
"[ 더 저렴하게판매할려고하는 베이비파크강동점입니다.택배가능 ], 긍정 텍스트 확률 : 59.72%"
"[안냐세용 제가 아기를 낳고 육아를 한지 벌써 년이 다 되어가네요육아를 하다보니 육아는템빨 육아는장비빨 이라는걸 느끼고 있는데요그래서 베이비 키즈 박람회도 빠짐없이 다녔다죠임신한 친구나 이미 유아를 두고있는 친구들과 함께 말이죠제가 베이비키즈 박람회 중에서도 대구에선 가장 규모가 크게 열리는 행사인만큼대구 베키는 빠짐없이 다녔는데요꼭 살게 없더라도 평소에 궁금했던 육아용품을 직접 눈으로 보고 손으로 만져볼수있는 기회라서꼭꼭 가게 된답니다온라인으로 보는것관 천지차이니깐요 ], 긍정 텍스트 확률 : 99.87%"
"[베키에 관심있다보니 이번엔 기 대구베이비키즈페어 서포터즈에 선정되었는데요짝짝짝 자축한달간 대구 육아맘들께 베키의 소식 발빠르게 전파해 드리도록 하겠습니다 ], 긍정 텍스트 확률 : 63.72%"
"[베키는 베이비키즈 의 앞글자를 따서 베키 이구요 행사날짜와 무료관람 팁 알려드릴게요 ], 긍정 텍스트 확률 : 89.55%"
"[많은 베이비 키즈 육아용품 관련 업체가 입점하는만큼 입장료를 내고 입장하셔야하는데기간 전에 사전등록이벤트가 있으니갈 계획이 지금 당장 없으시더라도 꼭 사전등록 해놓으시길 바래요저도 초보일땐 몰라서 친구랑 둘이 베키 광고를 보고 유모차보러 가보자 하고 엑스코까지 갔다가다른 엄마들은 사전등록해서 무료로 입장하는데제친구랑 저는 돈 내고 입장했답니당 흑흑그이후론 가던 안가던 꼭 사전등록은 해놓습니다일중에 한번은 꼭 가게되더라구요 ], 긍정 텍스트 확률 : 96.54%"
"[메일 정도의 간단 개인정보만 입력하면 끝타자빠르시면 분안에 끝나고 따로 돈 드는것도 아니니 꼭 사전등록 하세요♥나중에 사전등록 이벤트 기간 지나면 짤없이 입장료 받더라구요 그때 현장에서 후회하셔도 소용없소용 ㅠㅠ저도 처음엔 현장에서 인 입장료 천원 이었나? 지불하고 입장했어용ㅠ ], 긍정 텍스트 확률 : 99.01%"
"[ . 직접 보고 만져보고 쇼핑할수 있다앞서 말씀드린것처럼 육아하다보면 아기와 함께 외출하는게 쉽지 않죠.하지만 아기가 커갈수록 개월수가 늘어갈수록 꿀템 잇템이 있는데엄마는 몸이 자유롭지 못하니 모바일로 또는 로 손품팔아가며 정보를 비교해서 육아용품을 온라인몰을 통해 주문하게 되죠저역시도 그랬는데요 ㅠㅠ하지만 온라인 제품은 실물로 보고 뜯고 만져보는 쇼핑과는 천지차이죠인터넷 후기만 보고 샀다가 실망하게 되는경우도 있고 실물이 생각했던 것과 달라 실망한 적도 있잖아요이럴땐 평소 궁금했던 제품리스트를 모아뒀다가베키때 직접 가서 쇼핑해보세요유모차 같은 경우엔 직접 아기를 태워 끌어보며 핸들링도 경험해볼수 있고아기 이불도 직접 소재나 재질을 손으로 촉감으로 느껴보고 선택할수도 있으니깐요저같은 경우엔 제가구입했던 카시트의 기능을 낱낱이 모르는 부분이 있었는데 설명서는 읽어도 이해안되는 부분이 있고...그래서 베키때 카시트 부스에 가서 직접 시연하시는 모습도 보고 평소에 궁금했던 점도 여쭤보았답니다판매자분들도 마인드가 굉장히 아기엄마들 상대로 친절하시기때문에꼼꼼하게 물어보고 오실수 있어요], 긍정 텍스트 확률 : 98.25%"
"[ . 집에만 있으면 모른다 우물안 개구리가 되기 싫다면 베키 현장으로 두번째는 집콕만 하던 엄마와 아기가 세상구경을 한다는점집콕만 하고있으면 정보가 꽉 막혀서 알수 없어요 ㅠㅠ저같은 경우엔 육아 초반 신생아땐육아용품을 거의 맘카페나 블로그서칭을 통해 정보를 입수하고 구입했는데이건 실제로 밖에 나가보니 완전 딴세상이더라구요 ㅁ예를들어 인터넷상에서 유명하다는 국민육아용품이라해서 아기띠를 샀는데...실제로 엄마와 아기들이 수백 수천명이 모이는 베키에 나가봤더니헐... 그거 아무도 안써. 오히려 ㅇㅇㅇ을 더 많이써 ㅠㅠ그래서 ㅇㅇㅇ 부스를 찾아가서 설명도 들어보고 직접 메보기도 했죠. 그래서 깨달았죠. 아.. 이래서 직접 베키를 와보면진짜 맘들이 선호하는 제품이 뭔지 요즘 유행이 뭔지 트랜드가 뭔지 알수있겠구나 싶었답니다.그리고 가격비교물론 온라인과 가격비교도 바로바로 체킷요즘 엄마들이 어떤 엄마들인데 비싸면 절대 안사죠 구경만하고 인터넷최저가 이용하겠죠?그러므로 온라인보다 엄청 비싸게 바가지씌워 파는일은 있을수가 없구요베키에 가면], 긍정 텍스트 확률 : 53.45%"
"[ 박람회특전 이란게 있어서 대부분 온라인보다 가격이 더 저렴하거나 사은품을 추가로 준답니다인터넷보다 현장구매를 유도하기 위함이니 더 좋은조건의 상품을 취급할수밖에 없죠저도 임산부때엔 베키 존재자체를 몰라서 카시트도 혼자 맘카페돌아다니며 손품팔아 ㅇㅇ제품을 구매했는데...무려 만원을 주고 말이죠 ㅠㅠ지금 가장 후회하는 품목중 하나랍니다.], 긍정 텍스트 확률 : 99.38%"
