"[ 접고 펴기 매우 쉬운 구조], 긍정 텍스트 확률 : 63.96%"
"[유모차나 카시트 외에도 침구나 유아가구 등 알아보고 계시는 분들이 있으시다면 세피앙몰 ], 긍정 텍스트 확률 : 53.83%"
"[서포터즈로 활동하면서 작성한 후기입니다 ], 긍정 텍스트 확률 : 52.82%"
"[ 글. 사진 비비모른채 살았을때가 행복했지만.... 더이상 모르고 살 수 없는 나는 미세먼지민감군이다.초미세수치 을 오르락 내리락 하면 바로 기침으로 반응을 하는 인간 개측기 개인측정기 랄까? 거기에 대로 마스크없이 바깥 활동을 한 날이면 저녁 샤워를 하면서 어김없이 코피를 흘린다. 언제부턴가 한여름 아마도 동풍이 풀었던때인 것 같다.잠깐 빼고는 주변에 잘 모르는 이들까지도 걱정을 할 정도로 기침을 달고 살았다. 미세먼지에 대해 알고... 공기청정기를 설치하고.. 집안 공기질], 긍정 텍스트 확률 : 73.16%"
"[ 늘 기침을 달고 살던 내가 공기질 관리를 한 뒤로 아프지 않는걸 옆에서 지켜 본 남편은 한여름에도 마스크를 꺼내면 군말없이 함께 써주고], 긍정 텍스트 확률 : 76.29%"
"[ 햇살망베이비 유모차커버를 공기질이 좋던 말던 계속 씌우고 다녀 정말 다행이었던 순간.바람 방향이 언제 바뀔지 몰라 예보를 보고 외출을 해도 내 시야에 안좋음이 느껴진다거나.... 기침이 나오면 바로 커버를 닫아주기만 하면 안심이다.잘 걷기 시작한 뒤로는 다리가 아파서 유모차에 더 잘 타니.....ㅋㅋㅋㅋ 마스크 쓰는 것을 이해하고 받아들이기 전까진 요긴하게 쓸 수 있을 것 같다 ], 긍정 텍스트 확률 : 99.78%"
"[ ▲ 이지워커 찰리하비 완벽 호환되는 쁘띠이 제품을 선택함에 있어 나의 기준은 이러했다.환기도 잘 되면서 초미세먼지미세뿐이 아님를이상 차단해주는데... 그 기능을 잘 하게끔... 바람을 잘 막아줄 것내 손을 거쳐 차 가공은 안하고 싶으니까....ㅋㅋㅋ그 기준에 이 제품이 잘 맞았고... 우리 아이의 유모차인 이지워커 찰리 하비도 . 에 완벽하게 호환되는 쁘띠 사이즈를 사용하게 되었다.이지워커 찰리가 이번에 새로나온 모델이라 햇살망측에서도 혹시 모르니 제품 받아보고 비닐제거 전에 피팅해본 뒤 안맞으면 교환해주겠다며 쁘띠를 권해주셔서 그걸로 받았는데 딱 맞았다. 역시 전문가들은 달라 ㅋㅋㅋ이지워커 찰리와 하비가 같은 유모차커버를 사용하니 찰리], 긍정 텍스트 확률 : 54.07%"
"[하비 유저라면 쁘띠를 추천한다 ♥ ], 긍정 텍스트 확률 : 99.67%"
"[ 햇살망베이비의 스펙은 이러하다.초미세먼지 차단율 .], 긍정 텍스트 확률 : 54.79%"
"[ 나노 섬유가 뭔가 궁금했는데..... 자세히 들여다보면 정말 미세한 망?이다.국내 최고의 나노 기술이 접목되었다.그래서 타사 제품에 비해 초미세먼지 차단율도 등], 긍정 텍스트 확률 : 94.48%"
"[그 외의 부분은 통풍이 잘 되도록 나노원단으로 되어있다. 사실 타사 제품들도 비슷하게 나노원단을 사용하고 있고], 긍정 텍스트 확률 : 55.41%"
"[ 이건 여담이지만.... 일반 유모차커버와 다르게 나노원단이 부드러워서인지 아이 피부가 닿아도 싫어하지 않는다.요렇게 사용하다가 세탁이 필요한 것 같을 땐 커버 안쪽에서 바깥쪽으로 분무기를 이용해 물을 분사한 뒤 부드러운 천으로 닦아주면 된다. 그리고 그늘에서 충분히 건조시킨 뒤 재사용하기만 지켜준다면 꽤 오래 사용할 수 있다고 한다.그런데....... 얼마나 쓰다가 재사용을 해야하는지에 대해선 나와있지가 않아 살짝 어렵다. 내 예상이지만... 사용 환경에 따라 달라지지 않을까 싶다. 얼마나 자주], 긍정 텍스트 확률 : 93.20%"
"[ 미세한 바람도 야무지게 막을 수 있도록.... 자 고리가 달려있다. 윰차마다 디자인이 살짝씩 다르니 이 고리가 체결된 모습도 각각 다를 것 같다. 나는 저렇게 했더니 외부 공기 유입이 최소화 되었다.사용방법 너무나 편하고...... 내가 또 별도로 집게나 고무줄 작업을 하지 않아도 되니 만족스럽다.ㅠㅠ 이미 유모차공청기때문에 커버에 손수 바느질 한 경험이 있어서......... ], 긍정 텍스트 확률 : 86.07%"
"[ 타사 제품과 하나 더 비교하자면 창이 옆 부분까지 시원하게 오픈되어 있다.나노섬유가 더 많은게 좋은거아냐? 할 수 있겠지만 시야가 확보되지 않아 아이가 거부를 한다면 다 소용없어지니.....참... 나노섬유 사이로도 밖이 잘 보이긴 한다. 그래도 창이 시원하게 나 있는 것과는 차이가 크다.], 긍정 텍스트 확률 : 64.62%"
"[ 윰차에 앉아서도 여기저기 가르키며 편하게 이동중인 우래기.사계절커버공청기 조합은 갑갑해서 싫어하더니.... 다행히 거부없이 잘 앉아있어준다. 여름엔 이렇게 지내보자 ㅠㅠ ], 긍정 텍스트 확률 : 82.45%"
"[ 요건 뭐.... 윰차커버라면 다 갖춰야 하는 기능이긴 하지만.......아이가 잠들었을 때 햇빛 차단도 가능하다.이 제품의 아쉬운점을 꼽자면.... 너무나도 로고가 크게 써있다는거? ㅋㅋㅋ 뭐.... 타사 대비 등 제품이니 우월감을 느끼며 사용하라며 이름표 대문짝만하게 박아두었다 하면 이해하고 쓰겠지만..... 이왕 심미성을 고려하는거... 로고 좀.... 예쁜걸로 해주시던지 ㅋㅋㅋㅋㅋㅋ 위치나 폰트], 긍정 텍스트 확률 : 57.77%"
"[인증까지.....그리고 꼼꼼한 디테일과 저렴하지 않은 부자재...... 모두 당연한 것들이지만 요즘엔 구매자가 세세하게 비교해보고 구매해야 할 부분들이라 사진으로 남겨둔다.이런거 없이 지내면 너무나 좋겠지만..... 현실히 없이 살 수는 없으니...현명한 선택을 해서 아이와 즐거운 시간을 보내보쟈 ♥ ], 긍정 텍스트 확률 : 100.00%"
"[게으른 엄마아빠는 사실... 지안이가 태어나기 전에 육아용품은 아기띠하나만 준비했더라는. ㅋㅋㅋㅋㅋ유모차도 베이비페어 가서 미리 구입해야하나 했는데..사실 지안이는 월생 겨울아가이기도 하고먼저 출산한 친구들이 말하길], 긍정 텍스트 확률 : 74.65%"
"[도보 이동시 덜컹거림 때문에 아무래도 아기 머리 흔들림이 걱정된다는 의견들이 많았다.가성비를 따지면 절충형이 좋긴 한데... 아기 안전을 생각하니.. 디럭스가 좋을 것 같기도 하고.. 혼자 고민하고 있으니 오빠 왈], 긍정 텍스트 확률 : 61.69%"
"[그냥 일단 가서 끌어봐ㅋㅋ그리하여 결국 사게된 건 바로 하비이지워커 사실 매장 가기 전에 난 하비라는 브랜드를 모르고 있었다. 유모차 하면 한국에서는 보통 리안], 긍정 텍스트 확률 : 90.70%"
"[부가부], 긍정 텍스트 확률 : 56.44%"
"[핸들링이 가벼워서 첨에는 절충형인지 알았는데 디럭스였고], 긍정 텍스트 확률 : 51.34%"
"[가격도 내가 생각했던 예산보다 훨씬 저렴하여 바로 그 자리에서 카드 긁고 왔다.요즘 날씨 따뜻해지고 지안이도 개월이 되면서.. 요즘 문센도 다니고 마트도 다니고 심심하면 혼자유모차 끌고 산책도 나가고 아주 만족스럽다], 긍정 텍스트 확률 : 99.31%"
"[제가 아이를 낳고 제일 많이 고민한 육아용품이라면 당연 유모차였어요.아이는 월 초에 낳았는데], 긍정 텍스트 확률 : 63.65%"
"[날이 덥기도 했고 유모차는 아이 낳고 나중에 탈 때쯤 사도 된다고 해서 유모차 고민은 안하고 있었는데], 긍정 텍스트 확률 : 60.45%"
"[ 일이 넘으니 계속 집에만 있을 수 없어서 본격적으로 유모차를 알아보기 시작했어요.신생아라면 당연히 디럭스를 샀을텐데], 긍정 텍스트 확률 : 70.45%"
"[디럭스는 무거워서 결국 많이 못쓰게 될 것 같아.?절충형유모차절충형유모차 로 알아봤어요...절충형 유모차도 종류가 많아서 어떤 브랜드로 할거냐를 두고 한참 검색 또 검색하다가], 긍정 텍스트 확률 : 56.18%"
"[ .디럭스로 산다면 이지워커 하비로 하려고 해서 그 브랜드에서 새로 출시된.?찰리유모차찰리유모차 에 급 관심을 갖게 되었어요...직접 눈으로 보고 구매하고 싶었지만 제가 사는 지역에는 안타깝게도 판매하는 곳이 없어서 .맘카페에 올려진 글들을 보고 그냥 구매할 수밖에 없었어요...이왕이면 추석 연휴 전에 받아서 한 번이라도 더 태워보고 싶어서 후기에 많이 언급된.?하이베베청담점하이베베청담점 에 문의해보았는데], 긍정 텍스트 확률 : 93.57%"
"[ .친절하게.?유모차추천유모차추천 도 해주시고], 긍정 텍스트 확률 : 85.93%"
"[ ...제가 잠깐 외출한 사이에 남편이 설명서도 안보고 뚝딱 완성 ..아이가 잘 타줄까 궁금했는데], 긍정 텍스트 확률 : 66.24%"
"[핸들링이 부드럽고], 긍정 텍스트 확률 : 51.21%"
"[손목이 약해진 저도 들 수 있을 만큼의 무게인 것도 장점이고요..장바구니가 큼직한 것도 좋아요.. ], 긍정 텍스트 확률 : 67.34%"
"[ .혹시 절충형 유모차 고민중이시라면], 긍정 텍스트 확률 : 66.47%"
"[아이가 앞으로 오래오래 잘 타주면 좋겠네요. ... . ], 긍정 텍스트 확률 : 79.44%"
"[안뇽하세용..연년생맘이에요ㅋㅋㅋ쌍둥이 보다 힘들다는 연년생저희 아기들은 개월 터울인년 터울 같은 연년생이지만 아무튼. 연년생 남매에요 ], 긍정 텍스트 확률 : 97.13%"
"[ 연년생이 문제가 아니라 애가 둘 되면서 좋았던 육아 추천 아이템들을 한 번씩 포스팅 해보려고요오늘은 이지워커 하비 디럭스 유모차유모차 라이더 입니다], 긍정 텍스트 확률 : 52.30%"
"[ 육아맘카페나 임신한 친구들이 많이 물어보는 게 유모차 뭘 사야할까? 인 듯 해요전 첫째때도 둘째도 디럭스유모차는 꼭 있어야 한다고 생각해요안정감이 확실히 다르거든요그리고 휴대용 유모차도 필수라고 생각..ㅋㅋ평소엔 안 끌고 다녀도외출해서나 여행가서 갑자기 잠드는 경우에 재워야 해서휴대용유모차는 꼭 차에 넣어놓고 항상 가지고 다녀요 띠후니 첫째때부터 사용했던 디럭스유모차 이지워커 하비사진 속 유모차에요우선], 긍정 텍스트 확률 : 91.15%"
"[양대면 가능해서 좋구요지금 개월인데도 양대면해요. 그걸 넘 좋아해서 유모차 높이가 높아서 좋아요카페나 식당갈때 하이체어 없어도 가능해요. 높이가 높으니 저랑 더 가까이 볼 수 있어서 편하구요핸들링 진짜 좋아요 써본 사람들은 다 공감함폴딩도 쉬운 편이에요 디럭스 유모차 치고는 폴딩도 간단하고승용차에도 쉽게 실려요디럭스유모차휴대용유모차짐가방승용차 트렁크에 다 실려요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.89%"
"[쓸수록 만족해요 . 년째 정말 만족하는 디럭스유모차 추천 제품입니당], 긍정 텍스트 확률 : 68.86%"
"[ 저도 고민 많았고], 긍정 텍스트 확률 : 67.51%"
"[검색도 많이 했던 질문우선 조리원산후도우미 이모님 있을 땐 괜찮았으나.. 저도 멘붕. 고민이 되더라구요 둘째가 월생 아기라 너무 추워서 데꼬 나가기도 겁나고 그래서 전 무조건 집에 혼자 두고 다녔어요우선], 긍정 텍스트 확률 : 99.54%"
"[첫째 어린이집이 단지 내 어린이집이라 바로 옆옆동이거든요. 그래서 혼자 놔두고 다녀올 수 있었던 것 같아요 그리고 무료 홈씨씨티비어플은으로 둘째를 보고 다녔어요 일때까지는 항상 혼자 두고], 긍정 텍스트 확률 : 95.04%"
"[등하원은 했어요 거의 자기도 했고아님 바운서모빌점퍼루에 두고 다녔어요 ], 긍정 텍스트 확률 : 57.78%"
"[데리고 다녔어요 ㅋㅋㅋㅋㅋㅋ], 긍정 텍스트 확률 : 50.18%"
"[ 그러면서 더욱 잘 쓰게 된 조합 우선 둘째는 불안해서 꼭 디럭스유모차에 태웠구요 거기에 유모차라이더 끼우고 등하원 했어요등하원 마트 장보기동네 소아과가기모두 이걸로 해결...없었으면 혼자선 아무것도 못했을 듯요 ㅠㅠ ], 긍정 텍스트 확률 : 96.86%"
"[ 첫째 어린이집 갔을 때에는], 긍정 텍스트 확률 : 56.98%"
"[ 이렇게 라이더는 빼고 디럭스유모차 이지워커 하비 하나로만 다녀요진짜 핸들링 좋고], 긍정 텍스트 확률 : 60.69%"
"[장바구니 커서 마트 갈 때도 진짜 좋아요 방한커버 사려다가 사계절 커버로 샀는데안에 두꺼운 블랭킷 넣어두니 머리카락 한 올 안날려요 ㅋㅋ 늠나 좋음 ㅋㅋ], 긍정 텍스트 확률 : 52.90%"
"[ 한 일쯤 되었던 것 같아영 무조건 외출 할 때], 긍정 텍스트 확률 : 74.70%"
"[ 정말 연년생육아 하면서 제가 생각하는 효자 육아템입니다 ㅋㅋㅋ디럭스유모차 검색하시는 분들에게도 도움이 되셨길애 둘 되신 분들에게도 도움이 되셨길 ], 긍정 텍스트 확률 : 70.17%"
"[카시트만큼 고민이 많이 되었던 유모차 구입 후기입니다 ㅠㅠ외출이 잦은 편이고], 긍정 텍스트 확률 : 87.02%"
"[특히나 아가랑 저랑 단둘이 외출하는걸 정말 선호하기 때문에 유모차 선택에 정말 고민이 많았어요출산 전에 미리미리 준비하는 성격이 아니라 급하게 신세계 본점이며 강남점이며 돌아다녀봐도 맘에 쏙 드는 제품을 찾기가 쉽지 않았어요 ㅠㅠ그러다가 인터넷에서 하이베베 청담점을 알게되어서 방문 전에 전화로 이것저것 물어보고], 긍정 텍스트 확률 : 75.59%"
"[저도 동의해서 하이베베 청담점에 방문하게 되었습니다전화 상담 내내 너무너무 친절하게 잘 대해주셨고], 긍정 텍스트 확률 : 93.06%"
"[짧지 않은 시간동안 이것저것 잘 설명해주셔서 믿고 방문할 수 있었던 것 같아요실제로 매장에 방문해보니 제가 고민했던 다양한 브랜드 제품들이 많았는데], 긍정 텍스트 확률 : 99.09%"
"[그 중에서도 오르빗 ], 긍정 텍스트 확률 : 55.39%"
"[실제로 이지워커 하비를 끌어보고 원터치 폴딩을 해보니.. 고민할 필요가 없었습니다 ㅠㅠ 처음 백화점을 돌아다닐때만 해도 핸들링이 뭐지 싶었는데.. 여러 브랜드 유모차를 끌어보고], 긍정 텍스트 확률 : 84.13%"
"[비교해보니 슬슬 이런게 핸들링이구나 하는 느낌이 들더라구요 결국 제 선택은 이지워커 하비였습니다 이유는 여러가지가 있었지만 무엇보다도 디럭스임에도 상대적으로 가벼운 무게에 쉬운 폴딩이 가장 마음에 들었고], 긍정 텍스트 확률 : 80.16%"
"[올블랙 컬러가.. 너무너무 예뻐서ㅠㅠ], 긍정 텍스트 확률 : 95.65%"
"[ 또 하비는 어댑터를 설치할 수 있어서 아가 눕히는 곳이정도 높아져요스토케같은 경우도 엄마가 허리를 굽히지 않고 아가를 바로 대면할 수 있다는 걸 장점으로 내세웠는데], 긍정 텍스트 확률 : 92.14%"
"[좋은 가격에 사은품까지 너무 잘 챙겨주셔서 함께 고민하고 있던 카시트도 비교적 쉽게 선택해서 함께 구입했어요 ], 긍정 텍스트 확률 : 99.49%"
"[덕분에 좋은 유모차 잘 선택해서], 긍정 텍스트 확률 : 59.57%"
"[유모차만 탔다하면 어디서든 꿀잠자는 저희 아가 이지워커 유모차 고민하시는 분들은 하이베베 청담점 방문해보시면 너무 좋을 것 같아 추천드립니당 .?하이베베청담점하이베베청담점.?하비유모차하비유모차.?이지워커하비이지워커하비.?디럭스유모차디럭스유모차.?유모차추천유모차추천.?하비경량디럭스유모차하비경량디럭스유모차 ], 긍정 텍스트 확률 : 91.22%"
"[.. 맘스홀릭레몬테라스맘이베베 작성이 어렵습니다. 꼭 해당 육아카페여야하나요?.. 맘스홀릭 레몬테라스맘이베베처럼 회원수가 많은 카페에 작성을 요청드리나 가입이 어려우시면.지역육아맘카페도 가능합니다.... 이 전 달에 참여했는데 중복참여 가능한가요?.. 중복참여는 제한하고 있습니다..참여하시더라도 확인 후], 긍정 텍스트 확률 : 99.77%"
"[그리고 서스펜션으로 부드러운 핸들링], 긍정 텍스트 확률 : 55.01%"
"[깔끔하고 시크한 디자인까지모두 맘에 들어요 ㅎㅎ아직 출산 전이라 아기를 태워보진 못했지만하비이지워커로 디럭스유모차를 결정하길 정말 잘했다는 생각이 듭니다 추천해요 완전], 긍정 텍스트 확률 : 98.16%"
"[ 유모차추천 하비 이지워커 유모차 실사용후기 ], 긍정 텍스트 확률 : 77.40%"
"[ 안녕하세요 은우가 일되기 전에 구매했던하비 이지워커 디럭스 유모차에 대해실사용 후기를 여러번 나눠풀어보려고해요우선 구매관련 내용은아래 포스팅에서 확인할 수 있어요], 긍정 텍스트 확률 : 86.26%"
"[ 저희는 유모차 하단 부분은 트렁크에 넣어다니고은우가 타는 쪽은 집에 두고 필요할때마다차에 넣어서 다녀요집 근처엔 유모차 끌기 위험한 곳이 많아항상 신랑과 외출할때만 사용한답니다ㅠㅠ마트 주차장에서 유모차 조립을 했는데요.위 사진 오른쪽에 보이는 어댑터를 낀상태에서 상단 부분을 쏙 하고 껴주면 되요.시트는 밑에서 다시 한번 설명할게요 ], 긍정 텍스트 확률 : 98.43%"
"[ 이렇게 껴주면 완성인데요 사실 디럭스 유모차기 때문에 다른 절충형], 긍정 텍스트 확률 : 54.91%"
"[휴대용 유모차보단 약간 무거울 수 있지만저 혼자서도 들거나 조립은 거뜬할 정도에요 ], 긍정 텍스트 확률 : 93.83%"
"[ 유모차 좌우 모습이에요.다른 엄마들은 예쁘게도 찍던데 ㅠㅠㅠㅠㅠ장소가 이쁘지 않아서 그런가뭔가 실물보다 덜 이뻐보이네요...ㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 98.99%"
"[ 이 부분은 유모차 손잡이 부분을 길게 혹은 짧게 조절할 수 있는 장치인데요.가운데 부분을 열고 손잡이를 길게 혹은 짧게해주고 다시 닫아주면 쉽게 조절이 가능해요. ], 긍정 텍스트 확률 : 64.29%"
"[ 하비 유모차의 또 하나의 장점은시트라는거에요사진 상 보이는 부품이 어댑터인데유모차 상하단 결합 시 중간에 끼우기만 하면키가 큰 엄빠들도 아기와 눈높이를 맞출 수 있어요.신랑이 ], 긍정 텍스트 확률 : 83.94%"
"[제가인데요.크다면 크고 보통이라면 보통의 키지만어댑터 덕분에 허리를 숙이지 않아도 우리 은우랑 눈마주볼 수 있어 편하더라구요. ], 긍정 텍스트 확률 : 58.71%"
"[ 그리고 마트 장보는 중간에 푸드코트에서 간식 먹는데식탁보다도 유모차 시트가 높아서엄빠 눈높이를 맞출 수 있어은우도 엄빠 쳐다볼 수 있어 안정되고엄빠도 앉은 자리에서 바로 볼 수 있어서 좋아요 ], 긍정 텍스트 확률 : 94.61%"
"[ 그리고 유모차는 뭐니뭐니해도안전해야하고 안전해야한다면 핸들링이 좋아야죠제가 한 손으로 영상 찍으면서 요리조리 끌었는데바닥이 평평해서가 아니라정말 울퉁불퉁한 곳에서도영상처럼 부드럽게 핸들링이 되요.그래서 저도 원래 자전거도 못타는...?균형을 잘 못잡는 사람인데 ㅋㅋㅋㅋㅋㅋ하비 유모차는 한 손으로도 잘 끌 수 있더라구요핸들링이 좋아야 아기들한테 더 안전한건누구나 아는 사실이죠?제가 하비유모차로 결정한 이유 중 하나가요 핸들링때문이었어요.직접 베이비페어에서 끌어보니핸들링이 너무 좋아서 한눈에 반했어요], 긍정 텍스트 확률 : 59.76%"
"[ 이건 보너스로 유모차 차광막 내렸다 올렸다 하는 영상이에요 제가 제대로 못해서 삐그덕 거린거지만실제로는 더 부드럽게 잘 조절 된답니다이번엔 이렇게 마트 나들이 때사용한 하비 이지워커 유모차 사용후기인데요], 긍정 텍스트 확률 : 86.32%"
"[ 다음번엔 외출 시 사용한 모습으로후기를 가져와보도록 할게요커밍쑨 ❤️ ], 긍정 텍스트 확률 : 94.37%"
"[이지워커 하비 디럭스 유모차첫아이를 위해 고른 가벼운 디럭스 유모차 ], 긍정 텍스트 확률 : 55.23%"
"[ 임신중일때 베페], 긍정 텍스트 확률 : 90.08%"
"[ 나는 남편이랑 스토케 유모차를 구매하러 갔다. 파주 베네피아라는 매장에 스토케유모차가 있어서 집이랑도 가까워서 직접가봤다. 유모차 종류가 상당히 많았다 스토케로 마음을 굳힌 우리는 하비를 끌어보고 마음이 프로나 움직였다 컬러도 넘 예쁘고 올블랙도 예쁘지만 난 그레이컬러를 무척좋아한다], 긍정 텍스트 확률 : 97.76%"
"[ 디럭스인데도 대의 가벼운 무게로 시트 분리 없는 원터치 폴딩기능과 여자들도 쉽게 접고 펴고 할 수 있다경차 모닝에도 쏙 충분히 잘 들어간다], 긍정 텍스트 확률 : 96.06%"
"[ 요즘 날씨가 너무 더워서 남편이랑 셋이서 마트], 긍정 텍스트 확률 : 62.97%"
"[ 폴딩도 나혼자 접고 펴고 간단하고 매우 쉬었다 아직 손에 익숙치 않아서 버벅거리지만 몇번 연습한다면 문제없이 가능하다 빠르고 간단하게 접고 피는 시트분리없는 이지폴딩 ], 긍정 텍스트 확률 : 69.23%"
"[ 충격흡수에 최적화된 휠 독립 서스펜션으로 안정감까지 있다 아기 흔들림 방지를 위해 바퀴 자체에 개의 독립식 휠 서스펜션이 적용되어 유격없이 부드러운 주행이 가능해서 마음에 든다 간편한 원터치 브레이크도 실용성이 아주 좋다 ], 긍정 텍스트 확률 : 68.91%"
"[ 도 침대형 버켓시트로 주행중에도 흔들림이나 쏠림현상이 없다 한손으로도 쉽게 단계 도 침대형 시트로 조절할 수 있다 각도 조절형 풋레그레스트는 단계 조절이 가능해서 아이가 커도 편안하게 탈 수 있다고 한다 ], 긍정 텍스트 확률 : 88.09%"
"[ 남편도 키가 인데 우리는 유모차 옆에 서면 왜이렇게 어색하고 이상한지...하비 유모차는 우리 아이와 교감할 수 있는 높은 하이시트가 정말 마음에 쏙들었다 를 높일 수 있는 어답터가 내장되어 있어서 높이조절도 가능하다], 긍정 텍스트 확률 : 96.73%"
"[ 매장에서 이 모습을 보고 바로 스토케에서 마음을 옮긴 이유 중에하나우리부부는 둘째 까지 낳을 생각이 있었기 때문인지 트윈으로 가능한 유모차가 끌렸다 둘째아이 출산시에 경제적이고 효율적으로 사용이 가능할 것 같다], 긍정 텍스트 확률 : 95.05%"
"[ 유모차 구매로 저처럼 고민중이신분들은 이지워커 하비 모델도 한번쯤 실제로 비교해보고 참고하면 좋을것 같다 키큰맘들 무조건 추천드려요허리도 안아프고 아이와 눈높이도 맞추고 튼튼하기까지한 이지워커 하비 유모차 ], 긍정 텍스트 확률 : 99.70%"
"[가지로 축소됐다. 그리고 남편과 상의 후 결정했다. 이지워커 하비 디럭스 유모차여야했고], 긍정 텍스트 확률 : 94.14%"
"[디자인은당연히 포기할 수 없었고핸들링 또한 중요했다. 그리고 가장 중요한건 가격 신랑은 왜 꼭 비싼 디럭스를 사야해?라고 질문했지만하비를 보고는 음. 쏙 맘에 들어라고 나와 의견을 맞췄다.이미 임신 중기 때 유모차 모델을 정해놨지만 매달 행사가격], 긍정 텍스트 확률 : 56.10%"
"[사은품이 달랐기에 가장 좋을 때에 구매하자 라며 기다렸다.그러다보니 나는 어느새 라온이를 출산했고 조리원을 퇴소해서 집에 왔고 더 이상 유모차 구매를 미룰 수 없어서 주문하려는 찰나 옴마야 월 행사 이벤트를 알게 되었다. 이지워크 하비 유모차를 구매 후 개인 ], 긍정 텍스트 확률 : 98.67%"
"[하비 유모차를 구매할 예정인 어뭉들은 어서 실행에 옮기시길 이벤트 참여에 구매루트는 온라인 오프라인 상관없다.그러니 백화점보다는 대형육아용품매장], 긍정 텍스트 확률 : 59.27%"
"[월에는 럭셔리 블랙이 품절이여서 오래 기다렸어야했는데 지금은 바로 구매가 가능하다. 내가 구매한 사이트에서는 사은품으로 받은 신생아패드와 어댑터가 제공되었다.], 긍정 텍스트 확률 : 90.71%"
"[짜잔 완성된 라온이의 붕붕이 이지워크 하비 유모차 사이즈 펼칠시 접을시무게프레임 . 시트 .], 긍정 텍스트 확률 : 71.32%"
"[아기를 태운 후 캐노피를 오픈해 보았다. 응?? 캐노피가 조금 짧아보인다? 싶었는데], 긍정 텍스트 확률 : 67.24%"
"[이렇게 오픈하니 우리 아가가 지금 뭐 하고 있는지도 확인할 수 있고], 긍정 텍스트 확률 : 83.78%"
"[공기순환에도 도움이 된다.], 긍정 텍스트 확률 : 74.73%"
"[▲▲▲캐노피 오픈전과 오픈후▲▲▲오픈했을 때 디자인이 더 고급지고 예쁜 것 같다. 어서 밖에 나가고 싶다 부릉부릉...아마 이 무더위가 지나간 월쯤이나..나갈 수 있지 않을까 싶다. ㅠㅠ ], 긍정 텍스트 확률 : 71.48%"
"[이지워크 하비 유모차 럭셔리 블랙디자인은 군더더기 없이 깔끔하다. 역시 블랙이 진리인건가 하비 유모차를 선택한 이유 중 하나 바로 장바구니 아이와 함께 외출을 하게 되면 짐이 정말 많많많많은걸 볼 수 있다. 그 때 매우 유용하게 쓰일 것 같은 크기], 긍정 텍스트 확률 : 99.46%"
"[작동은 손 쉽다. 시트 뒤쪽에 있는 손잡이를 잡고 위 아래로 움직이면 된다.], 긍정 텍스트 확률 : 72.54%"
"[신생아를 눕히기에 허리부분이 꽤 많이 꺾여있는데 괜찮을까?괜찮다. 신생아패드와 함께 들어있는 이 받침대를 허리부분에 넣어주면 아기의 허리를 편하게 지킬 수 있다.], 긍정 텍스트 확률 : 71.97%"
"[집에 놀러 온 친정아버지가 라온이 유모차 적응을 도와주었다. 단계 핸들 조절이 가능하여 키 도], 긍정 텍스트 확률 : 58.42%"
"[보기와 같이 시트가 매우 높은 곳에 위치해있다. 어댑터를 장착하면높아지므로], 긍정 텍스트 확률 : 84.99%"
"[ 엄마랑 눈 마주침이 가능한 높이까지 올릴 수 있다. 그리고 난 다른 한가지 방법으로 유모차를 사용중이다. 밥 먹을 때 식탁 옆에 두기 ㅋㅋㅋㅋㅋㅋ바로 하이체어 대용으로 사용이 가능하다. 아이가 자고 있을 때 밥을 먹어야할 때면뒤척임 소리나 울음 소리에 귀를 기울어야하고고개는 계속 침대쪽으로 돌아간다. 허나 이렇게 유모차를 식탁 옆에 두면 아이와 눈 마주침을 하면서 여유롭게 식사를 할 수 있을 것 같다.], 긍정 텍스트 확률 : 96.91%"
"[나중에 외식을 나가거나 카페에 가서 하이체어로유용히 사용되길...두 손 모아 바란다.ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 89.58%"
"[우리 라온이가 어서 커서 유모차 타고 외출할 날을 기다리며 외출하는 날 다시 포스팅도 할 수 있기를 요리보고 저리봐도 맘에드는 이지워크 하비유모차 후기 끝 내 돈 주고 내가 직접 산 후기 입니다], 긍정 텍스트 확률 : 97.61%"
"[ ......?....? 이지워커하비 ....?....? 디럭스유모차곧 아기가 나오기땜에 미리 유모차를 사두려고 이것저것 알아보다가 이지워커 하비 제품을 알게됐네용ㅎ일단 디럭스유모차 중에서 가격도 저렴하면서 평이 어찌나좋은지 단점을 못찾겠더라고요ㅎ그래서 바로 구입을했습니당ㅎ], 긍정 텍스트 확률 : 97.76%"
"[.. 집안에서 왔다갔다했는데 핸들링이 정말 좋아요디럭스는 보통 무거운게 단점인데 하비는 무겁다는게 전혀 의식되지 않을정도로 부드럽네요디자인도 깔끔하고 넘나이쁜거만원 이내 유모차들 중에서 제일 맘에드네요], 긍정 텍스트 확률 : 88.65%"
"[.. 접고펴는것도 쉽게 할수있고 부피도 이만하면 나쁘지않네요 무게는 키로 가까이되지만 내가 힘이좋은지ㅋ무리없이 거뜬히드네요ㅋㅋ어서빨리 울씩씩이가 나와서 이지워커 하비 유모차 태우고 나들이가고싶네요], 긍정 텍스트 확률 : 91.58%"
"[우리 따복이가 벌써 일이 다 되어가는 이 시점에서..아기띠도 아직 못하겠고], 긍정 텍스트 확률 : 80.60%"
