"[ 편리성은 포기해야 되는 단점이 있어요절충형은 디럭스와 휴대용의 중간단계로 양쪽 장점을 반영했고휴대용은 무게가 가벼워 외출할 때나 보관이 용이한 반면], 긍정 텍스트 확률 : 54.69%"
"[ 실제로 보고산게 아니라서 걱정반 기대반으로 후기를 진짜 오조오억개는 본거같은데..후기마다 써있던 투명휠 이야기 읽었을땐 그냥 투명휠이 뭐그리 대수일까 생각했는데오 받아보니 정말 고급지고 예뻐보입니다역시 괜히 미마가 아니구나 라는 생각을 했어요 ], 긍정 텍스트 확률 : 64.22%"
"[핸들링 좋음], 긍정 텍스트 확률 : 88.39%"
"[디자인 예쁨], 긍정 텍스트 확률 : 88.10%"
"[그리고 손잡이 키높이 조절가능], 긍정 텍스트 확률 : 80.86%"
"[양대면 안되는거 빼면 전 되게 만족하는 유모차에요 다들 잘 비교하셔서 좋은구매 하시길 바래요], 긍정 텍스트 확률 : 63.91%"
"[.안녕하세요?.꼭 갖고 싶은 휴대용 유모차 미마지기.고민 고민하다 질렀어요.미마지기로요.우리 왕자가 탈거닌까 안정성이 최고 잖아요. ], 긍정 텍스트 확률 : 95.45%"
"[ ..편한하게 앉아서 포즈를 취하는 우리 왕자 황금이.넘 귀엽죠. ], 긍정 텍스트 확률 : 71.60%"
"[ ..제품 수령하고 주 이내 포토후기를 작성해서 응모하면 미마지기 안전바를 준데요.꼭 응모해봐야죠. ], 긍정 텍스트 확률 : 64.56%"
"[ ..정품 등록 방법은 일이내에꼭해야 하구요.정품등록승인 시 또는 액세서리를 구입 할수있어요. ], 긍정 텍스트 확률 : 63.56%"
"[ ..모든것을 자세히 설명해주는 설명책자가 있어서 넘좋아요 ], 긍정 텍스트 확률 : 95.87%"
"[레카로 등 후보 중 레카로를 마음에 두고 좋은 가격이 나올 때 구매하려고 하였다. 가격과 안정성이 좋다고 알려져서 마음속으로 픽한 제품이다.근데 핫딜로.?미마지기가미마지기가 똭가격이 높아 구경하지도 않았었는데 레카로], 긍정 텍스트 확률 : 64.18%"
"[양대면 단각도조절 안전바있음 ], 긍정 텍스트 확률 : 66.75%"
"[.?미마미마.?미마자리스포츠미마자리스포츠.?미마유모차미마유모차.?절충형유모차절충형유모차.?유모차유모차 ], 긍정 텍스트 확률 : 54.66%"
"[절출형 유모차로는 한계를 느끼게 되더라구요또한], 긍정 텍스트 확률 : 86.37%"
"[부가부 앤트], 긍정 텍스트 확률 : 56.44%"
"[ 꺼내어서 설명서를 읽어보고 유모차 하자가 있는지 확인해보았는데요다행히 양품을 잘 받은거같습니다앞 모습입니다 ], 긍정 텍스트 확률 : 85.40%"
"[ 마지막으로 우리 똑똑이를 태워 보았는데요신기한지 만지작 만지작그래도 안울고 잘 앉아 있는걸 보니 마음이 놓입니다 ], 긍정 텍스트 확률 : 97.10%"
"[.기존유모차가 스토 디럭스라 무게는 둘째치고 차 트렁크에 자리차지를 너무하더라구요ㅠ .그래서 휴대용유모차를 사려고 알아보던중에 요요랑 미마지기 두개를 고민하고있었어요ㅎㅎ.직접보고 결정해야될것같아 베페갓더니 요요보단 미마가 낫겟더라구요.미마의 단점이 휴대용으로써는 무거운무게감이라 했는데 어차피 계속들고다닐건아니라 오히려 무게감이있어 더 안전하다고 생각했어요ㅋ.저에게는 요요도 무겁다고 느껴졌음..ㅋㅋ.핸들링이 좋다는 평을 듣고 직접밀어보니 정말 핸들링이 좋아요 엄청 부드럽네요 ], 긍정 텍스트 확률 : 96.11%"
"[ .이제 개월 넘어서고있어서 딱 휴대용이 필요하다고 생각햇거든요ㅎㅎ.마침 이번에 급하게 여행가게됬는데 유모차들고가서 너무 잘썻어요.엄청 예민한 아기라 디럭스에서도 짜증내고 잘안자는데 요기서는 꿀잠자더라구요?.그래서 좀놀랫어요..ㅋㅋ ], 긍정 텍스트 확률 : 98.78%"
"[안녕하세용 ♪♪임신 주차에 접어든 임산부에요점점더 몸이 무거워지는데요], 긍정 텍스트 확률 : 55.65%"
"[ 아기침대와 유모차는 거의 브랜드가 정해졌는데디럭스 유모차로.?미마자리미마자리 유모차 정말 사고 싶어서 월에 있을.?부산베이비페어부산베이비페어 만 기다리고 있었는데요], 긍정 텍스트 확률 : 84.29%"
"[ 얼마전에는 시어머니랑 집에서.?출장마사지출장마사지 받았어요. .?산전마사지산전마사지 로 저는 받았는데 분 코스가넘나리 만족스러운것... 어머니도 너무 좋아하시고 저도 좋았답니다👍🏻👍🏻가끔은 뭉친 근육들 풀어주는것도엄청나게 도움되는것 같아요 ㅎㅎㅎㅎ], 긍정 텍스트 확률 : 79.48%"
"[ 가끔.?영어동화책영어동화책 을 읽어주면서.?영어태교영어태교 하고성경책도 읽어주고 대부분의 시간을클래식 음악과찬양을 유튜브로 듣고 있어요.신나는 음악이나 클래식 들을때마다 ♥️♥️아기가 꿈틀 꿈틀 ], 긍정 텍스트 확률 : 59.87%"
"[음악에 반응을 하더라구요 ....사랑스럽게 ㅎㅎㅎ ], 긍정 텍스트 확률 : 97.74%"
"[ 아기도 실제로.?입체초음파도입체초음파도 보고 그러니까점점 아기낳는다는것이 실감이 나더라구요??사랑스럽고 어서 만나고 싶고.... 💗이렇게 엄마가 되어가나 봅니다 ㅎㅎㅎ미리 핫세 핸드백이랑 신발도 사두었어요 ✈️그렇게 하나둘.?출산준비출산준비 를 하고 있는데], 긍정 텍스트 확률 : 97.49%"
"[ 인조가죽이라 때가 덜탈것 같은데 흰색상이라 스크레치에 엄청 약하겠죠....마치 미마자리 색상고민은샤넬 핸드백 살때 캐비어램스킨을 고민하는격이랄까...그래도 저는 주저없이 화이트로 결제했어요미마자리 유모차 싸게사는 곳 좌표 드릴께요핫딜이라 빨리 달려서 겟하세욤 ▼▼ ........ ], 긍정 텍스트 확률 : 95.39%"
"[ 참 잘한거 같아요 요즘.?블랙프라이데이블랙프라이데이.?해외직구사기해외직구사기 도 많다고 하던데 제가 구매한곳은미마자리 유모차 공식 홈페이지 온라인유세븐샵에서 결제 했어요 ✨꺄오 너무 씐나요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 95.27%"
"[여기서 제가 필요한 악세사리중 파라솔컵홀더만구매하면 될거 같아요 겨울에는 윈터키트도 있으면 좋을것 같구요 너무 만족스러웠던 구매 출산 준비물 하나씩 채워가고 있네요혹 미마지리 눈여겨 보고 있었다면 이번 기회에 꼭 겟하세요 ], 긍정 텍스트 확률 : 95.30%"
"[ 그럼 저는.?샤인머스켓샤인머스켓 먹으러 가볼께욤오늘 수업이 넘나리 많아서 좀전에 퇴근했어요 빡빡한 하루였는데 잠시 쉬다가 꿈나라로 가야겠어요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 94.60%"
"[안녕하세요 마음놓고 육아하기], 긍정 텍스트 확률 : 70.31%"
"[맘노코 유모차커버 착용하시고 만족하시는 분들도 무척 많이 계십니다덕분에 디럭스 유모차 뿐만 아니라 휴대용 유모차 사용중이신 분들도 많이 찾는 맘노코 유모차커버가 되었답니당 먼저], 긍정 텍스트 확률 : 91.78%"
"[ 성장한 우리 아기와 비교하였을 때유모차커버 속 공간이 작고 좁아서 고민이신 분들맘노코 유모차커버와 함께해요맘노코 유모차커버는 인체공학적 디자인 설계를 바탕으로 크고 넓은 시력보호창 완성덕분에 유모차커버 내부 공간도 넓어져], 긍정 텍스트 확률 : 83.95%"
"[ 앗앗 방한커버도 빠질 수 없죠?요즈음의 대세는 방한커버 랍니다누빔과 기모의 고급스러움이미마지기와 무척 잘어울립니당], 긍정 텍스트 확률 : 73.23%"
"[ 아무래도 화이트로 구매하면서 때 탈 걱정이 가장 컸는데 재질이 일반 천이 아니라서뭔가 묻어도 바로 바로 닦을 수 있는 재질이더라구요.일반 천으로 되어 있었으면 아예 분리해서 세탁을 맡겨야 했었을 텐데 미마 자리는 따로 맡기지 않고 그때 그때 물티슈로 얼른 닦아주면 되니까관리도 간단하고 따로 세탁 비용도 들지 않아서 그런 점이 참 좋았던 것 같아요. ], 긍정 텍스트 확률 : 53.57%"
"[ 미마 자리가 딱 왔을 때 직원 분께서 조립을 해주셨는데 옆에서 보면서도 혼자 조립도 가능할 것같았어요. 아무래도 디럭스 유모차이다 보니 작동하는 방법도 간단해야 사용하기 좀 더 편하잖아요 그런 점에서 저는 정말 편리했고 분리가 가능하니까 양대면 전환 할 때도 분도 안 걸렸었네요그리고 폴딩도 정말 간단하다는 점 미마 자리 자체도 엄청 큰 편은 아니지만 접고 나서세워둘 수 있어서 그 점이 정말 편리했어요. 디럭스 유모차이다 보니 이런 점이 어려울 수가 있는데 미마 자리는 폴딩마저도 정말 간단합니다. 어느 정도냐 하면 한 손으로도 폴딩이 가능할 정도..? 사용하지 않을 땐 접어둘 수 있다 보니까 그런 점들이 사용하기 편했어요. ], 긍정 텍스트 확률 : 83.49%"
"[ 무엇보다 미마 자리의 큰 장점은 바로 캐리콧이죠 지금도 아기 침대로 변형해서 사용하고있지만 이것 때문이라도 미마 자리를 살만한 가치가 있다고 생각합니다. 유모차로도 사용할 수 있지만 집 안에서도 사용할 수 있고 또 시트를 따로 분리해서 아기 바구니처럼 사용하실 수 있어요 캐리콧도 내장되어 있는 거라 따로 챙기지 않아도 되구요.], 긍정 텍스트 확률 : 90.94%"
"[ 안전 벨트는 오점 식으로 되어 있어요. 디럭스 유모차 같은 경우에는 아이의 안전을 중요시 해서 만든 제품이라서 안전 벨트도 더 아이를 안정감 있게 보호해준다는 생각이 들었어요.미마 자리 자체가 흔들림이 없어서 좋았는데 안전 벨트도 오점 식이라서 더 안심하고 태울 수있었습니다.핸들링도 굉장히 부드럽고 바퀴 자체가 엄청 튼튼하다는게 느껴졌어요. 프레임도 단단하고 잘 밀리다 보니 요즘 같은 날씨에는 늘 밖에 나가서 구경하고 싶은 마음이 듭니다. 외출좋아하시는 맘들이라면 미마 자리 구매하시면 정말 유용하게 잘 쓸 것이라고 생각해요.일단 디자인 자체가 정말 자랑하고 싶은 디자인이잖아요 ], 긍정 텍스트 확률 : 97.52%"
"[ 브레이크는 바퀴 쪽에 있어서 발로 밟으면 브레이크가 걸리도록 되어 있어요. 확실히 빠르고 간편하게 브레이크를 걸 수 있다 보니까 위급 사항 시에 정말 좋을 것 같다는 생각이 들어요.앞 바퀴에는 잠금 장치도 있어서 위험할 것 같은 순간에 미리 바퀴가 돌아가지 않도록 예방할수가 있는데], 긍정 텍스트 확률 : 94.90%"
"[팔 힘이 약하신 분들에게 정말 좋을 것 같다는 생각합니다 ], 긍정 텍스트 확률 : 83.23%"
"[ 집 안에서도 집 밖에서도 유용하게 사용할 수 있는 미마 자리 유모차. 외출을 자주 하시는분들이라면 미마 자리를 완전 강추해드리고 싶어요.무엇보다 핸들링도 부드럽고 실 사용할때에 편리했던 기능들이 많이 있어서 정말 자주 자주 사용하고 있습니다. 액세서리도 다양하고도 바로 바로 받을 수 있는 미마 자리 사용하는 동생도 직접본 저도젤 마음에 들어요. ], 긍정 텍스트 확률 : 99.82%"
"[미마자리 유모차 사용방법 간단 소개와 좋은 점을 소개한 영상을 만들었어요사실 분들에게 조금이나마 도움이 되셨으면 좋겠어요 .. ], 긍정 텍스트 확률 : 58.83%"
"[ 미마자리 좋은점. 간편한 사용법. 가벼운 느낌. 우수한 핸들링. 많이 세워져 아기가 좋아함 울 아긴 완전히 세웠을 때 조금 누운 느낌이 나는 다른 유모차를 싫어했어요자세한 설명은 영상으로 함께 하세요ㅎㅎ ], 긍정 텍스트 확률 : 97.56%"
"[동생이 언니를 생각하며], 긍정 텍스트 확률 : 56.00%"
"[미마자리 스포츠로 사줄 지는 몰랐어요..ㅋㅋ동생이 큰맘 먹고 샀다면서], 긍정 텍스트 확률 : 87.54%"
"[당근 잘해줘야죠 선물을 받자마자], 긍정 텍스트 확률 : 62.72%"
"[동생이랑 나가서 사진을 마구 마구 찍고 왔네요...ㅎㅎㅎ 원래는 저랑 베이비 페스티벌 같은 곳에 가서], 긍정 텍스트 확률 : 54.29%"
"[ 색상은 차콜 한가지에요저는 개인적으로 물건에 때 타는걸 싫어해서 마음에 쏙 들었어요ㅎㅎㅎ 제 동생도 본인이 사면서 좋아하더라구요 동생 아기가 태어나면 가져가려고 본인 마음에도 드는걸 사온건가 하는 생각도 드네요 ], 긍정 텍스트 확률 : 97.87%"
"[ 안전 벨트는 오점식으로 되어있습니다 아무래도 유모차 같은 경우에는 흔들림이 크게 느껴질 수 있기 때문에], 긍정 텍스트 확률 : 50.91%"
"[이러한 안전 벨트는 필수입니다 또한], 긍정 텍스트 확률 : 70.21%"
"[무조건 꽉 맨다고 좋은 것이 아니기 때문에], 긍정 텍스트 확률 : 71.50%"
"[내 아이에게 딱 맞도록 조절을 해주셔야 되세요ㅎㅎ미마자리스포츠 유모차는 아이의 안전을 위한 기능들이 많아서 참 좋은 것 같습니다.어깨부터 잡아주는 안전벨트라서], 긍정 텍스트 확률 : 96.85%"
"[아이가 바깥으로 튕겨져 나가는 불상사는 없을 것 같아요ㅎㅎ안전 벨트 매는 것도 그렇게 어렵지 않아요 버튼을 똑하고 눌러주면], 긍정 텍스트 확률 : 61.95%"
"[아이가 눈 앞에 보이지 않기 때문에 이러한 부분들은 꼼꼼히 확인해 보시고], 긍정 텍스트 확률 : 58.99%"
"[외출을 하셔야 합니다어깨에서 허리까지 아이가 불편하지 않으면서도 완벽하게 잡아줄 수 있는 벨트여야지아이도 편하게 유모차를 타고], 긍정 텍스트 확률 : 90.46%"
"[엄마도 안심이 되지 않을까 해요ㅎㅎ ], 긍정 텍스트 확률 : 88.53%"
"[ 바퀴 중앙에 톡 튀어 나온 것이 바로 원터치 브레이크인데요 동생이 시범을 보여주겠다면서], 긍정 텍스트 확률 : 70.17%"
"[하는 모습이에요ㅋㅋㅋ말그래도원터치이기 때문에], 긍정 텍스트 확률 : 98.79%"
"[유모차에서 가장 중요한 기능일 수 있어요. 특히 오르막 길에서 브레이크가 제대로 작동하지 않는다면.... 정말 생각만해도 끔찍합니다ㅠ ], 긍정 텍스트 확률 : 90.59%"
"[ 요거는 시트가 넓고 큰데다가 풀 캐노피여서 여름에 쓰기 딱 좋을 것 같아요.지금 저기서 안쪽에 히튼 차양막이 더 나온다는 사실저기 안전바까지 내려와요 정말 마음에 드는 것중에 하나였어요거기다 색상도 차콜이라서 깔끔하구요손잡이], 긍정 텍스트 확률 : 93.80%"
"[부드럽게 주행이 가능했어요ㅎㅎ동생이 디자인도 너무 이뻤지만], 긍정 텍스트 확률 : 92.83%"
"[요 핸들링이 편하면 주행할 때에부모가 편하게 사용할 수 있다는 이야기를 듣고 샀다고 하네요ㅋㅋ브레이크도 원터치고 앞 바퀴에도 잠금 장치가 있어서울퉁불퉁한 길에서도 바퀴가 헛돌지 않아요.무엇보다 브레이크가 원터치인게편하더라구요다른 제품들은 올렸다 내렸다 해야 하는데미마 자리 스포츠는 발로 살짝 눌렀다 떼주면 된답니다. ], 긍정 텍스트 확률 : 76.84%"
"[ 마지막으로는 이 폴딩 미마 유모차는 양대면 전환도 너무 쉬웠지만], 긍정 텍스트 확률 : 56.95%"
"[남편이 없을 때에도 폴딩이 가능하답니다ㅎㅎ 저기서 발판을 접어주면 더 조그맣게 접혀요ㅎㅎ 미마 유모차는 엄마들 사이에서는 이미 명품 유모차라고 소문이 나 있는지라], 긍정 텍스트 확률 : 91.08%"
"[동생이 출산 기념이라고 사줬을 때에는 너무 행복했어요 아이가 아직 태어나지 않았지만], 긍정 텍스트 확률 : 97.58%"
"[빨리 산책을 나가고 싶은 기분...? 선물을 받은 거라서 더 아끼고 아껴서 사용할 것 같네요ㅎㅎ후기가 많지않아 혹시 구매망설이시는 분들 계시면 참고하시라고 작성해봤어요 저는 완전 강추예요 ㅎㅎ ], 긍정 텍스트 확률 : 97.97%"
"[늘 어떤 유모차를 살까? 고민을 하다가], 긍정 텍스트 확률 : 75.77%"
"[사게 된 유모차입니다ㅎㅎ 후기가 별로 없어서 더 고민했던 기억이 나네요ㅠㅠ 그래도 베이비 페스티벌 가서 설명도 듣고], 긍정 텍스트 확률 : 97.54%"
"[선택하게 되었습니당ㅎㅎ 신생아 때부터 개월까지 사용할 수 있다고 해서], 긍정 텍스트 확률 : 81.73%"
"[이 정도면 유모차 뽕을 뽑고도 남겠다라고 생각했죠ㅎㅎ 핸들링도 직접 해보고 구입한 것이라서], 긍정 텍스트 확률 : 72.03%"
"[미마 유모차 구매하실 분들은 백화점에서라도 꼭 주행해보시고 구매를 해보세용ㅎㅎ ], 긍정 텍스트 확률 : 79.04%"
"[차콜 색상을 좋아하는 저로써는 디자인과 색상은 쏙 마음에 들었습니다. 때 탈일도 없고], 긍정 텍스트 확률 : 60.40%"
"[계절 내내 다 잘어울리는 색상이기 때문에], 긍정 텍스트 확률 : 89.30%"
"[더더욱 마음에 드는 것 같아요 실물이 더 이쁩니다 ], 긍정 텍스트 확률 : 96.43%"
"[넉넉한 사이즈입니다ㅎㅎ 신생아 시트도 있어서], 긍정 텍스트 확률 : 89.59%"
"[더 오래 태울 수 있을 것 같아요ㅋㅋ 물론], 긍정 텍스트 확률 : 92.68%"
"[아이가 더 탈까하는 마음도 들기는 하지만디럭스 유모차는 솔직히 아이의 키로 수에 따라서 태울 수 있는게 다르다 보니까], 긍정 텍스트 확률 : 94.38%"
"[ 이 캐노비햇빛 가리개 바로 자외선도 차단해주고], 긍정 텍스트 확률 : 50.29%"
"[아이가 잘 있는지 확인까지 가능해서 저는 이 기능이 참 마음에 들더라구요.이제 여름에 덥기도 덥겠지만], 긍정 텍스트 확률 : 70.89%"
"[캐노비를 확장하면 아이 손 있는 부분까지도 가려줍니다ㅋㅋ 진짜 자외선으로부터 완벽 보호에요 ], 긍정 텍스트 확률 : 92.19%"
"[사진에서 보시는 바와 같이 등받이 또한 각도 조절이 가능하니까], 긍정 텍스트 확률 : 75.16%"
"[아이 안전바와 핸들바 또한 각도 조절이 가능하기 때문엔 더 쉽게 주행이 가능합니다ㅎㅎ 아이뿐 아니라 부모도 편하게 사용할 수 있어요 ], 긍정 텍스트 확률 : 78.25%"
"[아이가 불편하지 않게 유모차를 탈 수 있어요. 미마자리 스포츠는 풋레스트가 단계까지 자유자재로 조절이 가능합니다ㅎㅎ 아이가 클수록 각도가 더 많이 조절되는 것으로 추천드려요 아이는 급 성장을 하기 때문에 더욱 아이 체형과 성장단계에 따라서 조절을 하는 것이 좋습니다 ], 긍정 텍스트 확률 : 59.83%"
"[요건 전혀 그렇지 않습니다ㅋㅋ 양대면 전환이 굉장히 손쉬워요 양대면 전환을 했을 때에도 각도 조절이 단계로 가능합니다 이따가 설명을 드리겠지만], 긍정 텍스트 확률 : 77.03%"
"[미마자리는 폴딩이 너무 간편해요 아이한테도 꼭 필요한 기능이기도 하면서 부모 또한 생각한 미마자리 유모차 아주 칭찬해 ], 긍정 텍스트 확률 : 99.30%"
"[프레임도 정말 튼튼한데], 긍정 텍스트 확률 : 68.03%"
"[바퀴가 정말 튼튼해요 바퀴에는 서스팬스 기능이 들어있어서 그런지 제가 핸들링을 해볼 때에 정말 부드럽게 잘 밀렸어요ㅎㅎ 솔직히 디럭스를 살려고 한 이유 중에 하나가 요러한 기능들 때문이였는데], 긍정 텍스트 확률 : 53.14%"
"[저는 절충형이 정말 더 나은 것 같아요 디럭스의 안전성을 살리고], 긍정 텍스트 확률 : 75.94%"
"[실용성은 더 높은 유모차라서 미마자리 스포츠는 정말 추천합니다ㅋㅋ 디자인도 질리지가 않아서 더 좋은 것 같아요 서스팬스 기능이 들어있어서], 긍정 텍스트 확률 : 82.68%"
"[흔들림도 방지해주고 충격을 흡수해 준다고 하네요 아이한테는 꼭 필요한 기능같아요. 아무래도 작은 충격이라고 할지라도 아이한테는 큰 충격으로 다가갈 수 있으니깐요 앞 바퀴에도 장금장치가 있어서 울퉁불퉁한 길도 핸들링이 쉬웠어요 ], 긍정 텍스트 확률 : 92.77%"
"[폴딩도 정말 간단합니다 무게도 디럭스보다 덜 나가기 때문에 여자 혼자서 폴딩을 하고 옮길 수도 있을 것 같아요ㅎㅎ 제가 유모차를 사려고 알아봤을 때에 요렇게 폴딩이 잘되는 유모차는 별로 없었거든요 근데 확실히 폴딩도 굉장히 간단하고], 긍정 텍스트 확률 : 82.29%"
"[길만 잘들여 놓는다면 분으로도 충분할 것 같아요ㅋㅋ ], 긍정 텍스트 확률 : 91.44%"
"[ 제일 중요한 안전벨트 입니다 아무래도 신생아때부터 살까지 사용하다 보니], 긍정 텍스트 확률 : 61.99%"
"[안전 벨트는 굉장히 중요한 것 같아요 특히 시트가 널널하기 때문에 안전 벨트가 잘 잠기는지], 긍정 텍스트 확률 : 78.41%"
"[정말 마음에 들었어요 핸들링도 너무 좋고], 긍정 텍스트 확률 : 99.23%"
"[디럭스의 장점은 살리고 단점은 확 낮췄기 때문에], 긍정 텍스트 확률 : 52.48%"
"[실용성까지 골고루 갖춘 유모차를 저는 너무 잘 사용하고 있습니다ㅎㅎ ], 긍정 텍스트 확률 : 88.79%"
"[튼튼해서 미마 스포츠 유모차가 더 마음에 든다고 하시더라구요 핸들링도 디럭스 유모차랑 비슷하구요ㅋㅋ 아무래도 미마 유모차는 명품 유모차로 유명하기 때문에], 긍정 텍스트 확률 : 52.81%"
"[너무 만족하면서 사용중입니다ㅎㅎ ], 긍정 텍스트 확률 : 93.74%"
"[ 뭔가 딱 봤을 때에 절충형 유모차라기 보다는 디럭스 유모차의 느낌이 나지 않나요?ㅎㅎ튼튼한 건 디럭스 유모차 못지 않는 것 같아요 사실상 디럭스 유모차를 보려고 했다가], 긍정 텍스트 확률 : 89.88%"
"[오히려 가격 대비했을 때에 너무 만족스럽고], 긍정 텍스트 확률 : 68.25%"
"[기능들 또한 필요한 것들이 들어가 있거든요. 뭐], 긍정 텍스트 확률 : 51.73%"
"[이따가 설명을 해드리겠지만], 긍정 텍스트 확률 : 54.59%"
"[안전벨트도 안전벨트이지만], 긍정 텍스트 확률 : 71.79%"
"[바퀴에 서스팬스 기능이 있어서디럭스만큼 안전한 주행이 가능해요좀 헐렁할까 걱정도하긴 했었지만], 긍정 텍스트 확률 : 52.30%"
"[줄이 길어서 그런 걱정은 전혀 없었어요 아무래도 직접 보고 결정한 것이라서 그런지], 긍정 텍스트 확률 : 51.23%"
"[더더욱 섬세하게 살펴보셔야 합니다 ], 긍정 텍스트 확률 : 80.68%"
"[정말 필요했을 때에는 돌이 지나고 나서부터 이기 때문에], 긍정 텍스트 확률 : 94.71%"
"[아이한테 잘 맞는 각도가 저에겐 꼭 필요한 기능 중에 하더라구요. 심지어 살 때까지 사용하는 유모차이다 보니], 긍정 텍스트 확률 : 95.29%"
"[꼭 필요하겠죠?그리고 양대면 전환이 정말 쉽게 가능합니다 유모차를 처음 타는 아이들의 경우], 긍정 텍스트 확률 : 95.55%"
"[이런 기능이 있었으면 좋겠다 하시는 분들은 꼭 확인해보세용ㅎㅎ ], 긍정 텍스트 확률 : 89.69%"
"[ 발판 또한 각도 조절이 가능한데], 긍정 텍스트 확률 : 76.28%"
"[요런 기능들을 많이 확인해보고 구매를 했어요ㅎㅎ 오랜 시간 쓰는 만큼 아이가 제일 편해야하니깐요ㅎㅎ 한 단계까지 조절이 가능해서], 긍정 텍스트 확률 : 89.52%"
"[ 유모차는 무게 보다는 핸들링이 얼마나 잘 나가는지가 중요하기 때문에], 긍정 텍스트 확률 : 55.09%"
"[직접 조금이라도 주행해봐야 합니다 저는 직접 주행했을 때에 손잡이 부분도 가죽 제질이라 착 감기고], 긍정 텍스트 확률 : 54.19%"
"[손잡이 또한 각도 조절이 되어서 주행하는 사람의 각도에 따라서 조절할 수 있어서 편리했어요프레임이 정말 튼튼해 보이지 않나요?ㅎㅎ 딱 봤을 때에는 디럭스 유모차처럼 보이는 것 같네요ㅋㅋ 그만큼 헨들링도 부드럽고], 긍정 텍스트 확률 : 94.13%"
"[제일 더운 여름 날에 아이가 그늘에서 쉴 수 있도록 할 수 있어요ㅎㅎ 물론 더위를 많이 타는 저로썬], 긍정 텍스트 확률 : 94.89%"
"[아이 상태도 확인할 수 있는데], 긍정 텍스트 확률 : 73.74%"
"[굳이 양대면 전환을 하지 않고도 아이가 정서적으로 안정감을 느낄 수 있어서 너무 좋았네요 ], 긍정 텍스트 확률 : 75.27%"
"[ 위에 이야기했듯이 바퀴에 서스팬스 기능이 들어있어요신생아의 경우 작은 흔들림에도 큰 충격으로 다가갈 수 있기 때문에], 긍정 텍스트 확률 : 76.98%"
"[이러한 기능들로 인해서 많은 분들이 디럭스 유모차를 선택했을꺼라 생각해요 하나부터 열까지 다 마음에 안든 기능은 없었던 것 같아요 중앙에 원터치 브레이크도 있어서 쉽고 빠르게 브레이크를 걸 수 있어서 좋았어요 일일히 손으로 누르지 않아도], 긍정 텍스트 확률 : 91.56%"
"[주변 환경들을 고려했을 때에 과연 편리할까라는 생각이 들더군요. 휴대용은 말그대로 가지고 다니기엔 간편할지는 몰라도], 긍정 텍스트 확률 : 51.98%"
"[기능들도 더 추가가 되었구요. 그런 면에서 정말 잘 사용하고 있는 유모차입니다ㅎㅎ완젼 추천해요 ], 긍정 텍스트 확률 : 94.09%"
"[ 제일 마음에 들었던 부분은 바로 캐노비 부분인데], 긍정 텍스트 확률 : 59.96%"
"[요즘 같이 자외선이 많은 날에는 캐노비가제일 중요하거든요. 이 부분도 스토케보다 더 마음에 들었던 이유 중에 하나에요.아무래도 캐노비가 길고 커야 자외선으로부터 아이를 보호할 수가 있으니깐요.아이가 어릴수록 피부가 굉장히 연약하기 때문에 신생아 때부터 유모차를 사용하시는 분들은캐노비햇빛 가리개 부분도 꼭 확인해 보셔야 합니다. ], 긍정 텍스트 확률 : 99.97%"
"[ 유모차를 접을 때에 생각보다 간단해서 매우 놀랐었는데 시트며 안전 바며 다 분리해서 폴딩을 해야 하는 스토케와는 달리 훨씬 빠르고 간단했어요. 솔직히 디럭스 유모차들은무게가 있기도 하고 편리성보다는 아이의 안전 위주로 만들어진 유모차이기 때문에폴딩은 기대조차 안했거든요. 그런 면에서 시트를 부착하고 나서도 폴딩이 가능해서차 안에 집어 넣을 때에도 한 번에 쏙 들어갔고], 긍정 텍스트 확률 : 62.06%"
"[ 저는 유모차를 볼 때에 아이의 안전과 편리성이 굉장히 중요하다고 생각을 합니다.오래 탈 수 있기도 하지만 부모가 오래 끌 수 있어야 되기 때문이죠. 그런 점에서 봤을 때에는실용적인 기능이 굉장히 많이 있었어요. 원 터치 브레이크도 한 번만 밟기만 하면 되니까급하게 브레이크를 걸어야 되는 상황에서는 정말 간편했다는 기억이 나네요.폴딩도 정말 간단하기도 하구요. ], 긍정 텍스트 확률 : 55.26%"
"[ 바퀴나 프레임이 크고 튼튼하기 때문에 핸들링을 할 때에 흔들림이 전혀 없게 느껴졌어요.신생아는 작은 충격에도 큰 충격으로 다가오기 때문에 유모차에서 서스팬션 기능은꼭 봐야 하는 기능 중에 하나입니다. 서스팬션 기능이 있어야 핸들링도 더 부드럽게 잘밀리는 것 같아요. 아이도 유모차 안에서 정말 잘 자서 승차감이 정말 좋은 것 같아요. ], 긍정 텍스트 확률 : 91.07%"
"[ 시트가 제가 봤던 유모차들 중에서 제일 넉넉한 것 같아요. 유모차에서 아이 승차감도 무시할 수없는 문제여서 맘 같아서는 몇 일간 대여 해보고 싶었는데], 긍정 텍스트 확률 : 83.91%"
"[그래도 많은 후기들을 보면서믿고 구매해보자 라는 마음에 더 컸었네요. 지금은 믿고 사길 너무 잘 한 것 같아요.시트가 굉장히 넉넉해서 그런지 아이도 유모차 안에서 잠도 잘 자고], 긍정 텍스트 확률 : 97.48%"
"[오히려 유모차 타는 것을 좋아합니다. ], 긍정 텍스트 확률 : 52.06%"
"[ 캐노비가 확장되는 부분인 사진과 같이 매쉬 소재로 되어있는데], 긍정 텍스트 확률 : 56.44%"
