"[특히나.유모차는 실용성이 최고거든요. ], 긍정 텍스트 확률 : 95.38%"
"[지난 주말파주에 있는 쇼핑몰 갈때들고갔던.?제이해밀턴제이해밀턴.?기저귀가방기저귀가방일명], 긍정 텍스트 확률 : 50.34%"
"[웨건에 기저귀가방을걸지 않을떄는이렇게 제가 메고 다니구요 ], 긍정 텍스트 확률 : 52.54%"
"[모자를 기저귀 가방 측면에 달고 다니니 구겨지지도 않고가지고 다니기 넘나 좋네요 ], 긍정 텍스트 확률 : 56.04%"
"[한손으로 열고닫고], 긍정 텍스트 확률 : 54.21%"
"[생활방수까지 되는 기저기파우치니 가방에 차가운 우유나 물병이 같이 있어도 안심♡ ], 긍정 텍스트 확률 : 65.83%"
"[사용할수록 만족도가 큰.?기저귀가방백팩기저귀가방백팩 입니다. ], 긍정 텍스트 확률 : 62.76%"
"[가방에 기저귀니 물티슈니수납하고도 위에 공간이 남아서아기 블랭킷까지 수납하기 충분하구요 ], 긍정 텍스트 확률 : 66.10%"
"[지난 포스팅에서 수납주머니들은 충분히말했지만], 긍정 텍스트 확률 : 77.21%"
"[ 말해도 말해도 자꾸 수납하고픈 물건들이 생겨요 ㅎ ], 긍정 텍스트 확률 : 77.86%"
"[뒤쪽 큰 주머니에는요즘 늘 스티커북을 가지고 나가요.울딸램], 긍정 텍스트 확률 : 54.60%"
"[나들이가서도마트에서도 쇼핑몰에서도요즘늘 함께하는 연예인기저귀가방], 긍정 텍스트 확률 : 89.97%"
"[ 기저귀백팩 넉넉한 수납공간 디자인까지 예쁜], 긍정 텍스트 확률 : 86.90%"
"[대형마트 등을 다녀온 실제 사용후기를가지고 왔답니다ㅎㅎ ], 긍정 텍스트 확률 : 67.90%"
"[제이해밀턴 기저귀백팩을 직접 멘 동생.워낙 가방 자체가 가벼워서 그런지아이들 데리고 서도 잘 메고 다니더라구요.게다가 파인민트 색상이 시원해보이면서도 독특해서여름과도 잘맞고], 긍정 텍스트 확률 : 52.58%"
"[무엇보다 직접고른 색상이라더 마음에 들어하는거 같았어요. ], 긍정 텍스트 확률 : 72.37%"
"[그래서 초보맘 궁이약사는 자리에 앉기가 무섭게 양의 분유를 타기 시작했답니다. 수납공간이 많이 때문에 각 공간마다 육아용품들을 정리해 둘수가 있어서 긴급한 상황일때도 당황하지 않고], 긍정 텍스트 확률 : 56.11%"
"[원하는 물건을 바로바로 꺼내서 대처할수가 있어요.], 긍정 텍스트 확률 : 50.44%"
"[보온병은 고무줄로 고정을 시키고 물티슈와 손수건까지 정리가 딱딱 처음엔 버벅거리던 동생도 지금은 익숙해졌는지 외출하자라고만하면 척척 가방을 챙기더라구요.], 긍정 텍스트 확률 : 50.86%"
"[여행 셋째날], 긍정 텍스트 확률 : 75.16%"
"[차마시려고 들린 진주 롯데아울렛에서 정확하게 배꼽시계를 울리는 양ㅎㅎ양을 안은 상태에서도 한쪽손으로 지퍼를 열어 필요한 물건을 쏙쏙 꺼내는 궁이약사. ], 긍정 텍스트 확률 : 96.28%"
"[젖병을 찾는데 시간이 절약되서기저귀가방이 마음에 쏙 든다는 궁이약사. ], 긍정 텍스트 확률 : 96.02%"
"[맘마를 맛있게 먹었으면 이젠 기저귀를 갈러 수유실을 찾아가야겠죠?ㅎㅎ수유실이 다른층이 있어서 가방을 다 가져갈필요없이 기저귀파우치만쏙 꺼내 들고 수유실로 갔어요ㅎㅎ ], 긍정 텍스트 확률 : 64.88%"
"[그리고 무엇보다도 디자인이 예뻐서ㅎㅎ외출할때 포인트가 되어 준다는거ㅎ보면 볼 수록 엄마가 메고 싶어지는 가방이랍니다.엄마의 외출이 더욱 즐거워질꺼 같죠? ], 긍정 텍스트 확률 : 100.00%"
"[눈으로 볼때보다 직접사용해보니까더 만족스러웠던 기저귀백팩 제이해밀턴.실용적이면서도 예쁜 기저귀가방을찾으시는 분들께 추천드리고픈 제품이예요], 긍정 텍스트 확률 : 97.86%"
"[ 기저귀가방 제이해밀턴 수납잘되고 편한게 최고 ], 긍정 텍스트 확률 : 94.68%"
"[아이와 함께 밖에 외출을 할 때 물], 긍정 텍스트 확률 : 71.42%"
"[고정되더라고요 ㅎ ], 긍정 텍스트 확률 : 79.27%"
"[ 종이가방과 함께 더스트백으로 이중선물 포장되어 왔는데요 뭔가 출산선물로 이만큼 좋을게 없는것 같더라구요 꼭 뭔가 명품가방 느낌이 .. ㅋㅋㅋ 기분좋았어요], 긍정 텍스트 확률 : 97.22%"
"[제가 사용할 건 다크네이비 색상이였는데요 그 외에도 정말 많은 색상들이 있었답니다.], 긍정 텍스트 확률 : 53.46%"
"[그리고 이게 바로 이제 제가 메고 다니게 될 기저기가방 제이해밀턴 가방이랍니다], 긍정 텍스트 확률 : 87.70%"
"[ 가방무게가 으로 초경량 제품이라 너무너무 좋다는거], 긍정 텍스트 확률 : 80.28%"
"[우선 위쪽을 보니 손잡이가 있었는데요등에 메고다니지 않을때는 손잡이로 들고 다닐수도 있답니다 ], 긍정 텍스트 확률 : 70.15%"
"[우선 앞 포켓에도 있었는데요 자석이 달리고 그 안으로 넣을 수 있게 되어 있었답니다. ], 긍정 텍스트 확률 : 68.84%"
"[ 잡아주는 역활을 해주어서 너무 좋다는거 가방에 물 흐르면 그만한 비극이 없다죠], 긍정 텍스트 확률 : 75.76%"
"[그리고 제이해밀턴 다용도 기저귀파우치와 유모차 연결고리가 있었답니다. ], 긍정 텍스트 확률 : 76.54%"
"[아이를 데리고 있을때 정말 급한데 ], 긍정 텍스트 확률 : 79.96%"
"[그때 ], 긍정 텍스트 확률 : 72.68%"
"[밖에 잠시 나가서 유모차에 걸어보았는데꼭 유모차랑 세트로 맞춘것 같은 이 느낌 ㅎㅎ 굳 ], 긍정 텍스트 확률 : 94.65%"
"[ 진짜 이고 요긴하게 쓸것 같아요 ㅎㅎ기저귀가방으로 이만큼 편리하고 좋은게 있을까 싶네요 ], 긍정 텍스트 확률 : 68.38%"
"[본 포스팅은 업체로부터 제품만을 제공받아 사용후 솔직하게 올린 후기입니다], 긍정 텍스트 확률 : 76.90%"
"[안녕하세요용도담맘 알미에요정말 더워진 요즘 아이와 외출할 때 필수품인 기저귀 가방을 유모차 정리함으로 사용하고 있는데요.유모차 걸이의 벨크로가 굉장히 튼튼해서 이렇게 유모차 손잡이에 붙이면 설치 끝 ], 긍정 텍스트 확률 : 93.67%"
"[필요한 제품을 찾을 때 이렇게 자크 한쪽만 열어도 꺼낼 수 있고 ], 긍정 텍스트 확률 : 84.86%"
"[안전장치도 있어서 중요한 물건 있을 때는 안전장치해주면 좋고요. ], 긍정 텍스트 확률 : 89.34%"
"[제이해밀턴 기저귀가방 백팩은 가방의 균형이 흐트러지지 않고 잘 서 있어서어디서든 편하게 내용물을 한눈에 보고 바로 찾을 수 있어요.의자 위에서도], 긍정 텍스트 확률 : 96.64%"
"[양 사이드포켓에 시크릿 스트링은 아이 모자나 신발 등을 갖고 다닐 수 있어서 정말 유용하답니다. ], 긍정 텍스트 확률 : 85.09%"
"[원피스에도 어울리구요. ], 긍정 텍스트 확률 : 57.99%"
"[캐주얼에도 어울려요. ], 긍정 텍스트 확률 : 57.99%"
"[엄마들의 패션 또한 독보이게 해줘서 기분까지 좋게 해준답니다.개 수납], 긍정 텍스트 확률 : 88.86%"
"[유모차정리함까지 되는 효율적이고 경제적보온], 긍정 텍스트 확률 : 74.71%"
"[보냉까지 되는 기능성자석 커버가 있어서 한 손으로 열어도 내용물 빠지지 않는 차별성과 편리성어느 옷이나 어울리는 엣지있는 디자인까지정말만족하는 유모차정리함 제이해밀턴 백팩이에요. ], 긍정 텍스트 확률 : 70.54%"
"[위 포스팅은 업체로부터 제품만을 무상 제공받아 솔직하게 작성된 후기입니다. ], 긍정 텍스트 확률 : 59.43%"
"[수납력 좋은 제이해밀턴 ], 긍정 텍스트 확률 : 92.72%"
"[안녕하세요 혜복이에요 아이가 둘이다보니 외출할 때마다 짐이 어마어마.가방싸기 도사가 되어버린지 이미 오래인데요짐을 좀 줄여보려고 해도 쉽게 줄여지지 않아 가방이 늘 포화상태에요 ㅠ수납력 좋은 기저귀가방이 있었음 좋겠다 싶었는데 제가 딱 찾던 그런 기저귀가방을 찾았어요 기저귀가방 겸 유모차가방수납력 좋은 제이해밀턴 ], 긍정 텍스트 확률 : 99.81%"
"[백팩 스타일이지만손잡이가 있어 숄더백처럼 들고다니기도 쉽답니다 ], 긍정 텍스트 확률 : 94.93%"
"[우선 전면이 오픈되는 자형 지퍼가 있어 짐을 넣고 빼기 무지 편리하구요한손으로도 커버를 열고 닫을 수 있게 디자인 되어있어요뿐만 아니라 커버 자석이 별도로 있어 급할 땐 지퍼와 상관없이 커버만 닫을 수도 있구요 ], 긍정 텍스트 확률 : 61.97%"
"[수납공간만으로도 부족하시다 싶으시면기저귀파우치 세트를 선택하세요대형기저귀 장이 들어가고도 넉넉한 기저귀파우치가 가방을 좀 더 여유롭게 사용할 수 있도록 도와줄꺼에요 ], 긍정 텍스트 확률 : 89.33%"
"[제이해밀턴 기저귀가방의 또 하나 장점], 긍정 텍스트 확률 : 70.17%"
"[ 유모차 전용 고리가 있어 유모차가방으로도 사용가능하다는 점이에요요것이 바로 유모차 전용고리. ], 긍정 텍스트 확률 : 89.77%"
"[쉽게 열고 닫을 수 있는 제이해밀턴 기저귀가방은 유모차에 걸어둔 상태에서 한손으로 쉽게 사용할 수 있어요 ], 긍정 텍스트 확률 : 77.36%"
"[이 밖에도 가방 사이드 포켓 안쪽으로 시크릿 스트링이 있어 잃어버리기 쉬운 물건들을 고정시킬 수 있어요 ], 긍정 텍스트 확률 : 61.26%"
"[또 하나], 긍정 텍스트 확률 : 62.75%"
"[ 보냉이 가능해요보냉백이 필요없어 더 좋은 제이해밀턴 기저귀가방. ], 긍정 텍스트 확률 : 87.62%"
"[ .?기저귀가방쇼퍼백기저귀가방쇼퍼백 .?기저귀가방기저귀가방 .?기저귀가방숄더백기저귀가방숄더백 .?제이해밀턴제이해밀턴 .?제이해밀턴기저귀가방제이해밀턴기저귀가방 ], 긍정 텍스트 확률 : 54.42%"
"[커피랑 책ㅋㅋㅋ육아맘의 로망 실현 ], 긍정 텍스트 확률 : 83.62%"
"[기저귀가방쇼퍼백이지만 일반 브랜드 쇼퍼백과 차이없는 외모사실 일반 쇼퍼백보다 포켓도 훨씬 많고소재도 가벼운 초경량 쇼퍼백이지만요 ], 긍정 텍스트 확률 : 88.07%"
"[전면부와 후면부에 큰 포켓이 두 개씩 있어서선크림 쓰는 요즘 클렌징 티슈도 넣고제 지갑도 넣고 하는데 간편하고 예뻐요상단에 지퍼도 있고 버튼이 있어서간단하게 잠글 수도 있어요 ], 긍정 텍스트 확률 : 89.63%"
"[요즘은 저랑 아가 둘 다 몸이 안 좋고 미세먼지를 피해집에 있느라 외출해봤자 병원뿐이네요ㅠㅠㅠㅠ소아과는 거의 한 시간 정도면 다녀오니오늘도 간단하게 짐을 싸서 나섰습니다 ], 긍정 텍스트 확률 : 61.57%"
"[여벌옷도 챙겨서 오늘 병원 가기 전찰칵했는데 키가 정도에정도 되는 언블리 옆에 놓으니가방이 더 컴팩트해보이죠?ㅋㅋㅋㅋㅋㅋ언블리가 조금 더 크면 들고 다녀도 될 것 같애요 ], 긍정 텍스트 확률 : 74.00%"
"[유모차에 걸어줘도 되는데 그물 포켓이유모차 하단에 있어서 한 번 넣어줘봤어요가볍고 크기가 적당해 어느 유모차 포켓에도잘 들어가는 제이해밀턴기저귀쇼퍼백이지만 유모차정리함으로도사용이 가능한 멀티아이템이네요 ], 긍정 텍스트 확률 : 75.98%"
"[아빠에게도 어울리는 제이해밀턴], 긍정 텍스트 확률 : 73.94%"
"[예쁜것만 보고 샀던 가죽소재의 백팩물론 예쁜것도 좋은데], 긍정 텍스트 확률 : 93.10%"
"[수납이 넉넉해야하고셋째], 긍정 텍스트 확률 : 51.21%"
"[예쁘기까지하면 금상첨화저의 모든 조건을 충족하는 아이], 긍정 텍스트 확률 : 73.12%"
"[인터넷구매에도 불구하고 선물할 수 있게 더스트백과 쇼핑백까지이중포장되어 택배배송 되어 왔어요구성품은 이렇습니다.가방], 긍정 텍스트 확률 : 80.49%"
"[처음 봤을때예쁘다], 긍정 텍스트 확률 : 93.55%"
"[ 남편이들어도 예쁘겠는데?처음 들어봤을때는 가볍다], 긍정 텍스트 확률 : 62.47%"
"[가방 모양만 보고 위쪽에서 여는줄 알았는데전면오픈 가능한 제품.물건이 앞으로 쏟기지는 않을까 싶었지만수납칸막이를 배치해 그런염려는 ], 긍정 텍스트 확률 : 79.80%"
"[또넓은 사이드 포켓도 아주 유용합니다자주 꺼내야하는 핸드폰], 긍정 텍스트 확률 : 80.09%"
"[옆쪽 보이는 곳이 불안하다면뒤쪽에 히든포켓도 있어요지갑 혹은 기타 중요물품은조금 더 안전하게 수납할 수 있어요기저귀가방하면 제이해밀턴 구매평도 많고후기도 좋던데], 긍정 텍스트 확률 : 86.26%"
"[ 디자인 예쁘고가볍고수납력 짱짱하고 ], 긍정 텍스트 확률 : 91.55%"
"[특히나 반했던 점은 바로 탈부착 가능하게 만들어 놓은전면부 패드필요에 따라 기저귀패드를 붙여도 되고수납패드로 바꿔 사용해도 되요이건 진짜 아이디어 더라구요 ], 긍정 텍스트 확률 : 85.81%"
"[요즘 너무 잘 사용중인제이해밀턴은 시리즈도 많던데 특히나 이 은 남편에게도 아주 잘 어울리는디자인이라 더 마음에 들어요군더더기 없이 깔끔한 디자인에필요한 기능은 다 담아놨네요 ], 긍정 텍스트 확률 : 99.90%"
"[백팩이라 어깨에 맬 일도 많지만들 일도 많아요그립감 좋은 손잡이로 들때도 편하게 사용할 수 있었구요특히나 유모차걸이로 연결해 사용할 수 있어너무 편하더라구요 ], 긍정 텍스트 확률 : 95.24%"
"[집에 있던 가죽소재의 무거운 가방은 던져버리고새 가방 매고 주말 외출다녀 왔어요젖병을 떼고나니 확실히 짐이 확 줄었죠?그래도기저귀], 긍정 텍스트 확률 : 50.50%"
"[아이간식], 긍정 텍스트 확률 : 50.77%"
"[전면부는 지퍼패드를 부착해아이의 간식과 함께 휴대선풍기를 넣었어요칸칸 나눠져 있으니 물건 섞이지 않아 좋고매쉬로 처리되 있어 한눈에 찾을 수있어 ], 긍정 텍스트 확률 : 65.33%"
"[수많은 브랜드들 사이에서이미 사용해본 엄마들이 칭찬하고 추천하는제이해밀턴역시 많이 쓰고 추천하는데는이유가 있나봅니다. 아주 만족스럽게 사용중이에요 ], 긍정 텍스트 확률 : 98.51%"
"[기저귀가방 고민하고 계실예비맘], 긍정 텍스트 확률 : 59.66%"
"[육아맘님들에게 조금이나마 도움이 되길 바라며개봉기 작성해 봤어요.좀 더 사용해 보고 사용기도 가져올게용제가 사용중인제품은 ..?네이버쇼핑에서 확인하세요], 긍정 텍스트 확률 : 98.14%"
"[ 백팩기저귀가방 제이해밀턴수납공간많은 가방아빠도 맬수있는 백팩기저귀가방 ], 긍정 텍스트 확률 : 58.65%"
"[ 아기짐도 있지만], 긍정 텍스트 확률 : 70.79%"
"[저는 첫째 짐도 있기때문에 일반 가방에 담으면 정말 가방 터질꺼 같아요 백팩기저귀가방 아니였으면], 긍정 텍스트 확률 : 73.67%"
"[물이랑 음료], 긍정 텍스트 확률 : 51.44%"
"[저는 이 옆에 있는 핸드폰 주머니가 너무 맘에 들어요 핸드폰이 다 들어가는건 아니지만], 긍정 텍스트 확률 : 56.00%"
"[안정적으로 들어가구요 오히려 저정도 나와 있는게 꺼냈다 넣었다 하기 너무 좋아요], 긍정 텍스트 확률 : 81.29%"
"[ 또 앞에 보이는 작은 주머니에는 대일밴드랑 바르는약등 비상약을 담았어요], 긍정 텍스트 확률 : 68.39%"
"[ 그리고], 긍정 텍스트 확률 : 70.21%"
"[지퍼백에 가재수건이랑 여벌옷까지 충분히 들어가요], 긍정 텍스트 확률 : 73.25%"
"[ 맨 앞주머니에 선풍기 넣기 좀 볼록해지면], 긍정 텍스트 확률 : 62.25%"
"[ 남자가 매기에도 너무 좋아요], 긍정 텍스트 확률 : 90.44%"
"[다른 아빠들도 그렇겠죠?ㅋ 이거 매더니 마음에 든데요 ㅋ 남편이 더 좋아하는 제이해밀턴 백팩기저귀가방 남자가 들기에도 좋아요], 긍정 텍스트 확률 : 96.79%"
"[가방이 세워져서 짐도 한눈에 보이고 수시로 꺼내기도 좋아요], 긍정 텍스트 확률 : 56.66%"
"[지퍼를 올리면 한손으로도 할 수 있어요], 긍정 텍스트 확률 : 93.06%"
"[지퍼를 올리면 돼요 이런 점까지 다 생각해서 만들어낸 제품인거 같아요 지퍼를 다 올려도 되구요 수시로 꺼낼때는 자석잠금을 해놓고], 긍정 텍스트 확률 : 74.35%"
"[더 편리하게 이용할 수 있어요], 긍정 텍스트 확률 : 65.07%"
"[ 한손으로 아이 안고도 필요한거 있으면 다른 한손으로 꺼낼 수 있는게 가장 큰 장점이예요 아기를 돌보다 보면 정말 한손은 묶여 있는 경우가 많아요 그럴때 아기 내려놓으면 아기는 울고], 긍정 텍스트 확률 : 87.83%"
"[ 저는 심지어 선풍기 고정하는것도 없어요 ㅋㅋㅋㅋ 그런데 가방을 위에다가 거니깐 가방사이에 선풍기도 끼울 수 있다니 ], 긍정 텍스트 확률 : 85.50%"
"[물이랑 보온병 굴러다니고], 긍정 텍스트 확률 : 51.44%"
"[뒤지면서 찾고 ㅠㅠ], 긍정 텍스트 확률 : 84.43%"
"[더 좋아요], 긍정 텍스트 확률 : 51.47%"
"[본 제품은 업체로부터 제공받아], 긍정 텍스트 확률 : 57.40%"
"[ 기저귀가방추천], 긍정 텍스트 확률 : 79.58%"
"[얼마전에 메리랑 제주도에 다녀왔어요. 시간의 짧은 비행이지만 아기가 가만히 있는건 엄청 힘든일이잖아요. 평소 좋아하는 물건 주면서 열심히 달랬어요 ㅋㅋ책], 긍정 텍스트 확률 : 96.33%"
"[근데 아무리 많은 물건도 제이해밀턴 기저귀가방 하나면 수납 완료디자인도 깔끔하고], 긍정 텍스트 확률 : 56.08%"
"[수납도 대용량이라 만족스러운 제품이에요. 기내에선 발밑에 두고 필요할때마다 꺼내썼어요.], 긍정 텍스트 확률 : 98.92%"
"[물건 꺼내기도 힘들었던 경험 다들 있으실거에요. 제이해밀턴 기저귀가방이면 이 모든게 해결됩니다. ㅋㅋ또한 기저귀가방이 단단히 고정되서 옆으로 흐르거나 하지 않아요. ], 긍정 텍스트 확률 : 74.59%"
"[수납공간이 넉넉해서 젖병], 긍정 텍스트 확률 : 51.21%"
"[아기 기저귀가방 찾으신다면 제이해밀턴 제품 강력 추천드려요특히 문화센터 가실 때 정말 편하다고 느끼실거에요 이상 제이해밀턴 사용 후기였습니다.], 긍정 텍스트 확률 : 98.96%"
"[ 기저귀가방숄더백 수납공간이 넉넉한 제이해밀턴 ], 긍정 텍스트 확률 : 51.21%"
"[안녕하세요 육아하는 꽃쫑이입니다 ㅎㅎ 요즘 맘님들에게 핫하다는 기저귀가방을 배송받았답니다 뚜둔뚜둔 넉넉한 수납공간으로 실용적이고], 긍정 텍스트 확률 : 97.04%"
"[예쁨까지 겸비한 기저귀가방숄더백 개봉기를 공유해보려고 합니다 ㅎㅎ], 긍정 텍스트 확률 : 92.52%"
"[택배요], 긍정 텍스트 확률 : 62.08%"
"[ 하는 소리는 언제나 반갑지요 ㅎㅎㅎ 택배 받자마자 뜯어보았습니다 택배상자를 뜯었더니 깔끔한 종이가방이 들어있었어요], 긍정 텍스트 확률 : 52.50%"
"[종이가방만으로도 충분히 고급진데그 안에는 또다시 더스트백으로 이중포장되어있네요 이렇게 종이가방과 더스트백으로 이중 선물포장이 되어 제품이 발송되기때문에 출산선물로도 딱일것 같아요], 긍정 텍스트 확률 : 99.24%"
"[포장부터 다른 제이해밀턴 기저귀가방숄더백 택배상자 뜯는 순간부터 기분이 좋습니다 ㅁ ], 긍정 텍스트 확률 : 78.68%"
"[제가 받은 기저귀가방숄더백은 임페리얼레드 색상인데요 블루], 긍정 텍스트 확률 : 63.85%"
"[기저귀가방숄더백다용도 기저귀파우치유모차걸이 이렇게 구성되어 있습니다], 긍정 텍스트 확률 : 89.65%"
"[양옆에 있는 고리링에 유모차걸이를 끼우면 유모차에 걸어서 맘님들의 힘든 어깨를 보호해줄 수 있어요 ㅎㅎ 저는 이부분이 정말 마음에 들더라구요 아기랑 나가면 짐도 많고], 긍정 텍스트 확률 : 94.40%"
"[ 다시 가방을 어깨에 맸다가.. 여간 불편한게 아니죠..ㅠㅠ그런 불편한점을 해소할 수 있는 유모차 걸이가 세트로 구성되어 있어서 너무나 좋았답니다. ㅎㅎ], 긍정 텍스트 확률 : 84.61%"
"[사랑 받는 기저귀가방은 정말 다른것 같아요.수납공간이 정말 넉넉하더라구요 숄더백 외부에 개의 커다란 주머니가 있고], 긍정 텍스트 확률 : 90.82%"
"[자세히 보니 있더라구요], 긍정 텍스트 확률 : 65.81%"
"[친정에 오래 있게 되거나 할때는 스틱분유를 챙기기때문에정말 실용적인 병홀더인것 같아요 물을 담아가도 쏟길 걱정이 없어요 ㅁ ], 긍정 텍스트 확률 : 69.05%"
"[기저귀가방을 요렇게 유모차에 고정하면 외출 준비 끝이지요더운 여름이라 자주 외출할수는 없지만 다음번엔 사용기 리뷰를 해보도록 할게요긴글 읽어주셔서 감사합니다. ], 긍정 텍스트 확률 : 95.42%"
"[ 기저귀가방 백팩 제이해밀턴 최고편하게 사용하는 리얼후기 ], 긍정 텍스트 확률 : 93.49%"
"[셀프 스텐딩으로 혼자 서도 잘 서있는 아이랍니다], 긍정 텍스트 확률 : 89.39%"
"[ 역시 쉽고편하게꺼내서 사용할수 있죠 ], 긍정 텍스트 확률 : 72.49%"
"[명품백 마냥 곱디 곱게 생긴 디자인이차원이 다른 핏을 뽐내고 있죠 ], 긍정 텍스트 확률 : 77.85%"
"[백팩 으로 메도 너무너무 예쁜 기저귀가방 유모차에 걸어서 사용하면 완전 좋답니다 ], 긍정 텍스트 확률 : 97.12%"
"[포스팅을 하는동안에도흐믓하네요 완전 추천합니다 ], 긍정 텍스트 확률 : 88.14%"
"[ 이 포스], 긍정 텍스트 확률 : 64.12%"
"[팅은 해당업체로부터 순수 제품만을 제공받아 작성한 솔직후기임을 알려드립니다], 긍정 텍스트 확률 : 77.62%"
"[ 기저귀가방추천], 긍정 텍스트 확률 : 79.58%"
"[ 보온 잘되는가방혼자 외출했을때 앞에는 아기띠 뒤에는 가방을 메도너무 부해보이지않고 딱 달라붙어있기 앞], 긍정 텍스트 확률 : 77.01%"
"[뭉퉁한게 제눈에 차지않았죠..ㅠ하지만 이번에 제이해밀턴신상으로 나온 제품이 딱 제가 찾는거였죠.. ], 긍정 텍스트 확률 : 59.00%"
"[저 두 사진에 뿅 하고 구매하게되었죠 ], 긍정 텍스트 확률 : 57.08%"
"[블랙성애자인만큼이번에도 블랙 ], 긍정 텍스트 확률 : 64.38%"
"[짱 좋은 기저귀패드유아휴게실이 나름깨끗하지만화장실하고 같이있는 기저귀대나], 긍정 텍스트 확률 : 93.24%"
"[ 외출시 따로 기저귀를 갈공간이 없을때], 긍정 텍스트 확률 : 52.75%"
"[ 저렇게 펼쳐서 갈아주니 위생적이고 짱 좋더라구요전에는 블랭킷을 깔아주곤 했거든요 ], 긍정 텍스트 확률 : 91.42%"
"[구입처 및 자세한상품안내를 도와줄 홈페이지입니다욧 ], 긍정 텍스트 확률 : 56.01%"
"[ 유모차가방 제이해밀턴 수납력 최고에요 ], 긍정 텍스트 확률 : 99.01%"
"[색상도 다양하게 있어서 고르느라 힘들었어요.무려 가지나 있어서 고르는 재미가 있더라고요 저는 가장 무난무난한 때 잘 안 탈거 같은 네이비 색상으로 골랐습니다 ㅋㅋㅋ그런데 받아보니 고급스럽고 너무 예뻤어요 딱 내 스퇄이야♡♡ ], 긍정 텍스트 확률 : 98.63%"
"[구성품은 비닐에 잘 감싸서 배송되었는데요부품이 뭔가 많아서 찾아봤더니 컵홀더랑 핸드폰 거치대 였던거죠 ㅎㅎ사용설명서를 꼭 봐야지 알 수 있겠더란 말입니다유모차 하나 갖고 다니려고해도 컵홀더 추가로 사야하고 핸드폰 거치대도 편하게 만질 수 있게 있었음 좋겠다 생각했는데 제이해밀턴 유모차가방 하나로 다 해결되네요아싸 돈 굳었음 ], 긍정 텍스트 확률 : 99.76%"
"[모두가 벨트로가 달려 있어서 쉽게 떼었다 붙였다 할 수 있지요 그리고 크기 조절도 가능해요.시판용 컵 홀더 핸드폰 홀더는 크기를 조절할 수 없어서 크기 제약을 많이 받잖아요저는 항상 사이즈때문에 무척 고민 되더라고요혹시 안 맞으면 반품해야 하는데 왕복 배송비도 무시 못해요 ㅠ 왕복 배송비 때문에 그냥 사용하게 되거나 지인 주게 되는 것들도 많은데 내가 사용하고 있는 제품에 맞출 수 있으니 얼마나 좋은가요 ], 긍정 텍스트 확률 : 82.23%"
"[하랑이 같은 경우는 빨대컵을 아직도 사용해요컵에다 먹으라고 하니 싫다며 빨대컵을 꼭 달라고해서 나갈때마다 빨대컵을 꼭 챙겨가는데요빨대컵 종류를 가지를 사용해서사 사이즈가 서로 다르거든요 그런데 넓이 조절이 되니 편해요 ], 긍정 텍스트 확률 : 82.80%"
"[가방 커버를 열면 넓은 본체가 나옵니다꽤 넓어서 이것저것 다 들어가요. 유모차 가방 갖고 마트에 장본적 있었거든요. 그날 사진 찍으려고 카메라도 갖고 갔는데 카드를 놓고 가서 사진은 못 찍었어요.. 저 카드 꽤 깜박 깜박 하거든요 ㅠ 이번이 벌써 두번째 ㅋㅋㅋㅋㅋ 아이고 아줌마 기억력 어찌하나유 그래도 후기를 말하자면 장본게 꽤 많이 들어간다는거 기저귀가방에도 일부 유모차가방에도 일부 넣어서 잘 갖고 왔어요 ㅋㅋ ], 긍정 텍스트 확률 : 98.41%"
"[조립하면 이런 모습 인데요 ], 긍정 텍스트 확률 : 67.15%"
"[요 끈은 유모차에 걸 수 있도록 도와주는 고리에요벨크로가 튼튼해서 유모차에 잘 붙어 있더라고요. 좌우측이 딱 정해져 있어서 헷갈리지 않게 연결해 주는게 포인트에요 ], 긍정 텍스트 확률 : 87.20%"
"[자석이 달린 정리함 문도 쉽게 여닫을 수 있어서 편해요한 손으로 대충 막 열어도 잘 열리네요 ], 긍정 텍스트 확률 : 74.44%"
"[핸드폰까지 ㅋ정말 웬만한건 다 들어가니 좋더라고요이제 어깨 아프게 기저귀가방 안메고 다녀도 될 듯 ? 드디어 해방인가요 ㅎㅎ ], 긍정 텍스트 확률 : 99.08%"
"[앞에 작은 주머니도 있어서 자잘한 물건들은 여기에 수납할 수 있어요제이해밀턴 제품들의 특징은 수납력이 좋다는거죠. 세심하게 작은 주머니들이 많아서 분류해서 넣을 수 있거든요. 그럼 지저분한 가방 안도 어느정도 정리가 잘 됩니다], 긍정 텍스트 확률 : 85.83%"
"[ 이미 봄나들이 다녀왔지만카메라는 있었지만 카드는 안갖고 갔다는건 안비밀 ㅜㅜ유용하게 잘 사용했는데요 나중에 사용기 후기 들려드릴게요 기대 부탁드려용.. ], 긍정 텍스트 확률 : 68.53%"
"[요즘은 센스넘치는 육아맘들이 많으시다보니육아용품 하나 고를때에도디자인 기능 가격 무엇 하나 빠질 수없이완벽한걸 찾게 되는데요예전에는 그래도 기능에 큰 비중을 두었다면요즘엔 디자인 컬러에도 큰 비중을 두는것 같아요오늘은 기존 유모차가방들에 비해 확실히차별화된 디자인의 제이해밀턴 사용기를 적어볼까 합니당 ], 긍정 텍스트 확률 : 99.87%"
