"[ 정말 오랜만에 포스팅으로 인사드리네요..블로그 포스팅 못하는동안고객님들께서 정말 많은 문의를 주셨는데 항상 감사드립니다.고객님들의 많은 문의 속에서분명 매입문의 문자], 긍정 텍스트 확률 : 83.59%"
"[ 본 블로그의 모든 상품은공식 홈페이지를 통해 진행 되는 안전한 제품입니다. ], 긍정 텍스트 확률 : 67.93%"
"[친구들이랑 감성타코 다녀왔어요인터넷에서 유명한 맛집이라고 본 적이 있어서가야지 가야지 하다가 이번에 드디어 다녀왔네요역시 유명한 곳이라 그런지 맛있었네요ㅎㅎ ], 긍정 텍스트 확률 : 97.82%"
"[맛있게 저녁 먹고 집으로 돌아왔는데태아보험사은품이 도착해 있었어요저는 유모차를 선택했거든요큰 택배가 와있어서 놀랐는데 태아보험사은품이었네요ㅎㅎ요즘은 사은품도 참 훌륭하죠? ], 긍정 텍스트 확률 : 80.03%"
"[아프리카 트위기 유모차에요색깔은 제가 좋아하는 연두색으로절충형 유모차라서 가벼운게 참 마음데 드네요제가 팔 힘이 없어서 무거운건 좀 힘들거든요 ], 긍정 텍스트 확률 : 97.99%"
"[밑에 주머니도 크고 넓어서이것저것 잘 담을 수 있을 것 같고요ㅋㅋ태아보험사은품으로 받은 건데 알차고 좋네요ㅎ아 물론 공짜로 받은 건 아니고 제가 부담금 좀 보탰어요그래도 시중보다 훨씬 저렴하게 구매해서 만족중이에요제가 가입한 곳이 주변 마미들도 다 가입한 곳이고또 보장도 괜찮은 것 같아서 여기로 결정한거에요무엇보다 태아보험사은품이 다양한게 마음에 들었고요제가 사은품 받은 곳 ..?주소 남겨놓을게요상담만 받아도 무료 사은품 보내주니까 받아가세요 ], 긍정 텍스트 확률 : 96.15%"
"[안녕하세요. 금호동댁입니다.제가 조금... 유모차 덕후에요. 처음엔 유모차에 아무런 관심이 없었구요.아기를 낳고도 그다지 관심이 없었어요.형님이 스토케 익스플로리년식 유모차를 물려주셨었거든요.간혹 그걸로 아기 재워보기도 하고], 긍정 텍스트 확률 : 56.61%"
"[앉아있기는 잘 앉아 있는데...문제는 요즘들어 절대], 긍정 텍스트 확률 : 70.71%"
"[구성품이구요. ], 긍정 텍스트 확률 : 50.53%"
"[유모차 상태는 너무너무 좋네요.핸들부분도 스펀지가 아니라 가죽으로 덮여 있네요.바퀴도 바람이 빵빵하게 차 있구요. ], 긍정 텍스트 확률 : 77.92%"
"[ 아카짱혼포 후쿠오카 아카짱혼포 방문후기 편], 긍정 텍스트 확률 : 97.59%"
"[마리나타운이라는 건물에 입점한 아카짱혼포아앗. 저멀리 빨간간판이 보이네요.], 긍정 텍스트 확률 : 76.07%"
"[고대하던 아카짱혼포예요.], 긍정 텍스트 확률 : 90.49%"
"[지하층을 통해서 들어갔는데요. 멋진 홀 형태로 되어있는 곳을 통해 올라갔어요.], 긍정 텍스트 확률 : 96.16%"
"[밤에 조명쬐서 보면 멋지겠다우 ], 긍정 텍스트 확률 : 88.06%"
"[굉장히 세련되고], 긍정 텍스트 확률 : 86.08%"
"[활기넘쳤던 마리나타운 여기서 아카짱혼포를 찾는건 어렵지 않았어요. 전층이 한층구조거든요. 빨간색 간판만 찾으면 바로 나온답니다. 저 멀리 보이는 간판이 바로], 긍정 텍스트 확률 : 70.93%"
"[아카짱혼포랍니다. ], 긍정 텍스트 확률 : 91.08%"
"[드디어 만나게 된 아카짱용품굉장히 큰 규모를 자랑하는 아기용품 전문쇼핑몰 ], 긍정 텍스트 확률 : 96.95%"
"[쪼꼬미씨 그대의 물건들을 구경하고 살 예정이예요.], 긍정 텍스트 확률 : 61.96%"
"[그럼 이제부터 아카짱혼포 구경을 시작합니다. 딱히 순서는 없고요. 제눈에 들어오는것 위주로 찍었으며 되도록 가격도 알 수있도록 담았답니다. ], 긍정 텍스트 확률 : 97.29%"
"[음악과 영상이 나오는 영사기라네요.], 긍정 텍스트 확률 : 87.35%"
"[귀여운 푸우모빌 ], 긍정 텍스트 확률 : 89.00%"
"[여기서부터는 잠시 호빵맨시리즈로 갑니다.], 긍정 텍스트 확률 : 59.35%"
"[뿅뿅망치로 남편과 잠시 놀아봤습니다. ㅋㅋ ], 긍정 텍스트 확률 : 58.20%"
"[귀여운 호빵맨 가방 ], 긍정 텍스트 확률 : 89.00%"
"[다양한 형태의 공도 있네요.], 긍정 텍스트 확률 : 68.19%"
"[호빵맨 배변의자와 부스터 등도 있었어요.], 긍정 텍스트 확률 : 66.04%"
"[청소기도 있다니. 실제로 되는지가 궁금해집니다.], 긍정 텍스트 확률 : 72.02%"
"[아프리카에서 나온 바운서라는데 저거 양옆으로 잘 흔들거리더라구요. 신생아용으로 참 좋을듯싶지만....], 긍정 텍스트 확률 : 84.62%"
"[카시트제품들의 라인은 그렇게 다양하진 않았어요. 콤피와 레카로 제품이 대부분이였어요.], 긍정 텍스트 확률 : 57.23%"
"[한국보다 비싼듯한 에르고 아기띠 ], 긍정 텍스트 확률 : 62.00%"
"[하지만 귀여운 아기띠의 침받이], 긍정 텍스트 확률 : 72.76%"
"[턱받이 등은 다양하게 있답니다. ], 긍정 텍스트 확률 : 63.63%"
"[유모차라인도 아프리카와 콤피 브랜드가 대부분이였어요. 일본에서는 이 두제품이 큰 독점률을 보여주네요.], 긍정 텍스트 확률 : 69.74%"
"[이건 독특한 풋 워머가 장착되있네요.], 긍정 텍스트 확률 : 73.10%"
"[만원 상당의 유모차 레이커버 ], 긍정 텍스트 확률 : 52.07%"
"[ 엔대남편이 무지 탐냈답니다. ㅋㅋㅋ ], 긍정 텍스트 확률 : 81.95%"
"[귀여운 푸우컵세트 ], 긍정 텍스트 확률 : 89.00%"
"[이정도면 저렴한 젖병가격일련지? ], 긍정 텍스트 확률 : 59.44%"
"[귀여운 곰돌이 푸우식기들 ], 긍정 텍스트 확률 : 75.87%"
"[콤피와 피죤의 식기세트 ], 긍정 텍스트 확률 : 68.07%"
"[귀욤귀욤 색깔의 신발도 있었고. ], 긍정 텍스트 확률 : 71.65%"
"[이런 옛날삘나는 고무신재질의 신발도 있구.], 긍정 텍스트 확률 : 60.17%"
"[귀여운 욕실매트 빼꼼 얼굴내민 쪼꼬미도 귀욤귀욤 ], 긍정 텍스트 확률 : 82.72%"
"[대략 원대였어요. 이건 가격부담 없어서 좀 탐났지만 부피가 커서 패스. ㅠㅠ], 긍정 텍스트 확률 : 92.10%"
"[아빠가 목마태워줬음에도 몹시 칭얼대는 쪼꼬미 배가 고픈가봅니다. 친절하게도 아카짱혼포 내에는 ], 긍정 텍스트 확률 : 89.26%"
"[기저귀도 갈아주고 쉬면서오랜시간을 보낼 수 있었어요. 후쿠오카 아카짱혼포 방문후기는 계속됩니다.], 긍정 텍스트 확률 : 99.39%"
"[임신 개월차.아는게 없다...... 주위 사람들이 말하길], 긍정 텍스트 확률 : 50.10%"
"[일단 월출산용품리스트를 쳐서 뭐가 필요하고], 긍정 텍스트 확률 : 50.58%"
"[어떤 브랜드가 선호도가 높은지 알아보았다.그리고 베페 두번째 방문이지만], 긍정 텍스트 확률 : 70.13%"
"[저번엔 진짜 아무것도 몰랐다. ], 긍정 텍스트 확률 : 53.40%"
"[우리의 주 목적은 카시트 구경남편 친구가 사용한다는 페도라 구경중. ], 긍정 텍스트 확률 : 90.78%"
"[왠지 친구가 사용하고 좋다고 하면], 긍정 텍스트 확률 : 51.52%"
"[ 마음 놓고 바로 사는데], 긍정 텍스트 확률 : 90.73%"
"[크림하우스의 매트 ], 긍정 텍스트 확률 : 52.07%"
"[미즈넷아프리카 주라이드 주니어 카시트 사용기 ], 긍정 텍스트 확률 : 52.19%"
"[기존 카시트의 경우 점 식 벨트라 고정은 튼튼하였지만 아이가 커갈수록 체간과 사타구니에 압박감을 호소라기 시작했습니다.아프리카 주라이드는 차량의 점 식 안전벨트를 사용하는 방식입니다.성인 안전벨트라서 아이의 골반과 허리 부분에 고정이 잘 되도록 숄더 프로텍터와 골반 쪽에 고정 장치가 위치해있습니다. ], 긍정 텍스트 확률 : 74.16%"
"[부산베페 부산육아박람회가 오늘일부터 일요일일까지 열리는데요 ], 긍정 텍스트 확률 : 71.67%"
"[안내데스크맞은편에 대여가능한 유모차도 있답니더명선착순이벤트경품인데요], 긍정 텍스트 확률 : 74.71%"
"[만원이상구매고객선착순명 코끼리증정 ], 긍정 텍스트 확률 : 61.03%"
"[ 일만 시행하는 이벤트인데요 저 사실 코끼리 받으러갓어욬ㅋㅋㅋㅋ홀에 사은품수령처잇어요 ], 긍정 텍스트 확률 : 71.12%"
"[생각보다 규모가 좀 많이 작아서 아쉬움이 많이 남았던 부산육아박람회였지만 웬만한건 다 있엇어요 ], 긍정 텍스트 확률 : 77.27%"
"[그리고 콤비유모차], 긍정 텍스트 확률 : 70.21%"
"[이거 따로타고다니다가 합체도 되는 정말 신기한 트윈유모차였어요 ], 긍정 텍스트 확률 : 59.20%"
"[그리고 이번에 요야유모차 도 나왔더라구요], 긍정 텍스트 확률 : 88.08%"
"[엄마들사이에서 너무너무 유명한 몽슈레와콤비에서 나온 말하기 움직이기 가능한 귀여운 애착인형까지], 긍정 텍스트 확률 : 78.48%"
"[칠땡이가 쪼꼬미였을땐 내복만 보였는데요요즘엔 외출복도 눈에 마구마구 들어오내요 ㅎ ], 긍정 텍스트 확률 : 61.45%"
"[그리고 칠땡이가 먹고있는 아기과자내아이애], 긍정 텍스트 확률 : 56.61%"
"[완전싸요주말에 신랑이랑 가서 사와야겟어요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 52.92%"
"[제 앞에 같이간 언니가 그 유모차는 갖고가고전 건방진 포즈로 룰렛을 돌렷어요 ㅋㅋㅋㅋ나는 워터클렌징 ....... 언니무거운거 걸려서 덕분에 택시잘얻어타고왓네욬ㅋㅋㅋㅋㅋㅋㅋ내일 코끼리타러갑시닼ㅋㅋㅋㅋ룰렛돌리러가요가요가요아 그리고홀인가 모자랑 목도리 엄청싸게 파는곳잇어요], 긍정 텍스트 확률 : 96.91%"
"[이 토끼모자 다른데선 천원인가했던거같은데 여긴 천원에 겟겟 ㅋㅋㅋㅋㅋ 뭔가 아쉬운 부산육아박람회긴하지만외출복이랑 내복 모자등은 싼곳만 쏙쏙 들어와서 전 잘다녀온거같아요 ], 긍정 텍스트 확률 : 67.56%"
"[ 양대면과 폴딩을 초 만에 아프리카 솔라리아 유모차 구매했어요 양대면 유모차 추천 ], 긍정 텍스트 확률 : 82.52%"
"[양대면 기능과 폴딩 기능이 쉬운지], 긍정 텍스트 확률 : 51.21%"
"[그리고 무게], 긍정 텍스트 확률 : 70.21%"
"[했어요. 지인이 선물해주기로 한 거예요.이렇게 따지고 따져서 구매한 제품은 무엇일까요? ㅎㅎ ], 긍정 텍스트 확률 : 52.40%"
"[바로 아프리카 솔라리아입니다.저번 포스팅에서도 가지 중 ], 긍정 텍스트 확률 : 51.21%"
"[대신 디자인이 완전 내 스타일...], 긍정 텍스트 확률 : 54.28%"
"[ 디자인이나 브랜드 인지도는 좀 떨어지지만 특히 브랜드 인지도는 사실 조금 아쉬움... ㅠㅠ 기능이 정말 내가 찾는 기능을 다 갖춘], 긍정 텍스트 확률 : 67.89%"
"[이에요. ], 긍정 텍스트 확률 : 95.72%"
"[집에 와서 바로 비닐 벗겼을 때 상태예요.조립이고 뭐고 필요 없어요. ㅎㅎ셀프 스탠딩 상태죠?보관할 때에는 이렇게 보관하면 돼요. ], 긍정 텍스트 확률 : 70.41%"
"[아프리카 솔라리아의 장점에 대해서 말해볼 텐데요.제일 크게 가지니까 이것만 언급하고], 긍정 텍스트 확률 : 60.86%"
"[자세한 후기는 또 따로 작성해보려고요.그 첫 번째는 바로 이 동영상을 봐주세요 제 잠옷은... 신경 쓰지 말아주세요. ㅋㅋ버튼 누르면서 유모차를 펼쳤다가], 긍정 텍스트 확률 : 62.94%"
"[그래서 버튼을 잘 눌러줘야 해요. ㅎㅎ ], 긍정 텍스트 확률 : 93.22%"
"[폴딩보다 더 마음에 드는 아프리카 솔라리아의 턴 앤 락 기능이에요.호크 트위스터나 리안 스핀 로얄], 긍정 텍스트 확률 : 85.98%"
"[리안 스핀 처럼 양대면이 쉬운 제품들이 몇 있죠? .?양대면유모차추천양대면유모차추천으로], 긍정 텍스트 확률 : 86.05%"
"[ 앞뒤로 살짝씩 굴려주면], 긍정 텍스트 확률 : 98.20%"
"[이게 핵심정말 이 기능이 마음에 들어요. ], 긍정 텍스트 확률 : 92.93%"
"[사실 아프리카 솔라리아가 ], 긍정 텍스트 확률 : 52.28%"
"[인지 모르겠어요. ㅎㅎ디럭스 유모차라고 해서 구입하게 된건데], 긍정 텍스트 확률 : 64.47%"
"[어디에는 또.?절충형유모차절충형유모차라고], 긍정 텍스트 확률 : 58.37%"
"[하고...그 이유가 바로 이 무게 때문인 것 같아요.], 긍정 텍스트 확률 : 58.09%"
"[어차피 디럭스 유모차 생각하시는 분들은 가격대도 어느 정도 높게 잡았을 테고], 긍정 텍스트 확률 : 63.55%"
"[또 무게도 감안할 생각이 있다는 거거든요.그래서 아프리카 솔라리아를 추천하기에는 좀 그럴 것 같아요.어떤 분들한테는 저렴하게 느껴질 수도 있으니까요.하지만.?절충형유모차추천절충형유모차추천하라고], 긍정 텍스트 확률 : 63.42%"
"[하면 전 정말 망설임 없이 아프리카 솔라리아라고 외칠 겁니다.엄마를 편하게 해주는 기능을 잘 갖추고 있으니까요.특히.?양대면유모차추천양대면유모차추천하라고], 긍정 텍스트 확률 : 99.52%"
"[하면 더더욱이요 ], 긍정 텍스트 확률 : 56.39%"
"[ 차양막이 정말 길어서 아기가 완전히 자더라도 따로 뭐 덮어줄 필요가 없겠더라고요.], 긍정 텍스트 확률 : 51.62%"
"[짧으면 블랭킷 같은 걸 이용해서 따로 덮어주고 하시던데], 긍정 텍스트 확률 : 54.06%"
"[우선 이 가지만 봐도 충분히 살만한 장점을 갖추고 있다고 생각해요.좀 더 자세한 후기는 아기와 외출도 해보고], 긍정 텍스트 확률 : 57.57%"
"[실제로 좀 더 사용해본 뒤에 적어볼까 해요.단점도 낱낱이 알려드릴게요 ], 긍정 텍스트 확률 : 88.14%"
"[ 원이고요.인터넷 최저가도 만원 정도였는데], 긍정 텍스트 확률 : 53.34%"
"[이야기하고자 하는 상품은 해피플러스 유모차 절충형 방한 상품이에요상품상품평최고 ★★★★★★★★ 그러면 가격 알아볼께요.], 긍정 텍스트 확률 : 96.67%"
"[초특가 확인하기현재 초특가 할인 적용 게다가 로켓배송으로 바로배송역시 쿠팡 대박인걸요공짜배송 내일월도착 보장 시간 분 내 주문 시서울⋅경기 기준 ], 긍정 텍스트 확률 : 96.46%"
"[ 사용 후기 한번 알아볼께요 유모차 부대의 인생템가격대비 대만족입이다추천도 할듯 합니다 ㅎㅎ로켓배송이라 빨리왔어요ㅎ 먼저 쓰던 커버가 찢어져서 구매하게 되었어요 두께는 얇아요 그래서 잘못하면 찢어질것같아서 조심 스럽네요 그외에는잠잘때 가리개가있어서 좋구요 다리쪽에 덧대짐이 있어서 괜찮았어요 하단부 뒷부분은 바람이 안통하게 감싸줘야하는데 뻥뚤려있다는점이 좀 아쉽고 문의글보고 아프리카 절충형에도 호환이 된다구해서 샀는데. . . 제 유모차에는 좀 입구가 낮은것 같아요그림에서 보다시피 입구를 올렸을때아가머리 높이가 안맞아요ㅠㅠ 그점 고려하셔요세상에 이렇게 잘 맞을수가아가방에서 몇 년 전에 산 유모차라서 맞춤커버를 구할 길이 없었는데요. 이렇게 잘 맞는 커버를 찾게되다니 너무 감사할 따름이예요. 유모차에 기본적으로 붙어있는 원단보다는 매우 얇은 느낌이지만 커버가 있는 것과 없는 것은 하늘과 땅 차이라고 할 수 있죠. 문센 갈 때 맨날 목도리 칭칭감고 다녔는데 이제는 감기 걱정 않고 신나게 달릴 수 있을 것 같아요. 상품 포장도 얼마나 야무지게 되어있는지 매우 놀라웠습니다.적극추천합니다], 긍정 텍스트 확률 : 54.03%"
"[ 좋아요좋아요겨울에쓰긴조금앏은듯해요.], 긍정 텍스트 확률 : 61.01%"
"[쿠팡 최저가 확인하기 해당 포스팅은 파트너스 활동을 통해 일정액의 수수료를 지원받을 수 있습니다. ], 긍정 텍스트 확률 : 83.85%"
"[안녕하세요. 성남 카시트세탁카시트세탁업체 착한유모차세탁소입니다.오늘은 성남 카시트세탁카시트세탁업체 착한유모차세탁소에 많은 서비스 제품들 중에서 브라이텍스 카시트 세탁 후기를 올려보고자 합니다. ], 긍정 텍스트 확률 : 69.80%"
"[다이치 등 많은 제품들이 들어오는데요. 그 중에서도 오늘은 브라이텍스 카시트입니다자], 긍정 텍스트 확률 : 87.23%"
"[제품 정면 모습입니다. 성남 카시트세탁카시트세탁업체 착한유모차세탁소에서 제품을 수거한 뒤 촬영을 하였는데요. 멀리서 보기에도 카시트 색이 먼지들로 인해서 조금 변색된 것이 잘 보이시나요? ], 긍정 텍스트 확률 : 95.31%"
"[우리 아이가 사용하는 것이기에 유아용세제를 사용하는지 등이 굉장히 중요한 부분이라고 할 수 있는데요성남 카시트세탁카시트세탁업체 착한유모차세탁소에서는 고객님들께 만족을 들이기 위해최선을 다하고 있습니다자], 긍정 텍스트 확률 : 72.82%"
"[자 세탁 완료하였습니다. 세탁 전 시트 색깔에 비해 많이 색이 깨끗해졌네요.고객님들께서 물건을 받으시고 기뻐하실 모습에 저희도 기분이 뿌듯하고 좋습니다이상으로 성남 카시트세탁카시트세탁업체 착한유모차세탁소 브라이텍스 카시트 세탁 후기를 마치겠습니다.감사합니다. ], 긍정 텍스트 확률 : 98.50%"
"[서비스 모두 고객님들을 만족시킬 수 있는착한유모차세탁소가 되기 위해 노력하겠습니다.감사합니다 ], 긍정 텍스트 확률 : 86.86%"
"[가장.?가벼운유모차로가벼운유모차로 폭풍검색그래서 알게된.?아프리카매지컬에어아프리카매지컬에어핑크와 퍼플의 가지 색으로 스트라이프가 된.?.의.의.?초경량유모차초경량유모차여자 혼자서도 거뜬히 들 수 있는 휴대용 유모차입니다 ], 긍정 텍스트 확률 : 97.99%"
"[제일 중요한 안전장치는점식 안전벨트는 아기들의 유모차 탈출을 막아주니 아주 든든하답니다 ], 긍정 텍스트 확률 : 51.70%"
"[요 그물망처럼 생긴것은.?지열방지판지열방지판 이에요요즘처럼 무더운 여름 지면의 복사열을 차단해서 한여름에도 시원하게 탈 수 있다고 하는데...글쎄요... 요건 잘 모르겠어요그래도 없는것 보다는야ㅋㅋ그리고 높이 조절도 간단해요저기 보이는 끈으로 조이거나 풀으면 세워지고 눕힐 수 있더라고요. ], 긍정 텍스트 확률 : 99.90%"
"[지금까지 딸기티가 직접 구입하고 체험한 솔직한 후기입니다. .?유모차유모차.?유모차추천유모차추천.?가벼운유모차가벼운유모차 .?초경량유모차초경량유모차.?가벼운유모차가벼운유모차.?아프리카매지컬에어아프리카매지컬에어 .?원핸드폴딩원핸드폴딩.?지열지열방지판지열지열방지판.?외출외출.?나들이나들이 ], 긍정 텍스트 확률 : 82.65%"
"[오늘은 유모차 후기를 가져왔디요어느 날], 긍정 텍스트 확률 : 53.68%"
"[어느새 이렇게 훌쩍 커버린 맑음군..번호키도 닿고 말았네요ㅠㅠ], 긍정 텍스트 확률 : 94.86%"
"[ . 가격 ㅠㅠ 너무 비싸면 앙대 ], 긍정 텍스트 확률 : 80.03%"
"[ . 크기작은 우리 경차 모닝에 싣을 수 있는지], 긍정 텍스트 확률 : 81.72%"
"[기내반입 가능한지 등등 이었어요.여러군데 앉혀보고 끌어보고 접어보고 둘러본 뒤], 긍정 텍스트 확률 : 58.17%"
"[ 폴딩이 훨씬 스무스하게 잘 되었지만 만원이 더 비쌌고..아프리카는 저렴하고 너무너무 가볍고세상 제일 가벼움 맑음이 태운채로 유모차를 들 수 있음 ㅋㅋ 좋았는데], 긍정 텍스트 확률 : 98.66%"
"[차양이 짧고 뒤로 젖혀지는 각도가 도? 정도 밖에 안돼서.. 그리하여 결정한 것이 리안이지요.배송이 너무 오래걸린다해서 망설였는데.. ], 긍정 텍스트 확률 : 68.30%"
"[설명서에는 제일 먼저 차양을 끼우라고 되어있지만.. 이미 껴진채로 왔음요ㅋ바퀴를 끼웁니다 ], 긍정 텍스트 확률 : 73.90%"
"[이런 모습이 되지만], 긍정 텍스트 확률 : 65.60%"
"[사망할..뻔...ㅠㅠ ], 긍정 텍스트 확률 : 60.96%"
"[마음을 가다듬고 차분히 컵홀더를 조립하여 줍니다], 긍정 텍스트 확률 : 79.84%"
"[쨔쟌넘나 좋음 두번 좋음 ], 긍정 텍스트 확률 : 58.48%"
"[유모차가 완성되니슬금슬금 맑음군이 관심을 갖는군여 ㅋ.ㅋ ], 긍정 텍스트 확률 : 86.75%"
"[아이랑 외출하면유모차를 펴고 접는 동안 아이가 어디로 튈지 모르기 때문에한손은 아이를 잡고 있어야하죠특히 계단을 많이 다니는 우리 가족에게 한손 폴딩은 필수랍니다 ㅠ솔직히.. 한손폴딩은 예떼가 훨씬 잘됐었음 ], 긍정 텍스트 확률 : 75.68%"
"[이젠 마주볼 수 있어서 짱 좋습니다요ㅎㅎ그리고높이가 높아요.키가 작지 않은 저에게 낮은 유모차는 끌기 힘들었거든요ㅠㅠ아이가 앉아있는 의자 높이도 높아요.. ], 긍정 텍스트 확률 : 99.97%"
"[ 대망의 단점 ], 긍정 텍스트 확률 : 52.07%"
"[ . 모닝 트렁크에 안 들어감ㅠㅠ ], 긍정 텍스트 확률 : 69.68%"
"[ 매우 개인적인 의견의 구매후기 입니다 ], 긍정 텍스트 확률 : 82.58%"
"[ 개월 아가와 호텔 여행], 긍정 텍스트 확률 : 62.66%"
"[서울 신도림역에 있는 현대백화점 디큐브시티는 종종 갔었는데], 긍정 텍스트 확률 : 66.47%"
"[그곳에 호텔이 있었는지는 몰랐었어요이번에 쉐라톤 디큐브시티 호텔에 다녀왔는데 어찌나 좋던지ㅋㅋㅋ ], 긍정 텍스트 확률 : 81.04%"
"[쉐라톤 호텔의 전경이에요너무 예쁘지 않나요?건물은 역시 밤에 더 아름다운 것 같아요 ], 긍정 텍스트 확률 : 85.96%"
"[들어가는 입구도 매우 고급 지고 반짝반짝 화려하더라고요 ], 긍정 텍스트 확률 : 76.94%"
"[들어가면 있는 층 로비이곳은 체크인하는 곳이 아니에요왼쪽에 있는 엘리베이터를 타고 층으로 가면 카운터가 따로 있답니다 ], 긍정 텍스트 확률 : 56.35%"
"[넓은 창문에서 보이는 야경이 매우 예쁘더라고요 ], 긍정 텍스트 확률 : 79.26%"
"[이렇게 창문에서 야경을 보며 앉을 수 있도록 해놓은 곳도 있어서 감탄하고 있었는데 ], 긍정 텍스트 확률 : 77.71%"
"[모엣 샹동 샴페인 프로모션이 진행 중이더라고요이걸 드시는 분들을 위한 곳이었어요그래서 술을 먹지 않는 우리 부부는 패스ㅜㅜ ], 긍정 텍스트 확률 : 58.58%"
"[객실로 올라갔어요 문을 열었더니 뚜둥 아기침대가 다 예약되어서 못 쓸 수도 있다고 했는데다행히 누가 취소했나 봐요 ㅋㅋㅋ 완전 기분 좋았어요 ], 긍정 텍스트 확률 : 58.87%"
"[아주 넓은 킹사이즈의 침대에요우리 아가가 너무 좋아했어요침대가 넓어서 좋은지 쉐라톤호텔에 와서 좋은지저도 함께 기분이 좋았네요 ], 긍정 텍스트 확률 : 99.97%"
"[반가운 아기침대호텔에 이런 것도 비치해 둔다니 너무 신기하고 좋았어요 ], 긍정 텍스트 확률 : 84.07%"
"[테이블도 있고 아기를 위한 에어워셔공기청정기도 있고 ], 긍정 텍스트 확률 : 63.22%"
"[옷장에 샤워가운과 다리미도 있고 아기를 위한 젖병소독기우와ㅜㅜ 진짜 대박이더라고요ㅋㅋㅋ ], 긍정 텍스트 확률 : 54.59%"
"[밤에 볼 수 있는 뷰 미세먼지 때문에 깨끗하진 않더라고요 너무 아쉬웠어요ㅜㅜ ], 긍정 텍스트 확률 : 83.38%"
"[아침에 볼 수 있는 뷰다음 날 찍은 사진이에요 ], 긍정 텍스트 확률 : 95.51%"
"[그리고 감탄할만한 비주얼의 욕실색감도 좋고 깔끔하고 고급스럽고ㅋㅋㅋ너무 기분이 좋더라고요 ], 긍정 텍스트 확률 : 96.64%"
"[공기청정기 등 아기와의 하룻밤을 위해 필요한 것들이 잘 구비되어 있어서 너무 좋았어요 ], 긍정 텍스트 확률 : 96.91%"
"[쉐라톤 호텔에서 유모차를 대여하려면 층으로 내려와야 해요.그리고 객실 번호와 서명을 적고 나면 유모차를 줘요브랜드는 아프리카였어요 ], 긍정 텍스트 확률 : 58.83%"
"[나간 김에 치킨도 사 오고아가 재우고 육아 퇴근한 후 먹었네요잠만 자고 올 거 왜 호텔로 여행을 가는 건지 이해를 못했었는데해 보니 알겠더라고요ㅋㅋ 다른 곳에서 하루만 자는 건데도 여행 온 느낌을 주는 이 특별한 느낌여행 가면 꿈꾸는 것 같은 기분이 드는데 그런 비슷한 느낌이 있더라고요ㅋㅋ집에서 먹는 치킨과 여행 와서 먹는 치킨이 다르듯이요호텔 여행도 참 괜찮네요 ], 긍정 텍스트 확률 : 95.91%"
"[조식도 너무 좋았는데 곧 포스팅할게요 ], 긍정 텍스트 확률 : 96.18%"
"[층과 층 전시장이 있구요 ], 긍정 텍스트 확률 : 50.22%"
"[이번 베페에서 중점적으로보고 구매한 품목은아기 욕조유모차카시트였어요 ], 긍정 텍스트 확률 : 79.77%"
"[수많은 블로그와 카페에서예비맘], 긍정 텍스트 확률 : 76.90%"
"[육아맘들의 후기를 읽어보고느낀 결과 ], 긍정 텍스트 확률 : 87.32%"
"[로소베이비 욕조에서 아기가 미끄러짐 없이 누워 있는 모습이 편해보이더라구요.탑라인 욕조는다양한 컬러에 인기가 많은 듯 했지만], 긍정 텍스트 확률 : 78.30%"
"[ 밑에 물빠짐 구멍이 등받이에 가려진다는단점이 있다는 후기를 봤고스타일 웁스 라인보다 사이즈가 작더라구요.스타일 웁스 라인은크기가 조금 더 커서오래 쓸 수 있다고 했어요 ], 긍정 텍스트 확률 : 57.24%"
"[욕조 거치가 가능한 스탠드 다리도 있는데아직 아가를 씻겨본 적이 없어서우선 욕조를 사용해보고 결정하기로 했어요 ], 긍정 텍스트 확률 : 63.04%"
"[카키브라운이렇게 가지가 있었는데저희부부는 카키브라운으로 찜콩 ], 긍정 텍스트 확률 : 63.89%"
"[인터넷 이미지도 찾아봤는데베페에서 할인 받아 잘 산거 같아요신생아부터 개월까지는눕는 요람형으로 다니고개월이상 목가누기가 될때부터는앉혀서 다녀도 될 꺼 같아요.핸들링도 부드럽고스핀로얄은 뒷바퀴에 에어가 들어가며바퀴 개 모두 충격흡수력도 좋아서매우 만족 ], 긍정 텍스트 확률 : 98.26%"
"[매우 위험하다고 해요.그래서 오늘 반드시 구매하리라마음 먹었는데 역시나 선택이 쉽지가 않더라구요....베페만 오면 선택장애가 최대치 ], 긍정 텍스트 확률 : 53.61%"
"[목을 가눌 수 없는 아가를 카시트에 앉히면머리에 무게를 견디지 못해기도 압박], 긍정 텍스트 확률 : 81.20%"
"[아기가 잠을 안잘때는태우면 엄청 울고 싫어해서무조건 재워서 태워서병원 접종가고 일촬영을 다녀왔어요 ], 긍정 텍스트 확률 : 64.77%"
"[ 아가 다리가 벌어질 수 있다고 하더라구요.그리고 출산 전에 내의 조금 더 사고], 긍정 텍스트 확률 : 85.65%"
"[ 디테일한 필요한 제품만 조금 더 사면출산준비도 어느정도 월 중으로끝낼 수 있을 꺼 같아요이렇게 이날 서울경기 베이비페어에서구매한 품목은아기욕조 ], 긍정 텍스트 확률 : 92.15%"
"[ 원현금리안 유모차 ], 긍정 텍스트 확률 : 52.23%"
"[ 원현금아프리카 카시트 ], 긍정 텍스트 확률 : 52.23%"
