"[휴대용 유모차엘레니어 레니행복한 여자의 육아 이야기 ], 긍정 텍스트 확률 : 89.71%"
"[열무와 심쿵이는 개월 차이에요적은 터울로 거의 연년생과 다름없어요 ], 긍정 텍스트 확률 : 63.13%"
"[그러다보니.. 두 아이와 외출하려면..꼭 필요한 아이템이 있어요], 긍정 텍스트 확률 : 92.27%"
"[휠 서스펜션으로 노면의 충격을 흡수해주니흔들림 아이 증후군으로부터보호해줄 수 있어요 ], 긍정 텍스트 확률 : 80.27%"
"[짜잔 연년생 유모차 티크듀오디자인도 넘나 멋지지요 ], 긍정 텍스트 확률 : 96.44%"
"[풀캐노피는 햇빛으로부터 아기를 보호해주고아늑함을 제공해요 ], 긍정 텍스트 확률 : 57.09%"
"[아이보기창이 있어 아기들이 잘 있는지 확인해볼 수 있어요 ], 긍정 텍스트 확률 : 79.97%"
"[넓고 깊은 장바구니가 있어 아기 짐이나 쇼핑이 가능해요 ], 긍정 텍스트 확률 : 81.82%"
"[가죽느낌의 커버가 있어 사용할 때 정말 편하면서도 고급스럽더라고요 ], 긍정 텍스트 확률 : 72.72%"
"[정말 좋아하더라고요♥], 긍정 텍스트 확률 : 99.85%"
"[어린 심쿵이는 등받이 각도조절을 해줬어요 ], 긍정 텍스트 확률 : 52.30%"
"[커넥터로 쉬운 결합분리가 가능해서필요할 때마다 쉽게 할 수 있어요 ], 긍정 텍스트 확률 : 82.61%"
"[키 큰 아빠도 쉽고 가볍게연년생유모차를 운전하지요 ], 긍정 텍스트 확률 : 94.22%"
"[부드러운 핸들링으로 엄마도 쉽고 유모차를 끌 수 있지요 ], 긍정 텍스트 확률 : 62.39%"
"[연년생이라면..], 긍정 텍스트 확률 : 61.07%"
"[아이의 터울이 적다면..], 긍정 텍스트 확률 : 85.75%"
"[ 연년생유모차 엘레니어 티크듀오], 긍정 텍스트 확률 : 51.52%"
"[정말 필템오브필템으로 추천해요고고해보세용 ], 긍정 텍스트 확률 : 67.95%"
"[본 포스팅은 제품을 무료로 제공받아 직접 이용해보고 작성된 후기입니다], 긍정 텍스트 확률 : 59.25%"
"[신생아휴대용유모차엘레니어세스토라이트사용후기엔젤입니다 날씨가 참 좋아지고 있는 요즘 한창 추울때 태어난 울 아들냄살도 점점 붙어올라오다보니 엄빠와 나들이 다니기 좋은 체격이 되어가고 있어요그래서이동의 편의성을 높이기 위해 유모차를 하나 구입했다는 사실], 긍정 텍스트 확률 : 95.06%"
"[설명서가 같이 첨부되어 있어서설치할때 좋은 참고가 되었어요버리지말고 꼭 보관보관ㅋㅋ ], 긍정 텍스트 확률 : 97.32%"
"[이렇게 쭉 펴지게 되어요이렇게만 되도 유모차 조립 다한것 같은 느낌ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 85.08%"
"[뒷바퀴와 앞바퀴를 요래 달아주고 ], 긍정 텍스트 확률 : 68.21%"
"[아기가 난중에 좀더 컸을때 잡을수 있는 손잡이도 한번 달아주고 나니 ], 긍정 텍스트 확률 : 72.09%"
"[더더욱 유모차스러워진 느낌적인 느낌], 긍정 텍스트 확률 : 93.58%"
"[요래처음에 봤었던 모양으로 접히더라구요], 긍정 텍스트 확률 : 78.94%"
"[발받힘대 부분도 요로코롬 되어 있음 ], 긍정 텍스트 확률 : 51.38%"
"[뒷바퀴 오른쪽에는 브레이크 장치고 있고 ], 긍정 텍스트 확률 : 52.92%"
"[안전벨트도 중구조로 되어있기 때문에 웬만해선 유모차에서 떨어질 일이 없을것 같고무엇보다 아들냄이 유모차 타고 움직일땐 아주 꿀잠을 자서상당히 만족중입니다], 긍정 텍스트 확률 : 84.54%"
"[안녕하세요둘째 출산 일이 넘은 제인이에요오랜만에 포스팅입니다아기를 낳기 전부터 쌍둥이 유모차 뭐 살까 정말 고민 많이 했어요워낙 저질 체력인걸 알기에 하나는 애기띠 하고 하나는 윰차 끌고 다니고 할 자신이 없었거든요그래도 어떻게든 지내보다 필요하면 사자 하고 있었어요몸이 어느 정도 회복되고 나니 몸이 근질근질 나가고 싶고 집 앞에 마트가서 먹을것도 사고 해야하는데쌍둥이 유모차 엘레니어 트윈이 없으니 영 답이 없었어요 ], 긍정 텍스트 확률 : 99.45%"
"[쌍둥이 유모차는 처음부터 양옆으로 되어있는것보다 앞뒤로 된 것을 구입하려 했어요우리 지하주차장 지나다니는 윰차 보면 길이 좁아서 굉장히 불편해 보였거든요날씬해야 어디든 잘 다닐 수 있을 거 같아 선택했어요 아파트 정문에 있는 마트 길이 굉장히 좁아서 일단 엘레니어 트윈을 선택한건 잘한일이지만연약한 여자가 끌고 다니기에는 단점이 있었어요 ], 긍정 텍스트 확률 : 81.36%"
"[옆 동네 장릉에 쌍둥이 유모차 끌고 갔다가 신랑이 엄청 고생했어요첫째는 높이 앉으니까 좋으지 첨 시승한날 노래를 부르더라구요얼마전에 아파트 주변으로 휙 한바퀴 분 정도 돌았는데 그 때도 손짓까지 해가며 계속 뭐라뭐라 노래부르는데 귀여웠어요 ], 긍정 텍스트 확률 : 95.40%"
"[디럭스 유모차라 신생아때부터 탈 수 있어요 ], 긍정 텍스트 확률 : 63.15%"
"[바퀴가 정말 튼튼해 보이죠우리 둘째는 왜인지 고통받고 있네요졸려서 그랬나 ㅎㅎ], 긍정 텍스트 확률 : 95.33%"
"[앞바퀴가 도 회전하기도 하고 고정되기도 하고대부분 회전으로 다니는데 가끔 기울어진 곳에서는 고정이 더 편하기도 해요 ], 긍정 텍스트 확률 : 96.43%"
"[디럭스유모차엘레니어크라운 ], 긍정 텍스트 확률 : 51.52%"
"[우리 라스 .?디럭스유모차디럭스유모차.?엘레니어크라운엘레니어크라운.?유모차유모차선물받아서 완전 잘사용하구 있는데용 .?엘레니어유모차엘레니어유모차 사용해보니 진짜 가격대비 가성비 최고인 디럭스유모차인것 같아서직접사용한 솔직후기 들고왔어요 ], 긍정 텍스트 확률 : 94.89%"
"[차양막부분에 저 부분을 올리면망사로 되어있어서 ], 긍정 텍스트 확률 : 81.53%"
"[풀차양막을 내려놓은상태에서도아기의 상태를 확일할 수 있어서 좋더라구요 ], 긍정 텍스트 확률 : 57.72%"
"[전 가방걸이를 따로 구입하지 않아서바구니 위쪽에 가방을 올려놓구 다녔는데바구니부분이 넓어서 가방올려도괜찮더라구용 ], 긍정 텍스트 확률 : 50.19%"
"[브레이크도 원터치로 가능해서 완전 편함 ], 긍정 텍스트 확률 : 62.52%"
"[디럭스 유모차임에도 불구하고간단하게 유모차를 접을수 있는 원터치폴딩 방식이라 외출할때 간단하게 접고 펼수 있어서마트갈때나 나들이 갈 때 넘나 유용하게 사용하구 있는 엘레니어 크라운에스 유모차랍니다 ], 긍정 텍스트 확률 : 90.93%"
"[ 절충형 유모차 세스토 폴딩], 긍정 텍스트 확률 : 68.11%"
"[세스토 유모차 ], 긍정 텍스트 확률 : 68.11%"
"[엘레니어 유모차 방풍커버 ], 긍정 텍스트 확률 : 51.52%"
"[모두 ], 긍정 텍스트 확률 : 70.96%"
"[세스토 ], 긍정 텍스트 확률 : 68.11%"
"[사실 ], 긍정 텍스트 확률 : 69.48%"
"[그래도 ], 긍정 텍스트 확률 : 69.84%"
"[세스토], 긍정 텍스트 확률 : 68.11%"
"[함께해요 ], 긍정 텍스트 확률 : 91.74%"
"[오랜만에 주말에 공원왔는데 ], 긍정 텍스트 확률 : 58.88%"
"[우리 척척이 첫번째 유모차 ], 긍정 텍스트 확률 : 75.46%"
"[세스토 절충형 유모차 ], 긍정 텍스트 확률 : 68.11%"
"[측면에서 봤을땐 튼튼한 바퀴가 제일 먼저 눈에 들어와요 ㅋㅋ ], 긍정 텍스트 확률 : 52.67%"
"[튼튼한 앞바퀴와 뒷바퀴로 핸들링도 무척 좋다능 ], 긍정 텍스트 확률 : 83.92%"
"[세스토 유모차 폴딩 궁금하실텐데 ], 긍정 텍스트 확률 : 62.85%"
"[알려드리자면 ], 긍정 텍스트 확률 : 58.62%"
"[상단 핸드바에 있는 버튼을 꾸욱 누르는 동시에 ], 긍정 텍스트 확률 : 56.88%"
"[유모차 왼쪽측면에 있는 버튼을 함께 누르면서 대각선으로 밀어내면 ], 긍정 텍스트 확률 : 50.52%"
"[폴딩이 아주 간편하다는 사실 ], 긍정 텍스트 확률 : 61.91%"
"[오른쪽 바퀴 검정 잠금장치를 풀어주면 훅 펼쳐져요 ], 긍정 텍스트 확률 : 51.32%"
"[미세먼지 따위 허용할 수 없다며 ], 긍정 텍스트 확률 : 60.59%"
"[엘레니어 유모차 방풍커버 ], 긍정 텍스트 확률 : 51.52%"
"[그리고 아직 바람불때가 많아서 ], 긍정 텍스트 확률 : 78.87%"
"[이제 외출할때 방풍커버도 필수다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 61.67%"
"[투명색이예요 ㅋㅋ ], 긍정 텍스트 확률 : 74.80%"
"[아기의 눈 피로함을 덜어준다고 해요 ], 긍정 텍스트 확률 : 72.87%"
"[집근처 백화점 갈때 큰길을 지나는데 ], 긍정 텍스트 확률 : 57.64%"
"[차들이 많이 지나다녀서 매연도 많고.... ], 긍정 텍스트 확률 : 59.20%"
"[찬바람을 차단해줄 엘레니어 방풍커버 ], 긍정 텍스트 확률 : 58.33%"
"[그리고], 긍정 텍스트 확률 : 70.21%"
"[가 있으므로 ], 긍정 텍스트 확률 : 58.34%"
"[또 고새 잠들어버림 ㅋㅋ ], 긍정 텍스트 확률 : 60.37%"
"[엘레니어 세스토 절충형 유모차를 선택하길 잘했다는 생각을 매번해요 ], 긍정 텍스트 확률 : 81.00%"
"[우리 ], 긍정 텍스트 확률 : 70.32%"
"[척척이 ], 긍정 텍스트 확률 : 51.21%"
"[혼자서 ], 긍정 텍스트 확률 : 60.88%"
"[멋진 ], 긍정 텍스트 확률 : 91.47%"
"[정말 ], 긍정 텍스트 확률 : 63.93%"
"[우리이쁜공주 ], 긍정 텍스트 확률 : 87.39%"
"[한바퀴 돌아주었는데 핸들링도 쉬워 안정감있게 ], 긍정 텍스트 확률 : 74.28%"
"[아기가 흔들림 없이 잘 앉아있네요 ㅋㅋ ], 긍정 텍스트 확률 : 67.81%"
"[엘레니어 윙스플러스 롤링 사용 후기 ], 긍정 텍스트 확률 : 51.52%"
"[요즘 메인으로 사용 중인 ], 긍정 텍스트 확률 : 68.95%"
"[엘레니어 윙스플러스 ], 긍정 텍스트 확률 : 51.52%"
"[그래서 도움이 되셨으면 하는 마음에윙스플러스 롤링 사용 후기를 간단히 적어볼게요.기능 부분은 개봉기를 참고하시면 좋을 것 같아요. 엘레니어 윙스플러스 롤링 개봉기.. .. ], 긍정 텍스트 확률 : 76.01%"
"[어제도 엘레니어 윙스플러스 롤링을 타고 외출..의 경량 유모차이지만], 긍정 텍스트 확률 : 75.80%"
"[물티슈까지 모두 수납할 수 있지요. ], 긍정 텍스트 확률 : 73.78%"
"[각도는 단계로 조절되는데 최대 도까지젖혀지기 때문에 요람처럼 사용할 수도 있어요. ], 긍정 텍스트 확률 : 57.70%"
"[절충형임에도 안정적이에요.한 손으로 끌어도 전혀 힘들지 않았거든요.태율이가 클 때까지 잘 사용할 수 있을 것 같아요 .?엄마의리뷰엄마의리뷰.?절충형유모차절충형유모차.?절충형유모차추천절충형유모차추천.?엘레니어엘레니어.?엘레니어윙스플러스롤링엘레니어윙스플러스롤링.?경량유모차경량유모차], 긍정 텍스트 확률 : 99.65%"
"[완전 리얼사용후기 랍니다], 긍정 텍스트 확률 : 67.51%"
"[ 휴대용유모차엘레니어미크 를 서연이가 좋아하는 이유는바로 이 아이핸들손잡이 에요], 긍정 텍스트 확률 : 87.22%"
"[누가 시키지도 않아도두손으로 꽉 잡고있는 모습이정말 귀엽죠], 긍정 텍스트 확률 : 93.19%"
"[ 등받이 또한도 까지 눕혀져아이가 잠들었을때 침대처럼 편안하게 누워진다는 장점도 있어요 ], 긍정 텍스트 확률 : 94.54%"
"[서연이의 유모차가 탐이 나는지같이 타보겠다고 올라타는 서진이 ], 긍정 텍스트 확률 : 59.79%"
"[ 마트에서 간단하게 장을 본뒤 서연이에게 우유를 줬는데..잘먹고있나.. 흘리지는 않고있나.. 궁금하더라구여 ], 긍정 텍스트 확률 : 96.66%"
"[잘먹고있네요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 89.52%"
"[ 휴대용유모차 임에도 불구하고핸들링도 좋고디자인도이뿌고대형서스펜션을 적용하여정말 디럭스유모차 효과를 볼수있다는 장점이 있는 제품이에요 ], 긍정 텍스트 확률 : 97.07%"
"[ 이 포스], 긍정 텍스트 확률 : 64.12%"
"[팅은 해당업체로부터 순수 제품만을 제공받아 작성한 솔직후기임을 알려드립니다], 긍정 텍스트 확률 : 77.62%"
"[ 엘레니어세스토 유모차 두달사용후 솔직후기], 긍정 텍스트 확률 : 63.23%"
"[처음에 엘레니어 세스토 플러스 구입후후기를 적었더니생각보다 반응이 좋아서ㅁ계속 적게되네요 ㅋ.. .. ], 긍정 텍스트 확률 : 98.77%"
"[그리고 장단점까지 알려드렸죠 ], 긍정 텍스트 확률 : 78.31%"
"[앉는부분이 높아서갑갑해 하지도 않구요요거 앉히고 구경다니기도 좋아요], 긍정 텍스트 확률 : 72.68%"
"[바퀴도 큼지막해서안정감도 있구요 ], 긍정 텍스트 확률 : 65.33%"
"[장바구니도 커서엘레니어세스토 가지고장보러가서 요기다 담아요 ㅋㄷㅋㄷ ], 긍정 텍스트 확률 : 56.71%"
"[두달 사용후 단점은요디럭스같아서무게가 문제인거같아요그런데 돌이전까지는 아기를 생각한다면꼭 디럭스 사용하시길 바래요예전에 뭣모르고 절충형 샀다가보드블럭에서 덜덜 거리던 하루의 머리를 본 이후디럭스로 바로 바꿨거든요 그리고 쿨시트 하나 깔아서올여름도 문제없이잘 사용하고 있는 엘레니어세스토인거같아요 ], 긍정 텍스트 확률 : 88.45%"
"[이상 실구매후 사용해보고 너무 좋아서 적어본 후기입니다 ], 긍정 텍스트 확률 : 88.53%"
"[ 엘레니어 크라운에스 디럭스유모차 실사용후기], 긍정 텍스트 확률 : 51.52%"
"[세번째는 얼마나오래타느냐 일것같아요 엘레니어 크라운에스 디럭스유모차는 제가볼때 가지 다 만족하는 제품이랍니다 가격도 합리적으로 최저가로 사신다면 만원이하로 사실수 있구요 핸들링과 폴딩은 지난번에 설명한걸로 대신할께요 ㅎㅎ .... ], 긍정 텍스트 확률 : 96.86%"
"[주호는 이제 일지나면 태어난지 년된 아기이구요 몸무게는 키로랍니다 ㅋㅋ 요람형은 일찌감치 졸업한상태에요 ㅎㅎ ], 긍정 텍스트 확률 : 94.19%"
"[그리고 제가 주에 한번씩 들리는 장난감대여하는곳 도담도담 장난감월드에도 크라운에스끌고 다니고있어요 ㅎㅎ], 긍정 텍스트 확률 : 91.01%"
"[확실히 디럭스 디럭스 하는 이유가있어요 ], 긍정 텍스트 확률 : 56.69%"
"[마트에 가면 들리는곳 토이저러스 인증샷도 한컷남기고요 ㅋㅋ], 긍정 텍스트 확률 : 89.75%"
"[요즘 주호가 걸어다니다보니 유모차에서 내려놓기만 하면 여기저기 걸어다니기바빠요 ㅎㅎ 레고에도 관심을 보이고 ㅎㅎ], 긍정 텍스트 확률 : 84.32%"
"[자기가 유모차를 밀려고하네요ㅋㅋㅋ귀여워라 ], 긍정 텍스트 확률 : 82.75%"
"[신생아때부터 개월까지 사용할수 있는 디럭스유모차 엘레니어 크라운에스], 긍정 텍스트 확률 : 71.67%"
"[주변에 전 정말 많이 엘레니어 좋다고 소문내고다닌답니다 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 78.78%"
"[가성비짱 핸들링짱고민하지마세요], 긍정 텍스트 확률 : 54.39%"
"[ 엘레니어세스토 유모차후기 ], 긍정 텍스트 확률 : 64.77%"
"[도련님 찬스로 얻게된 유모차우리 딸에게도 유모차가 생겼어요 . 사실 ], 긍정 텍스트 확률 : 70.27%"
"[첨부터 점 찍어둔 모델과 브랜드는 아니였지만 내가 원하는건 가벼운 절충형이였지만어쩌다보니 디럭스급 절충형을 사게되어버렸지요ㅋㅋ 무게는 에 가까운 무거운 유모차지만 디자이면에서나 ], 긍정 텍스트 확률 : 66.74%"
"[ 일단 바퀴가 커서 너무너무 맘에 들었던], 긍정 텍스트 확률 : 96.47%"
"[엘레니어세스토 유모차 ], 긍정 텍스트 확률 : 64.77%"
"[매력적인 아이에요], 긍정 텍스트 확률 : 99.06%"
"[그리고 또 맘에들었던것중 하나 덮개 햇빛 안좋아요 ㅠㅠ 아가들 눈부시고 피부에도 안좋고 그런데 저 덮개가 짧은건 저렇게 덮어놔도 햇빛이 다 들어온다 하더라구용 그래서 좀 크게 덮히는걸 찾았었는데 요건완전 완전 차단 ], 긍정 텍스트 확률 : 96.18%"
"[앞에서 본 모습 망사로 뚫려있는데가 있어 아가 얼굴도 볼수있어여], 긍정 텍스트 확률 : 60.39%"
"[너무나 매력적이고 마음에드는 유모차입니당 세까지 사용가능하다하니 열심히 타보자꾸나 딸여러모로 도련님께 다시한번 감사의 인사를 드립니당 ㅋㅋㅋ 저희집이 엘베없는 층이라 유모차는 아예 살생각도 없고 얼마 못탈거 같아 안살생각이였는데 요레 생기니 너무너무 좋네요 . 장마가 지나가면 산책도 자주자주 나가야겠어요], 긍정 텍스트 확률 : 99.31%"
"[어마어마하게 크다 가방은 물론아이옷 내옷 다 들어가고 ㅋㅋ마트 장보고 다 넣고 올수도 있다 남편의 칭찬을 듣는다 장바구니로인해 ㅋㅋ결론나는 차가 있다 차를 운전 하고 다닌다그런 분들은일반 휴대용 유모차 추천나는 차가 있어도 운전면허가 없다대중교통을 이용한다그런 분들은기내식 반입이 되는 유모차 추천난 다시 유모차를 사고 싶다 ㅋㅋ 지금 눈여겨 보고 있는건 리안 레오 ], 긍정 텍스트 확률 : 75.77%"
"[ 절충형유모차 엘레니어 세스토 폴딩하기], 긍정 텍스트 확률 : 71.09%"
"[이제 날이 따뜻해지기도 하고 ], 긍정 텍스트 확률 : 95.32%"
"[유모차가 있는게 더 소중하게 느껴지는 요즘이예요. ], 긍정 텍스트 확률 : 94.83%"
"[잘 자라고 있어요. ], 긍정 텍스트 확률 : 57.64%"
"[엘레니어세스토 ], 긍정 텍스트 확률 : 64.77%"
"[ 상당이 견고하고 튼튼], 긍정 텍스트 확률 : 51.21%"
"[ 만들어졌고 꽤 묵직한 편이예요.], 긍정 텍스트 확률 : 90.00%"
"[ 폴딩이 간편해서 잠깐씩 나갈때], 긍정 텍스트 확률 : 51.61%"
"[ 자주 사용하게 되었던 유모차였어요], 긍정 텍스트 확률 : 64.71%"
"[ 처음에 절충형유모차를 찾다가], 긍정 텍스트 확률 : 67.31%"
"[ 엘레니어 세스토를 발견하고 디자인도 예쁘고], 긍정 텍스트 확률 : 90.65%"
"[ 세스토 폴딩하기], 긍정 텍스트 확률 : 66.49%"
"[ 레버를 당겨 손잡이를 내릴때 ], 긍정 텍스트 확률 : 60.11%"
"[ 그것도 참 큰 장점이더라고요.], 긍정 텍스트 확률 : 60.78%"
"[ 그리고 또하나 세스토의 큰장점], 긍정 텍스트 확률 : 93.96%"
"[ 그리고], 긍정 텍스트 확률 : 70.21%"
"[ 할 수 있다는 거랍니다.], 긍정 텍스트 확률 : 63.41%"
"[ 절충형 유모차인데 너무 좋지요.], 긍정 텍스트 확률 : 91.30%"
"[ 요즘 유준이가 누워있는것보다 앉고 싶어해서], 긍정 텍스트 확률 : 70.10%"
"[ 앞바퀴 위에 보면 버튼이 있어요.], 긍정 텍스트 확률 : 56.62%"
"[ 앞으로 한번], 긍정 텍스트 확률 : 86.01%"
"[그리고 유모차 시트 아래 버클을], 긍정 텍스트 확률 : 60.72%"
"[ 그리고 다리 부분에도 똑같이 버클을 채워줘요.], 긍정 텍스트 확률 : 75.00%"
"[ 엘레니어 세스토 시트 아래에 버클을 채워], 긍정 텍스트 확률 : 54.75%"
"[ 유준아 안뇽 ], 긍정 텍스트 확률 : 59.03%"
"[ 양대면까지 가능해서 세웠을 때도], 긍정 텍스트 확률 : 75.39%"
"[엘레니어 유모차], 긍정 텍스트 확률 : 51.52%"
"[요즘 인기가 참 많더라고요. ], 긍정 텍스트 확률 : 75.02%"
"[이거든요], 긍정 텍스트 확률 : 57.95%"
"[저도 절충형인 세스토 사용해보니 ], 긍정 텍스트 확률 : 52.43%"
"[그리고 기능도 웬만한 디럭스 기능도 거의 다 있고], 긍정 텍스트 확률 : 60.78%"
"[이 가격에 이만한게 있나 싶은 유모차였어요. ], 긍정 텍스트 확률 : 54.32%"
"[도움이 되는 리뷰였으면 좋겠어요 ], 긍정 텍스트 확률 : 69.41%"
"[ 기내용유모차 엘레니어 미크 한달 사용후기 ], 긍정 텍스트 확률 : 61.66%"
"[멋짐폭발], 긍정 텍스트 확률 : 91.47%"
"[엄마들에게 무시할 수 없는 부분], 긍정 텍스트 확률 : 69.65%"
"[ 바로 유모차디자인.핸들과 안전바 가죽 디테일까지 넘 멋진 엘레니어 미크에요 ], 긍정 텍스트 확률 : 98.79%"
"[컴팩트한 폴딩 ], 긍정 텍스트 확률 : 56.98%"
"[트렁크 좁은 우리차에 딱이었어요 ], 긍정 텍스트 확률 : 67.05%"
"[넉넉한 쇼핑바구니는 요즘 유모차 필수 스펙이죠힙시트가 들어가고도 공간이 남아요 ], 긍정 텍스트 확률 : 66.22%"
"[유모차 시트 뒷부분을 접어 올리면더운 여름 바람이 통할 수 있도록 매쉬창이 뙇땀 많은 우리 아들들에게 필수 디테일이네요 ], 긍정 텍스트 확률 : 89.96%"
"[최대 도까지 뉘어지는 등받이덕에 우리 아이들 언제 어디서나 편히 잘 수 있어요 ], 긍정 텍스트 확률 : 87.23%"
"[비싼 가격에 더 좋은 스펙가진 기내용유모차 있는지는 모르겠으나비슷한 가격에 이만한 스펙은 엘레니어 미크 뿐일듯요 ], 긍정 텍스트 확률 : 62.99%"
"[가성비 좋은 기내용유모차], 긍정 텍스트 확률 : 53.72%"
"[ 바로바로 엘레니어 미크 랍니다 ], 긍정 텍스트 확률 : 51.52%"
"[ 엘레니어 세스토라이트 원터치폴딩 유모차 ], 긍정 텍스트 확률 : 67.64%"
"[ 엘레니어 세스토라이트.?원터치폴딩유모차원터치폴딩유모차.?이지폴딩유모차이지폴딩유모차 ], 긍정 텍스트 확률 : 53.96%"
"[안녕하세요 사랑별이예요지난 제주도여행때 절충형유모차를도어투도어로 보냈다가 프레임에 기스나고난리도 아니었던 적이 있거든요. 그때 제 마음에도 스크래치가 났었다죠ㅠ앞으로도 복랑이들 데리고 여행을자주 다녀야하는데 그동안 사용하던 절충형이안전하고 요람형도 돼서 좋았지만 기내반입이 안되고 부피가 조금 크다는 단점이 있었던지라 기내반입이 되는휴대용유모차를 구입하려고 알아봤었어요. 하지만], 긍정 텍스트 확률 : 87.19%"
"[ 한가지는 내가 원하는 조건들을 다 ], 긍정 텍스트 확률 : 52.33%"
"[ 갖춘 유모차는 어디에도 없다.였어요.], 긍정 텍스트 확률 : 50.87%"
"[ 제가 원하는], 긍정 텍스트 확률 : 60.38%"
"[ 다음과 같습니다.], 긍정 텍스트 확률 : 82.62%"
"[ . 양대면이 되어야 할 것. ], 긍정 텍스트 확률 : 52.17%"
"[ 예상 가격 범위 만원 선 대충 추리면 이 정도인데요.정말 눈을 씻고 찾아봐도 저 조건을다 갖춘 유모차는 없었어요. ㅎㅎ 하지만 몇가지를 포기하니 답이 보이더라고요. ], 긍정 텍스트 확률 : 99.83%"
"[집에 있는 기내반입 가능한 작은 캐리어와크기를 비교해봐도 큰 차이가 없었어요. 이 정도면 어느 항공사든 무난하게반입될거라 생각합니다. ], 긍정 텍스트 확률 : 61.22%"
"[둘째인 사랑이가 개월], 긍정 텍스트 확률 : 81.82%"
"[ 큰 복복이는 개월 이다보니 시트가 넉넉했으면 좋겠더라고요.호기심에 시트너비를 재어보니 . ], 긍정 텍스트 확률 : 86.83%"
"[ 따라 오차가 생길 수 있어요.일단 너비는 이 정도면 합격. ], 긍정 텍스트 확률 : 64.40%"
"[ 너비보다 중요한게 시트의 깊이.아이의 엉덩이를 받쳐주려면 시트깊이가넉넉해야하는데 전에 쓰던 휴대유모차의시트깊이는안팍? 정말 짧았어요.무슨 인형 유모차인가? 하는 생각이 들 정도였거든요 아니나 다를까 애들이 시트에앉는게 아니라 엉덩이를 살짝 걸치는수준이더라고요그때부터 휴대용유모차를 볼때 시트의 너비깊이를 꼼꼼히따지기 시작한 사랑별이예요. ], 긍정 텍스트 확률 : 70.05%"
"[세스토라이트], 긍정 텍스트 확률 : 68.11%"
"[ 넉넉한 시트깊이부터 확장까지.이 부분이 제 마음에 쏙 들었어요 ], 긍정 텍스트 확률 : 72.69%"
"[핸들링을 언급하려면 볼베어링이란 개념을 먼저 이해하는 것이 좋은데요.], 긍정 텍스트 확률 : 79.41%"
"[ 회전하고 있는 기계의 축을 일정한], 긍정 텍스트 확률 : 71.39%"
"[ 볼베어링에 차이가 있었어요. ], 긍정 텍스트 확률 : 55.17%"
"[ 세·라는 총 개의 볼베어링으로 ], 긍정 텍스트 확률 : 51.73%"
"[디럭스급 핸들링을 느낄 수 있는휴대용유모차란 거죠 전에 사용하던 휴대용유모차들은 차체가 흔들리거나 핸들링이 불안정했는데세라는 흔들림없이 부드럽게 끌 수 있어서너무 좋았어요. ], 긍정 텍스트 확률 : 87.73%"
"[많은 분들이 궁금해하실 폴딩 드디어 나왔는데요일단], 긍정 텍스트 확률 : 88.84%"
"[파일로 대체합니다.ㅋㅋ 폴딩 정말 쉽고 편해요. 그동안 집에서 분거리 층소아과에사랑이를 안고 복이는 손잡고 다녔는데요. ], 긍정 텍스트 확률 : 61.69%"
"[ 못해서 ㅠㅠㅠ 폴딩 쉽고 가벼운 세라덕에], 긍정 텍스트 확률 : 57.06%"
"[웨건과 비교했을때이제는 사랑이든 복이든 한 녀석은유모차에 태워서 다닐 수 있을 듯 해요.넘 좋아요 ㅎㅎㅎ], 긍정 텍스트 확률 : 77.86%"
"[ 총중량. 인데요.], 긍정 텍스트 확률 : 53.02%"
"[ 순중량은 차양과 바를 제외한 유모차의 ], 긍정 텍스트 확률 : 55.98%"
"[ 가능하면 베페같은 곳에서], 긍정 텍스트 확률 : 80.86%"
"[ 기내반입이 되면서 안정감 있고], 긍정 텍스트 확률 : 71.98%"
"[ 탄탄하고 핸들링 좋은 유모차를 찾는분들께 세라 강추하고 싶어요.], 긍정 텍스트 확률 : 97.48%"
"[. 양대면이 되어야 할 것.], 긍정 텍스트 확률 : 52.17%"
"[초경량유모차처럼 핸들과 유모차가 따로 놀듯 흔들림이 있다는 후기가많더라고요. ], 긍정 텍스트 확률 : 58.61%"
"[ 멜란지 직조원단 조합.?최고최고 ], 긍정 텍스트 확률 : 98.94%"
"[ 만원 후반대], 긍정 텍스트 확률 : 52.85%"
"[만원 초반대의 가격이니가성비가 제법 훌륭하다고 생각해요 ], 긍정 텍스트 확률 : 62.86%"
"[무거운 축복이는 제가 안고 다녀 두 아이가 함께 사용할 수 있는 유모차가 간절하게 필요했는데 드디어 제게 왔답니다 절충형유모차 엘레니어 윙스플러스 롤링신상 개봉기 시작할게요 ], 긍정 텍스트 확률 : 96.98%"
"[ . 의 절충형 무게로 네 바퀴 모두 도 회전이 가능한 바퀴로 적용되어 있고], 긍정 텍스트 확률 : 87.98%"
"[넓게 잘 만들어진 ], 긍정 텍스트 확률 : 79.02%"
"[안정감 있는 주행 ], 긍정 텍스트 확률 : 68.32%"
"[고정된 앞바퀴를 도 회전이 가능하도록 설계되어 양대면 사용 시에도], 긍정 텍스트 확률 : 92.39%"
"[안정감 있게 주행이 가능하답니다. ], 긍정 텍스트 확률 : 55.90%"
"[각 바퀴 위 버튼을 누르면 방향 고정이 돼 내리막길 주행 시 안전하게 이동할 수 있어요. ], 긍정 텍스트 확률 : 69.60%"
