"[우리 아이에게 엄마가 직접만든 이유식을 먹이는게 제일 좋겠지만 여행을 가거나 더운 여름철 외출이 길어질때는 배달이유식도 불안.. 실온이유식], 긍정 텍스트 확률 : 82.06%"
"[트림시키기], 긍정 텍스트 확률 : 52.04%"
"[그리고 응급상황 등너무 알차고 즐거운 시간남편도 피곤해서 졸리다면서도반짝 반짝한 눈으로 집중해서 듣더라구요 ], 긍정 텍스트 확률 : 94.40%"
"[ 요것과 두유를 주셨어요 ], 긍정 텍스트 확률 : 54.27%"
"[ 그리고 시작된 부 순서는 바로후디스 분유연구팀의 부장님께서모유와 분유의선택에 대해 강의해주셨어요 ], 긍정 텍스트 확률 : 92.33%"
"[ 국산분유와 수입분유의 분유타는 법이 다르다는거 알고 계셨나요?저도 이번에 처음 알았어요국산분유는 물량이 분유물의 총량이고수입분유는 물량은 물의 양만 따진거라고 하네요그리고 분유선택시 일반분유부터 시작하여산양분유소이분유콩분유가수분해분유 아미노산분유까지분유의 성분과 소화 그리고 선택에 대해 자세한 강의 해주셔서분유의 분자도 모르는 저에게는 너무 좋은 시간이었답니당 ], 긍정 텍스트 확률 : 86.85%"
"[ 오늘은 임산부의 날이라서 다른날보다도 경품이 많았다고 하더라구요민홍님이 지친 워킹맘들을 일찍 귀가시켜주시기 위해랩처럼 번호를 읊어나가셨어요뭐라도 한개 받고 싶었던 저는 번호가 안불리니 속상속상남편은 유모차가 될꺼라며 자기만 믿으라고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ안타깝지만 당첨은 빠이빠이 ㅋㅋㅋ그래도 영혼까지 끌어모은 민홍님의젖병과 이유식통 선물을 받았답니당 ], 긍정 텍스트 확률 : 97.26%"
"[ 이것만으로도 감사감사한 마음가득 ], 긍정 텍스트 확률 : 99.73%"
"[ 후디스에서는 홈어택이라고 해서추첨된 분들의 가정에 민홍님을 포함한 순산방위대가 출동하여 기쁨과 선물을 주신다고 하네요.?예비맘예비맘.?산모교실산모교실.?후디스맘아카데미후디스맘아카데미저희집에도 어택해주길 바라는 마음으로 저도 해시태그♥ ], 긍정 텍스트 확률 : 100.00%"
"[ 여친없으면 후배소개하고픈 멋진 민홍님을 끝으로 후기를 마칩니다 .?를찾아라를찾아라 부스나 보험강의 하나없고갠정보 요구 하나 없는 착한 산모교실 일동 후디스 워킹맘아카데미너무 즐거운 시간 만들어주셔서 감사합니다 ], 긍정 텍스트 확률 : 95.61%"
"[.?순금언니순금언니.?찰떡엄마찰떡엄마.?산모교실후기산모교실후기.?후디스워킹맘클래스후디스워킹맘클래스], 긍정 텍스트 확률 : 62.06%"
"[ .아임밀냠냠 그릭요거볼 종.아이밀냠냠 유기농쌀과자 종.아이밀 처음이유식 종.아이밀 유기농순보리차. ], 긍정 텍스트 확률 : 58.17%"
"[ .솔직히 서준이는 아기때부터 보리차는 .그래서 제가 임신했을 때부터 먹은 루이보스차를 먹이니.잘 먹어서 루이보스차만 먹였어요..그래서 후디스 아이밀 유기농순보리차 먹일때 걱정...근데 이게 왠일?.너무 맛있게 잘 먹는거 있져 ], 긍정 텍스트 확률 : 66.87%"
"[ ..제가 먹어보니 확실히 다른 아기보리차보다.연하면서 부드러워서.루이보스에 익숙한 우리아이에게.거부감이 없었나봐요..더운 요새 활동량도 많은 아이에게.수시로 수분섭취를 해주고.외출시에도 편하게 가지고 갈 수 있어서 좋네요. ], 긍정 텍스트 확률 : 94.23%"
"[ .물놀이 후 출출한 우리 아드님.배채우기 편안한.스파우트 파우치제품으로.여행갈 때나 외출할 때에도 편하게 가지고 갈 수 있고.먹이기도 편해서 좋아요..특히 해외여행 가거나 할때 .이유식 가져가는게 힘들자나요...실온이유식을 많이 찾게되고 그럴때 가져가기 좋아요..저도 서준이 이제 어느정도 다 먹지만.혹시모를 사태를 대비해서.해외여행갈 때는 실온이유식 꼭 챙겨가거든요.자리도 많이 차지안하고 먹기도 편한.파우치 이유식👍.. ], 긍정 텍스트 확률 : 87.93%"
"[살아있는 유산균까지.건강한 간식이예요..지퍼백으로 되있어서.여러번 나누어 먹어도 보관이 편하고.요거트 개 분량이 들어가있는 건강한 간식 ], 긍정 텍스트 확률 : 85.43%"
"[ .하트모양으로 이쁘고.아이 손으로 잡아 먹기 좋은 핑거푸드 간식이예요 ㅎㅎ.한봉지 들고 외출하면.신나는 간식으로 건강하게 챙겨줄 수 있어요. ], 긍정 텍스트 확률 : 70.16%"
"[팽창제 사용.✅ 개별포장으로 편리하고 위생적.✅ 잇몸간지럽거나 치아자극 필요한 아기에게 굿..떡뻥보다 좀더 단단해서.떡뻥 이후에 먹기에 좋은 간식이예요.박스에 봉], 긍정 텍스트 확률 : 90.09%"
"[ .이것저것 과자를 많이 맛본 개월 저희아들도.잘 먹더라구요.요새 어금니 등 이빨 나려고 하니 더 좋아하면서.씹어주시는 ㅋㅋㅋ.먹으면서 잇몸이 건드려지니 시원한지.잘 먹더라구요...우리아이 간식.건강하게 챙겨줘요...후디스타즈 기로 제품만을 제공받아.사용 후 작성한 후기입니다..... ], 긍정 텍스트 확률 : 96.27%"
"[유아식 재료까지 아이들의 건강한 먹거리를 책임지고 있는 일동 후디스에서 좋은 제품을 체험해보고 다른 육아맘대디들과 공유할 수 있는 서포터즈를 모집하고 있어요 일동후디스의 서포터즈인 후디스타즈에서는 세를 위한 프리미엄 어린이 식품 브랜드인 키요 와 세 미만의 건강한 아이 식품인아이밀두 종류로 나누어 모집을 하고 있어 우리 아이의 연령에 따라 다르게 지원할 수 있어요], 긍정 텍스트 확률 : 98.01%"
"[ 후디스타즈 기 모집 내용 모집 기간월 일월월 일일선정 발표월 일 수활동 기간년 월월까지 개월간 활동 모집인원키요스타즈 세세 명 아이밀스타즈 세미만 명 키요아이밀 제품을 아이와 함께 체험해보고 블로그나 에 생생한 후기를 공유하고 소통할 수 있는 엄마], 긍정 텍스트 확률 : 74.71%"
"[ 후디스타즈 기 활동 혜택이 정말 너무 좋아요], 긍정 텍스트 확률 : 92.63%"
"[ 사실 기본만해도 혜택이 충분히 많지만 기왕 하는거 조금 더 욕심을 내 매월 우수 활동자 더 나아가 기 최종 우수까지도 되어보고 싶으네요 먼저 뽑아줘야말이지만요 ㅋㅋㅋㅋ게다가 개월 활동 완료시 전원 프레스티지 멤버쉽에무료 가입이 된다고하니 정말 욕심이 나요 저희 아이는 간식으로 후디스 곡물바], 긍정 텍스트 확률 : 99.81%"
"[ 요거볼을 먹거든요 매번 어디가 조금이라도 더 저렴한지 비교하고 사는데 프레스티지 멤버쉽이 되면 상시 할인을 받을 수 있으니 정말 꼭 해보고 싶은 서포터즈에요], 긍정 텍스트 확률 : 93.98%"
"[ 인지질보강되어있구요유효기간도.. 넉넉한편이에요전 하루에 포 분유비오타민도 함께 섞여서 먹이고있어요철분섭취시 변비증상이 있을까봐유산균도 함께 먹이구요비오타민은 하루에 포 먹이네요분유에 타서 먹여도아이는 거부가 없이 잘 먹구요입자도 곱고거의 무맛에 가까워서 그런듯요단점이라면한포씩 뜯기쉽게 절취선자르는선이 있음 더 좋을꺼같아요잘 안 뜯겨서가위로 자르는게 아쉽네요비오타민은자르는선이 있어서타먹이기 편했거든요그점만 보안되면좋겠구요며칠안먹여봐서눈에띄게 좋은점이 나타나는거 모르겠지만울아이 성장발달에도움될꺼라 생각해서꾸준히 먹일려구요♡후기.열성경련이 있는 개월 남아예요철분이 모자라면 열성경련이 온다는 말에...지푸라기 잡는 심정으로 사봤네요작년에 번 열성경련을 해서올해 월에 한약 먹이니 지금까지 안 하다가...어제 열성경련을 했네요... 개월만의 열성경련이라 ㅜ 놀래서정보 찾아보다 철분이 부족함 올 수 있대서샀습니다. 밥 잘 먹는 아이라하루 포 먹여보려고요따뜻한 물이나 이유식에 섞여주는 건데... 모르고 우유에 섞여줬어요 ㅠ ㅠ내일부턴 꼭 물에 섞여 줘야겠어요이거 먹고 변비 오는지도 확인해봐야겠네요우선 효과는 아직 모르겠어요제발 철분 덕에 열성경련이 나으면 좋겠네요ㅡㅡㅡㅡㅡ혼자 동영상 찍기가 ㅋ 가루는 하얀색으로 입자 고와요 물에 엄청 잘 녹네요.직수 정수기 물에 잘 녹아요녹고 나선 뿌연 물처럼 되네요.맛은 그냥 무맛 그냥 물맛이예요후기.큰아이 개월], 긍정 텍스트 확률 : 99.98%"
"[작은아이개월 이예요큰아이가 빈혈이 있다고 해서 병원에서 처방해주는엽산], 긍정 텍스트 확률 : 78.62%"
"[ 철분제를 먹이는데 쓰고 희석해서 줘도 쓴맛이없어지질 않아 먹이질 못하고 있어서 이것저것 검색하고 알아보다가 구매하게 되었어요받자마자 한포 뜯어서 제가 먹어 봤어요맛도 적당히 맛있어서 그냥 먹여봤는데잘 먹네요 작은아이도 물에 타서 줘봤는데 잘먹구요일단은 아이들이 거부감 없이 잘 먹어서 다행인거 같아요분유나], 긍정 텍스트 확률 : 64.72%"
"[ 또는 유아 배도라지에 타서 주니 곧잘 먹더라구여효과가 있었으면 좋겠는데 좀 더 먹여봐야 알겠죠??ㅎㅎ현재로서는 아이들이 잘먹어주니 만족합니당후기.개월 넘은 울 아기가첫이유식을 시작하면서부터분유에 유산균과 철분제를 섞어서먹이고있어요개월부터 이유식을 하면철분이 부족하다기에한포씩 포장되어 있고가격부담 약간은 덜한?일동껄루 주문했구요울아가도 거부감없이 잘 먹어주네요요번엔통 가격이 저렴해서쟁여나야지ㅎㅎ유효기간도.. 넉넉하구요변비가 있는 아가라하루에 한포만 분유에 타서먹이구요노란색알갱이는일동 비요것도 한포씩 포장되어 있구하루에 번 먹이고 있어요철분], 긍정 텍스트 확률 : 97.03%"
"[ 비타민도들어있고다 먹이면재주문할꺼에요그때도저렴한가격이었음 좋겠어요마트는 비싸더라구요후기.아기 빈혈약으로 훼럼키드를 먹이다가요즘 많이 좋아진듯 하여 헤모틴틴으로 갈아 탓어요.아무래도 액상빈혈약은 효과는 좋지만 변비가 걱정이었거든요.결과적으로 구매 해보니철분만 있는것 보다는 여러 영양소가 더 들어가 있는게더 좋네요.철분과 아연은 아기때부터 꼭 챙겨서 먹이라고 했는데헤모틴틴은 철분], 긍정 텍스트 확률 : 76.14%"
"[아연 뿐만 아니라 비타민도 가득하네요포장도 포씩 나눠서 있는것도 편하고 좋아요냄새도 심하지 않고 맛도 강하지 않아서물에 타서 주는데도 잘 먹네요.ㅎㅎ상세정보 아래링크 참조 ], 긍정 텍스트 확률 : 76.31%"
"[식품의 유형], 긍정 텍스트 확률 : 52.07%"
"[주일동후디스 강원도 춘천시 동내면 거두단지 길 ], 긍정 텍스트 확률 : 52.19%"
"[원재료명 및 함량], 긍정 텍스트 확률 : 52.23%"
"[일동후디스 베이비서로 이웃신청 틈틈히 확인하고 있으니 거리낌 없이 신청주시기 바랍니다위 상품의 가격과 할인 정보는 언제나 변동될 수 있다는 점을 참고해주시기 바랍니다이 포스팅은 쿠팡 파트너스로부터 일정액의 커미션을 대가를 받고 작성된 광고입니다. ], 긍정 텍스트 확률 : 82.27%"
"[ 저희 아기는 . 태어나서 분유도 잘안먹고 분수토도 잘하고 잘게어낸 아기입니다. 이유식 시작했을 땐 다행이도 아기가 잘먹는 편이었답니다.분유보다 이유식을 잘먹었죠일정도 잘크다가 몸무게가 정체되고 첫돌엔 개월동안 키로 찌기 힘들고 그랬네요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ두달전까지만해도 키로 안되더라구요 ㅠㅠㅜㅜㅜㅜㅜㅜ먹는것도 짧고 편식도하고 정말 자주자주자주자주 아픈 아기였아요 입원을 번했음 말 다했죠.. 그리고 주에 한번씩 감기달거살고 완전 항생제 덩어리네요ㅜㅜㅜㅜㅜ다니는 아동병원을 옮겨봤는데 의사선생님이 아기 살을 늘리면서 이렇게 살도없는데 아이가 당연히 자주 아프고 아프더라도 체력이 안되서 못버틴다고 하더라구요ㅜㅜㅜㅜㅜㅜ이렇게도 저렇게도 어찌어찌 먹이려고 해도 안먹고 한다고 어찌해야하냐고 물어보니까일동후디스 하이키드 영양분유를 먹여보라고 추천하시드라고여저만 믿고 무조건 무조건 먹이라더라구요생우유를 먹고있는데 웬 다시 분유?? 라고 생각이 들었습니다물에다가 타서 먹여도되고 생우유에다가도 타서 먹여도된다고 하더라구요하이키드도 맛의 종류가 몇개 있더라구요초코맛], 긍정 텍스트 확률 : 100.00%"
"[ 사과 점심 어린이집 항상 잘먹는다는데 집에선 안먹으니 의심이 ㅋ하원 후 간식사과주스또는 배도라지즙 저녁 밥한그릇 뚝딱 하루종일 안먹은애마냥 먹음 저녁을 제일 잘먹음], 긍정 텍스트 확률 : 94.84%"
"[일 주말에는 우유 에 하이키드 숟가락씩 아침 저녁으로 먹였어요 다 먹든 안먹든 무조건 이렇게 타서 줬네요저희 아기는 그래도 잘먹는 편이었네요두둥 ㅋㅋㅋㅋㅋㅋㅋ 진짜 거짓말 점점 애가 몸무게가 늘어나네요 ㅋㅋㅋㅋㅋ 이주정도 먹였는데 . 그램 찌기 정말 어려운데 오백그램 쪘네요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ현재 일 아직 한달 안됐쥬??몇키로일까요?????ㅋㅋㅋㅋㅋㅋㅋㅋ몸무게늘어서 절로웃어짐어제 병원에서 재보니 .키로네여 ㅋㅋㅋㅋㅋㅋㅋ 저희 아기는 살까지 쭉 먹이라네요열심히 먹여보려구요 혹시라도 도움이 될까 글 남겨보아요....다들 힘내세요ㅠㅠㅠㅠㅠㅠㅠㅠ 일동후디스에서 협찬 받지않고 의사선생님 조언으로 제 돈주고 사먹여본 후기랍니다 ㅠㅠㅠㅠ], 긍정 텍스트 확률 : 99.86%"
"[ 완모는 유산균도 개월쯤에 먹여도 된다 그래서정말 잊고 있었는데.. 이참에 이유식 시작하면서 분유도 먹이려고생각 중이었는데 유산균도 먹여야겠어요주위에 많이 물어보고 알아보다가..가격 면이나 효과도 좋다고 한 유산균이비오타민 이라고 해서 구입했습니다 ], 긍정 텍스트 확률 : 99.68%"
"[ 뚜껑을 열면 분유처럼 밀봉돼있는데그걸 뜯어내면 이렇게 개별 포장이 돼있네요사이즈도 아담하니 귀엽네용ㅎ ], 긍정 텍스트 확률 : 95.30%"
"[ 섭취방법은 하루에 회 회 포 이유식이나 분유에 섞어 먹이거나 우유 또는 끓여서 식힌 물에 타서 먹이면 됩니다 ], 긍정 텍스트 확률 : 50.17%"
"[ 비오타민 유산균은 유산균 말고도 좋은 비타민이랑영양성분이 들어있어서 좋네요우리 체내에 생성되지 않는 비타민. 필수적이네요특히 비타민가들어있어서따로 먹이지 않아도 충분하네요 ㅎ굳 ], 긍정 텍스트 확률 : 98.20%"
"[ 지금까지 먹어본 후기일 한 포씩 먹이다가 응가 싸는 게 여전히 힘든 것 같아서 일 포 아침], 긍정 텍스트 확률 : 56.50%"
"[ 확실히 효과가 있습니다이래서 다들 후디스 유산균 먹이나 봅니다 ㅎ꾸준히 먹여야겠습니다 .?일동후디스일동후디스아기유산균아기유산균추천일동후디스유산균후디스유산균유산균비오타민비오타민완모개월유산균이유식유산균유산균추천 ], 긍정 텍스트 확률 : 85.26%"
"[두뇌발달에 좋은우리 아이를 위한], 긍정 텍스트 확률 : 93.25%"
"[후디스 프리미엄 산양유아식♡두근두근 ♡ 기대가되고 우리 니모군이 잘먹어줄지 ....... .......? 본문 이미지....... .......? 본문 이미지우리 니모군은 완모로 시작해지금도 쭈쭈를찾는개월 아이랍니다둘째가 아직 일정도라지금도 둘째에게 줄 쭈쭈를 뺏어먹는다는 ㅠㅠ그래서 신청했답니다후디스산양유아식모유성분과 비슷한 분유많이 들어보셨나요?일동후디스 산양유아식영양구성이 모유에 가깝다는 산양유로만든제품입니다깨끗한 뉴질랜드 초지에서 사계절 자연방목으로 키운 산양에서 얻는 산양유꼼꼼하고 정확하게 공부해볼까요?자연방목의 장점비타민], 긍정 텍스트 확률 : 99.67%"
"[ 등 항산화성분으로우유와 달라 소화가 어렵지않아지방의 소화가 쉬워요폴리아민], 긍정 텍스트 확률 : 74.61%"
"[ 등의자연유래성분이 정말 풍부하답니다.♡산양유의 소화능력우유와 다른 단백질 구조로소화가 잘되는 지방구성이 되어있답니다과학적 설계후디스 산양유아식은 한국인 영양섭취기준 및국제 유아식 구격을 고려하여 우리아기 성정에 맞게 엽산], 긍정 텍스트 확률 : 61.57%"
"[스핑고마이엘린이 자연함유되어 있고], 긍정 텍스트 확률 : 72.69%"
"[유아기에 중요한와 아라키돈산을비율로 배합하였다고요영유아의 두뇌와 망막에 존재하는 타우린까지 함유되어있다하니 너무너무 좋을거같아요소화가 잘되는지방 및 칼슘흡수를 돕는 가 자연함유되었고], 긍정 텍스트 확률 : 93.80%"
"[사회를 지켜나가는 기업과 소비자의 현명한 선택을 인증한다는 증표랍니다.분유], 긍정 텍스트 확률 : 57.56%"
"[지방 등등등 조금씩 달라지는거 다들 알고계시죠?현재 우리 니모군은 개웥일동 후디스 유아식 ㅡ개월까지 먹일수 있네요어서 먹여보고싶어요 ㅎㅎ....... .......? 본문 이미지....... .......? 본문 이미지짜짠 개봉박두♡소중한 우리 아이를 위한], 긍정 텍스트 확률 : 74.18%"
"[후디스 프리미엄 산양유아식 입자 보세요정말 미세해요.분유와는 다르게 입자가 너무 고와서 놀랐어요훨씬 잘 녹고 빠르게 소화흡수를 도와줄수 있을듯해요자], 긍정 텍스트 확률 : 97.05%"
"[남은 온수를 조유량에 맞춰넣고 분말이 완전히 녹은 후 먹여주시면되세요....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지너무나 잘 먹는 우리니모군♡여 년 전통의 일동후디스만의 노하우를 담아믿을 수 있는 품질로 많은 사랑을 받고 있는 후디스 프리미엄 유아식♡추천합니다♡ㅡ본 포스팅은 일동후디스로부터 제품만을 무상제공받아 도담도담카페를 통해 직접 체험 작성한 후기입을 명시합니다 ㅡ후디스산양유아식모유에가까운분유유아식분유추천산양분유후디스산양분유개월유아식영양가있는분유일동후디스산양유아식유아식추천], 긍정 텍스트 확률 : 76.73%"
"[안녕하세요 연두맘이에요 오늘은 일동후디스 산모교실의 홈어택 이벤트에 당첨이 된 이야기를 적어볼까 합니다.앞전에 저의 포스팅을 보신 분들은 아시겠지만], 긍정 텍스트 확률 : 92.77%"
"[그달의베스트 후기 에 당첨이 되면 이렇게 후디스몰에서 현금처럼 사용할 수 있는만 포인트 를 적립 받을 수 있어요.그리고 더 기뻤던 소식은일에 발표 난홈어택이벤트에 제가 당첨이 되었다는 사실이었어요. ], 긍정 텍스트 확률 : 76.35%"
"[ .홈어택이벤트는 일동후디스 산모교실에 참석해서 이벤트 안내를 받았을 때], 긍정 텍스트 확률 : 55.91%"
"[그 주인공이 제가 될 줄은 꿈에도 상상을 못했었는데], 긍정 텍스트 확률 : 84.05%"
"[이렇게 당첨이 되어서 너무나도 기뻤던 것 같아요. ], 긍정 텍스트 확률 : 70.59%"
"[ ..?예비맘예비맘.?산모교실산모교실.?후디스맘아카데미후디스맘아카데미.이 해시태그 세 개를 해시태그 입력란에 입력만 하면베스트 후기 이벤트에도응모가 되고], 긍정 텍스트 확률 : 83.22%"
"[ .홈어택 이벤트 에도 자동 응모가 되는 거랍니다..그달의 베스트 후기 당첨자들 중에서], 긍정 텍스트 확률 : 77.83%"
"[ .당첨이 되고 나서 후디스엠씨님께 쪽지로 주소와 휴대폰 번호를 전송하고 바로 전화가 왔었고], 긍정 텍스트 확률 : 63.25%"
"[ .일.산모교실에서도 뵈었던민홍 님과 순산방위 대원 분들 너무 반가웠어요..들어오셔서 순산 순산🎶 이라고 구호를 외쳐주시면서 순산 메시지를 전해주셔서 긍정적인 기운을 받고 정말 잘 순산할 수 있을 것만 같은 느낌이 들었어요.. .?일동후디스순산방위대일동후디스순산방위대.?민홍민홍.?순산순산순산순산💗 ], 긍정 텍스트 확률 : 87.15%"
"[신혼여행은 어디로 갔었는지에 대한 얘기들을 나누다 보니 시간이 어떻게 지났는지 모르겠어요...얘기를 하면서 세분 모두 마음이 참 따뜻하신 분인 것 같다는 느낌을 많이 받았던 것 같아요..더운 날씨에 멀리서 오셔서 지쳤을 법도 한데], 긍정 텍스트 확률 : 97.35%"
"[그런 기색 하나도 없이 밝게 웃으시면서 대해주셔서 너무 고마웠어요. ], 긍정 텍스트 확률 : 87.85%"
"[아기과자 등 정말 예비맘에게 꼭 필요한 선물들만 쏙쏙 담아오셨더라고요..받은 선물들을 하나], 긍정 텍스트 확률 : 76.86%"
"[이렇게 후디스에서 주셔서 너무 감사했답니다.. .?스펙트라유축기스펙트라유축기.?스펙트라핸즈프리스펙트라핸즈프리 ], 긍정 텍스트 확률 : 81.49%"
"[ .그리고 와이 크라이 미니에요.일동후디스 산모교실에서 던스턴 베이비 랭귀지에 대해서 수업을 들으신 분들은 아시겠지만], 긍정 텍스트 확률 : 93.70%"
"[아기들의 울음소리를 잘 들어보면 우는 이유가 다 있다죠?.그 아기의 울음소리를 분석해주는 기계라니 얼른 써보고 싶어지더라고요.. .?와이크라이와이크라이.?와이크라이미니와이크라이미니 ], 긍정 텍스트 확률 : 69.81%"
"[ .그리고 왼쪽부터 베베 무스프리 섬유 유연제], 긍정 텍스트 확률 : 53.17%"
"[베베 무스 에이프릴 프레시 유아 세제 유아 유연제에요..우리 아가들 옷은 아가들 전용세제로 잘 세탁해주어야 하잖아요. 잘 챙겨줬다가 우리 연두 옷 세탁할 때 잘 쓰겠습니다.. .?베베무스유아세제베베무스유아세제.?베베무스유아유연제베베무스유아유연제], 긍정 텍스트 확률 : 87.60%"
"[헤모틴틴 베이비에요..아가를 낳아서 키우고 있는 지인이 이 제품들을 분유에 같이 넣어서 잘 먹이고 있다고 했던 제품들이라서 저도 구입할까 했었는데], 긍정 텍스트 확률 : 70.59%"
"[글라스락 이유식 용기에요..유축한 젖을 잠깐 보관할 때 쓴다는 노꼭지 젖병이죠.유축한 젖을 보관했다가 아기들이 먹으려고 할 때 젖꼭지를 꽂아서 물리면 된다고 하네요..이유식 용기도 플라스틱이 아닌 유리로 된 용기라서 오래오래 사용할 수 있을 것 같아요.. .?스펙트라노꼭지젖병스펙트라노꼭지젖병.?글라스락이유식용기글라스락이유식용기 ], 긍정 텍스트 확률 : 95.60%"
"[ .후디스 산모교실에서 테스트할 수 있었던 베베랩 제품이에요. .산양유 성분으로 되어있어서 아가들에게 발라주기에 딱이라고 생각했었는데], 긍정 텍스트 확률 : 96.59%"
"[ .데이 포유 더스트 클렌징 스틱이에요..아가들에게 쓰는 면봉 같은데], 긍정 텍스트 확률 : 79.29%"
"[좀 크면 사용할 수 있겠죠?. .?더스트클렌징스틱더스트클렌징스틱 ], 긍정 텍스트 확률 : 53.48%"
"[ .일회용 분유 저장팩 개에요..회분 분유를 간편하게 저장할 수 있다니], 긍정 텍스트 확률 : 84.01%"
"[외출 시에도 간편하게 사용할 수 있을 것 같아요.. .?일동후디스일회용분유저장팩일동후디스일회용분유저장팩 ], 긍정 텍스트 확률 : 53.32%"
"[ .그리고 후디스의 다양한 아기과자 제품들까지.키요 두부와플], 긍정 텍스트 확률 : 91.99%"
"[감자볼 까지 .제가 몇개 먹어보고 괜찮은건 나중에 우리 연두가 태어나면 주문하려고요.. .?후디스두부와플후디스두부와플.?후디스젤리후디스젤리.?후디스감자볼후디스감자볼 ], 긍정 텍스트 확률 : 81.03%"
"[ .행운의 성장 카드에요..아가들 태어나서 달달], 긍정 텍스트 확률 : 74.97%"
"[이 카드랑 아가랑 사진 찍어주면 너무 이쁘겠죠?.선물들을 보다 보니 정말 우리 연두가 얼른 태어날 날이 기다려지는 것 같아요.. .?행운의성장카드행운의성장카드 ], 긍정 텍스트 확률 : 94.93%"
"[초유밀 샘플이에요. 산모교실에 가서 받아온 것도 많아서 모으니 든든해지더라고요.. .?후디스청정물티슈후디스청정물티슈 ], 긍정 텍스트 확률 : 95.47%"
"[ .임산부들도 마음 놓고 마실 수 있는 고소한 카카오닙스 차에요. .칼로리라], 긍정 텍스트 확률 : 82.62%"
"[ .선물을 담아서 가지고 오셨던 큰 에코백이에요..재질도 짱짱하니 너무 좋고], 긍정 텍스트 확률 : 99.47%"
"[ .후디스에 대한 여러 제품들에 대한 설명이 담긴 안내문들도 읽어보았어요...💝 홈어택 이벤트 이날의 감동이 담긴 스토리 영상 보시고 가세요], 긍정 텍스트 확률 : 97.92%"
"[던스턴 베이비 랭귀지 수업도 유용해서 좋았던 기억뿐이었는데.베스트 후기에도 뽑아주시고], 긍정 텍스트 확률 : 96.99%"
"[ .생각지도 못했던 홈어택 이벤트에도 뽑아주셔서], 긍정 텍스트 확률 : 52.18%"
"[.예비맘에게 꼭 필요한 여러 선물들을 받게 되어 너무 감사합니다..우리 연두가 태어나면 감사히 잘 쓰겠습니다..더운 여름인데], 긍정 텍스트 확률 : 99.22%"
"[서울에서 아침부터 멀리 대구까지 와주신 일동후디스의 순산 방위 대원 분들 너무 수고 많으셨어요..주신 후디스 제품들도 써보고 괜찮으면 꼭 구입해서 쭉 쓰고], 긍정 텍스트 확률 : 93.48%"
"[주변 분들에게도 추천할게요. ...이상으로 일동 후디스 산모교실의 홈어택 이벤트 당첨 후기를 마무리하도록 할게요.. ..♥긴 글 읽어주셔서 감사드립니다♥ ...해당 포스팅은 제가 직접 글을 쓰고.사진을 찍어서 편집해서 올린 소중한 포스팅입니다..본 포스팅은 일체 상업적 사용도용], 긍정 텍스트 확률 : 99.99%"
"[불펌을 금합니다..댓글을 다시기 전에 한 번 더 생각하시고 달아주세요.. ⓒ . 연두맘. . ], 긍정 텍스트 확률 : 72.87%"
"[일동 후디스 바로먹는 아이국수 쌀국수 엄마가 먹은 후기모유수유를 꽤나 오래했기 때문에아이가 후기 이유식까지 잘 먹는 편은 아니었다.물론 지금 유아식은 엄청나게 잘 먹는중이다그래서 그런지 그 맘때 아이들이 좋아한다는 음식들을 다 사다가 먹여봤던 것 같다. ], 긍정 텍스트 확률 : 99.62%"
"[ 베이비페어에서 발견한.?아이쌀국수아이쌀국수 .?아이첫국수아이첫국수.?아기쌀국수아기쌀국수 많은 엄마들이 선택하는 일동 제품.다른 제품들은 베이비페어에서 구입하면 인터넷이랑 별 다를 바가 없는데일동 제품은 베페가 정말 저렴해서 베페가면 꼭 사오게 된다.후디스 부스에는 언제나 구매줄이 엄청나게 늘어진다.쌀국수 잘 먹는다고 하길래 바로 사온 아이들. ], 긍정 텍스트 확률 : 98.99%"
"[ 딱봐도 아이전용 일 것 같은 느낌의 쌀국수.멸치맛은 멸치맛 블럭이 있고소고기맛은 소고기맛블럭이 있다.내용물은 사진과 같다. ], 긍정 텍스트 확률 : 57.46%"
"[ 만드는 방법은 꽤나 간단하다.아이들이 코박고 먹는 다는 이 쌀국수...그런데 우리아들은 전혀 먹질 않았다..후기이유식? 중기이유식? 할 때즈음에 줬었는데그때도 안먹더니 좀 크고 유아식을 할 때 줬는데도 안먹는다..엄마는 동글이 잘 먹을 줄 알고 많이도 샀는데...ㅠ내가 먹어보니 맹물에 그냥 쌀국수 넣은 맛??아이가 안먹으니 엄마가 먹는 수 밖에..그렇게 많이 사온 쌀국수를 이 엄마가 다 먹는다..이렇게 오늘도 엄마가 먹은 아기쌀국수 후기다..아무래도 우리아들은 시판 음식은 안 좋아하는 것 같다.시판짜장], 긍정 텍스트 확률 : 99.98%"
"[엄마가 사랑으로 음식 해줄게.엄마 음식이 제일 맛있지?사랑한다....제 돈 주고 먹습니다. .... ], 긍정 텍스트 확률 : 58.71%"
